ID;Perioden;TotaleCVOPopulatie_1;AantalDeelnemersAanVakanties_2;DeelnemersAanVakanties_3;TotaalAantalVakanties_4;NederlandTotaal_5;NederlandTotaal_6;Waddeneilanden_7;Waddeneilanden_8;Noordzeebadplaatsen_9;Noordzeebadplaatsen_10;IJsselmeerkust_11;IJsselmeerkust_12;Deltagebied_13;Deltagebied_14;MerenInFrieslandEO_15;MerenInFrieslandEO_16;HollandsUtrechtseMeren_17;HollandsUtrechtseMeren_18;UtrechtseHeuvelrugEnTGooi_19;UtrechtseHeuvelrugEnTGooi_20;VeluweEnVeluwerand_21;VeluweEnVeluwerand_22;GeldersRivierengebied_23;GeldersRivierengebied_24;Achterhoek_25;Achterhoek_26;TwenteSallandEnVechtstreek_27;TwenteSallandEnVechtstreek_28;GroningseFrieseEnDrentseZandgronden_29;GroningseFrieseEnDrentseZandgr_30;WestEnMiddenBrabant_31;WestEnMiddenBrabant_32;OBrabantNMLimburgEnRijkVNijmeg_33;OBrabantNMLimburgEnRijkVNijm_34;ZuidLimburg_35;ZuidLimburg_36;VierGroteSteden_37;VierGroteSteden_38;OverigNederland_39;OverigNederland_40;WoningVanEenParticulier_41;WoningVanEenParticulier_42;HotelMotel_43;HotelMotel_44;PensionBedBreakfast_45;PensionBedBreakfast_46;Appartement_47;Appartement_48;ZomerhuisjeVakantiebungalow_49;ZomerhuisjeVakantiebungalow_50;TentBungalowtent_51;TentBungalowtent_52;CaravanVouwwagen_53;CaravanVouwwagen_54;Camper_55;Camper_56;Boot_57;Boot_58;Groepsaccommodatie_59;Groepsaccommodatie_60;OverigeLogiesvormen_61;OverigeLogiesvormen_62;AantalFiets_63;Fiets_64;Auto_65;Auto_66;Trein_67;Trein_68;Touringcar_69;Touringcar_70;OverigeVervoermiddelen_71;OverigeVervoermiddelen_72;TotaleUitgavenVoorVakanties_73;GemiddeldeUitgavenPerVakantieganger_74;TotaalVakantiesInBuitenland_75;TotaalVakantiesInBuitenland_76;Belgie_77;Belgie_78;Luxemburg_79;Luxemburg_80;Frankrijk_81;Frankrijk_82;Spanje_83;Spanje_84;Portugal_85;Portugal_86;Oostenrijk_87;Oostenrijk_88;Zwitserland_89;Zwitserland_90;GrootBrittannie_91;GrootBrittannie_92;NoorwegenZwedenFinland_93;NoorwegenZwedenFinland_94;Denemarken_95;Denemarken_96;Duitsland_97;Duitsland_98;Italie_99;Italie_100;Griekenland_101;Griekenland_102;Hongarije_103;Hongarije_104;Tsjechie_105;Tsjechie_106;Turkije_107;Turkije_108;Egypte_109;Egypte_110;VerreOosten_111;VerreOosten_112;VerenigdeStaten_113;VerenigdeStaten_114;CaribischGebied_115;CaribischGebied_116;OverigeLanden_117;OverigeLanden_118;BijFamilieVriendenOfKennissenThuis_119;BijFamVriendenOfKennissenThuis_120;WoningVanEenParticulier_121;WoningVanEenParticulier_122;HotelMotel_123;HotelMotel_124;PensionBedBreakfast_125;PensionBedBreakfast_126;Appartement_127;Appartement_128;ZomerhuisjeVakantiebungalow_129;ZomerhuisjeVakantiebungalow_130;TentBungalowtent_131;TentBungalowtent_132;CaravanVouwwagen_133;CaravanVouwwagen_134;Camper_135;Camper_136;Boot_137;Boot_138;Groepsaccommodatie_139;Groepsaccommodatie_140;OverigeLogiesvormen_141;OverigeLogiesvormen_142;Auto_143;Auto_144;Trein_145;Trein_146;Touringcar_147;Touringcar_148;Vliegtuig_149;Vliegtuig_150;OverigeVervoermiddelen_151;OverigeVervoermiddelen_152;TotaleUitgavenVoorVakanties_153;GemiddeldeUitgavenPerVakantieganger_154
0;1990;13971;10426;74.6;25353;14569;57.5;811;5.6;2166;14.9;895;6.1;610;4.2;456;3.1;143;1.0;412;2.8;1730;11.9;88;0.6;286;2.0;800;5.5;1517;10.4;1651;11.3;1236;8.5;737;5.1;226;1.6;820;5.6;363;2.5;1350;9.3;;;306;2.1;4719;32.4;1049;7.2;5301;36.4;85;0.6;630;4.3;530;3.6;236;1.6;495;3.4;12862;88.3;644;4.4;225;1.5;343;2.4;1.4;96;10784;42.5;1441;13.4;274;2.5;2264;21.0;794;7.4;159;1.5;1132;10.5;396;3.7;333;3.1;84;0.8;107;1.0;1889;17.5;340;3.2;411;3.8;135;1.3;;;107;1.0;;;71;0.7;111;1.0;;;;;;;237;;4095;;;;1642;15.2;1482;13.7;1285;11.9;1545;14.3;141;1.3;52;0.5;176;1.6;129;1.2;6592;61.1;628;5.8;1515;14.0;1778;16.5;271;2.5;4.8;453
1;1991;14038;10711;76.3;26665;15228;57.1;786;5.2;1990;13.1;1041;6.8;682;4.5;648;4.3;162;1.1;528;3.5;1666;10.9;101;0.7;543;3.6;890;5.8;1516;10.0;1608;10.6;1512;9.9;724;4.8;243;1.6;586;3.8;491;3.2;1500;9.9;;;246;1.6;4831;31.7;1214;8.0;5404;35.5;48;0.3;687;4.5;558;3.7;249;1.6;487;3.2;13210;86.7;1001;6.6;179;1.2;351;2.3;1.5;99;11437;42.9;1315;11.5;308;2.7;2336;20.4;760;6.6;255;2.2;1246;10.9;420;3.7;502;4.4;147;1.3;131;1.1;2148;18.8;401;3.5;378;3.3;189;1.7;;;50;0.4;;;86;0.8;139;1.2;;;;;;;365;;4117;;;;1755;15.3;1537;13.4;1367;12.0;1653;14.5;185;1.6;99;0.9;178;1.6;181;1.6;7111;62.2;555;4.9;1628;14.2;1736;15.2;407;3.6;5.2;457
2;1992;14116;10670;75.6;26342;14954;56.8;849;5.7;1984;13.3;946;6.3;640;4.3;667;4.5;158;1.1;461;3.1;1830;12.2;112;0.7;477;3.2;1035;6.9;1469;9.8;1407;9.4;1186;7.9;733;4.9;217;1.5;783;5.2;504;3.4;1611;10.8;;;291;1.9;4610;30.8;1240;8.3;5027;33.6;48;0.3;693;4.6;587;3.9;343;2.3;488;3.3;12984;86.8;921;6.2;213;1.4;348;2.3;1.6;106;11388;43.2;1367;12.0;302;2.7;2413;21.2;756;6.6;136;1.2;1139;10.0;414;3.6;395;3.5;166;1.5;224;2.0;1840;16.2;341;3.0;395;3.5;89;0.8;;;217;1.9;;;136;1.2;194;1.7;;;;;;;345;;4228;;;;1654;14.5;1510;13.3;1407;12.4;1673;14.7;129;1.1;134;1.2;161;1.4;147;1.3;6859;60.2;544;4.8;1529;13.4;2100;18.4;356;3.1;5.6;494
3;1993;14230;11006;77.3;27637;15528;56.2;858;5.5;2081;13.4;1013;6.5;712;4.6;541;3.5;203;1.3;382;2.5;1870;12.0;329;2.1;451;2.9;993;6.4;1537;9.9;1346;8.7;1309;8.4;911;5.9;268;1.7;744;4.8;568;3.7;1702;11.0;;;341;2.2;4966;32.0;1180;7.6;4908;31.6;54;0.3;756;4.9;633;4.1;420;2.7;500;3.2;13369;86.1;949;6.1;207;1.3;503;3.2;1.7;108;12109;43.8;1496;12.4;265;2.2;2688;22.2;899;7.4;122;1.0;1114;9.2;500;4.1;638;5.3;150;1.2;146;1.2;1639;13.5;382;3.2;443;3.7;154;1.3;264.0;2.2;179;1.5;;;130;1.1;211;1.7;;;;;;;402;;4483;;;;1835;15.2;1660;13.7;1290;10.7;1745;14.4;143;1.2;157;1.3;156;1.3;238;2.0;7126;58.8;581;4.8;1707;14.1;2285;18.9;410;3.4;6.0;500
4;1994;14310;11163;78.0;28949;15901;54.9;816;5.1;2522;15.9;745;4.7;682;4.3;458;2.9;314;2.0;398;2.5;1961;12.3;223;1.4;376;2.4;1107;7.0;1681;10.6;1341;8.4;1232;7.7;883;5.6;276;1.7;887;5.6;453;2.8;1703;10.7;;;356;2.2;5016;31.5;1107;7.0;5633;35.4;67;0.4;712;4.5;594;3.7;260;1.6;463;2.9;13620;85.7;1131;7.1;201;1.3;486;3.1;1.7;105;13048;45.1;1537;11.8;262;2.0;2919;22.4;1329;10.2;250;1.9;1142;8.8;354;2.7;690;5.3;190;1.5;180;1.4;1592;12.2;456;3.5;459;3.5;111;0.9;271.0;2.1;86;0.7;12.0;0.1;115;0.9;234;1.8;112.0;0.9;747.0;5.7;;;429;;5067;;;;2141;16.4;1883;14.4;1352;10.4;1688;12.9;193;1.5;89;0.7;93;0.7;113;0.9;7577;58.1;539;4.1;1728;13.2;2749;21.1;455;3.5;6.6;509
5;1995;14400;11105;77.1;28613;16300;57.0;890;5.5;2581;15.8;876;5.4;897;5.5;496;3.0;412;2.5;392;2.4;2000;12.3;122;0.7;402;2.5;1227;7.5;1573;9.7;1130;6.9;1178;7.2;817;5.0;392;2.4;917;5.6;480;2.9;2096;12.9;;;392;2.4;4870;29.9;1209;7.4;5507;33.8;109;0.7;913;5.6;493;3.0;231;1.4;407;2.5;14540;89.2;812;5.0;158;1.0;383;2.3;1.8;112;12313;43.0;1451;11.8;272;2.2;2492;20.2;1164;9.5;217;1.8;1082;8.8;349;2.8;736;6.0;168;1.4;165;1.3;1356;11.0;474;3.8;490;4.0;88;0.7;338.0;2.7;114;0.9;26.0;0.2;229;1.9;230;1.9;94.0;0.8;778.0;6.3;;;539;;4642;;;;2090;17.0;1802;14.6;1183;9.6;1542;12.5;136;1.1;126;1.0;141;1.1;112;0.9;7120;57.8;376;3.1;1555;12.6;2811;22.8;451;3.7;6.5;529
6;1996;14521;11250;77.5;29833;17026;57.1;922;5.4;2758;16.2;658;3.9;1004;5.9;429;2.5;207;1.2;356;2.1;1930;11.3;88;0.5;530;3.1;1516;8.9;1718;10.1;1622;9.5;1445;8.5;866;5.1;340;2.0;637;3.7;438;2.6;2201;12.9;;;374;2.2;5107;30.0;1199;7.0;6026;35.4;115;0.7;734;4.3;589;3.5;243;1.4;363;2.1;15294;89.8;771;4.5;252;1.5;346;2.0;1.9;109;12807;42.9;1566;12.2;268;2.1;2407;18.8;1244;9.7;231;1.8;920;7.2;382;3.0;903;7.1;143;1.1;188;1.5;1667;13.0;472;3.7;367;2.9;134;1.0;294.0;2.3;198;1.5;32.0;0.2;171;1.3;220;1.7;74.0;0.6;926.0;7.2;;;553;;4968;;;;2039;15.9;1889;14.7;1383;10.8;1406;11.0;187;1.5;166;1.3;116;0.9;100;0.8;7197;56.2;401;3.1;1599;12.5;3143;24.5;467;3.6;6.6;514
7;1997;14640;11400;77.9;29199;16341;56.0;927;5.7;2471;15.1;678;4.1;721;4.4;411;2.5;153;0.9;359;2.2;1793;11.0;282;1.7;556;3.4;1310;8.0;1657;10.1;2001;12.2;1211;7.4;802;4.9;319;2.0;690;4.2;359;2.2;2070;12.7;;;377;2.3;4826;29.5;1355;8.3;5181;31.7;63;0.4;1393;8.5;472;2.9;245;1.5;368;2.3;14743;90.2;582;3.6;205;1.3;443;2.7;1.8;112;12858;44.0;1336;10.4;268;2.1;2636;20.5;1404;10.9;246;1.9;876;6.8;340;2.6;797;6.2;198;1.5;180;1.4;1606;12.5;616;4.8;376;2.9;70;0.5;194.0;1.5;186;1.4;39.0;0.3;158;1.2;207;1.6;141.0;1.1;984.0;7.7;;;530;;4878;;;;2158;16.8;1883;14.6;1216;9.5;1553;12.1;244;1.9;176;1.4;90;0.7;130;1.0;7194;55.9;499;3.9;1444;11.2;3300;25.7;421;3.3;7.1;550
8;1998;14742;11743;79.7;29609;16056;54.2;859;5.4;2239;13.9;624;3.9;521;3.2;443;2.8;240;1.5;412;2.6;2072;12.9;55;0.3;802;5.0;1136;7.1;1677;10.4;2021;12.6;1142;7.1;913;5.7;285;1.8;615;3.8;333;2.1;2036;12.7;;;353;2.2;5032;31.3;1152;7.2;5522;34.4;161;1.0;718;4.5;528;3.3;221;1.4;286;1.8;14531;90.5;681;4.2;184;1.1;374;2.3;1.9;120;13553;45.8;1498;11.1;244;1.8;2640;19.5;1532;11.3;277;2.0;969;7.1;356;2.6;719;5.3;199;1.5;188;1.4;1558;11.5;612;4.5;519;3.8;123;0.9;210.0;1.5;225;1.7;31.0;0.2;164;1.2;334;2.5;133.0;1.0;1022.0;7.5;;;614;;5277;;;;2116;15.6;2128;15.7;1280;9.4;1604;11.8;230;1.7;144;1.1;78;0.6;82;0.6;7381;54.5;455;3.4;1606;11.8;3765;27.8;346;2.6;7.8;572
9;1999;14861;11906;80.1;30506;16322;53.5;878;5.4;2610;16.0;511;3.1;567;3.5;457;2.8;170;1.0;467;2.9;1874;11.5;180;1.1;795;4.9;1219;7.5;1789;11.0;1723;10.6;1382;8.5;802;4.9;187;1.1;713;4.4;276;1.7;2093;12.8;;;369;2.3;5043;30.9;1188;7.3;5612;34.4;173;1.1;851;5.2;495;3.0;222;1.4;305;1.9;14931;91.5;609;3.7;167;1.0;310;1.9;2.0;121;14184;46.5;1506;10.6;253;1.8;2888;20.4;1600;11.3;270;1.9;1071;7.6;386;2.7;601;4.2;210;1.5;174;1.2;1838;13.0;603;4.3;593;4.2;179;1.3;203.0;1.4;198;1.4;79.0;0.6;168;1.2;220;1.6;139.0;1.0;1005.0;7.1;;;555;;5579;;;;2404;16.9;2036;14.4;1253;8.8;1719;12.1;245;1.7;151;1.1;123;0.9;119;0.8;7895;55.7;516;3.6;1652;11.6;3796;26.8;325;2.3;8.1;572
10;2000;14982;11894;79.4;30545;16649;54.5;931;5.6;2350;14.1;833;5.0;792;4.8;548;3.3;243;1.5;495;3.0;1718;10.3;182;1.1;694;4.2;1073;6.4;1671;10.0;1987;11.9;1456;8.7;719;4.3;221;1.3;737;4.4;253;1.5;2027;12.2;;;357;2.1;5471;32.9;1015;6.1;5836;35.1;46;0.3;1104;6.6;380;2.3;160;1.0;171;1.0;15345;92.2;689;4.1;142;0.9;302;1.8;2.1;127;13896;45.5;1426;10.3;240;1.7;2754;19.8;1454;10.5;287;2.1;963;6.9;328;2.4;611;4.4;216;1.6;136;1.0;1900;13.7;641;4.6;587;4.2;121;0.9;227.0;1.6;374;2.7;107.0;0.8;190;1.4;250;1.8;96.0;0.7;988.0;7.1;;;521;;5407;;;;2286;16.5;2096;15.1;1214;8.7;1834;13.2;232;1.7;106;0.8;107;0.8;93;0.7;7591;54.6;481;3.5;1366;9.8;4113;29.6;345;2.5;8.3;595
