ID;Geslacht;Leeftijd;SBI93;SocialeVerzekeringsdagen;Perioden;WerknemersTotaal_1;ZonderAndereInkomstenbron_2;MetAndereInkomstenbronTotaal_3;MetUitkeringTotaal_4;MetAOUitkering_5;MetWWUitkering_6;MetBijstandsuitkering_7;MetAndereUitkering_8;MetPensioen_9;MetArbeidAlsZelfstandige_10;WerknemersTotaal_11;ZonderAndereInkomstenbron_12;MetAndereInkomstenbronTotaal_13;MetUitkeringTotaal_14;MetAOUitkering_15;MetWWUitkering_16;MetBijstandsuitkering_17;MetAndereUitkering_18;MetPensioen_19;MetArbeidAlsZelfstandige_20
0;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;1999, vrijdag 24 september;6762.0;6072.0;690.0;463.6;223.0;48.9;50.1;175.6;78.3;170.6;21.6;22.2;16.4;14.4;16.4;11.4;5.2;15.0;14.7;22.6
1;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2000, vrijdag 29 september;6915.1;6221.7;693.4;449.7;235.0;37.4;44.7;168.4;87.6;180.4;22.5;23.0;17.8;15.2;16.9;12.2;5.6;15.7;14.8;25.7
2;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2001, vrijdag 28 september;7057.0;6346.6;710.5;452.9;249.3;31.2;39.5;171.6;104.6;181.1;24.2;24.7;19.3;16.7;18.1;12.9;6.1;17.2;16.1;27.5
3;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2002, vrijdag 27 september;7107.0;6391.0;716.0;450.4;257.3;37.2;38.3;161.3;119.6;175.5;24.9;25.5;19.7;17.2;18.5;13.5;6.0;18.2;16.8;27.9
4;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2003, vrijdag 26 september;7065.4;6343.5;721.8;440.9;244.5;45.8;35.1;161.1;140.7;172.6;25.6;26.2;20.2;17.7;18.8;13.7;6.1;19.1;18.6;27.9
5;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2004, vrijdag 24 september;6980.7;6284.2;696.5;428.1;228.4;53.4;33.2;158.6;144.2;155.5;26.0;26.8;19.5;17.4;18.5;12.4;5.8;19.3;17.7;26.9
6;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2005, vrijdag 30 september;7000.4;6279.6;720.8;423.4;207.1;56.9;34.8;175.4;167.4;165.5;26.4;27.1;20.1;17.4;18.0;13.0;5.5;19.8;19.7;27.4
7;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2006, vrijdag 29 september;7093.8;6328.2;765.6;443.0;185.2;50.3;36.0;216.6;170.1;188.6;27.7;28.5;21.3;18.1;18.4;13.8;5.7;20.5;20.5;29.6
8;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2007, vrijdag 28 september;7331.1;6556.5;774.6;429.8;194.1;40.8;32.3;209.0;;192.5;28.5;29.3;21.6;18.3;18.3;15.0;5.9;20.5;;29.3
9;Totaal mannen en vrouwen;0;0;Totaal SV-dagen;2008, vrijdag 26 september;7412.6;6663.1;749.6;382.7;177.3;32.4;29.1;176.6;208.9;195.5;29.4;30.2;22.4;18.8;18.5;15.6;6.1;21.4;21.6;30.0
