ID;Perioden;ObligatiesTotaal_1;StaatsleningenTotaal_2;VasteLooptijdTotaal_3;k_03Jaar_4;k_35Jaar_5;k_58Jaar_6;k_8JaarEnLanger_7;GewoneObligaties_8;AchtergesteldeObligaties_9
0;2000, mei;256;177;177;69;28;35;44;58;9
1;2000, juni;260;177;177;70;30;34;44;59;10
2;2000, juli;267;183;183;69;30;45;40;59;10
3;2000, augustus;267;183;183;68;30;45;40;60;10
4;2000, september;270;186;186;68;30;45;43;60;10
5;2000, oktober;265;180;180;64;29;43;43;60;10
6;2000, november;270;184;184;67;31;43;44;62;10
7;2000, december;272;184;184;65;31;43;44;64;10
8;2001, januari;277;178;178;69;36;29;44;64;10
9;2001, februari;268;177;177;68;36;29;44;65;10
10;2001, maart;266;175;175;63;36;29;47;66;10
11;2001, april;266;175;175;62;35;29;48;67;10
12;2001, mei;274;177;177;64;35;29;48;69;10
13;2001, juni;279;180;180;65;36;28;50;61;11
14;2001, juli;280;180;180;65;37;39;39;70;11
15;2001, augustus;284;182;182;66;37;40;39;71;11
16;2001, september;281;181;181;59;37;40;44;70;11
17;2001, oktober;288;186;186;70;29;41;46;71;11
18;2001, november;290;187;187;70;29;41;48;70;11
19;2001, december;287;186;186;70;29;40;47;70;11
20;2002, januari;285;184;184;69;28;40;46;69;12
21;2002, februari;270;169;169;53;43;24;48;69;12
22;2002, maart;267;167;167;65;30;24;48;68;12
23;2002, april;270;170;170;66;30;25;49;68;12
24;2002, mei;278;177;177;65;38;25;49;68;12
25;2002, juni;281;178;178;65;37;26;51;70;12
26;2002, juli;285;181;181;72;31;36;42;72;12
27;2002, augustus;289;183;183;73;31;37;43;73;12
28;2002, september;290;181;181;68;32;37;44;75;12
29;2002, oktober;292;183;183;68;32;36;46;75;12
30;2002, november;296;186;186;72;32;37;47;75;12
31;2002, december;300;190;190;72;32;37;48;75;13
32;2003, januari;304;193;193;85;18;38;51;76;13
33;2003, februari;298;184;184;73;20;38;52;78;13
34;2003, maart;300;186;186;73;21;38;55;78;13
35;2003, april;293;177;177;61;24;38;55;80;13
36;2003, mei;303;184;184;61;24;39;59;82;13
37;2003, juni;309;188;188;62;27;39;60;84;13
38;2003, juli;309;189;189;71;29;44;45;84;12
39;2003, augustus;308;189;189;71;29;44;45;83;12
40;2003, september;315;195;195;75;29;45;46;83;13
41;2003, oktober;314;194;194;74;29;46;45;84;12
42;2003, november;316;196;196;74;29;46;47;84;12
43;2003, december;318;198;198;74;29;47;48;84;13
