ID;Countries;Periods;Inflation_1;LongTermInterestRate_2;NetBorrowingLendingConsolidatedGover_3;GeneralGovernmentDebt_4;Unemployment_5;ImportsAndExportsRelatedToGDP_6;GoodsTradeWithNonEUCountries_7;Import_8;Export_9;Import_10;Export_11
0;Australia;1990;;13.18;-2.0;21.6;6.87;31.7;24.9;;;;
1;Australia;1991;;10.69;-4.7;22.9;9.52;32.5;25.3;;;;
2;Australia;1992;;9.22;-5.5;27.2;10.72;34.8;26.4;;;;
3;Australia;1993;;7.28;-4.9;30.3;10.82;35.9;27.8;;;;
4;Australia;1994;;8.89;-4.7;39.6;9.68;37.3;28.0;;;;
5;Australia;1995;;9.21;-3.9;41.3;8.44;37.9;29.5;;;;
6;Australia;1996;;8.21;-2.6;38.6;8.49;37.7;29.3;;;;
7;Australia;1997;0.3;6.95;-1.0;37.0;8.39;39.7;29.9;;;;
8;Australia;1998;0.9;5.49;0.8;32.0;7.67;38.8;31.5;;;;
9;Australia;1999;1.5;6.01;1.2;27.6;6.89;40.7;30.0;;;;
10;Australia;2000;4.5;6.31;1.4;25.0;6.24;43.8;33.5;;;;
11;Australia;2001;4.4;5.62;0.1;22.1;6.71;41.0;33.2;;;;
12;Australia;2002;3.0;5.84;1.3;20.1;6.33;39.7;32.4;;;;
13;Australia;2003;2.8;5.37;2.0;18.6;5.91;36.5;29.2;;;;
14;Australia;2004;2.3;5.59;1.8;16.8;5.37;38.6;29.4;;;;
15;Australia;2005;2.7;5.34;2.0;16.3;5.02;40.6;31.0;;;;
16;Australia;2006;3.5;5.59;2.3;15.6;4.76;40.7;32.7;1120.0;930.0;8.0;9.0
17;Australia;2007;2.3;5.99;1.8;14.5;4.36;41.6;31.9;1120.0;930.0;8.0;9.0
18;Australia;2008;4.4;5.82;-0.8;13.8;4.23;45.0;37.5;1120.0;930.0;8.0;9.0
19;Australia;2009;1.8;5.04;-4.5;19.4;5.56;39.9;33.0;1239.0;1200.0;8.0;9.0
20;Australia;2010;2.8;5.37;-4.7;23.5;5.21;47.8;39.2;1119.0;1060.0;8.0;9.0
21;Australia;2011;3.4;4.88;-3.9;26.6;5.07;53.3;41.1;1119.0;1060.0;8.0;9.0
22;Australia;2012;;;;;;;;1119.0;1060.0;8.0;9.0
23;Austria;1990;2.8;8.73;-2.5;;3.24;73.9;15.7;;;;
24;Austria;1991;3.1;8.55;-3.1;;3.48;72.4;15.2;;;;
25;Austria;1992;3.5;8.14;-2.0;;3.61;70.0;14.4;;;;
26;Austria;1993;3.2;6.71;-4.1;;4.25;65.5;13.7;;;;
