ID;Uitvalcategorie;RegioS;Perioden;TotaalMotorvoertuigen_1;Personenauto_2;TotaalBedrijfsmotorvoertuigen_3;Bestelauto_4;VrachtautoExclTrekkerVoorOplegger_5;TrekkerVoorOplegger_6;SpeciaalVoertuig_7;Bus_8;TotaalGewichtMotorvoertuigen_9;Personenauto_10;TotaalGewichtBedrijfsmotorvoertuigen_11;Bestelauto_12;VrachtautoExclTrekkerVoorOplegger_13;TrekkerVoorOplegger_14;SpeciaalVoertuig_15;Bus_16
0;Totaal uitval;Totaal Nederland;2000;461587.0;408802.0;52785.0;37309.0;6751.0;6567.0;1495.0;663.0;555109.0;382695.0;172413.0;50747.0;56002.0;46174.0;12860.0;6630.0
1;Totaal uitval;Totaal Nederland;2001;500700.0;438941.0;61759.0;43568.0;8183.0;7396.0;1824.0;788.0;624910.0;419055.0;205855.0;60739.0;68642.0;52268.0;16370.0;7836.0
2;Totaal uitval;Totaal Nederland;2002;484716.0;419728.0;64988.0;46930.0;8093.0;7258.0;2014.0;693.0;620513.0;403617.0;216895.0;67346.0;68416.0;51491.0;22426.0;7216.0
3;Totaal uitval;Totaal Nederland;2003;496952.0;431599.0;65353.0;47077.0;7629.0;7860.0;1913.0;874.0;640122.0;423644.0;216478.0;68376.0;64378.0;55883.0;18740.0;9101.0
4;Totaal uitval;Totaal Nederland;2004;549664.0;473576.0;76088.0;56852.0;7885.0;7952.0;2327.0;1072.0;722431.0;478235.0;244195.0;84471.0;67504.0;57107.0;23620.0;11493.0
5;Totaal uitval;Totaal Nederland;2005;536893.0;410520.0;126373.0;107303.0;6950.0;8479.0;2451.0;1190.0;738374.0;422057.0;316317.0;159332.0;60677.0;61119.0;22008.0;13181.0
6;Totaal uitval;Totaal Nederland;2006;509804.0;407097.0;102707.0;83072.0;6915.0;9191.0;2419.0;1110.0;709746.0;423528.0;286218.0;124064.0;60557.0;66767.0;22357.0;12473.0
7;Totaal uitval;Totaal Nederland;2007;498372.0;411674.0;86698.0;66515.0;6744.0;9887.0;2514.0;1038.0;704559.0;437224.0;267336.0;101270.0;59270.0;71913.0;23029.0;11854.0
8;Totaal uitval;Totaal Nederland;2008;488189.0;405026.0;83163.0;65121.0;6055.0;8912.0;2149.0;926.0;684170.0;433970.0;250200.0;100793.0;52796.0;64981.0;21086.0;10544.0
9;Totaal uitval;Totaal Nederland;2009;510192.0;429753.0;80439.0;60974.0;6482.0;10273.0;1871.0;839.0;713458.0;457713.0;255746.0;93654.0;59297.0;75349.0;17987.0;9459.0
10;Totaal uitval;Totaal Nederland;2010;516820.0;426470.0;90350.0;70576.0;7169.0;9193.0;2322.0;1090.0;750568.0;472697.0;277871.0;110725.0;64939.0;67789.0;22582.0;11835.0
11;Totaal uitval;Totaal Nederland;2011;612174.0;513672.0;98502.0;78862.0;6842.0;9323.0;2386.0;1089.0;883375.0;592326.0;291049.0;124484.0;62420.0;68551.0;23302.0;12292.0
12;Totaal uitval;Totaal Nederland;2012;650996.0;552590.0;98406.0;78490.0;6704.0;9800.0;2354.0;1058.0;946544.0;650046.0;296498.0;125213.0;61251.0;72947.0;24735.0;12352.0
13;Totaal uitval;Totaal Nederland;2013;593762.0;501349.0;92413.0;71380.0;6466.0;10556.0;2573.0;1438.0;891171.0;595935.0;295236.0;116028.0;59769.0;79257.0;25206.0;14976.0
14;Totaal uitval;Totaal Nederland;2014;543960.0;464031.0;79929.0;61537.0;5514.0;9422.0;2567.0;889.0;815989.0;557367.0;258622.0;100375.0;51174.0;70863.0;25754.0;10456.0
15;Totaal uitval;Totaal Nederland;2015;496822.0;430267.0;66555.0;48586.0;5076.0;9822.0;2056.0;1015.0;753399.0;518487.0;234912.0;81226.0;48083.0;74508.0;19532.0;11563.0
16;Totaal uitval;Totaal Nederland;2016;497019.0;427026.0;69993.0;52857.0;4889.0;9550.0;2158.0;539.0;746648.0;512314.0;234334.0;88784.0;46107.0;72859.0;20467.0;6116.0
