ID;Periods;TotalFruitCultivationArea_1;TotalAppleTrees_2;AppleTreesYoungPlantings_3;AppleTreesOldPlantings_4;TotalPearTrees_5;PearTreesYoungPlantings_6;PearTreesOldPlantings_7;TotalStoneFruitTrees_8;PlumTrees_9;BlackCherries_10;SourCherries_11;OtherStoneFruitTrees_12;TotalSmallFruitShrubs_13;Blueberries_14;Blackberries_15;Raspberries_16;RedCurrants_17;BlackCurrants_18;WineGrapes_19;OtherSmallFruitShrubs_20;NutTrees_21
0;1992;24268;16983;900;16083;5405;240;5165;1248;690;255;278;25;632;164;27;30;132;210;;69;
1;1993;24149;16607;735;15872;5592;255;5337;1218;674;249;271;24;732;190;31;35;153;243;;80;
2;1994;24072;16480;644;15836;5732;250;5482;1154;638;236;257;23;706;183;30;34;147;235;;77;
3;1995;23122;15298;627;14671;5885;256;5629;1188;643;237;288;20;751;174;25;38;148;322;;44;
4;1996;22907;15137;714;14423;5934;268;5666;1121;632;233;238;18;715;163;21;40;143;324;;24;
5;1997;22961;15191;831;14360;6026;277;5749;1008;536;198;259;15;736;160;21;39;140;352;;24;
6;1998;22431;14682;876;13806;5939;282;5657;1017;529;210;258;20;793;171;22;40;164;368;;28;
7;1999;22029;14191;948;13243;6020;287;5733;927;464;197;244;22;891;203;26;45;212;368;;37;
8;2000;20607;12839;949;11890;6019;296;5723;902;435;198;244;25;847;173;21;36;196;386;;35;
9;2001;19716;11718;728;10990;6097;317;5780;939;407;199;305;28;962;164;20;31;202;509;;36;
10;2002;19568;11177;609;10568;6329;373;5956;998;431;225;307;35;1064;182;21;32;244;541;;44;
11;2003;18773;10296;598;9698;6386;394;5992;984;382;243;326;33;1107;198;20;31;245;560;36.0;17;
12;2004;18717;10217;574;9643;6493;349;6144;893;308;234;321;30;1114;209;20;32;246;536;54.0;17;
13;2005;18567;9737;649;9088;6692;381;6311;937;297;272;338;30;1201;254;22;36;271;529;70.0;19;
14;2006;18655;9562;673;8889;6914;431;6483;896;260;290;316;30;1208;260;25;40;280;500;83.0;20;75.0
15;2007;19019;9380;619;8761;7296;480;6816;974;277;331;336;30;1300;280;30;45;290;530;105.0;20;69.0
16;2008;19405;9302;611;8691;7476;488;6987;993;262;352;350;30;1549;419;30;55;310;560;143.0;32;85.0
17;2009;19688;9129;378;8751;7800;436;7364;1017;281;372;335;30;1634;526;25;45;330;530;147.0;31;108.0
18;2010;19480;8681;549;8132;7995;595;7400;1031;267;357;353;53;1667;535;30;124;240;545;158.0;35;106.0
19;2011;19230;8266;291;7974;8203;317;7886;1006;257;382;326;41;1679;584;23;114;237;509;165.0;46;78.0
20;2012;18784;7948;224;7724;8169;272;7897;986;243;393;333;17;1609;586;26;112;220;464;160.0;41;72.0
21;2013;19062;7906;306;7600;8509;205;8304;991;241;396;338;16;1592;577;33;128;218;440;159.0;38;63.0
22;2014;19183;7849;438;7411;8603;172;8431;1035;247;438;337;14;1637;639;30;146;241;385;158.0;39;59.0
23;2015;19770;7600;259;7341;9234;346;8888;1113;259;508;327;19;1761;737;36;151;258;352;148.0;79;61.0
24;2016;19683;7335;261;7074;9434;383;9051;1090;253;529;290;19;1714;775;28;202;263;277;139.0;80;61.0
