ID;Countries;SITC;Periods;TotalImportValue_1;TotalExportValue_2
0;Total countries;75 Office machines and automatic data...;2015 January;3048.0;2884.0
1;Total countries;75 Office machines and automatic data...;2015 February;2713.0;2880.0
2;Total countries;75 Office machines and automatic data...;2015 March;3171.0;3143.0
3;Total countries;75 Office machines and automatic data...;2015 April;2846.0;3068.0
4;Total countries;75 Office machines and automatic data...;2015 May;2870.0;2810.0
5;Total countries;75 Office machines and automatic data...;2015 June;3044.0;3335.0
6;Total countries;75 Office machines and automatic data...;2015 July;2959.0;2995.0
7;Total countries;75 Office machines and automatic data...;2015 August;2847.0;2908.0
8;Total countries;75 Office machines and automatic data...;2015 September;2905.0;3344.0
9;Total countries;75 Office machines and automatic data...;2015 October;3232.0;3291.0
10;Total countries;75 Office machines and automatic data...;2015 November;3792.0;3631.0
11;Total countries;75 Office machines and automatic data...;2015 December;3730.0;3802.0
12;Total countries;75 Office machines and automatic data...;2015;37156.0;38092.0
13;Total countries;75 Office machines and automatic data...;2016 January;2908.0;2858.0
14;Total countries;75 Office machines and automatic data...;2016 February;2934.0;3023.0
15;Total countries;75 Office machines and automatic data...;2016 March;2969.0;3378.0
16;Total countries;75 Office machines and automatic data...;2016 April;2552.0;2620.0
17;Total countries;75 Office machines and automatic data...;2016 May;2685.0;2737.0
18;Total countries;75 Office machines and automatic data...;2016 June;2731.0;3114.0
19;Total countries;75 Office machines and automatic data...;2016 July;2587.0;2771.0
20;Total countries;75 Office machines and automatic data...;2016 August;2940.0;2990.0
21;Total countries;75 Office machines and automatic data...;2016 September;3000.0;3343.0
22;Total countries;75 Office machines and automatic data...;2016 October;3034.0;3268.0
23;Total countries;75 Office machines and automatic data...;2016 November;3754.0;3841.0
24;Total countries;75 Office machines and automatic data...;2016 December;3460.0;3780.0
25;Total countries;75 Office machines and automatic data...;2016;35555.0;37723.0
26;Total countries;75 Office machines and automatic data...;2017 January;2910.0;2957.0
27;Total countries;75 Office machines and automatic data...;2017 February;2634.0;2688.0
28;Total countries;75 Office machines and automatic data...;2017 March;3071.0;3281.0
29;Total countries;75 Office machines and automatic data...;2017 April;2656.0;2441.0
30;Total countries;75 Office machines and automatic data...;2017 May;2904.0;2781.0
31;Total countries;75 Office machines and automatic data...;2017 June;2906.0;3219.0
32;Total countries;75 Office machines and automatic data...;2017 July;2864.0;2767.0
33;Total countries;75 Office machines and automatic data...;2017 August;3137.0;2852.0
