ID;BedrijfstakkenBranchesSBI2008;Perioden;BeloningVanWerknemers_1;BeloningSeizoengecorrigeerd_2;Lonen_3;LonenSeizoengecorrigeerd_4;SocialePremiesTLVWerkgevers_5;SocialePremiesSeizoengecorrigeerd_6;Loonkosten_7;BeloningVanWerknemers_8;Lonen_9;Loonkosten_10;BeloningPerArbeidsjaar_11;LonenPerArbeidsjaar_12;LoonkostenPerArbeidsjaar_13;BeloningPerGewerktUur_14;LonenPerGewerktUur_15;LoonkostenPerGewerktUur_16;BeloningPerArbeidsjaar_17;LonenPerArbeidsjaar_18;LoonkostenPerArbeidsjaar_19;BeloningPerGewerktUur_20;LonenPerGewerktUur_21;LoonkostenPerGewerktUur_22;Arbeidsjaren_23;GewerkteUren_24;Arbeidsjaren_25;GewerkteUren_26;Totaal_27;Mannen_28;Vrouwen_29;Totaal_30;Mannen_31;Vrouwen_32
0;A-U Alle economische activiteiten;1995 1e kwartaal;38181.0;40038.0;31669.0;33598.0;6512.0;6440.0;38131.0;;;;7.8;6.5;7.8;17.4;14.5;17.4;;;;;;;4887;2190;;;6175;3616;2559;;;
1;A-U Alle economische activiteiten;1995 2e kwartaal;45912.0;40929.0;39242.0;34422.0;6670.0;6507.0;45818.0;;;;9.2;7.9;9.2;22.4;19.1;22.3;;;;;;;4990;2053;;;6317;3693;2624;;;
2;A-U Alle economische activiteiten;1995 3e kwartaal;39105.0;41548.0;32640.0;34893.0;6465.0;6656.0;39037.0;;;;7.7;6.5;7.7;20.7;17.3;20.7;;;;;;;5060;1889;;;6410;3742;2669;;;
3;A-U Alle economische activiteiten;1995 4e kwartaal;41502.0;42185.0;34904.0;35542.0;6598.0;6642.0;41392.0;;;;8.2;6.9;8.2;17.6;14.8;17.6;;;;;;;5048;2352;;;6389;3728;2661;;;
4;A-U Alle economische activiteiten;1995;164700.0;;138455.0;;26245.0;;164378.0;;;;33.0;27.7;32.9;19.4;16.3;19.4;;;;;;;4996;8483;;;6323;3695;2628;;;
5;A-U Alle economische activiteiten;1996 1e kwartaal;39949.0;41804.0;33138.0;35061.0;6811.0;6743.0;39734.0;4.6;4.6;4.2;8.0;6.6;8.0;17.7;14.7;17.6;2.3;2.3;1.9;1.6;1.6;1.2;4996;2254;2.2;3.0;6331;3712;2619;2.5;2.7;2.3
6;A-U Alle economische activiteiten;1996 2e kwartaal;47723.0;42535.0;40744.0;35727.0;6979.0;6808.0;47459.0;3.9;3.8;3.6;9.3;8.0;9.3;22.5;19.2;22.4;1.5;1.4;1.1;0.8;0.7;0.4;5110;2117;2.4;3.1;6492;3802;2690;2.8;2.9;2.5
7;A-U Alle economische activiteiten;1996 3e kwartaal;40532.0;43081.0;33809.0;36186.0;6723.0;6895.0;40303.0;3.7;3.6;3.3;7.8;6.5;7.8;20.8;17.4;20.7;1.3;1.3;1.0;0.7;0.6;0.3;5175;1945;2.3;3.0;6581;3848;2733;2.7;2.9;2.4
8;A-U Alle economische activiteiten;1996 4e kwartaal;42872.0;43656.0;36040.0;36757.0;6832.0;6899.0;42583.0;3.3;3.3;2.9;8.3;7.0;8.3;17.7;14.9;17.6;1.2;1.2;0.8;0.5;0.5;0.1;5151;2417;2.0;2.8;6540;3825;2715;2.4;2.6;2.0
9;A-U Alle economische activiteiten;1996;171076.0;;143731.0;;27345.0;;170079.0;3.9;3.8;3.5;33.5;28.1;33.3;19.6;16.5;19.5;1.6;1.5;1.2;0.9;0.8;0.5;5108;8733;2.2;3.0;6486;3797;2689;2.6;2.8;2.3
10;A-U Alle economische activiteiten;1997 1e kwartaal;42335.0;44144.0;35443.0;37342.0;6892.0;6802.0;41993.0;6.0;7.0;5.7;8.2;6.9;8.2;18.4;15.4;18.2;2.9;3.9;2.6;3.8;4.7;3.5;5144;2302;3.0;2.1;6512;3812;2701;2.9;2.7;3.1
11;A-U Alle economische activiteiten;1997 2e kwartaal;50245.0;44765.0;43241.0;37870.0;7004.0;6895.0;49846.0;5.3;6.1;5.0;9.5;8.2;9.5;22.4;19.3;22.2;2.1;2.9;1.9;-0.6;0.2;-0.8;5270;2242;3.1;5.9;6689;3907;2782;3.0;2.8;3.4
12;A-U Alle economische activiteiten;1997 3e kwartaal;42691.0;45404.0;35902.0;38506.0;6789.0;6899.0;42333.0;5.3;6.2;5.0;8.0;6.7;7.9;21.4;18.0;21.2;1.8;2.6;1.5;2.6;3.4;2.3;5354;1996;3.5;2.6;6807;3970;2837;3.4;3.2;3.8
13;A-U Alle economische activiteiten;1997 4e kwartaal;45342.0;46299.0;38403.0;39272.0;6939.0;7028.0;44916.0;5.8;6.6;5.5;8.5;7.2;8.4;18.8;15.9;18.6;2.2;3.0;1.9;6.0;6.8;5.7;5332;2412;3.5;-0.2;6764;3945;2819;3.4;3.1;3.9
14;A-U Alle economische activiteiten;1997;180613.0;;152989.0;;27624.0;;179088.0;5.6;6.4;5.3;34.2;29.0;34.0;20.2;17.1;20.0;2.2;3.1;2.0;3.0;3.8;2.7;5275;8952;3.3;2.5;6693;3909;2785;3.2;2.9;3.6
15;A-U Alle economische activiteiten;1998 1e kwartaal;45537.0;47297.0;36038.0;37828.0;9499.0;9468.0;45053.0;7.6;1.7;7.3;8.5;6.8;8.4;18.8;14.9;18.6;3.7;-2.0;3.4;2.4;-3.2;2.1;5338;2419;3.8;5.1;6771;3933;2838;4.0;3.2;5.1
16;A-U Alle economische activiteiten;1998 2e kwartaal;53719.0;47869.0;43746.0;38237.0;9973.0;9632.0;53178.0;6.9;1.2;6.7;9.8;8.0;9.7;23.7;19.3;23.4;2.9;-2.6;2.7;5.5;-0.1;5.3;5473;2271;3.9;1.3;6961;4038;2923;4.1;3.3;5.1
17;A-U Alle economische activiteiten;1998 3e kwartaal;45930.0;48852.0;36223.0;38946.0;9707.0;9906.0;45425.0;7.6;0.9;7.3;8.3;6.5;8.2;22.3;17.6;22.1;3.9;-2.6;3.6;4.3;-2.2;4.0;5545;2059;3.6;3.1;7061;4092;2969;3.7;3.1;4.6
18;A-U Alle economische activiteiten;1998 4e kwartaal;48522.0;49691.0;38589.0;39585.0;9933.0;10106.0;47958.0;7.0;0.5;6.8;8.8;7.0;8.7;19.5;15.5;19.3;3.4;-2.9;3.2;3.7;-2.7;3.4;5517;2490;3.5;3.2;7008;4063;2946;3.6;3.0;4.5
19;A-U Alle economische activiteiten;1998;193708.0;;154596.0;;39112.0;;191614.0;7.3;1.1;7.0;35.4;28.3;35.0;21.0;16.7;20.7;3.5;-2.5;3.2;3.9;-2.1;3.7;5468;9239;3.7;3.2;6950;4031;2919;3.8;3.1;4.8
20;A-U Alle economische activiteiten;1999 1e kwartaal;49030.0;50773.0;38675.0;40470.0;10355.0;10303.0;48523.0;7.7;7.3;7.7;8.9;7.0;8.8;19.8;15.6;19.6;4.2;3.9;4.2;5.2;4.9;5.3;5515;2475;3.3;2.3;7020;4044;2975;3.7;2.8;4.8
21;A-U Alle economische activiteiten;1999 2e kwartaal;57890.0;51626.0;47202.0;41239.0;10688.0;10387.0;57331.0;7.8;7.9;7.8;10.2;8.4;10.1;24.8;20.2;24.5;4.4;4.5;4.4;4.7;4.9;4.8;5651;2337;3.3;2.9;7207;4149;3058;3.5;2.7;4.6
22;A-U Alle economische activiteiten;1999 3e kwartaal;49422.0;52571.0;38865.0;41856.0;10557.0;10716.0;48869.0;7.6;7.3;7.6;8.7;6.8;8.6;23.5;18.5;23.2;4.4;4.1;4.4;5.2;4.9;5.2;5714;2105;3.0;2.3;7296;4195;3101;3.3;2.5;4.5
23;A-U Alle economische activiteiten;1999 4e kwartaal;52260.0;53631.0;41487.0;42663.0;10773.0;10968.0;51739.0;7.7;7.5;7.9;9.2;7.3;9.1;19.9;15.8;19.7;4.5;4.4;4.7;1.9;1.7;2.1;5684;2632;3.0;5.7;7242;4165;3077;3.3;2.5;4.5
24;A-U Alle economische activiteiten;1999;208602.0;;166229.0;;42373.0;;206462.0;7.7;7.5;7.7;37.0;29.5;36.6;21.8;17.4;21.6;4.4;4.2;4.5;4.2;4.0;4.3;5641;9549;3.2;3.4;7191;4139;3053;3.5;2.7;4.6
25;A-U Alle economische activiteiten;2000 1e kwartaal;53491.0;55329.0;41841.0;43735.0;11650.0;11595.0;52966.0;9.1;8.2;9.2;9.5;7.4;9.4;20.4;16.0;20.2;6.8;5.9;6.8;3.0;2.2;3.1;5636;2621;2.2;5.9;7199;4123;3076;2.6;1.9;3.4
26;A-U Alle economische activiteiten;2000 2e kwartaal;62696.0;55938.0;50639.0;44237.0;12057.0;11701.0;62122.0;8.3;7.3;8.4;10.9;8.8;10.8;25.9;20.9;25.6;5.9;4.9;6.0;4.4;3.4;4.4;5777;2425;2.2;3.8;7394;4229;3165;2.6;1.9;3.5
