ID;Betalingsplichtigen;Perioden;TotaalMilieuheffingen_1;AfvalstoffenheffingEnReinigingsrechten_2;GeluidsheffingBurgerluchtvaart_3;GrondwaterheffingEnNazorgheffing_4;RioolheffingEnRioolrechten_5;Waterverontreinigingsheffing_6;TotaalMilieubelastingen_7;TotaalBelastingenOpMilieugrondslag_8;Afvalstoffenbelasting_9;Brandstoffenbelasting_10;Energiebelasting_11;LeidingwaterEnGrondwaterbelasting_12;Verpakkingenbelasting_13;Vliegbelasting_14;TotaalBelastingenMBTMobiliteit_15;AccijnsOpBenzineEnOvMineraleOlien_16;BelastPersonenautoSEnMotorrijwielen_17;Motorrijtuigenbelasting_18;Mineralenheffingen_19;TotaalVerwijderingsbijdragen_20;Batterijen_21;ElektrischeApparaten_22;LandEnTuinbouwfolie_23;Papier_24;PersonenautoS_25
0;Totaal betalingsplichtigen;1987;1428;680;5.0;4.0;177.0;562.0;4828;0;;0;;;;;4828;2178;1197;1453.0;0.0;;;;;;
1;Totaal betalingsplichtigen;1988;1422;615;10.0;4.0;190.0;603.0;4908;82;;82;;;;;4815;2188;1097;1530.0;11.0;;;;;;
2;Totaal betalingsplichtigen;1989;1522;662;7.0;3.0;213.0;637.0;5030;163;;163;;;;;4850;2119;1098;1633.0;17.0;;;;;;
3;Totaal betalingsplichtigen;1990;1619;714;11.0;3.0;246.0;645.0;5824;277;;277;;;;;5530;2554;1206;1770.0;17.0;;;;;;
4;Totaal betalingsplichtigen;1991;1771;791;9.0;3.0;286.0;682.0;6168;413;;413;;;;;5738;2640;1284;1814.0;17.0;;;;;;
5;Totaal betalingsplichtigen;1992;1977;886;9.0;5.0;318.0;759.0;7170;644;;644;;;;;6509;3020;1556;1933.0;17.0;;;;;;
6;Totaal betalingsplichtigen;1993;2249;1058;5.0;5.0;359.0;822.0;8251;658;;658;;;;;7574;3829;1457;2288.0;19.0;;;;;;
7;Totaal betalingsplichtigen;1994;2305;1019;13.0;5.0;400.0;868.0;8716;594;;594;;;;;8104;4174;1661;2269.0;18.0;;;;;;
8;Totaal betalingsplichtigen;1995;2367;1010;24.0;6.0;457.0;870.0;9249;858;110.0;607;0.0;141.0;;;8374;4316;1813;2245.0;17.0;53.0;;;;;53.0
9;Totaal betalingsplichtigen;1996;2429;1048;9.0;6.0;467.0;899.0;10412;1318;91.0;657;424.0;146.0;;;9084;4386;1892;2806.0;1.0;68.0;8.0;;;;59.0
10;Totaal betalingsplichtigen;1997;2444;980;6.0;9.0;522.0;927.0;10869;1694;80.0;650;815.0;149.0;;;9159;4750;2061;2348.0;16.0;67.0;9.0;;;;58.0
11;Totaal betalingsplichtigen;1998;2496;985;6.0;9.0;565.0;931.0;11799;1714;80.0;659;823.0;152.0;;;10072;5056;2425;2591.0;13.0;47.0;6.0;;0.0;0.0;40.0
12;Totaal betalingsplichtigen;1999;2690;1103;7.0;24.0;594.0;962.0;13082;2294;99.0;633;1408.0;154.0;;;10773;5168;2840;2765.0;15.0;101.0;7.0;48.0;0.0;2.0;44.0
13;Totaal betalingsplichtigen;2000;2906;1183;36.0;34.0;650.0;1003.0;13973;2849;220.0;612;1775.0;242.0;;;11106;5290;2875;2941.0;18.0;117.0;7.0;69.0;0.0;0.0;42.0
14;Totaal betalingsplichtigen;2001;3102;1283;43.0;40.0;701.0;1035.0;14414;3352;191.0;607;2320.0;234.0;;;11051;5224;2939;2888.0;11.0;81.0;5.0;50.0;0.0;0.0;25.0
15;Totaal betalingsplichtigen;2002;3246;1324;38.0;59.0;746.0;1079.0;14342;2953;182.0;516;2003.0;252.0;;;11381;5737;2741;2903.0;8.0;69.0;5.0;39.0;0.0;0.0;24.0
16;Totaal betalingsplichtigen;2003;3409;1405;37.0;33.0;805.0;1129.0;14975;3081;121.0;538;2132.0;290.0;;;11892;5952;2874;3066.0;2.0;70.0;6.0;40.0;0.0;0.0;23.0
17;Totaal betalingsplichtigen;2004;3584;1513;33.0;34.0;831.0;1173.0;16063;3278;88.0;52;2848.0;290.0;;;12789;6458;3003;3328.0;-4.0;70.0;7.0;40.0;;0.0;24.0
18;Totaal betalingsplichtigen;2005;3722;1555;48.0;36.0;886.0;1197.0;17270;4128;124.0;6;3716.0;282.0;;;13141;6420;3148;3573.0;1.0;67.0;7.0;39.0;;0.0;21.0
19;Totaal betalingsplichtigen;2006;3954;1629;54.0;35.0;1014.0;1222.0;18677;4545;181.0;6;4070.0;288.0;;;14130;6818;3452;3860.0;2.0;80.0;7.0;52.0;;0.0;21.0
20;Totaal betalingsplichtigen;2007;4116;1694;55.0;35.0;1094.0;1238.0;18503;3789;170.0;1;3314.0;304.0;;;14718;6975;3647;4096.0;-4.0;62.0;6.0;49.0;;0.0;7.0
21;Totaal betalingsplichtigen;2008;4201;1707;56.0;20.0;1163.0;1255.0;19757;4785;112.0;14;4065.0;285.0;161.0;148.0;14970;7225;3236;4509.0;2.0;;;;;;
22;Totaal betalingsplichtigen;2009;4176;1758;51.0;24.0;1241.0;1102.0;19278;4872;46.0;0;4148.0;285.0;275.0;118.0;14405;7397;2145;4863.0;1.0;;;;;;
23;Totaal particuliere huishoudens;1987;946;468;;0.0;124.0;354.0;3202;0;;0;;;;;3202;1400;684;1118.0;;;;;;;
24;Totaal particuliere huishoudens;1988;1003;493;;0.0;133.0;377.0;3180;10;;10;;;;;3170;1397;604;1169.0;;;;;;;
25;Totaal particuliere huishoudens;1989;1076;532;;0.0;149.0;395.0;3177;17;;17;;;;;3160;1345;563;1252.0;;;;;;;
26;Totaal particuliere huishoudens;1990;1145;569;;0.0;172.0;404.0;3544;31;;31;;;;;3513;1572;621;1320.0;;;;;;;
27;Totaal particuliere huishoudens;1991;1244;617;;0.0;200.0;427.0;3643;50;;50;;;;;3593;1565;668;1360.0;;;;;;;
28;Totaal particuliere huishoudens;1992;1390;696;;0.0;222.0;472.0;4046;68;;68;;;;;3978;1782;817;1379.0;;;;;;;
29;Totaal particuliere huishoudens;1993;1557;784;;0.0;251.0;522.0;4776;76;;76;;;;;4700;2239;743;1718.0;;;;;;;
30;Totaal particuliere huishoudens;1994;1638;800;;0.0;280.0;558.0;5058;71;;71;;;;;4987;2464;846;1677.0;;;;;;;
31;Totaal particuliere huishoudens;1995;1649;782;;0.0;311.0;556.0;5218;157;2.0;65;0.0;90.0;;;5061;2545;833;1683.0;;;;;;;
32;Totaal particuliere huishoudens;1996;1763;810;;0.0;372.0;581.0;5864;307;0.0;69;142.0;96.0;;;5557;2589;819;2149.0;;;;;;;
33;Totaal particuliere huishoudens;1997;1807;807;;0.0;418.0;582.0;5876;457;0.0;78;280.0;99.0;;;5419;2750;857;1812.0;;;;;;;
34;Totaal particuliere huishoudens;1998;1853;789;;0.0;452.0;612.0;6439;458;0.0;79;280.0;99.0;;;5981;2947;1021;2013.0;;;;;;;
35;Totaal particuliere huishoudens;1999;1953;840;;0.0;475.0;638.0;7093;666;0.0;88;480.0;98.0;;;6427;3097;1191;2139.0;;;;;;;
36;Totaal particuliere huishoudens;2000;2076;886;;0.0;520.0;670.0;7746;1242;3.0;83;1006.0;150.0;;;6504;3053;1163;2288.0;;;;;;;
37;Totaal particuliere huishoudens;2001;2231;974;;0.0;561.0;696.0;8029;1846;3.0;89;1613.0;141.0;;;6183;2875;1069;2239.0;;;;;;;
38;Totaal particuliere huishoudens;2002;2343;1024;;0.0;597.0;722.0;8256;1656;3.0;83;1419.0;151.0;;;6600;3245;1105;2250.0;;;;;;;
39;Totaal particuliere huishoudens;2003;2513;1104;;0.0;644.0;765.0;8732;1861;2.0;94;1593.0;172.0;;;6871;3344;1143;2384.0;;;;;;;
40;Totaal particuliere huishoudens;2004;2673;1190;;0.0;678.0;805.0;9738;2210;2.0;0;2036.0;172.0;;;7528;3825;1112;2591.0;;;;;;;
41;Totaal particuliere huishoudens;2005;2777;1214;;0.0;731.0;832.0;10170;2420;1.0;0;2252.0;167.0;;;7750;3821;1143;2786.0;;;;;;;
42;Totaal particuliere huishoudens;2006;2940;1283;;0.0;816.0;841.0;10743;2495;3.0;0;2320.0;172.0;;;8248;3985;1232;3031.0;;;;;;;
43;Totaal particuliere huishoudens;2007;3083;1331;;0.0;883.0;869.0;10522;2089;3.0;0;1907.0;179.0;;;8433;3998;1230;3205.0;;;;;;;
44;Totaal particuliere huishoudens;2008;3160;1318;;0.0;954.0;888.0;11173;2497;1.0;0;2309.0;166.0;;21.0;8676;4007;1119;3550.0;;;;;;;
45;Totaal particuliere huishoudens;2009;3166;1388;;0.0;993.0;785.0;11289;2575;0.0;0;2391.0;167.0;;17.0;8714;4066;808;3840.0;;;;;;;
46;0000h Alle economische activiteiten;1987;475;205;5.0;4.0;53.0;208.0;1507;0;;0;;;;;1507;664;508;335.0;0.0;;;;;;
47;0000h Alle economische activiteiten;1988;412;115;10.0;4.0;57.0;226.0;1601;72;;72;;;;;1518;670;487;361.0;11.0;;;;;;
48;0000h Alle economische activiteiten;1989;438;122;7.0;3.0;64.0;242.0;1714;145;;145;;;;;1552;643;528;381.0;17.0;;;;;;
49;0000h Alle economische activiteiten;1990;466;137;11.0;3.0;74.0;241.0;2131;243;;243;;;;;1871;842;579;450.0;17.0;;;;;;
50;0000h Alle economische activiteiten;1991;516;163;9.0;3.0;86.0;255.0;2334;359;;359;;;;;1958;897;607;454.0;17.0;;;;;;
51;0000h Alle economische activiteiten;1992;575;178;9.0;5.0;96.0;287.0;2879;565;;565;;;;;2297;1018;725;554.0;17.0;;;;;;
52;0000h Alle economische activiteiten;1993;680;262;5.0;5.0;108.0;300.0;3227;576;;576;;;;;2632;1361;701;570.0;19.0;;;;;;
53;0000h Alle economische activiteiten;1994;655;207;13.0;5.0;120.0;310.0;3397;516;;516;;;;;2863;1470;801;592.0;18.0;;;;;;
54;0000h Alle economische activiteiten;1995;705;215;24.0;6.0;146.0;314.0;3757;693;108.0;535;0.0;50.0;;;3047;1520;965;562.0;17.0;;;;;;
55;0000h Alle economische activiteiten;1996;652;224;9.0;6.0;95.0;318.0;4276;1001;91.0;581;279.0;50.0;;;3265;1550;1058;657.0;1.0;;;;;;
56;0000h Alle economische activiteiten;1997;621;157;6.0;9.0;104.0;345.0;4681;1221;80.0;562;529.0;50.0;;;3444;1720;1188;536.0;16.0;;;;;;
57;0000h Alle economische activiteiten;1998;626;179;6.0;9.0;113.0;319.0;4989;1240;80.0;571;536.0;53.0;;;3736;1773;1385;578.0;13.0;;;;;;
