ID;Vervoersland;LandVanLaden;LandVanLossen;Perioden;VervoerdGewicht_1
0;België;België;België;2005;265086.0
1;België;België;België;2006;274141.0
2;België;België;België;2007;279190.0
3;België;België;België;2008;249624.0
4;België;België;België;2009;233589.0
5;België;België;België;2010;237049.0
6;België;België;België;2011;233721.0
7;België;België;België;2012;239135.0
8;België;België;Bulgarije;2005;1.0
9;België;België;Bulgarije;2006;0.0
10;België;België;Bulgarije;2007;0.0
11;België;België;Bulgarije;2008;0.0
12;België;België;Bulgarije;2009;0.0
13;België;België;Bulgarije;2010;0.0
14;België;België;Bulgarije;2011;0.0
15;België;België;Bulgarije;2012;2.0
16;België;België;Cyprus;2005;0.0
17;België;België;Cyprus;2006;0.0
18;België;België;Cyprus;2007;0.0
19;België;België;Cyprus;2008;0.0
20;België;België;Cyprus;2009;0.0
21;België;België;Cyprus;2010;0.0
22;België;België;Cyprus;2011;0.0
23;België;België;Cyprus;2012;0.0
24;België;België;Denemarken;2005;103.0
25;België;België;Denemarken;2006;89.0
26;België;België;Denemarken;2007;72.0
27;België;België;Denemarken;2008;60.0
28;België;België;Denemarken;2009;26.0
29;België;België;Denemarken;2010;33.0
30;België;België;Denemarken;2011;19.0
31;België;België;Denemarken;2012;17.0
32;België;België;Duitsland;2005;6458.0
33;België;België;Duitsland;2006;6404.0
34;België;België;Duitsland;2007;6221.0
35;België;België;Duitsland;2008;5365.0
36;België;België;Duitsland;2009;4608.0
37;België;België;Duitsland;2010;4501.0
38;België;België;Duitsland;2011;4443.0
39;België;België;Duitsland;2012;4479.0
40;België;België;Estland;2005;0.0
41;België;België;Estland;2006;0.0
42;België;België;Estland;2007;0.0
43;België;België;Estland;2008;0.0
44;België;België;Estland;2009;0.0
45;België;België;Estland;2010;0.0
46;België;België;Estland;2011;0.0
47;België;België;Estland;2012;2.0
48;België;België;Finland;2005;1.0
49;België;België;Finland;2006;0.0
50;België;België;Finland;2007;0.0
51;België;België;Finland;2008;0.0
52;België;België;Finland;2009;0.0
53;België;België;Finland;2010;0.0
54;België;België;Finland;2011;2.0
55;België;België;Finland;2012;0.0
56;België;België;Frankrijk;2005;17815.0
57;België;België;Frankrijk;2006;19177.0
58;België;België;Frankrijk;2007;19891.0
59;België;België;Frankrijk;2008;18056.0
60;België;België;Frankrijk;2009;17203.0
61;België;België;Frankrijk;2010;15548.0
62;België;België;Frankrijk;2011;14459.0
63;België;België;Frankrijk;2012;13460.0
64;België;België;Griekenland;2005;11.0
65;België;België;Griekenland;2006;15.0
66;België;België;Griekenland;2007;7.0
67;België;België;Griekenland;2008;1.0
68;België;België;Griekenland;2009;1.0
69;België;België;Griekenland;2010;1.0
70;België;België;Griekenland;2011;0.0
71;België;België;Griekenland;2012;2.0
72;België;België;Hongarije;2005;8.0
73;België;België;Hongarije;2006;11.0
74;België;België;Hongarije;2007;13.0
75;België;België;Hongarije;2008;6.0
76;België;België;Hongarije;2009;1.0
77;België;België;Hongarije;2010;5.0
78;België;België;Hongarije;2011;0.0
79;België;België;Hongarije;2012;0.0
80;België;België;Ierland;2005;6.0
81;België;België;Ierland;2006;6.0
82;België;België;Ierland;2007;2.0
83;België;België;Ierland;2008;6.0
84;België;België;Ierland;2009;7.0
85;België;België;Ierland;2010;7.0
86;België;België;Ierland;2011;19.0
87;België;België;Ierland;2012;6.0
88;België;België;Italië;2005;668.0
89;België;België;Italië;2006;489.0
90;België;België;Italië;2007;362.0
91;België;België;Italië;2008;381.0
92;België;België;Italië;2009;295.0
93;België;België;Italië;2010;349.0
94;België;België;Italië;2011;252.0
95;België;België;Italië;2012;154.0
96;België;België;Letland;2005;0.0
97;België;België;Letland;2006;0.0
98;België;België;Letland;2007;0.0
99;België;België;Letland;2008;0.0
100;België;België;Letland;2009;0.0
101;België;België;Letland;2010;0.0
102;België;België;Letland;2011;0.0
103;België;België;Letland;2012;1.0
104;België;België;Litouwen;2005;0.0
105;België;België;Litouwen;2006;0.0
106;België;België;Litouwen;2007;0.0
107;België;België;Litouwen;2008;1.0
108;België;België;Litouwen;2009;0.0
109;België;België;Litouwen;2010;0.0
110;België;België;Litouwen;2011;0.0
111;België;België;Litouwen;2012;0.0
112;België;België;Luxemburg;2005;1241.0
113;België;België;Luxemburg;2006;1289.0
114;België;België;Luxemburg;2007;880.0
115;België;België;Luxemburg;2008;1046.0
116;België;België;Luxemburg;2009;911.0
117;België;België;Luxemburg;2010;1031.0
118;België;België;Luxemburg;2011;1036.0
119;België;België;Luxemburg;2012;809.0
120;België;België;Malta;2005;0.0
121;België;België;Malta;2006;0.0
122;België;België;Malta;2007;0.0
123;België;België;Malta;2008;0.0
124;België;België;Malta;2009;0.0
125;België;België;Malta;2010;0.0
126;België;België;Malta;2011;0.0
127;België;België;Malta;2012;0.0
128;België;België;Nederland;2005;7139.0
129;België;België;Nederland;2006;7775.0
130;België;België;Nederland;2007;7645.0
131;België;België;Nederland;2008;7541.0
132;België;België;Nederland;2009;7639.0
133;België;België;Nederland;2010;6410.0
134;België;België;Nederland;2011;6245.0
135;België;België;Nederland;2012;6407.0
136;België;België;Oostenrijk;2005;54.0
137;België;België;Oostenrijk;2006;50.0
138;België;België;Oostenrijk;2007;59.0
139;België;België;Oostenrijk;2008;19.0
140;België;België;Oostenrijk;2009;30.0
141;België;België;Oostenrijk;2010;17.0
