ID;Stratum;Weidevogelsoort;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
0;1;10171;1990;100;.                             ;.                             
1;1;10171;1991;67;.                             ;.                             
2;1;10171;1992;72;.                             ;.                             
3;1;10171;1993;66;.                             ;.                             
4;1;10171;1994;70;.                             ;.                             
5;1;10171;1995;82;.                             ;.                             
6;1;10171;1996;96;.                             ;.                             
7;1;10171;1997;90;.                             ;.                             
8;1;10171;1998;99;.                             ;.                             
9;1;10171;1999;88;.                             ;.                             
10;1;10171;2000;97;.                             ;.                             
11;1;10171;2001;79;.                             ;.                             
12;1;10171;2002;67;.                             ;.                             
13;1;10171;2003;60;.                             ;.                             
14;1;10171;2004;78;.                             ;.                             
15;1;10171;2005;53;Matige afname                 ;Matige afname                 
16;1;10110;1990;100;.                             ;.                             
17;1;10110;1991;78;.                             ;.                             
18;1;10110;1992;87;.                             ;.                             
19;1;10110;1993;86;.                             ;.                             
20;1;10110;1994;83;.                             ;.                             
21;1;10110;1995;85;.                             ;.                             
22;1;10110;1996;77;.                             ;.                             
23;1;10110;1997;69;.                             ;.                             
24;1;10110;1998;82;.                             ;.                             
25;1;10110;1999;81;.                             ;.                             
26;1;10110;2000;84;.                             ;.                             
27;1;10110;2001;81;.                             ;.                             
28;1;10110;2002;78;.                             ;.                             
29;1;10110;2003;73;.                             ;.                             
30;1;10110;2004;77;.                             ;.                             
31;1;10110;2005;82;Matige afname                 ;Stabiel                       
32;1;5320;1990;100;.                             ;.                             
33;1;5320;1991;97;.                             ;.                             
34;1;5320;1992;85;.                             ;.                             
35;1;5320;1993;89;.                             ;.                             
36;1;5320;1994;101;.                             ;.                             
37;1;5320;1995;89;.                             ;.                             
38;1;5320;1996;85;.                             ;.                             
39;1;5320;1997;86;.                             ;.                             
40;1;5320;1998;81;.                             ;.                             
41;1;5320;1999;81;.                             ;.                             
42;1;5320;2000;81;.                             ;.                             
43;1;5320;2001;78;.                             ;.                             
44;1;5320;2002;74;.                             ;.                             
45;1;5320;2003;69;.                             ;.                             
46;1;5320;2004;70;.                             ;.                             
47;1;5320;2005;60;Matige afname                 ;Matige afname                 
48;1;4930;1990;100;.                             ;.                             
49;1;4930;1991;97;.                             ;.                             
50;1;4930;1992;87;.                             ;.                             
51;1;4930;1993;98;.                             ;.                             
52;1;4930;1994;102;.                             ;.                             
53;1;4930;1995;101;.                             ;.                             
54;1;4930;1996;110;.                             ;.                             
55;1;4930;1997;103;.                             ;.                             
