ID;Geslacht;Leeftijd;Perioden;TotaalPrivebezittingen_1;EigenWoning_2;TotaalFinancieel_3;BankEnSpaartegoeden_4;Effecten_5;Hypotheekschuld_6;Privevermogen_7;Ondernemingsvermogen_8;NagelatenVermogen_9;TotaalPrivebezittingen_10;EigenWoning_11;TotaalFinancieel_12;BankEnSpaartegoeden_13;Effecten_14;Hypotheekschuld_15;Privevermogen_16;Ondernemingsvermogen_17;NagelatenVermogen_18;TotaalPrivebezittingen_19;EigenWoning_20;TotaalFinancieel_21;BankEnSpaartegoeden_22;Effecten_23;Hypotheekschuld_24;Privevermogen_25;Ondernemingsvermogen_26;NagelatenVermogen_27;TotaalPrivebezittingen_28;EigenWoning_29;TotaalFinancieel_30;BankEnSpaartegoeden_31;Effecten_32;Hypotheekschuld_33;Privevermogen_34;Ondernemingsvermogen_35;NagelatenVermogen_36
0;Mannen en vrouwen;Totaal leeftijd;2005;104120;28830;102880;102390;15710;16380;104160;2630;104280;10344;5154;5190;3298;1892.0;913;9431;821.0;10252;99;179;50;32;120.0;56;91;312.0;98;20;145;12;11;24.0;35;19;60.0;20
1;Mannen en vrouwen;Totaal leeftijd;2006;108310;30910;107170;106740;16480;17670;108320;2720;108430;11449;5728;5721;3637;2083.0;1048;10400;945.0;11345;106;185;53;34;126.0;59;96;348.0;105;23;150;13;12;26.0;39;22;66.0;22
2;Mannen en vrouwen;Totaal leeftijd;2007;106100;31880;104860;104480;15830;18220;106160;2810;106290;12130;6140;5990;3865;2125.0;1196;10934;955.0;11889;114;193;57;37;134.0;66;103;340.0;112;25;155;16;14;28.0;42;23;65.0;23
3;Mannen en vrouwen;Totaal leeftijd;2008;110860;33250;109550;109210;15450;19000;110910;2860;111020;12684;6492;6192;4304;1888.0;1318;11366;1169.0;12535;114;195;57;39;122.0;69;102;409.0;113;26;158;16;15;26.0;45;24;67.0;24
4;Mannen en vrouwen;Totaal leeftijd;2009;110140;34260;108800;108520;15080;19720;110190;2790;110310;12622;6559;6063;4367;1696.0;1382;11240;799.0;12039;115;191;56;40;112.0;70;102;286.0;109;29;156;17;15;24.0;47;25;58.0;26
5;Mannen en vrouwen;Totaal leeftijd;2010;116250;36640;114690;114210;16600;20070;116290;3040;116420;14313;7634;6678;4693;1985.0;1482;12831;1189.0;14020;123;208;58;41;120.0;74;110;392.0;120;28;168;17;15;25.0;48;25;50.0;26
6;Mannen en vrouwen;Totaal leeftijd;2011;117610;37040;116090;115720;16530;19800;117630;2700;117760;14178;7433;6745;4685;2060.0;1476;12702;1195.0;13897;121;201;58;40;125.0;75;108;442.0;118;26;164;16;15;24.0;49;24;33.0;24
7;Mannen en vrouwen;jonger dan 35 jaar;2005;1130;230;1100;1080;110;230;1130;40;1130;42;31;11;9;2.0;28;14;;15;37;135;10;9;15.0;122;13;;13;4;119;3;3;4.0;98;3;;3
8;Mannen en vrouwen;jonger dan 35 jaar;2006;1090;220;1060;1050;120;220;1090;40;1090;42;32;10;8;2.0;27;15;;17;39;144;10;8;14.0;123;14;;16;4;126;3;3;5.0;106;3;;3
9;Mannen en vrouwen;jonger dan 35 jaar;2007;1070;230;1040;1030;100;220;1070;40;1070;47;35;12;9;3.0;30;17;;21;44;154;12;9;32.0;137;16;;20;5;127;3;3;5.0;115;4;;4
10;Mannen en vrouwen;jonger dan 35 jaar;2008;1040;200;1010;1000;90;190;1040;30;1040;41;33;8;8;1.0;25;16;;17;39;166;8;8;9.0;132;15;;17;5;142;3;3;3.0;124;4;;4
11;Mannen en vrouwen;jonger dan 35 jaar;2009;1030;200;1000;990;70;190;1030;30;1030;36;27;9;8;0.0;24;12;;13;35;139;9;8;7.0;127;12;;12;5;130;3;3;3.0;115;3;;3
12;Mannen en vrouwen;jonger dan 35 jaar;2010;1210;190;1190;1180;70;180;1210;30;1210;38;28;10;9;1.0;24;14;;14;31;144;8;8;13.0;135;11;;12;3;125;2;2;3.0;118;2;;2
13;Mannen en vrouwen;jonger dan 35 jaar;2011;1200;190;1180;1170;50;180;1200;40;1210;35;26;9;8;;24;11;;12;29;141;7;7;;135;9;;10;3;124;2;2;;122;2;;2
14;Mannen en vrouwen;35 tot 50 jaar;2005;3570;1880;3440;3380;660;1790;3580;330;3600;361;291;71;50;20.0;158;204;44.0;248;101;155;21;15;31.0;88;57;133.0;69;78;128;5;4;9.0;66;22;18.0;23
15;Mannen en vrouwen;35 tot 50 jaar;2006;3510;1870;3350;3300;610;1730;3510;340;3530;363;293;70;52;18.0;153;210;69.0;279;103;157;21;16;30.0;88;60;203.0;79;84;133;5;5;9.0;70;25;25.0;26
16;Mannen en vrouwen;35 tot 50 jaar;2007;3340;1780;3180;3130;580;1670;3340;340;3370;397;301;96;57;39.0;175;222;85.0;307;119;170;30;18;67.0;105;66;250.0;91;87;140;5;5;9.0;81;22;17.0;23
17;Mannen en vrouwen;35 tot 50 jaar;2008;3530;1840;3350;3310;540;1750;3540;310;3560;383;308;75;60;15.0;192;190;43.0;234;108;167;22;18;28.0;110;54;137.0;66;86;145;5;5;8.0;84;22;21.0;23
18;Mannen en vrouwen;35 tot 50 jaar;2009;3420;1840;3210;3180;510;1710;3420;300;3450;393;314;79;61;18.0;202;192;46.0;238;115;171;25;19;36.0;118;56;154.0;69;92;146;5;5;6.0;91;21;17.0;21
19;Mannen en vrouwen;35 tot 50 jaar;2010;3630;1700;3460;3420;580;1550;3640;370;3670;393;300;93;63;30.0;185;208;56.0;264;108;176;27;19;51.0;119;57;150.0;72;51;148;5;4;6.0;90;13;11.0;14
20;Mannen en vrouwen;35 tot 50 jaar;2011;3790;1660;3640;3620;560;1520;3790;320;3810;376;285;91;58;33.0;188;188;30.0;217;99;172;25;16;59.0;124;50;94.0;57;29;148;4;3;7.0;97;8;11.0;9
21;Mannen en vrouwen;50 tot 65 jaar;2005;12760;6790;12370;12230;2720;5670;12780;1040;12830;1568;1107;461;282;179.0;362;1206;331.0;1538;123;163;37;23;66.0;64;94;319.0;120;86;133;8;7;11.0;43;48;54.0;49
22;Mannen en vrouwen;50 tot 65 jaar;2006;13440;7290;13060;12960;2630;6110;13450;1150;13510;1666;1215;451;302;149.0;414;1252;291.0;1543;124;167;34;23;57.0;68;93;254.0;114;92;138;9;8;12.0;46;49;49.0;51
23;Mannen en vrouwen;50 tot 65 jaar;2007;13390;7410;12950;12860;2660;6200;13400;1160;13460;1844;1294;551;350;201.0;478;1366;353.0;1720;138;175;43;27;75.0;77;102;305.0;128;100;143;10;8;14.0;51;53;47.0;55
24;Mannen en vrouwen;50 tot 65 jaar;2008;14140;7630;13690;13600;2490;6410;14160;1180;14200;1899;1349;549;367;182.0;527;1372;324.0;1696;134;177;40;27;73.0;82;97;275.0;119;97;147;9;8;12.0;54;49;38.0;51
25;Mannen en vrouwen;50 tot 65 jaar;2009;14330;7660;13910;13810;2390;6520;14350;1090;14390;1883;1336;547;377;171.0;533;1350;205.0;1555;131;174;39;27;71.0;82;94;188.0;108;96;145;9;8;10.0;60;44;39.0;47
26;Mannen en vrouwen;50 tot 65 jaar;2010;15330;7840;14830;14740;2620;6290;15350;1240;15400;2086;1498;588;408;180.0;545;1542;443.0;1984;136;191;40;28;69.0;87;100;358.0;129;87;154;9;7;11.0;60;40;37.0;42
27;Mannen en vrouwen;50 tot 65 jaar;2011;15290;7240;14850;14780;2520;5840;15300;1110;15350;1909;1312;597;377;220.0;527;1382;213.0;1595;125;181;40;25;88.0;90;90;193.0;104;62;151;7;6;11.0;63;25;23.0;26
28;Mannen en vrouwen;65 tot 85 jaar;2005;55500;16240;54940;54730;8430;7840;55520;1060;55550;5642;2916;2726;1757;969.0;330;5312;348.0;5659;102;179;50;32;115.0;42;96;327.0;102;21;146;11;11;24.0;27;20;90.0;20
29;Mannen en vrouwen;65 tot 85 jaar;2006;56560;17350;56110;55930;8880;8630;56570;1030;56590;6119;3231;2888;1876;1012.0;410;5709;459.0;6168;108;186;51;34;114.0;48;101;448.0;109;23;150;13;11;26.0;29;23;100.0;23
30;Mannen en vrouwen;65 tot 85 jaar;2007;54870;17850;54360;54210;8380;8990;54900;1110;54940;6424;3409;3015;1975;1040.0;453;5971;430.0;6402;117;191;55;36;124.0;50;109;389.0;117;27;155;16;14;28.0;32;26;101.0;26
31;Mannen en vrouwen;65 tot 85 jaar;2008;55950;18530;55440;55300;7990;9430;55970;1130;56000;6659;3591;3068;2132;936.0;506;6153;684.0;6837;119;194;55;39;117.0;54;110;605.0;122;30;158;16;14;26.0;34;28;125.0;29
32;Mannen en vrouwen;65 tot 85 jaar;2009;54920;19110;54380;54280;7770;9830;54940;1150;54970;6557;3629;2928;2112;816.0;541;6017;372.0;6389;119;190;54;39;105.0;55;110;323.0;116;33;156;16;15;24.0;36;30;84.0;31
33;Mannen en vrouwen;65 tot 85 jaar;2010;57080;20340;56420;56200;8390;10330;57100;1170;57130;7295;4150;3144;2191;954.0;618;6676;529.0;7205;128;204;56;39;114.0;60;117;454.0;126;32;166;16;15;25.0;39;30;84.0;31
34;Mannen en vrouwen;65 tot 85 jaar;2011;57400;20940;56670;56510;8420;10480;57420;1040;57450;7218;4113;3105;2181;924.0;637;6580;833.0;7413;126;196;55;39;110.0;61;115;798.0;129;31;161;15;14;24.0;39;28;67.0;28
35;Mannen en vrouwen;85 jaar of ouder;2005;31160;3690;31040;30960;3810;850;31160;160;31170;2731;810;1921;1199;722.0;36;2695;97.0;2792;88;220;62;39;190.0;42;86;606.0;90;17;178;15;14;49.0;23;17;114.0;17
36;Mannen en vrouwen;85 jaar of ouder;2006;33700;4180;33580;33510;4230;970;33700;170;33710;3258;956;2302;1399;903.0;44;3214;124.0;3338;97;229;69;42;213.0;46;95;754.0;99;19;183;17;16;53.0;26;19;192.0;19
37;Mannen en vrouwen;85 jaar of ouder;2007;33440;4630;33330;33260;4110;1150;33440;170;33450;3417;1101;2316;1474;842.0;60;3358;82.0;3439;102;238;70;44;205.0;52;100;496.0;103;22;188;19;18;53.0;27;21;113.0;22
38;Mannen en vrouwen;85 jaar of ouder;2008;36200;5050;36060;36000;4340;1230;36200;200;36210;3703;1210;2492;1737;755.0;68;3635;117.0;3751;102;240;69;48;174.0;55;100;575.0;104;22;190;20;19;50.0;29;22;161.0;22
39;Mannen en vrouwen;85 jaar of ouder;2009;36450;5450;36310;36250;4360;1480;36460;210;36460;3752;1253;2499;1809;690.0;84;3668;175.0;3844;103;230;69;50;159.0;57;101;824.0;105;24;185;21;20;45.0;32;24;176.0;24
40;Mannen en vrouwen;85 jaar of ouder;2010;39000;6570;38800;38680;4940;1720;39000;230;39010;4501;1658;2843;2022;821.0;110;4391;161.0;4553;115;253;73;52;166.0;64;113;696.0;117;24;203;22;21;47.0;33;24;141.0;24
41;Mannen en vrouwen;85 jaar of ouder;2011;39930;7020;39750;39650;4980;1780;39930;190;39930;4640;1697;2943;2061;882.0;99;4541;118.0;4658;116;242;74;52;177.0;56;114;616.0;117;24;197;22;21;45.0;33;24;121.0;24
42;Mannen;Totaal leeftijd;2005;53100;17970;52390;52100;8990;10750;53130;1860;53210;5575;3060;2515;1584;931.0;602;4973;615.0;5589;105;170;48;30;104.0;56;94;332.0;105;23;137;11;11;19.0;35;22;57.0;22
43;Mannen;Totaal leeftijd;2006;54490;19180;53780;53540;9370;11420;54500;1840;54580;6139;3376;2762;1718;1044.0;672;5466;630.0;6096;113;176;51;32;111.0;59;100;342.0;112;28;141;11;11;22.0;38;24;60.0;25
