ID;LeeftijdExactVanDeVrouw;Perioden;TotaalVrouwen_1;PilOfPrikpil_2;SterilisatieVrouw_3;SterilisatiePartner_4;Spiraaltje_5;Condoom_6;OverigeAnticonceptiemethoden_7;ZwangerOfWilZwangerWorden_8;VruchtbaarGeenAnticonceptie_9;Onvruchtbaar_10;TotaalVrouwenMetEenHeterorelatie_11;PilOfPrikpil_12;SterilisatieVrouw_13;SterilisatiePartner_14;Spiraaltje_15;Condoom_16;OverigeAnticonceptiemethoden_17;ZwangerOfWilZwangerWorden_18;VruchtbaarGeenAnticonceptie_19;Onvruchtbaar_20;TotaalVrouwenZonderHeterorelatie_21;PilOfPrikpil_22;SterilisatieVrouw_23;Spiraaltje_24;Condoom_25;OverigeAnticonceptiemethoden_26;ZwangerOfWilZwangerWorden_27;VruchtbaarGeenAnticonceptie_28;Onvruchtbaar_29
0;Totaal leeftijden;1993;4512.0;47.0;4.0;9.0;3.0;8.0;3.0;9.0;12.0;5.0;3675.0;49.0;5.0;11.0;4.0;8.0;3.0;11.0;5.0;5.0;839.0;40.0;3.0;1.0;8.0;3.0;0.0;43.0;3.0
1;Totaal leeftijden;1998;4932.0;43.0;7.0;8.0;2.0;6.0;1.0;7.0;17.0;9.0;3921.0;47.0;7.0;10.0;3.0;7.0;1.0;8.0;8.0;9.0;1011.0;29.0;4.0;1.0;3.0;1.0;1.0;52.0;9.0
2;Totaal leeftijden;2003;2436.0;41.0;3.0;7.0;5.0;8.0;2.0;9.0;17.0;7.0;1888.0;45.0;4.0;10.0;5.0;9.0;2.0;11.0;8.0;7.0;547.0;34.0;2.0;3.0;2.0;2.0;0.0;50.0;7.0
3;Totaal leeftijden;2008;2211.0;40.0;3.0;7.0;8.0;9.0;2.0;7.0;15.0;9.0;1672.0;41.0;3.0;10.0;9.0;9.0;3.0;9.0;9.0;9.0;536.0;38.0;1.0;5.0;6.0;1.0;0.0;41.0;8.0
4;Totaal leeftijden;2013;2369.0;37.0;3.0;5.0;12.0;9.0;2.0;8.0;15.0;9.0;1788.0;36.0;3.0;6.0;15.0;10.0;3.0;10.0;9.0;8.0;577.0;39.0;2.0;5.0;8.0;1.0;1.0;33.0;10.0
5;18 tot 20 jaar;1993;263.0;66.0;0.0;0.0;1.0;4.0;1.0;0.0;29.0;0.0;138.0;88.0;0.0;0.0;0.0;4.0;0.0;1.0;7.0;0.0;125.0;41.0;0.0;2.0;3.0;2.0;0.0;53.0;0.0
6;18 tot 20 jaar;1998;218.0;65.0;0.0;0.0;0.0;3.0;0.0;0.0;32.0;0.0;105.0;91.0;0.0;0.0;0.0;1.0;0.0;0.0;8.0;0.0;113.0;41.0;0.0;0.0;5.0;0.0;0.0;55.0;0.0
7;18 tot 20 jaar;2003;140.0;57.0;0.0;0.0;0.0;4.0;1.0;2.0;35.0;0.0;71.0;79.0;0.0;0.0;0.0;7.0;1.0;4.0;7.0;0.0;69.0;35.0;0.0;0.0;0.0;1.0;0.0;64.0;0.0
8;18 tot 20 jaar;2008;122.0;66.0;0.0;0.0;2.0;5.0;1.0;0.0;25.0;1.0;51.0;92.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;71.0;48.0;0.0;1.0;9.0;1.0;0.0;39.0;1.0
9;18 tot 20 jaar;2013;129.0;66.0;0.0;0.0;6.0;6.0;1.0;0.0;21.0;1.0;54.0;81.0;0.0;0.0;11.0;0.0;2.0;0.0;6.0;0.0;74.0;55.0;0.0;1.0;8.0;0.0;0.0;34.0;0.0
10;20 tot 25 jaar;1993;913.0;71.0;0.0;0.0;1.0;6.0;3.0;6.0;12.0;1.0;662.0;78.0;0.0;0.0;1.0;5.0;2.0;9.0;4.0;1.0;251.0;51.0;0.0;0.0;8.0;4.0;0.0;36.0;0.0
11;20 tot 25 jaar;1998;646.0;71.0;0.0;0.0;0.0;4.0;1.0;5.0;19.0;0.0;441.0;84.0;0.0;0.0;0.0;4.0;1.0;7.0;3.0;0.0;206.0;41.0;0.0;0.0;4.0;1.0;0.0;53.0;0.0
12;20 tot 25 jaar;2003;394.0;67.0;0.0;0.0;3.0;6.0;1.0;3.0;20.0;0.0;255.0;78.0;0.0;0.0;4.0;8.0;0.0;4.0;7.0;0.0;138.0;47.0;0.0;0.0;4.0;3.0;0.0;45.0;0.0
13;20 tot 25 jaar;2008;389.0;67.0;0.0;0.0;4.0;6.0;1.0;4.0;18.0;0.0;246.0;76.0;0.0;0.0;5.0;7.0;1.0;6.0;5.0;0.0;142.0;52.0;0.0;3.0;3.0;1.0;0.0;42.0;0.0
14;20 tot 25 jaar;2013;392.0;61.0;0.0;0.0;7.0;6.0;2.0;4.0;19.0;0.0;222.0;71.0;0.0;0.0;9.0;7.0;3.0;5.0;5.0;0.0;171.0;49.0;0.0;5.0;5.0;1.0;3.0;36.0;1.0
15;25 tot 30 jaar;1993;971.0;61.0;1.0;1.0;2.0;8.0;2.0;13.0;9.0;2.0;801.0;65.0;1.0;1.0;2.0;8.0;2.0;16.0;2.0;2.0;170.0;43.0;1.0;2.0;6.0;3.0;1.0;42.0;2.0
16;25 tot 30 jaar;1998;830.0;66.0;0.0;1.0;3.0;6.0;0.0;11.0;11.0;1.0;676.0;70.0;0.0;1.0;3.0;7.0;1.0;13.0;4.0;1.0;154.0;48.0;0.0;0.0;3.0;0.0;1.0;45.0;4.0
