ID;EmploymentType;EconomicActivitiesNACE2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6
0;Total;A-U All economic activities;1995 1st quarter;6995.0;7083.0;7470.0;7563.0;2653.0;2493.0
1;Total;A-U All economic activities;1995 2nd quarter;7144.0;7121.0;7634.0;7608.0;2547.0;2587.0
2;Total;A-U All economic activities;1995 3rd quarter;7241.0;7176.0;7739.0;7669.0;2348.0;2631.0
3;Total;A-U All economic activities;1995 4th quarter;7239.0;7240.0;7740.0;7741.0;2868.0;2705.0
4;Total;A-U All economic activities;1995;7155.0;;7646.0;;10416.0;
5;Total;A-U All economic activities;1996 1st quarter;7151.0;7242.0;7662.0;7759.0;2722.0;2603.0
6;Total;A-U All economic activities;1996 2nd quarter;7314.0;7289.0;7841.0;7814.0;2617.0;2645.0
7;Total;A-U All economic activities;1996 3rd quarter;7405.0;7337.0;7938.0;7865.0;2408.0;2683.0
8;Total;A-U All economic activities;1996 4th quarter;7388.0;7389.0;7914.0;7916.0;2933.0;2749.0
9;Total;A-U All economic activities;1996;7315.0;;7839.0;;10680.0;
10;Total;A-U All economic activities;1997 1st quarter;7359.0;7454.0;7857.0;7958.0;2783.0;2713.0
11;Total;A-U All economic activities;1997 2nd quarter;7537.0;7509.0;8046.0;8016.0;2754.0;2741.0
12;Total;A-U All economic activities;1997 3rd quarter;7647.0;7577.0;8163.0;8087.0;2468.0;2739.0
13;Total;A-U All economic activities;1997 4th quarter;7623.0;7624.0;8137.0;8140.0;2938.0;2750.0
14;Total;A-U All economic activities;1997;7541.0;;8051.0;;10942.0;
15;Total;A-U All economic activities;1998 1st quarter;7569.0;7668.0;8108.0;8214.0;2881.0;2771.0
16;Total;A-U All economic activities;1998 2nd quarter;7750.0;7720.0;8306.0;8274.0;2761.0;2782.0
17;Total;A-U All economic activities;1998 3rd quarter;7837.0;7764.0;8402.0;8324.0;2509.0;2801.0
18;Total;A-U All economic activities;1998 4th quarter;7797.0;7800.0;8361.0;8364.0;2990.0;2788.0
19;Total;A-U All economic activities;1998;7738.0;;8294.0;;11142.0;
20;Total;A-U All economic activities;1999 1st quarter;7777.0;7878.0;8323.0;8433.0;2924.0;2822.0
21;Total;A-U All economic activities;1999 2nd quarter;7949.0;7917.0;8513.0;8479.0;2814.0;2844.0
22;Total;A-U All economic activities;1999 3rd quarter;8027.0;7953.0;8599.0;8519.0;2545.0;2854.0
23;Total;A-U All economic activities;1999 4th quarter;7996.0;8001.0;8563.0;8567.0;3121.0;2884.0
24;Total;A-U All economic activities;1999;7937.0;;8500.0;;11405.0;
25;Total;A-U All economic activities;2000 1st quarter;7937.0;8037.0;8494.0;8603.0;3093.0;2906.0
26;Total;A-U All economic activities;2000 2nd quarter;8127.0;8095.0;8699.0;8665.0;2929.0;2943.0
27;Total;A-U All economic activities;2000 3rd quarter;8215.0;8142.0;8791.0;8711.0;2561.0;2888.0
28;Total;A-U All economic activities;2000 4th quarter;8183.0;8189.0;8747.0;8751.0;3062.0;2908.0
29;Total;A-U All economic activities;2000;8115.0;;8683.0;;11645.0;
30;Total;A-U All economic activities;2001 1st quarter;8135.0;8235.0;8660.0;8769.0;3101.0;2935.0
31;Total;A-U All economic activities;2001 2nd quarter;8304.0;8273.0;8835.0;8802.0;2929.0;2947.0
32;Total;A-U All economic activities;2001 3rd quarter;8376.0;8303.0;8909.0;8831.0;2611.0;2949.0
33;Total;A-U All economic activities;2001 4th quarter;8315.0;8320.0;8841.0;8844.0;3150.0;2960.0
34;Total;A-U All economic activities;2001;8282.0;;8811.0;;11791.0;
35;Total;A-U All economic activities;2002 1st quarter;8215.0;8310.0;8733.0;8838.0;3067.0;2936.0
36;Total;A-U All economic activities;2002 2nd quarter;8356.0;8326.0;8885.0;8854.0;2905.0;2927.0
37;Total;A-U All economic activities;2002 3rd quarter;8400.0;8330.0;8933.0;8859.0;2631.0;2934.0
38;Total;A-U All economic activities;2002 4th quarter;8326.0;8330.0;8854.0;8857.0;3120.0;2925.0
39;Total;A-U All economic activities;2002;8324.0;;8851.0;;11723.0;
40;Total;A-U All economic activities;2003 1st quarter;8238.0;8327.0;8748.0;8845.0;3051.0;2914.0
41;Total;A-U All economic activities;2003 2nd quarter;8312.0;8284.0;8827.0;8798.0;2855.0;2876.0
42;Total;A-U All economic activities;2003 3rd quarter;8332.0;8268.0;8850.0;8782.0;2602.0;2904.0
43;Total;A-U All economic activities;2003 4th quarter;8250.0;8254.0;8761.0;8763.0;3095.0;2910.0
44;Total;A-U All economic activities;2003;8283.0;;8796.0;;11604.0;
45;Total;A-U All economic activities;2004 1st quarter;8113.0;8196.0;8617.0;8706.0;3020.0;2877.0
46;Total;A-U All economic activities;2004 2nd quarter;8244.0;8219.0;8758.0;8730.0;2802.0;2851.0
47;Total;A-U All economic activities;2004 3rd quarter;8288.0;8228.0;8806.0;8743.0;2559.0;2883.0
48;Total;A-U All economic activities;2004 4th quarter;8199.0;8204.0;8710.0;8714.0;3109.0;2878.0
49;Total;A-U All economic activities;2004;8211.0;;8723.0;;11489.0;
50;Total;A-U All economic activities;2005 1st quarter;8170.0;8248.0;8681.0;8764.0;2983.0;2867.0
51;Total;A-U All economic activities;2005 2nd quarter;8298.0;8273.0;8819.0;8791.0;2888.0;2887.0
52;Total;A-U All economic activities;2005 3rd quarter;8312.0;8257.0;8834.0;8779.0;2565.0;2869.0
53;Total;A-U All economic activities;2005 4th quarter;8226.0;8231.0;8742.0;8746.0;3060.0;2874.0
54;Total;A-U All economic activities;2005;8251.0;;8769.0;;11496.0;
55;Total;A-U All economic activities;2006 1st quarter;8248.0;8322.0;8766.0;8843.0;3099.0;2900.0
56;Total;A-U All economic activities;2006 2nd quarter;8375.0;8350.0;8902.0;8875.0;2891.0;2912.0
57;Total;A-U All economic activities;2006 3rd quarter;8449.0;8398.0;8980.0;8929.0;2580.0;2919.0
