ID;BedrijfstakkenBranchesSBI2008;TotaalWerknemers_1;k_1Tot10Werknemers_2;k_10Tot100Werknemers_3;k_100Tot500Werknemers_4;k_500EnMeerWerknemers_5;TotaalWerknemers_6;k_1Tot10Werknemers_7;k_10Tot100Werknemers_8;k_100Tot500Werknemers_9;k_500EnMeerWerknemers_10;TotaalWerknemers_11;k_1Tot10Werknemers_12;k_10Tot100Werknemers_13;k_100Tot500Werknemers_14;k_500EnMeerWerknemers_15;TotaalWerknemers_16;k_1Tot10Werknemers_17;k_10Tot100Werknemers_18;k_100Tot500Werknemers_19;k_500EnMeerWerknemers_20;TotaalWerknemers_21;k_1Tot10Werknemers_22;k_10Tot100Werknemers_23;k_100Tot500Werknemers_24;k_500EnMeerWerknemers_25
0;A-U Alle economische activiteiten;305.4;34.1;72.8;60.9;137.6;50.8;47.4;46.8;52.5;53.4;30.08;27.81;26.46;30.71;32.83;25.45;23.57;22.89;26.03;27.33;1689;1704;1770.0;1708.0;1627.0
1;A Landbouw, bosbouw en visserij;2.6;0.9;1.2;;;35.2;32.4;35.0;;;20.14;19.0;19.7;;;17.17;15.99;16.96;;;1748;1706;1778.0;;
2;B Delfstoffenwinning;0.7;0.0;;;;101.3;80.7;;;;56.06;45.37;;;;48.35;39.16;;;;1808;1778;;;
3;C Industrie;38.7;2.4;11.2;11.4;13.8;52.3;46.4;46.7;55.3;56.6;30.01;27.02;26.08;31.16;33.77;25.59;22.89;22.62;26.67;28.24;1744;1719;1792.0;1776.0;1675.0
4;D Energievoorziening;1.4;0.0;;;1.1;72.1;80.1;;;72.9;42.21;45.18;;;42.8;35.51;38.91;;;35.96;1709;1774;;;1704.0
5;E Waterbedrijven en afvalbeheer;1.8;0.1;0.4;;;55.9;49.2;50.8;;;29.4;26.38;25.11;;;26.68;23.31;23.71;;;1902;1864;2025.0;;
6;F Bouwnijverheid;19.0;3.2;8.4;3.6;3.8;52.9;47.1;50.3;57.5;61.9;29.76;27.33;28.3;31.88;34.06;25.28;22.99;24.14;27.0;28.98;1779;1724;1778.0;1804.0;1818.0
7;G Handel;39.6;7.6;15.5;7.5;9.0;43.4;41.3;44.3;50.6;39.2;24.91;24.48;25.06;28.64;22.57;21.33;20.67;21.73;24.56;19.16;1744;1686;1769.0;1768.0;1738.0
8;H Vervoer en opslag;15.9;1.2;4.4;3.2;7.1;50.7;47.1;47.2;50.5;53.9;26.91;24.36;22.57;25.77;31.87;23.19;21.31;20.33;22.24;26.35;1883;1934;2091.0;1958.0;1691.0
9;I Horeca;4.8;1.1;2.3;0.5;1.0;28.8;26.9;27.4;31.1;34.0;17.4;16.57;16.42;18.91;20.37;14.59;13.88;13.95;15.5;16.68;1655;1622;1668.0;1644.0;1667.0
10;J Informatie en communicatie;14.0;1.5;3.5;2.5;6.4;65.6;57.3;60.2;66.9;71.0;37.87;32.85;34.09;38.51;41.67;32.05;27.99;29.25;32.75;34.79;1731;1743;1766.0;1736.0;1704.0
11;K Financiële dienstverlening;19.3;2.1;2.0;2.6;12.6;80.3;66.8;73.9;78.3;84.8;48.09;38.01;41.35;47.02;52.0;40.79;32.6;36.13;39.55;43.82;1670;1758;1788.0;1665.0;1631.0
12;L Verhuur en handel van onroerend goed;3.5;1.0;1.3;;;57.4;56.1;56.8;;;34.63;32.67;33.98;;;29.17;27.68;28.88;;;1658;1718;1673.0;;
13;M Specialistische zakelijke diensten;28.9;7.6;9.2;;;65.6;65.5;59.3;;;37.68;37.83;33.82;;;32.13;32.29;29.11;;;1740;1732;1755.0;;
14;N Verhuur en overige zakelijke diensten;21.2;1.5;5.1;4.2;10.4;36.5;43.1;40.3;37.3;33.8;20.38;24.46;21.75;20.23;19.37;17.94;21.17;19.5;18.08;16.84;1788;1761;1854.0;1842.0;1744.0
15;O Openbaar bestuur en overheidsdiensten;27.8;0.0;0.5;3.8;23.5;61.8;56.0;56.4;55.0;63.1;38.95;34.71;36.07;34.84;39.78;32.22;29.27;29.82;29.01;32.88;1585;1612;1564.0;1579.0;1587.0
16;P Onderwijs;21.8;0.3;1.9;7.4;12.1;56.2;49.1;50.7;53.8;59.0;36.58;29.3;31.74;34.85;38.93;29.54;24.8;26.31;28.29;31.12;1536;1675;1599.0;1544.0;1516.0
17;Q Gezondheids- en welzijnszorg;36.6;1.9;3.0;5.0;26.8;44.1;47.0;41.7;41.3;44.7;29.38;29.71;27.47;27.92;29.87;23.97;24.88;22.7;22.69;24.31;1500;1582;1518.0;1478.0;1497.0
18;R Cultuur, sport en recreatie;3.4;0.6;1.4;0.9;0.5;44.5;38.4;39.7;54.2;55.0;26.97;23.21;24.06;32.91;33.7;22.65;19.52;20.28;27.67;27.81;1648;1655;1650.0;1648.0;1633.0
19;S Overige dienstverlening;4.5;1.0;1.5;1.1;0.9;41.8;32.4;41.2;48.0;51.0;26.01;20.75;25.42;29.18;31.85;21.77;17.3;21.48;24.32;26.46;1607;1563;1620.0;1644.0;1603.0
