ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;InvesteringenInVasteActiva_1
0;A-U Alle economische activiteiten;Nederland;1995;69687.0
1;A-U Alle economische activiteiten;Nederland;1996;75046.0
2;A-U Alle economische activiteiten;Nederland;1997;80811.0
3;A-U Alle economische activiteiten;Nederland;1998;87313.0
4;A-U Alle economische activiteiten;Nederland;1999;97241.0
5;A-U Alle economische activiteiten;Nederland;2000;102940.0
6;A-U Alle economische activiteiten;Nederland;2001;108405.0
7;A-U Alle economische activiteiten;Nederland;2002;107445.0
8;A-U Alle economische activiteiten;Nederland;2003;107758.0
9;A-U Alle economische activiteiten;Nederland;2004;109583.0
10;A-U Alle economische activiteiten;Nederland;2005;115656.0
11;A-U Alle economische activiteiten;Nederland;2006;126095.0
12;A-U Alle economische activiteiten;Nederland;2007;147272.0
13;A-U Alle economische activiteiten;Nederland;2008;146166.0
14;A-U Alle economische activiteiten;Nederland;2009;136553.0
15;A-U Alle economische activiteiten;Nederland;2010;129102.0
16;A-U Alle economische activiteiten;Nederland;2011;134228.0
17;A-U Alle economische activiteiten;Nederland;2012;125371.0
18;A-U Alle economische activiteiten;Nederland;2013;126182.0
19;A-U Alle economische activiteiten;Nederland;2014;123532.0
20;A-U Alle economische activiteiten;Nederland;2015;164037.0
21;A-U Alle economische activiteiten;Nederland;2016;144572.0
22;A-U Alle economische activiteiten;Nederland;2017;151432.0
23;A-U Alle economische activiteiten;Nederland;2018;162634.0
24;A-U Alle economische activiteiten;Nederland;2019;176696.0
25;A-U Alle economische activiteiten;Nederland;2020;176843.0
26;A-U Alle economische activiteiten;Nederland;2021;189208.0
27;A-U Alle economische activiteiten;Noord-Nederland (LD);1995;6868.0
28;A-U Alle economische activiteiten;Noord-Nederland (LD);1996;7244.0
29;A-U Alle economische activiteiten;Noord-Nederland (LD);1997;7940.0
30;A-U Alle economische activiteiten;Noord-Nederland (LD);1998;8263.0
31;A-U Alle economische activiteiten;Noord-Nederland (LD);1999;8796.0
32;A-U Alle economische activiteiten;Noord-Nederland (LD);2000;9456.0
33;A-U Alle economische activiteiten;Noord-Nederland (LD);2001;10098.0
34;A-U Alle economische activiteiten;Noord-Nederland (LD);2002;10086.0
35;A-U Alle economische activiteiten;Noord-Nederland (LD);2003;9961.0
36;A-U Alle economische activiteiten;Noord-Nederland (LD);2004;10080.0
37;A-U Alle economische activiteiten;Noord-Nederland (LD);2005;10599.0
38;A-U Alle economische activiteiten;Noord-Nederland (LD);2006;11689.0
39;A-U Alle economische activiteiten;Noord-Nederland (LD);2007;12541.0
40;A-U Alle economische activiteiten;Noord-Nederland (LD);2008;13459.0
41;A-U Alle economische activiteiten;Noord-Nederland (LD);2009;11771.0
42;A-U Alle economische activiteiten;Noord-Nederland (LD);2010;10329.0
43;A-U Alle economische activiteiten;Noord-Nederland (LD);2011;9644.0
44;A-U Alle economische activiteiten;Noord-Nederland (LD);2012;9921.0
45;A-U Alle economische activiteiten;Noord-Nederland (LD);2013;10656.0
46;A-U Alle economische activiteiten;Noord-Nederland (LD);2014;10568.0
47;A-U Alle economische activiteiten;Noord-Nederland (LD);2015;12827.0
