ID;Geslacht;Leeftijd;Opleidingsniveau;Herkomstgroepering;Generatie;Perioden;TotaalEducatietypen_1;SocialeRedzaamheid_2;ProfessioneleRedzaamheidGekwalificeerd_3;ProfessioneleRedzaamheidOngekwalific_4;EducatieveRedzaamheidAlleenNiveau4_5;AlfabetiseringInclusiefOverig_6;TotaalEducatietypen_7;SocialeRedzaamheid_8;ProfessioneleRedzaamheidGekwalificeerd_9;ProfessioneleRedzaamheidOngekwalific_10;EducatieveRedzaamheidAlleenNiveau4_11;AlfabetiseringInclusiefOverig_12
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2006/'07;48274.0;23020.0;1845.0;22106.0;1303.0;;71542.0;36278.0;2273.0;31126.0;1865.0;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2007/'08;37595.0;19790.0;1428.0;15516.0;809.0;52.0;58413.0;33821.0;1850.0;21315.0;1016.0;411.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2008/'09;36572.0;21017.0;999.0;13109.0;348.0;1099.0;62414.0;39239.0;1333.0;19237.0;519.0;2086.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2009/'10;36488.0;22990.0;913.0;10038.0;319.0;2228.0;59098.0;38031.0;1177.0;15873.0;509.0;3508.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2010/'11;28466.0;16580.0;808.0;8591.0;261.0;2226.0;39655.0;23964.0;925.0;11038.0;425.0;3303.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2011/'12;22637.0;12035.0;672.0;7503.0;281.0;2146.0;30567.0;16460.0;802.0;10104.0;324.0;2877.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2012/'13;20386.0;9862.0;727.0;7834.0;190.0;1773.0;27180.0;13232.0;1129.0;10341.0;241.0;2237.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2013/'14;20367.0;9011.0;971.0;7685.0;275.0;2425.0;26904.0;10730.0;1336.0;9242.0;456.0;5140.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Totaal generatie;2014/'15;19302.0;8188.0;965.0;6504.0;311.0;3334.0;19850.0;8378.0;981.0;6622.0;316.0;3553.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2006/'07;37744.0;14180.0;1751.0;20604.0;1209.0;;50957.0;19213.0;2117.0;27996.0;1631.0;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2007/'08;26215.0;10082.0;1319.0;14036.0;726.0;52.0;35489.0;14506.0;1624.0;18085.0;867.0;407.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2008/'09;23180.0;9546.0;884.0;11338.0;322.0;1090.0;33720.0;14691.0;1089.0;15439.0;452.0;2049.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal niveaus;Totaal herkomstgroepering;Allochtoon, 1e generatie;2009/'10;21973.0;10233.0;750.0;8510.0;284.0;2196.0;31541.0;14542.0;872.0;12233.0;425.0;3469.0
