ID;CaribbeanNetherlands;Periods;LiveBornChildren_1;LiveBornChildrenRate_2;LiveBornBoys_3;LiveBornGirls_4;GeneralFertilityRate_5;StandardizedFertilityRate_6;AverageNumberOfChildrenPerFemale_7;TotalLiveBornChildren_8;YoungerThan20Years_9;k_20To24Years_10;k_25To29Years_11;k_30To34Years_12;k_35To39Years_13;k_40To44Years_14;k_45YearsOrOlder_15;TotalLiveBornChildren_16;k_1stChild_17;k_2ndChild_18;k_3rdChild_19;k_4thOrFollowingChildren_20;TotalLiveBornChildren_21;MotherMarried_22;MotherNeverMarried_23
21;Bonaire;2019;203;9.9;101;102;44.9;45.0;1.58;203;6;35;55;53;36;17;1;203;100;59;28;16;203;65;138
22;Bonaire;2020;228;10.7;118;110;48.3;48.4;1.69;228;11;31;67;64;38;16;1;228;111;76;31;10;228;61;167
23;Bonaire;2021;217;9.8;105;112;44.3;44.3;1.6;217;16;35;59;61;39;7;0;217;100;76;30;11;217;53;164
24;Bonaire;2022;229;9.8;122;107;44.0;44.1;1.52;229;7;30;60;79;41;10;2;229;101;76;40;12;229;79;150
25;Bonaire;2023;237;9.6;125;112;42.8;42.8;1.49;237;10;35;56;64;52;17;3;237;114;83;25;15;237;75;162
26;St Eustatius;2011;33;8.9;17;16;36.6;36.6;1.42;33;4;6;8;10;5;0;0;33;13;11;8;1;33;7;26
27;St Eustatius;2012;21;5.5;6;15;23.1;24.4;0.83;21;2;6;5;5;1;2;0;21;7;7;4;3;21;7;14
28;St Eustatius;2013;51;12.9;26;25;54.8;57.5;2.29;51;4;17;15;9;6;0;0;51;28;14;6;3;51;12;39
29;St Eustatius;2014;24;6.1;13;11;26.2;27.7;0.89;24;0;3;8;9;3;1;0;24;13;7;3;1;24;7;17
30;St Eustatius;2015;36;10.2;14;22;44.4;47.5;1.81;36;1;9;10;12;4;0;0;36;17;9;7;3;36;10;26
31;St Eustatius;2016;31;9.6;12;19;42.0;44.0;1.87;31;2;11;8;6;4;0;0;31;17;8;3;3;31;5;26
32;St Eustatius;2017;28;8.5;9;19;36.7;39.4;1.63;28;1;4;12;7;4;0;0;28;8;13;6;1;28;6;22
33;St Eustatius;2018;35;10.8;15;20;46.6;48.6;1.73;35;1;4;9;12;8;1;0;35;9;18;7;1;35;5;30
34;St Eustatius;2019;30;9.6;12;18;41.8;44.2;1.77;30;2;9;7;4;5;1;2;30;12;11;6;1;30;9;21
35;St Eustatius;2020;50;15.9;27;23;69.9;74.3;2.6;50;0;10;6;18;16;0;0;50;15;15;12;8;50;8;42
36;St Eustatius;2021;38;11.9;19;19;52.2;56.0;2.03;38;2;12;7;9;7;1;0;38;18;10;6;4;38;8;30
37;St Eustatius;2022;31;9.5;14;17;41.9;45.3;1.64;31;3;7;7;5;6;3;0;31;16;9;4;2;31;4;27
38;St Eustatius;2023;30;9.2;15;15;41.4;44.5;1.65;30;1;6;7;7;6;3;0;30;12;12;4;2;30;8;22
39;Saba;2011;7;3.7;3;4;13.2;11.0;0.46;7;0;0;3;2;1;1;0;7;3;2;1;1;7;2;5
40;Saba;2012;15;7.6;9;6;25.4;19.6;0.82;15;1;5;5;2;2;0;0;15;8;5;1;1;15;6;9
41;Saba;2013;10;5.2;5;5;17.5;14.4;0.6;10;0;4;0;4;2;0;0;10;7;2;1;0;10;3;7
42;Saba;2014;11;6.0;5;6;21.3;18.2;0.75;11;2;4;2;1;2;0;0;11;5;3;3;0;11;3;8
43;Saba;2015;17;9.0;10;7;32.5;29.6;1.55;17;1;4;5;4;2;1;0;17;9;7;0;1;17;4;13
44;Saba;2016;17;8.6;13;4;30.8;26.7;1.12;17;0;5;4;2;6;0;0;17;9;5;2;1;17;6;11
45;Saba;2017;18;8.6;7;11;30.0;24.6;0.96;18;0;7;5;6;0;0;0;18;12;5;1;0;18;6;12
46;Saba;2018;15;7.4;6;9;26.8;23.2;1.11;15;1;2;4;1;6;1;0;15;9;3;1;2;15;6;9
47;Saba;2019;11;5.7;7;4;22.7;20.7;0.91;11;0;5;4;0;2;0;0;11;3;6;1;1;11;3;8
48;Saba;2020;11;6.2;5;6;24.6;22.2;0.73;11;0;1;3;3;3;1;0;11;3;8;0;0;11;0;11
49;Saba;2021;9;4.7;5;4;18.5;17.0;0.64;9;1;0;2;3;2;1;0;9;1;5;1;2;9;2;7
50;Saba;2022;19;9.6;6;13;38.5;34.1;0.98;19;0;2;5;11;1;0;0;19;4;11;2;2;19;4;15
51;Saba;2023;15;7.3;8;7;28.7;26.5;0.85;15;0;0;1;6;4;4;0;15;9;3;2;1;15;4;11
