ID;CaribbeanNetherlands;Periods;LiveBornChildren_1;LiveBornChildrenRate_2;LiveBornBoys_3;LiveBornGirls_4;GeneralFertilityRate_5;StandardizedFertilityRate_6;AverageNumberOfChildrenPerFemale_7;TotalLiveBornChildren_8;YoungerThan20Years_9;k_20To24Years_10;k_25To29Years_11;k_30To34Years_12;k_35To39Years_13;k_40To44Years_14;k_45YearsOrOlder_15;TotalLiveBornChildren_16;k_1stChild_17;k_2ndChild_18;k_3rdChild_19;k_4thOrFollowingChildren_20;TotalLiveBornChildren_21;MotherMarried_22;MotherNeverMarried_23
0;Caribbean Netherlands;2011;221;10.2;117;104;42.5;42.5;1.63;221;20;52;53;55;29;11;1;221;100;69;34;18;221;73;148
1;Caribbean Netherlands;2012;227;10.0;108;119;41.5;41.5;1.53;227;24;55;65;44;26;13;0;227;106;73;26;22;227;72;155
2;Caribbean Netherlands;2013;255;10.7;135;120;44.9;44.9;1.64;255;11;64;65;71;36;8;0;255;120;64;40;31;255;81;174
3;Caribbean Netherlands;2014;242;9.9;128;114;41.8;41.8;1.51;242;8;58;70;53;40;10;3;242;121;67;36;18;242;77;165
4;Caribbean Netherlands;2015;213;8.7;109;104;36.8;36.8;1.32;213;7;50;52;65;29;9;1;213;89;79;32;13;213;67;146
5;Caribbean Netherlands;2016;243;9.9;114;129;42.3;42.3;1.53;243;9;65;60;62;40;7;0;243;132;66;27;18;243;76;167
6;Caribbean Netherlands;2017;243;9.8;114;129;42.0;42.0;1.5;243;14;48;73;63;38;7;0;243;121;77;28;17;243;79;164
7;Caribbean Netherlands;2018;256;10.4;135;121;45.2;45.2;1.58;256;9;41;74;70;52;10;0;256;103;94;40;19;256;89;167
8;Caribbean Netherlands;2019;244;9.6;120;124;42.7;42.7;1.52;244;8;49;66;57;43;18;3;244;115;76;35;18;244;77;167
9;Caribbean Netherlands;2020;289;11.0;150;139;49.0;49.0;1.7;289;11;42;76;85;57;17;1;289;129;99;43;18;289;69;220
10;Caribbean Netherlands;2021;264;9.7;129;135;43.2;43.2;1.58;264;19;47;68;73;48;9;0;264;119;91;37;17;264;63;201
11;Caribbean Netherlands;2022;279;9.8;142;137;43.4;43.4;1.5;279;10;39;72;95;48;13;2;279;121;96;46;16;279;87;192
12;Caribbean Netherlands;2023;282;9.4;148;134;41.6;41.6;1.44;282;11;41;64;77;62;24;3;282;135;98;31;18;282;87;195
13;Bonaire;2011;181;11.2;97;84;48.0;49.4;1.9;181;16;46;42;43;23;10;1;181;84;56;25;16;181;64;117
14;Bonaire;2012;191;11.3;93;98;48.2;49.8;1.84;191;21;44;55;37;23;11;0;191;91;61;21;18;191;59;132
15;Bonaire;2013;194;10.8;104;90;46.5;47.4;1.71;194;7;43;50;58;28;8;0;194;85;48;33;28;194;66;128
16;Bonaire;2014;207;11.1;110;97;47.6;48.0;1.73;207;6;51;60;43;35;9;3;207;103;57;30;17;207;67;140
17;Bonaire;2015;160;8.4;85;75;35.9;35.9;1.28;160;5;37;37;49;23;8;1;160;63;63;25;9;160;53;107
18;Bonaire;2016;195;10.1;89;106;43.8;44.3;1.59;195;7;49;48;54;30;7;0;195;106;53;22;14;195;65;130
19;Bonaire;2017;197;10.2;98;99;44.6;45.4;1.61;197;13;37;56;50;34;7;0;197;101;59;21;16;197;67;130
20;Bonaire;2018;206;10.6;114;92;47.2;47.8;1.68;206;7;35;61;57;38;8;0;206;85;73;32;16;206;78;128
