ID;BalanceSheetItemsWaterBoards;WaterBoards;Periods;BalanceSheetItemsAtYearEnd_1
0;A - Assets;The Netherlands;2005;6379.0
1;A - Assets;The Netherlands;2006;6549.0
2;A - Assets;The Netherlands;2007;6934.0
3;A - Assets;The Netherlands;2008;7226.0
4;A - Assets;The Netherlands;2009;7449.0
5;A - Assets;The Netherlands;2010;7870.0
6;A - Assets;The Netherlands;2011;8105.0
7;A - Assets;The Netherlands;2012;8196.0
8;A - Assets;The Netherlands;2013;8465.0
9;A - Assets;The Netherlands;2014;8596.0
10;A - Assets;The Netherlands;2015;8869.0
11;A - Assets;The Netherlands;2016;8980.0
12;A - Assets;The Netherlands;2017;9068.0
13;A - Assets;The Netherlands;2018;9325.0
14;A - Assets;The Netherlands;2019;9437.0
15;A - Assets;The Netherlands;2020;10243.0
16;A - Assets;The Netherlands;2021;11222.0
17;A - Assets;The Netherlands;2022;11532.0
18;A - Assets;The Netherlands;2023;11966.0
19;A - Assets;Waterschap Groot Salland (WS);2005;174.0
20;A - Assets;Waterschap Groot Salland (WS);2006;167.0
21;A - Assets;Waterschap Groot Salland (WS);2007;165.0
22;A - Assets;Waterschap Groot Salland (WS);2008;168.0
23;A - Assets;Waterschap Groot Salland (WS);2009;169.0
24;A - Assets;Waterschap Groot Salland (WS);2010;176.0
25;A - Assets;Waterschap Groot Salland (WS);2011;175.0
26;A - Assets;Waterschap Groot Salland (WS);2012;170.0
27;A - Assets;Waterschap Groot Salland (WS);2013;170.0
28;A - Assets;Waterschap Groot Salland (WS);2014;167.0
29;A - Assets;Waterschap Groot Salland (WS);2015;180.0
30;A - Assets;Waterschap Groot Salland (WS);2016;
31;A - Assets;Waterschap Groot Salland (WS);2017;
32;A - Assets;Waterschap Groot Salland (WS);2018;
33;A - Assets;Waterschap Groot Salland (WS);2019;
34;A - Assets;Waterschap Groot Salland (WS);2020;
35;A - Assets;Waterschap Groot Salland (WS);2021;
36;A - Assets;Waterschap Groot Salland (WS);2022;
37;A - Assets;Waterschap Groot Salland (WS);2023;
38;A - Assets;Waterschap Rijn en IJssel (WS);2005;274.0
39;A - Assets;Waterschap Rijn en IJssel (WS);2006;282.0
40;A - Assets;Waterschap Rijn en IJssel (WS);2007;288.0
41;A - Assets;Waterschap Rijn en IJssel (WS);2008;306.0
42;A - Assets;Waterschap Rijn en IJssel (WS);2009;320.0
43;A - Assets;Waterschap Rijn en IJssel (WS);2010;323.0
44;A - Assets;Waterschap Rijn en IJssel (WS);2011;341.0
45;A - Assets;Waterschap Rijn en IJssel (WS);2012;355.0
46;A - Assets;Waterschap Rijn en IJssel (WS);2013;363.0
47;A - Assets;Waterschap Rijn en IJssel (WS);2014;372.0
48;A - Assets;Waterschap Rijn en IJssel (WS);2015;373.0
49;A - Assets;Waterschap Rijn en IJssel (WS);2016;375.0
50;A - Assets;Waterschap Rijn en IJssel (WS);2017;391.0
51;A - Assets;Waterschap Rijn en IJssel (WS);2018;395.0
52;A - Assets;Waterschap Rijn en IJssel (WS);2019;409.0
53;A - Assets;Waterschap Rijn en IJssel (WS);2020;422.0
54;A - Assets;Waterschap Rijn en IJssel (WS);2021;419.0
55;A - Assets;Waterschap Rijn en IJssel (WS);2022;434.0
56;A - Assets;Waterschap Rijn en IJssel (WS);2023;444.0
57;A - Assets;Waterschap Veluwe (WS);2005;110.0
58;A - Assets;Waterschap Veluwe (WS);2006;110.0
59;A - Assets;Waterschap Veluwe (WS);2007;127.0
60;A - Assets;Waterschap Veluwe (WS);2008;135.0
61;A - Assets;Waterschap Veluwe (WS);2009;138.0
62;A - Assets;Waterschap Veluwe (WS);2010;206.0
63;A - Assets;Waterschap Veluwe (WS);2011;225.0
64;A - Assets;Waterschap Veluwe (WS);2012;197.0
65;A - Assets;Waterschap Veluwe (WS);2013;
66;A - Assets;Waterschap Veluwe (WS);2014;
67;A - Assets;Waterschap Veluwe (WS);2015;
68;A - Assets;Waterschap Veluwe (WS);2016;
69;A - Assets;Waterschap Veluwe (WS);2017;
70;A - Assets;Waterschap Veluwe (WS);2018;
71;A - Assets;Waterschap Veluwe (WS);2019;
72;A - Assets;Waterschap Veluwe (WS);2020;
73;A - Assets;Waterschap Veluwe (WS);2021;
74;A - Assets;Waterschap Veluwe (WS);2022;
75;A - Assets;Waterschap Veluwe (WS);2023;
76;A - Assets;Waterschap Vallei & Eem (WS);2005;171.0
77;A - Assets;Waterschap Vallei & Eem (WS);2006;157.0
78;A - Assets;Waterschap Vallei & Eem (WS);2007;153.0
79;A - Assets;Waterschap Vallei & Eem (WS);2008;179.0
80;A - Assets;Waterschap Vallei & Eem (WS);2009;178.0
81;A - Assets;Waterschap Vallei & Eem (WS);2010;188.0
