ID;Perioden;TotaalAanvoerAfval_1;TotaalNietChemischAfval_2;Metaalafval_3;GlasPapierHoutKunststofED_4;DierlijkPlantaardigAfval_5;GemengdAfval_6;Slib_7;MineralenSteenachtigAfval_8;OverigNietChemischAfval_9;ChemischAfval_10;TotaalAanvoerAfval_11;Eindproduct_12;TotaalReststoffen_13;NuttigeToepassing_14;Verbranden_15;Storten_16;ScheidenAchterafOnbekend_17
0;1996;12259;;;;;;;;;;12259;11281;977;87;21;811;58
1;1998;11204;;;;;;;;;;11204;10291;913;246;19;621;26
2;2000;12749;;;;;;;;;;12749;11787;962;201;38;635;89
3;2002;13879;;;;;;;;;;13879;13177;703;235;73;373;22
4;2004;15684;15588.0;716.0;2750.0;189.0;331.0;798.0;10096.0;708.0;95.0;15684;14818;867;210;46;412;199
5;2006;16800;16582.0;1275.0;1337.0;299.0;442.0;731.0;11972.0;525.0;218.0;16800;15756;1042;121;48;494;379
6;2008;15437;15122.0;1716.0;1645.0;150.0;169.0;49.0;11232.0;161.0;315.0;15437;14412;1023;469;37;328;189
7;2010;14610;14157.0;1411.0;1454.0;80.0;101.0;53.0;10684.0;373.0;454.0;14610;13740;872;358;76;326;112
8;2012;13985;14573.0;818.0;1559.0;307.0;361.0;36.0;10101.0;381.0;422.0;13985;12958;1050;472;2;487;89
9;2014;13276;13250.0;856.0;1305.0;300.0;438.0;31.0;9982.0;339.0;26.0;13276;12185;1074;629;54;323;68
10;2016;13624;13594.0;1068.0;1365.0;493.0;627.0;26.0;9520.0;495.0;30.0;13624;12259;1365;888;64;397;16
