ID;BestemmingVanInvoer;Perioden;WaardeInWerkelijkePrijzen_1;WaardePrijsniveau2005_2;VolumemutatieTOVVoorafgaandJaar_3;Prijsindexcijfers_4;WaardeInWerkelijkePrijzen_5;WaardePrijsniveau2005_6;VolumemutatieTOVVoorafgaandJaar_7;Prijsindexcijfers_8;WaardeInWerkelijkePrijzen_9;WaardePrijsniveau2005_10;VolumemutatieTOVVoorafgaandJaar_11;Prijsindexcijfers_12
0;A-U Alle economische activiteiten;1988;60332.0;76588.0;;78.8;47769.0;57966.0;;82.4;12563.0;18147.0;;69.2
1;A-U Alle economische activiteiten;1989;68156.0;82393.0;7.6;82.7;53267.0;61207.0;5.6;87.0;14889.0;20894.0;15.1;71.3
2;A-U Alle economische activiteiten;1990;70343.0;85836.0;4.2;82.0;54932.0;64141.0;4.8;85.6;15411.0;21308.0;2.0;72.3
3;A-U Alle economische activiteiten;1991;73357.0;89612.0;4.4;81.9;55567.0;65665.0;2.4;84.6;17790.0;23781.0;11.6;74.8
4;A-U Alle economische activiteiten;1992;74228.0;92267.0;3.0;80.4;54812.0;66891.0;1.9;81.9;19416.0;25300.0;6.4;76.7
5;A-U Alle economische activiteiten;1993;72761.0;92196.0;-0.1;78.9;52341.0;66148.0;-1.1;79.1;20420.0;26019.0;2.8;78.5
6;A-U Alle economische activiteiten;1994;77549.0;97713.0;6.0;79.4;56012.0;70781.0;7.0;79.1;21537.0;26896.0;3.4;80.1
7;A-U Alle economische activiteiten;1995;83292.0;103753.0;6.2;80.3;60444.0;75393.0;6.5;80.2;22848.0;28323.0;5.3;80.7
8;A-U Alle economische activiteiten;1996;88222.0;107545.0;3.7;82.0;63724.0;77680.0;3.0;82.0;24498.0;29825.0;5.3;82.1
9;A-U Alle economische activiteiten;1997;97224.0;116595.0;8.4;83.4;70104.0;83550.0;7.6;83.9;27120.0;33000.0;10.6;82.2
10;A-U Alle economische activiteiten;1998;99631.0;122468.0;5.0;81.4;70053.0;86822.0;3.9;80.7;29578.0;35619.0;7.9;83.0
11;A-U Alle economische activiteiten;1999;104979.0;127668.0;4.2;82.2;72659.0;89524.0;3.1;81.2;32320.0;38088.0;6.9;84.9
12;A-U Alle economische activiteiten;2000;124407.0;136461.0;6.9;91.2;86562.0;93092.0;4.0;93.0;37845.0;43196.0;13.4;87.6
13;A-U Alle economische activiteiten;2001;127367.0;139055.0;1.9;91.6;85392.0;92435.0;-0.7;92.4;41975.0;46592.0;7.9;90.1
14;A-U Alle economische activiteiten;2002;126149.0;139722.0;0.5;90.3;83111.0;93050.0;0.7;89.3;43038.0;46640.0;0.1;92.3
15;A-U Alle economische activiteiten;2003;124694.0;137533.0;-1.6;90.7;80610.0;91869.0;-1.3;87.7;44084.0;45642.0;-2.1;96.6
16;A-U Alle economische activiteiten;2004;132555.0;140872.0;2.4;94.1;87406.0;95422.0;3.9;91.6;45149.0;45548.0;-0.2;99.1
17;A-U Alle economische activiteiten;2005;143923.0;143923.0;2.2;100.0;96171.0;96171.0;0.8;100.0;47752.0;47752.0;4.8;100.0
18;A-U Alle economische activiteiten;2006;159315.0;150802.0;4.8;105.6;109832.0;101313.0;5.3;108.4;49483.0;49489.0;3.6;100.0
19;A-U Alle economische activiteiten;2007;168985.0;155744.0;3.3;108.5;118292.0;105072.0;3.7;112.6;50693.0;50635.0;2.3;100.1
20;A-U Alle economische activiteiten;2008;183048.0;155521.0;-0.1;117.7;128522.0;103481.0;-1.5;124.2;54526.0;52182.0;3.1;104.5
21;A-U Alle economische activiteiten;2009;159133.0;147292.0;-5.3;108.0;102196.0;96441.0;-6.8;106.0;56937.0;51281.0;-1.7;111.0
22;A-U Alle economische activiteiten;2010;180860.0;153015.0;3.9;118.2;122470.0;101430.0;5.2;120.7;58390.0;52089.0;1.6;112.1
