ID;BelastingschijfAardgas;SBI2008;Perioden;AantalDoorDeSchijfGehaaldeEenheden_1;LeveringVoorEigenGebruik_2;InzetVoorElektriciteitsproductie_3;NietEnergetischGebruik_4;BelastVerbruik_5
0;Totaal aardgas;A-U Alle economische activiteiten;2019;616180;32675200.0;17297200.0;3495600.0;11882400.0
1;Totaal aardgas;A-U Alle economische activiteiten;2020;581530;32149200.0;17688800.0;3284100.0;11176300.0
2;Totaal aardgas;A-U Alle economische activiteiten;2022;530785;23328400.0;12315800.0;2153400.0;8859100.0
3;Totaal aardgas;A Landbouw, bosbouw en visserij;2019;57670;4144600.0;2970100.0;;1174500.0
4;Totaal aardgas;A Landbouw, bosbouw en visserij;2020;57310;4029600.0;2903400.0;;1126200.0
5;Totaal aardgas;A Landbouw, bosbouw en visserij;2022;36990;2867800.0;2241900.0;;625900.0
6;Totaal aardgas;B Delfstoffenwinning;2019;145;5100.0;;;5100.0
7;Totaal aardgas;B Delfstoffenwinning;2020;55;4300.0;;;4300.0
8;Totaal aardgas;B Delfstoffenwinning;2022;60;7600.0;;;7600.0
9;Totaal aardgas;C Industrie;2019;32745;12439600.0;2391200.0;3495600.0;6552800.0
10;Totaal aardgas;C Industrie;2020;32445;12774500.0;3244300.0;3284100.0;6246200.0
11;Totaal aardgas;C Industrie;2022;33615;9722600.0;2677700.0;2153400.0;4891400.0
12;Totaal aardgas;10-12 Voedings-, genotmiddelenindustrie;2019;4500;1905200.0;569800.0;;1335400.0
13;Totaal aardgas;10-12 Voedings-, genotmiddelenindustrie;2020;4400;1901600.0;617800.0;;1283800.0
14;Totaal aardgas;10-12 Voedings-, genotmiddelenindustrie;2022;4605;1836200.0;582700.0;;1253400.0
15;Totaal aardgas;101 Slachterijen en vleeswarenindustrie;2019;330;74100.0;;;74100.0
16;Totaal aardgas;101 Slachterijen en vleeswarenindustrie;2020;330;71800.0;;;71800.0
17;Totaal aardgas;101 Slachterijen en vleeswarenindustrie;2022;330;70500.0;;;70500.0
18;Totaal aardgas;103 Groente-, fruitverwerkende industrie;2019;140;253300.0;34200.0;;219100.0
19;Totaal aardgas;103 Groente-, fruitverwerkende industrie;2020;135;245900.0;30700.0;;215200.0
20;Totaal aardgas;103 Groente-, fruitverwerkende industrie;2022;150;254300.0;34500.0;;219800.0
21;Totaal aardgas;104 Spijsoliën- en -vettenindustrie e.d.;2019;30;232700.0;130400.0;;102400.0
22;Totaal aardgas;104 Spijsoliën- en -vettenindustrie e.d.;2020;30;223400.0;149700.0;;73700.0
23;Totaal aardgas;104 Spijsoliën- en -vettenindustrie e.d.;2022;30;220500.0;137900.0;;82600.0
24;Totaal aardgas;105 Zuivelindustrie;2019;175;362600.0;31900.0;;330700.0
25;Totaal aardgas;105 Zuivelindustrie;2020;180;372700.0;66300.0;;306400.0
26;Totaal aardgas;105 Zuivelindustrie;2022;185;355300.0;60200.0;;295100.0
27;Totaal aardgas;106 Meelindustrie;2019;65;318300.0;212400.0;;105800.0
28;Totaal aardgas;106 Meelindustrie;2020;70;325400.0;222200.0;;103300.0
29;Totaal aardgas;106 Meelindustrie;2022;65;295500.0;201900.0;;93600.0
30;Totaal aardgas;108 Overige voedingsmiddelenindustrie;2019;3295;423200.0;111100.0;;312100.0
31;Totaal aardgas;108 Overige voedingsmiddelenindustrie;2020;3170;428000.0;106500.0;;321400.0
32;Totaal aardgas;108 Overige voedingsmiddelenindustrie;2022;3265;424100.0;108700.0;;315500.0
33;Totaal aardgas;109 Diervoederindustrie;2019;165;93400.0;;;93400.0
34;Totaal aardgas;109 Diervoederindustrie;2020;160;109700.0;;;109700.0
35;Totaal aardgas;109 Diervoederindustrie;2022;160;97500.0;;;97500.0
36;Totaal aardgas;11-12 Dranken- en tabaksindustrie;2019;300;147500.0;49800.0;;97800.0
37;Totaal aardgas;11-12 Dranken- en tabaksindustrie;2020;330;124600.0;42400.0;;82200.0
38;Totaal aardgas;11-12 Dranken- en tabaksindustrie;2022;420;118500.0;39600.0;;78900.0
39;Totaal aardgas;13 Textielindustrie;2019;860;71300.0;;;71300.0
40;Totaal aardgas;13 Textielindustrie;2020;870;95600.0;;;95600.0
41;Totaal aardgas;13 Textielindustrie;2022;915;57000.0;;;57000.0
42;Totaal aardgas;13-15 Textiel-, kleding-, lederindustrie;2019;1650;78600.0;;;78600.0
43;Totaal aardgas;13-15 Textiel-, kleding-, lederindustrie;2020;1630;104500.0;;;104500.0
44;Totaal aardgas;13-15 Textiel-, kleding-, lederindustrie;2022;1710;62700.0;;;62700.0
45;Totaal aardgas;14 Kledingindustrie;2019;595;1600.0;;;1600.0
46;Totaal aardgas;14 Kledingindustrie;2020;565;1500.0;;;1500.0
47;Totaal aardgas;14 Kledingindustrie;2022;585;900.0;;;900.0
48;Totaal aardgas;15 Leer- en schoenenindustrie;2019;200;5700.0;;;5700.0
49;Totaal aardgas;15 Leer- en schoenenindustrie;2020;195;7500.0;;;7500.0
50;Totaal aardgas;15 Leer- en schoenenindustrie;2022;210;4800.0;;;4800.0
51;Totaal aardgas;16 Houtindustrie;2019;1340;11300.0;300.0;;11000.0
52;Totaal aardgas;16 Houtindustrie;2020;1385;8200.0;300.0;;7900.0
53;Totaal aardgas;16 Houtindustrie;2022;1480;11500.0;300.0;;11200.0
54;Totaal aardgas;17-18 Papier- en grafische industrie;2019;1870;519800.0;273000.0;;246700.0
55;Totaal aardgas;17-18 Papier- en grafische industrie;2020;1810;478800.0;246500.0;;232300.0
56;Totaal aardgas;17-18 Papier- en grafische industrie;2022;1700;481900.0;225400.0;;256500.0
57;Totaal aardgas;17 Papierindustrie;2019;295;496600.0;273000.0;;223500.0
58;Totaal aardgas;17 Papierindustrie;2020;300;463300.0;246500.0;;216800.0
59;Totaal aardgas;17 Papierindustrie;2022;290;462000.0;225400.0;;236600.0
60;Totaal aardgas;18 Grafische industrie;2019;1570;23200.0;;;23200.0
61;Totaal aardgas;18 Grafische industrie;2020;1510;15500.0;;;15500.0
62;Totaal aardgas;18 Grafische industrie;2022;1410;19900.0;;;19900.0
63;Totaal aardgas;19 Aardolie-industrie;2019;10;1629200.0;425600.0;;1203600.0
64;Totaal aardgas;19 Aardolie-industrie;2020;10;1628100.0;498900.0;;1129200.0
65;Totaal aardgas;19 Aardolie-industrie;2022;10;651800.0;283400.0;;368300.0
66;Totaal aardgas;20-21 Chemie en farmaceutische industrie;2019;775;6750600.0;1084300.0;3495600.0;2170800.0
67;Totaal aardgas;20-21 Chemie en farmaceutische industrie;2020;795;7203500.0;1839300.0;3284100.0;2080100.0
68;Totaal aardgas;20-21 Chemie en farmaceutische industrie;2022;785;5330600.0;1549600.0;2153400.0;1627600.0
69;Totaal aardgas;Basischemie, excl. ov. anorg basischemie;2019;240;6023700.0;740100.0;3495600.0;1788000.0
70;Totaal aardgas;Basischemie, excl. ov. anorg basischemie;2020;230;6485100.0;1518500.0;3284100.0;1682500.0
71;Totaal aardgas;Basischemie, excl. ov. anorg basischemie;2022;230;4617500.0;1211400.0;2153400.0;1252600.0
72;Totaal aardgas;2013 Overige anorganische basischemie;2019;20;495600.0;331100.0;;164500.0
73;Totaal aardgas;2013 Overige anorganische basischemie;2020;20;496600.0;312300.0;;184300.0
74;Totaal aardgas;2013 Overige anorganische basischemie;2022;20;487900.0;330300.0;;157600.0
75;Totaal aardgas;Overige chemie, farmaceutische industrie;2019;515;231300.0;13100.0;;218300.0
76;Totaal aardgas;Overige chemie, farmaceutische industrie;2020;545;221800.0;8500.0;;213300.0
77;Totaal aardgas;Overige chemie, farmaceutische industrie;2022;540;225200.0;7900.0;;217300.0
78;Totaal aardgas;22 Rubber- en kunststofproductindustrie;2019;1045;110700.0;;;110700.0
79;Totaal aardgas;22 Rubber- en kunststofproductindustrie;2020;1030;106300.0;;;106300.0
80;Totaal aardgas;22 Rubber- en kunststofproductindustrie;2022;1050;98800.0;700.0;;98100.0
81;Totaal aardgas;23 Bouwmaterialenindustrie;2019;990;528900.0;6100.0;;522800.0
82;Totaal aardgas;23 Bouwmaterialenindustrie;2020;960;500600.0;6200.0;;494400.0
83;Totaal aardgas;23 Bouwmaterialenindustrie;2022;985;539600.0;6100.0;;533500.0
84;Totaal aardgas;231-234 Glas- en glaswerkindustrie, voor;2019;340;393200.0;800.0;;392400.0
85;Totaal aardgas;231-234 Glas- en glaswerkindustrie, voor;2020;330;378400.0;900.0;;377500.0
86;Totaal aardgas;231-234 Glas- en glaswerkindustrie, voor;2022;350;440600.0;700.0;;439900.0
87;Totaal aardgas;235-239 Overige bouwmaterialenindustrie;2019;650;135700.0;5300.0;0.0;130400.0
88;Totaal aardgas;235-239 Overige bouwmaterialenindustrie;2020;630;122200.0;5300.0;0.0;116900.0
89;Totaal aardgas;235-239 Overige bouwmaterialenindustrie;2022;635;99000.0;5400.0;;93600.0
90;Totaal aardgas;24 Basismetaalindustrie;2019;260;454300.0;32200.0;;422200.0
91;Totaal aardgas;24 Basismetaalindustrie;2020;185;422300.0;35300.0;;387000.0
92;Totaal aardgas;24 Basismetaalindustrie;2022;230;368700.0;29500.0;;339200.0
93;Totaal aardgas;IJzer- en staalindustrie;2019;150;364600.0;32200.0;;332500.0
94;Totaal aardgas;IJzer- en staalindustrie;2020;145;350400.0;35300.0;;315100.0
95;Totaal aardgas;IJzer- en staalindustrie;2022;130;292800.0;29500.0;;263200.0
96;Totaal aardgas;Non-ferrometaalindustrie;2019;110;89700.0;;;89700.0
97;Totaal aardgas;Non-ferrometaalindustrie;2020;35;72000.0;;;72000.0
98;Totaal aardgas;Non-ferrometaalindustrie;2022;100;75900.0;;;75900.0
99;Totaal aardgas;25 Metaalproductenindustrie;2019;6570;175200.0;;;175200.0
100;Totaal aardgas;25 Metaalproductenindustrie;2020;6660;169400.0;;;169400.0
101;Totaal aardgas;25 Metaalproductenindustrie;2022;6825;151200.0;;;151200.0
102;Totaal aardgas;26-28 Elektrotechn. en machine-industrie;2019;3960;154200.0;;;154200.0
103;Totaal aardgas;26-28 Elektrotechn. en machine-industrie;2020;3720;134000.0;;;134000.0
104;Totaal aardgas;26-28 Elektrotechn. en machine-industrie;2022;3640;95500.0;;;95500.0
105;Totaal aardgas;29 Auto- en aanhangwagenindustrie;2019;485;43800.0;;;43800.0
106;Totaal aardgas;29 Auto- en aanhangwagenindustrie;2020;475;35100.0;;;35100.0
107;Totaal aardgas;29 Auto- en aanhangwagenindustrie;2022;495;33400.0;;;33400.0
108;Totaal aardgas;29-30 Transportmiddelenindustrie;2019;1105;64400.0;;;64400.0
109;Totaal aardgas;29-30 Transportmiddelenindustrie;2020;1075;55600.0;;;55600.0
110;Totaal aardgas;29-30 Transportmiddelenindustrie;2022;1085;53300.0;;;53300.0
111;Totaal aardgas;30 Overige transportmiddelenindustrie;2019;620;20600.0;;;20600.0
112;Totaal aardgas;30 Overige transportmiddelenindustrie;2020;600;20500.0;;;20500.0
113;Totaal aardgas;30 Overige transportmiddelenindustrie;2022;590;19900.0;;;19900.0
114;Totaal aardgas;31-33 Overige industrie en reparatie;2019;8665;57300.0;;;57300.0
115;Totaal aardgas;31-33 Overige industrie en reparatie;2020;8785;61600.0;;;61600.0
116;Totaal aardgas;31-33 Overige industrie en reparatie;2022;9515;40700.0;;;40700.0
117;Totaal aardgas;31 Meubelindustrie;2019;3065;30200.0;;;30200.0
118;Totaal aardgas;31 Meubelindustrie;2020;3090;26700.0;;;26700.0
119;Totaal aardgas;31 Meubelindustrie;2022;3315;18000.0;;;18000.0
120;Totaal aardgas;32 Overige industrie;2019;2025;7900.0;;;7900.0
121;Totaal aardgas;32 Overige industrie;2020;2020;15400.0;;;15400.0
122;Totaal aardgas;32 Overige industrie;2022;2080;8100.0;;;8100.0
123;Totaal aardgas;33 Reparatie en installatie van machines;2019;3575;19200.0;;;19200.0
124;Totaal aardgas;33 Reparatie en installatie van machines;2020;3680;19500.0;;;19500.0
125;Totaal aardgas;33 Reparatie en installatie van machines;2022;4120;14700.0;;;14700.0
126;Totaal aardgas;D Energievoorziening;2019;25;12157200.0;11895100.0;;262100.0
127;Totaal aardgas;D Energievoorziening;2020;25;11765200.0;11492100.0;;273100.0
128;Totaal aardgas;D Energievoorziening;2022;25;7526600.0;7324200.0;;202400.0
129;Totaal aardgas;E Waterbedrijven en afvalbeheer;2019;1110;119200.0;40800.0;;78400.0
130;Totaal aardgas;E Waterbedrijven en afvalbeheer;2020;1080;125000.0;49100.0;;75900.0
