ID;Sectoren;Perioden;TotaalMiddelen_1;InvoerVanGoederenEnDiensten_2;TotaalProductie_3;Marktproductie_4;OutputVoorEigenFinaalGebruik_5;OverigeNietMarktproductie_6;SaldoVanProductgebBelastEnSubs_7;VerschilToegerekendeEnAfgedragenBTW_8;TotaalBeloningVanWerknemers_9;Lonen_10;SocialePremiesTLVWerkgevers_11;TotaalBelastingenProductieEnInvoer_12;TotaalBelastProdEnInvoerProductg_13;BelastingOverToegevoegdeWaardeBTW_14;BelastingOpInvoerExclBTW_15;OverigeProductgebondenBelastingen_16;BelastOpProdEnInvoerNietProductg_17;TotaalSubsidies_18;SubsidiesProductgebonden_19;SubsidiesNietProductgebonden_20;TotaalInkomenUitVermogen_21;Rente_22;TotaalWinstuitkeringen_23;Dividenden_24;InkomenOnttrokkenAanQuasiVennootsch_25;IngehoudenWinstenOpDirBuitenlInv_26;InkUitVermToegerAanPolishouders_27;InkomenUitGrondEnMineraleReserves_28;TotaalBelastingenInkomenEnVermogen_29;BelastingenOpInkomen_30;BelastingenOpVermogen_31;TotaalSocialePremiesEnUitkeringen_32;TotaalSocialePremies_33;TotaalWerkelijkeSocialePremies_34;PremiesWettelijkeSocialeVerzekering_35;Pensioenpremies_36;OverigeParticuliereSocialePremies_37;ToegerekendeSocialePremies_38;TotaalSocialeUitkeringenInGeld_39;UitkeringenWettelSocialeVerzekering_40;TotPartUitkSocVerzFondsvorm_41;Pensioenuitkeringen_42;OverigeParticuliereSocialeUitkeringen_43;UitkeringenRechtstreeksDoorWerkgevers_44;UitkeringenSocialeVoorzieningInGeld_45;TotaalOverigeInkomensoverdrachten_46;Schadeverzekeringspremies_47;Schadeverzekeringsuitkeringen_48;InkomensoverdrachtenBinnenDeOverheid_49;InkOverdrIvmInternatSamenwerking_50;OverigeInkomensoverdrachtenNEG_51;CorrectiePensioenvoorziening_52;TotaalKapitaaloverdrachten_53;Vermogensheffingen_54;TotaalKapOverdrExclVermogensheff_55;Investeringsbijdragen_56;OverigeKapitaaloverdrachten_57;TotaalBestedingen_58;UitvoerVanGoederenEnDiensten_59;IntermediairVerbruik_60;TotaalBeloningVanWerknemers_61;Lonen_62;SocialePremiesTLVWerkgevers_63;TotaalBelastingenProductieEnInvoer_64;BelastOpProdEnInvoerProductg_65;BelastOpProdEnInvoerNietProductg_66;TotaalSubsidies_67;SubsidiesProductgebonden_68;SubsidiesNietProductgebonden_69;TotaalInkomenUitVermogen_70;Rente_71;TotaalWinstuitkeringen_72;Dividenden_73;InkomenOnttrokkenAanQuasiVennootsch_74;IngehoudenWinstenOpDirBuitenlInv_75;InkUitVermToegerAanPolishouders_76;InkomenUitGrondEnMineraleReserves_77;TotaalBelastingenInkomenEnVermogen_78;BelastingenOpInkomen_79;BelastingenOpVermogen_80;TotaalSocialePremiesEnUitkeringen_81;TotaalSocialePremies_82;TotaalWerkelijkeSocialePremies_83;PremiesWettelijkeSocialeVerzekering_84;Pensioenpremies_85;OverigeParticuliereSocialePremies_86;ToegerekendeSocialePremies_87;TotaalSocialeUitkeringenInGeld_88;UitkeringenWettelSocialeVerzekering_89;TotPartUitkSocVerzFondsvorm_90;Pensioenuitkeringen_91;OverigeParticuliereSocialeUitkeringen_92;UitkeringenRechtstreeksDoorWerkgevers_93;UitkeringenSocialeVoorziening_94;TotaalOverigeInkomensoverdrachten_95;Schadeverzekeringspremies_96;Schadeverzekeringsuitkeringen_97;InkomensoverdrachtenBinnenDeOverheid_98;InkOverdrIvmInternatSamenwerking_99;OverigeInkomensoverdrachtenNEG_100;TotaalConsumptieveBestedingen_101;CollectieveConsumptie_102;TotaalIndividueleConsumptie_103;TotaalSocialeOverdrachtenInNatura_104;TotaalSocialeUitkeringenInNatura_105;UitkeringenSocVoorzieningInNatura_106;WettUitkSocVerzekeringInNatura_107;SocOverdrIndividueleNietMarktprod_108;OverigeIndividueleConsumptieHuish_109;TotaalKapitaaloverdrachten_110;Vermogensheffingen_111;TotaalKapOverdrExclVermogensheff_112;Investeringsbijdragen_113;OverigeKapitaaloverdrachten_114;TotaalInvesteringen_115;TotaalInvesteringenVasteActivaBruto_116;Afschrijvingen_117;InvesteringenInVasteActivaNetto_118;TotVerandInVoorradenInclKostb_119;VeranderingenInVoorraden_120;SaldoAanEnVerkopenKostbaarheden_121;SaldoAVNietGeprodNietFinActiva_122
0;Totale economie NL;2001 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Totale economie NL;2001 2e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Totale economie NL;2001 3e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Totale economie NL;2001 4e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Totale economie NL;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Totale economie NL;2002 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Totale economie NL;2002 2e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Totale economie NL;2002 3e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Totale economie NL;2002 4e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Totale economie NL;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Totale economie NL;2003 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Totale economie NL;2003 2e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Totale economie NL;2003 3e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Totale economie NL;2003 4e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Totale economie NL;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Totale economie NL;2004 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Totale economie NL;2004 2e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Totale economie NL;2004 3e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Totale economie NL;2004 4e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Totale economie NL;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Totale economie NL;2005 1e kwartaal;472147.0;0.0;233249.0;206955.0;6962.0;19332.0;13986.0;0.0;59024.0;46034.0;12990.0;14390.0;13061.0;7431.0;1295.0;4335.0;1329.0;-1350.0;-672.0;-678.0;52306.0;26490.0;18016.0;17680.0;336.0;1026.0;6034.0;740.0;12653.0;11239.0;1414.0;52190.0;31334.0;28551.0;17415.0;10780.0;356.0;2783.0;20856.0;9183.0;6173.0;5817.0;356.0;2783.0;2717.0;31654.0;4388.0;4851.0;18582.0;55.0;3778.0;97.0;3948.0;342.0;3606.0;1624.0;1982.0;460412.0;0.0;122384.0;59189.0;46164.0;13025.0;14978.0;13649.0;1329.0;-1781.0;-989.0;-792.0;49391.0;28719.0;10422.0;9938.0;484.0;3407.0;6103.0;740.0;12520.0;11106.0;1414.0;52526.0;31150.0;28367.0;17341.0;10670.0;356.0;2783.0;21376.0;9496.0;6380.0;6024.0;356.0;2783.0;2717.0;34075.0;4851.0;4388.0;18582.0;940.0;5314.0;89595.0;12056.0;77539.0;17448.0;10172.0;1243.0;8929.0;7276.0;60091.0;4237.0;342.0;3895.0;1620.0;2275.0;23298.0;23186.0;18598.0;4588.0;112.0;131.0;-19.0;0.0
21;Totale economie NL;2005 2e kwartaal;537259.0;0.0;242705.0;213018.0;6935.0;22752.0;14290.0;0.0;73282.0;57244.0;16038.0;15736.0;14288.0;8719.0;1283.0;4286.0;1448.0;-1565.0;-837.0;-728.0;79226.0;29416.0;32613.0;32281.0;332.0;6514.0;9373.0;1310.0;14968.0;13450.0;1518.0;59990.0;35025.0;32067.0;16339.0;15364.0;364.0;2958.0;24965.0;11365.0;7521.0;7157.0;364.0;2958.0;3121.0;34793.0;4069.0;4532.0;22209.0;60.0;3923.0;99.0;3735.0;447.0;3288.0;1573.0;1715.0;528124.0;0.0;126782.0;73649.0;57531.0;16118.0;16305.0;14857.0;1448.0;-1902.0;-1070.0;-832.0;79003.0;29745.0;38010.0;37522.0;488.0;497.0;9441.0;1310.0;14283.0;12765.0;1518.0;60328.0;34840.0;31882.0;16263.0;15255.0;364.0;2958.0;25488.0;11680.0;7729.0;7365.0;364.0;2958.0;3121.0;36517.0;4532.0;4069.0;22209.0;628.0;5079.0;94576.0;13984.0;80592.0;19079.0;10311.0;1247.0;9064.0;8768.0;61513.0;4175.0;447.0;3728.0;1582.0;2146.0;24408.0;25493.0;18814.0;6679.0;-1085.0;-1109.0;24.0;0.0
22;Totale economie NL;2005 3e kwartaal;487055.0;0.0;233293.0;206491.0;7087.0;19715.0;13780.0;0.0;58176.0;45695.0;12481.0;15698.0;14335.0;8825.0;1274.0;4236.0;1363.0;-1553.0;-802.0;-751.0;69771.0;28079.0;32054.0;31725.0;329.0;1162.0;7565.0;911.0;13064.0;11702.0;1362.0;50851.0;30393.0;28113.0;15825.0;11916.0;372.0;2280.0;20458.0;9105.0;6420.0;6048.0;372.0;2280.0;2653.0;30551.0;4323.0;4784.0;17503.0;56.0;3885.0;100.0;3324.0;488.0;2836.0;1499.0;1337.0;482189.0;0.0;122795.0;58476.0;45931.0;12545.0;16288.0;14925.0;1363.0;-1827.0;-1009.0;-818.0;71549.0;29982.0;38191.0;37718.0;473.0;-5165.0;7630.0;911.0;12665.0;11303.0;1362.0;51185.0;30205.0;27925.0;15748.0;11805.0;372.0;2280.0;20980.0;9416.0;6631.0;6259.0;372.0;2280.0;2653.0;32449.0;4784.0;4323.0;17503.0;706.0;5133.0;92336.0;12339.0;79997.0;17901.0;10525.0;1242.0;9283.0;7376.0;62096.0;3660.0;488.0;3172.0;1506.0;1666.0;22613.0;22724.0;19035.0;3689.0;-111.0;-40.0;-71.0;0.0
23;Totale economie NL;2005 4e kwartaal;519617.0;0.0;252760.0;222886.0;7071.0;22803.0;15169.0;0.0;62949.0;49148.0;13801.0;18051.0;16592.0;11241.0;1243.0;4108.0;1459.0;-1732.0;-824.0;-908.0;64007.0;30869.0;29382.0;29057.0;325.0;-4081.0;5896.0;1941.0;17772.0;16249.0;1523.0;53160.0;32012.0;29327.0;16898.0;12050.0;379.0;2685.0;21148.0;9127.0;6646.0;6267.0;379.0;2685.0;2690.0;32222.0;4654.0;5114.0;18498.0;53.0;3903.0;102.0;5157.0;433.0;4724.0;2110.0;2614.0;508682.0;0.0;133864.0;63249.0;49385.0;13864.0;18721.0;17262.0;1459.0;-1981.0;-1038.0;-943.0;60631.0;31725.0;28776.0;28309.0;467.0;-7769.0;5958.0;1941.0;17569.0;16046.0;1523.0;53491.0;31822.0;29137.0;16819.0;11939.0;379.0;2685.0;21669.0;9435.0;6859.0;6480.0;379.0;2685.0;2690.0;34479.0;5114.0;4654.0;18498.0;879.0;5334.0;95521.0;14639.0;80882.0;18586.0;10422.0;1293.0;9129.0;8164.0;62296.0;5843.0;433.0;5410.0;2122.0;3288.0;27295.0;25613.0;19262.0;6351.0;1682.0;1527.0;155.0;0.0
