ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Waarde_3;CumulatieveWaarde_4
0;J Informatie en communicatie;2003 1e kwartaal;;;;
1;J Informatie en communicatie;2003 2e kwartaal;;;;
2;J Informatie en communicatie;2003 3e kwartaal;;;;
3;J Informatie en communicatie;2003 4e kwartaal;;;;
4;J Informatie en communicatie;2003;;;;
5;J Informatie en communicatie;2004 1e kwartaal;;;;
6;J Informatie en communicatie;2004 2e kwartaal;;;;
7;J Informatie en communicatie;2004 3e kwartaal;;;;
8;J Informatie en communicatie;2004 4e kwartaal;;;;
9;J Informatie en communicatie;2004;;;;
10;J Informatie en communicatie;2005 1e kwartaal;96.0;;;
11;J Informatie en communicatie;2005 2e kwartaal;99.0;;;
12;J Informatie en communicatie;2005 3e kwartaal;97.0;;;
13;J Informatie en communicatie;2005 4e kwartaal;108.0;100.0;;
14;J Informatie en communicatie;2005;100.0;100.0;;
15;J Informatie en communicatie;2006 1e kwartaal;102.0;102.0;6.7;6.7
16;J Informatie en communicatie;2006 2e kwartaal;104.0;103.0;4.8;5.7
17;J Informatie en communicatie;2006 3e kwartaal;103.0;104.0;6.3;5.9
18;J Informatie en communicatie;2006 4e kwartaal;117.0;107.0;8.7;6.7
19;J Informatie en communicatie;2006;107.0;107.0;6.7;6.7
20;J Informatie en communicatie;2007 1e kwartaal;110.0;109.0;7.3;7.3
21;J Informatie en communicatie;2007 2e kwartaal;112.0;111.0;8.3;7.8
22;J Informatie en communicatie;2007 3e kwartaal;110.0;112.0;6.4;7.3
23;J Informatie en communicatie;2007 4e kwartaal;121.0;113.0;3.0;6.2
24;J Informatie en communicatie;2007;113.0;113.0;6.2;6.2
25;J Informatie en communicatie;2008 1e kwartaal;111.0;113.0;0.9;0.9
26;J Informatie en communicatie;2008 2e kwartaal;115.0;114.0;2.0;1.5
27;J Informatie en communicatie;2008 3e kwartaal;112.0;115.0;1.8;1.6
28;J Informatie en communicatie;2008 4e kwartaal;124.0;115.0;2.7;1.9
29;J Informatie en communicatie;2008;115.0;115.0;1.9;1.9
30;J Informatie en communicatie;2009 1e kwartaal;114.0;116.0;2.7;2.7
31;J Informatie en communicatie;2009 2e kwartaal;113.0;116.0;-1.5;0.5
32;J Informatie en communicatie;2009 3e kwartaal;106.0;114.0;-5.0;-1.3
33;J Informatie en communicatie;2009 4e kwartaal;118.0;113.0;-5.1;-2.3
34;J Informatie en communicatie;2009;113.0;113.0;-2.3;-2.3
35;J Informatie en communicatie;2010 1e kwartaal;111.0;112.0;-2.7;-2.7
36;J Informatie en communicatie;2010 2e kwartaal;110.0;111.0;-2.3;-2.5
37;J Informatie en communicatie;2010 3e kwartaal;109.0;112.0;2.9;-0.8
38;J Informatie en communicatie;2010 4e kwartaal;120.0;113.0;1.8;-0.1
39;J Informatie en communicatie;2010;113.0;113.0;-0.1;-0.1
40;J Informatie en communicatie;2011 1e kwartaal;111.0;113.0;0.0;0.0
41;J Informatie en communicatie;2011 2e kwartaal;113.0;113.0;2.7;1.3
42;J Informatie en communicatie;2011 3e kwartaal;111.0;114.0;1.8;1.5
43;J Informatie en communicatie;2011 4e kwartaal;121.0;114.0;1.3;1.4
44;J Informatie en communicatie;2011;114.0;114.0;1.4;1.4
45;J Informatie en communicatie;2012 1e kwartaal;111.0;114.0;-0.1;-0.1
46;J Informatie en communicatie;2012 2e kwartaal;111.0;114.0;-2.2;-1.2
47;J Informatie en communicatie;2012 3e kwartaal;108.0;113.0;-2.9;-0.9
48;J Informatie en communicatie;2012 4e kwartaal;115.0;111.0;-4.9;-2.6
49;J Informatie en communicatie;2012;111.0;111.0;-2.6;-2.6
50;58-60 Uitgeverijen, film,radio en t.v.;2003 1e kwartaal;;;;
51;58-60 Uitgeverijen, film,radio en t.v.;2003 2e kwartaal;;;;
52;58-60 Uitgeverijen, film,radio en t.v.;2003 3e kwartaal;;;;
53;58-60 Uitgeverijen, film,radio en t.v.;2003 4e kwartaal;;;;
54;58-60 Uitgeverijen, film,radio en t.v.;2003;;;;
55;58-60 Uitgeverijen, film,radio en t.v.;2004 1e kwartaal;;;;
56;58-60 Uitgeverijen, film,radio en t.v.;2004 2e kwartaal;;;;
57;58-60 Uitgeverijen, film,radio en t.v.;2004 3e kwartaal;;;;
58;58-60 Uitgeverijen, film,radio en t.v.;2004 4e kwartaal;;;;
59;58-60 Uitgeverijen, film,radio en t.v.;2004;;;;
60;58-60 Uitgeverijen, film,radio en t.v.;2005 1e kwartaal;92.0;;;
61;58-60 Uitgeverijen, film,radio en t.v.;2005 2e kwartaal;99.0;;;
62;58-60 Uitgeverijen, film,radio en t.v.;2005 3e kwartaal;93.0;;;
63;58-60 Uitgeverijen, film,radio en t.v.;2005 4e kwartaal;116.0;100.0;;
64;58-60 Uitgeverijen, film,radio en t.v.;2005;100.0;100.0;;
65;58-60 Uitgeverijen, film,radio en t.v.;2006 1e kwartaal;97.0;101.0;5.5;5.5
66;58-60 Uitgeverijen, film,radio en t.v.;2006 2e kwartaal;104.0;103.0;5.3;5.4
67;58-60 Uitgeverijen, film,radio en t.v.;2006 3e kwartaal;98.0;104.0;5.2;5.3
68;58-60 Uitgeverijen, film,radio en t.v.;2006 4e kwartaal;123.0;105.0;5.7;5.4
69;58-60 Uitgeverijen, film,radio en t.v.;2006;105.0;105.0;5.4;5.4
70;58-60 Uitgeverijen, film,radio en t.v.;2007 1e kwartaal;103.0;107.0;5.9;5.9
71;58-60 Uitgeverijen, film,radio en t.v.;2007 2e kwartaal;110.0;108.0;6.0;5.9
72;58-60 Uitgeverijen, film,radio en t.v.;2007 3e kwartaal;103.0;110.0;5.5;5.8
73;58-60 Uitgeverijen, film,radio en t.v.;2007 4e kwartaal;130.0;111.0;5.5;5.7
74;58-60 Uitgeverijen, film,radio en t.v.;2007;111.0;111.0;5.7;5.7
75;58-60 Uitgeverijen, film,radio en t.v.;2008 1e kwartaal;104.0;112.0;1.6;1.6
76;58-60 Uitgeverijen, film,radio en t.v.;2008 2e kwartaal;112.0;112.0;1.8;1.7
77;58-60 Uitgeverijen, film,radio en t.v.;2008 3e kwartaal;105.0;113.0;1.7;1.7
78;58-60 Uitgeverijen, film,radio en t.v.;2008 4e kwartaal;131.0;113.0;1.3;1.6
79;58-60 Uitgeverijen, film,radio en t.v.;2008;113.0;113.0;1.6;1.6
80;58-60 Uitgeverijen, film,radio en t.v.;2009 1e kwartaal;112.0;115.0;6.9;6.9
81;58-60 Uitgeverijen, film,radio en t.v.;2009 2e kwartaal;116.0;116.0;4.1;5.5
82;58-60 Uitgeverijen, film,radio en t.v.;2009 3e kwartaal;106.0;116.0;0.7;3.9
83;58-60 Uitgeverijen, film,radio en t.v.;2009 4e kwartaal;134.0;117.0;2.4;3.5
84;58-60 Uitgeverijen, film,radio en t.v.;2009;117.0;117.0;3.5;3.5
85;58-60 Uitgeverijen, film,radio en t.v.;2010 1e kwartaal;108.0;116.0;-3.1;-3.1
86;58-60 Uitgeverijen, film,radio en t.v.;2010 2e kwartaal;113.0;115.0;-3.2;-3.2
87;58-60 Uitgeverijen, film,radio en t.v.;2010 3e kwartaal;111.0;117.0;5.0;-0.6
88;58-60 Uitgeverijen, film,radio en t.v.;2010 4e kwartaal;138.0;118.0;2.8;0.4
89;58-60 Uitgeverijen, film,radio en t.v.;2010;118.0;118.0;0.4;0.4
90;58-60 Uitgeverijen, film,radio en t.v.;2011 1e kwartaal;112.0;118.0;3.3;3.3
91;58-60 Uitgeverijen, film,radio en t.v.;2011 2e kwartaal;122.0;121.0;8.0;5.7
92;58-60 Uitgeverijen, film,radio en t.v.;2011 3e kwartaal;109.0;120.0;-2.2;3.1
93;58-60 Uitgeverijen, film,radio en t.v.;2011 4e kwartaal;137.0;120.0;-1.2;1.8
94;58-60 Uitgeverijen, film,radio en t.v.;2011;120.0;120.0;1.8;1.8
95;58-60 Uitgeverijen, film,radio en t.v.;2012 1e kwartaal;106.0;118.0;-5.0;-5.0
96;58-60 Uitgeverijen, film,radio en t.v.;2012 2e kwartaal;115.0;116.0;-5.9;-5.5
97;58-60 Uitgeverijen, film,radio en t.v.;2012 3e kwartaal;110.0;117.0;1.0;-3.5
98;58-60 Uitgeverijen, film,radio en t.v.;2012 4e kwartaal;132.0;116.0;-3.6;-3.5
99;58-60 Uitgeverijen, film,radio en t.v.;2012;116.0;116.0;-3.5;-3.5
100;58 Uitgeverijen;2003 1e kwartaal;;;;
101;58 Uitgeverijen;2003 2e kwartaal;;;;
102;58 Uitgeverijen;2003 3e kwartaal;;;;
103;58 Uitgeverijen;2003 4e kwartaal;;;;
104;58 Uitgeverijen;2003;;;;
105;58 Uitgeverijen;2004 1e kwartaal;;;;
106;58 Uitgeverijen;2004 2e kwartaal;;;;
107;58 Uitgeverijen;2004 3e kwartaal;;;;
108;58 Uitgeverijen;2004 4e kwartaal;;;;
109;58 Uitgeverijen;2004;;;;
110;58 Uitgeverijen;2005 1e kwartaal;90.0;;;
111;58 Uitgeverijen;2005 2e kwartaal;102.0;;;
112;58 Uitgeverijen;2005 3e kwartaal;100.0;;;
113;58 Uitgeverijen;2005 4e kwartaal;108.0;100.0;;
114;58 Uitgeverijen;2005;100.0;100.0;;
115;58 Uitgeverijen;2006 1e kwartaal;94.0;101.0;5.0;5.0
116;58 Uitgeverijen;2006 2e kwartaal;106.0;102.0;3.2;4.1
117;58 Uitgeverijen;2006 3e kwartaal;102.0;103.0;2.6;3.6
118;58 Uitgeverijen;2006 4e kwartaal;115.0;104.0;6.5;4.3
119;58 Uitgeverijen;2006;104.0;104.0;4.3;4.3
120;58 Uitgeverijen;2007 1e kwartaal;102.0;106.0;8.1;8.1
121;58 Uitgeverijen;2007 2e kwartaal;115.0;109.0;8.7;8.4
122;58 Uitgeverijen;2007 3e kwartaal;108.0;110.0;5.5;7.4
123;58 Uitgeverijen;2007 4e kwartaal;121.0;111.0;4.9;6.7
124;58 Uitgeverijen;2007;111.0;111.0;6.7;6.7
125;58 Uitgeverijen;2008 1e kwartaal;104.0;112.0;1.6;1.6
126;58 Uitgeverijen;2008 2e kwartaal;118.0;113.0;3.2;2.4
127;58 Uitgeverijen;2008 3e kwartaal;111.0;113.0;2.9;2.6
128;58 Uitgeverijen;2008 4e kwartaal;121.0;113.0;-0.2;1.8
129;58 Uitgeverijen;2008;113.0;113.0;1.8;1.8
130;58 Uitgeverijen;2009 1e kwartaal;97.0;112.0;-6.5;-6.5
131;58 Uitgeverijen;2009 2e kwartaal;112.0;110.0;-5.6;-6.0
132;58 Uitgeverijen;2009 3e kwartaal;103.0;108.0;-7.1;-6.4
133;58 Uitgeverijen;2009 4e kwartaal;114.0;106.0;-5.5;-6.1
134;58 Uitgeverijen;2009;106.0;106.0;-6.1;-6.1
