ID;BronTechniek;Perioden;GenormaliseerdeBrutoProductie_1;BrutoElektriciteitsproductie_2;NettoElektriciteitsproductie_3;GenormaliseerdeBrutoProductie_4;BrutoElektriciteitsproductie_5;NettoElektriciteitsproductie_6;OpgesteldeInstallatiesEindeVanJaar_7;OpgesteldElektrischVermogenEindeJaar_8
0;Totaal hernieuwbare energiebronnen;1990;809.0;807.0;725.0;1.0;0.99;0.92;;
1;Totaal hernieuwbare energiebronnen;1991;930.0;935.0;851.0;1.11;1.12;1.05;;
2;Totaal hernieuwbare energiebronnen;1992;982.0;994.0;898.0;1.14;1.16;1.08;;
3;Totaal hernieuwbare energiebronnen;1993;1128.0;1107.0;957.0;1.29;1.27;1.14;;
4;Totaal hernieuwbare energiebronnen;1994;1252.0;1257.0;1093.0;1.39;1.39;1.26;;
5;Totaal hernieuwbare energiebronnen;1995;1423.0;1404.0;1220.0;1.54;1.52;1.37;;
6;Totaal hernieuwbare energiebronnen;1996;1841.0;1816.0;1582.0;1.92;1.89;1.71;;
7;Totaal hernieuwbare energiebronnen;1997;2045.0;2015.0;1732.0;2.06;2.03;1.81;;
8;Totaal hernieuwbare energiebronnen;1998;2259.0;2328.0;2024.0;2.19;2.26;2.04;;
9;Totaal hernieuwbare energiebronnen;1999;2530.0;2509.0;2194.0;2.41;2.39;2.16;;
10;Totaal hernieuwbare energiebronnen;2000;2871.0;2979.0;2657.0;2.64;2.74;2.53;;
11;Totaal hernieuwbare energiebronnen;2001;3307.0;3309.0;2985.0;2.98;2.98;2.79;;
12;Totaal hernieuwbare energiebronnen;2002;4062.0;3981.0;3627.0;3.62;3.54;3.34;;
13;Totaal hernieuwbare energiebronnen;2003;4048.0;3969.0;3642.0;3.56;3.49;3.31;;
14;Totaal hernieuwbare energiebronnen;2004;5228.0;5314.0;4954.0;4.45;4.52;4.37;;
15;Totaal hernieuwbare energiebronnen;2005;7448.0;7452.0;7005.0;6.3;6.3;6.15;;
16;Totaal hernieuwbare energiebronnen;2006;7868.0;8049.0;7579.0;6.54;6.69;6.53;;
17;Totaal hernieuwbare energiebronnen;2007;7322.0;7584.0;7139.0;5.96;6.18;6.02;;
18;Totaal hernieuwbare energiebronnen;2008;9214.0;9533.0;8963.0;7.47;7.72;7.53;;
19;Totaal hernieuwbare energiebronnen;2009;10755.0;10835.0;10187.0;9.07;9.14;8.94;;
20;Totaal hernieuwbare energiebronnen;2010;11718.0;11196.0;10485.0;9.6;9.17;8.89;;
21;Totaal hernieuwbare energiebronnen;2011;11985.0;12320.0;11584.0;9.74;10.01;9.75;;
22;Totaal hernieuwbare energiebronnen;2012;12456.0;12481.0;11742.0;10.34;10.36;10.09;;
23;Totaal hernieuwbare energiebronnen;2013;11881.0;12106.0;11429.0;9.9;10.09;9.87;;
24;Totaal hernieuwbare energiebronnen;2014;11733.0;11648.0;10979.0;9.93;9.86;9.67;;
25;Totaal hernieuwbare energiebronnen;2015;13152.0;13685.0;13009.0;11.04;11.49;11.4;;
26;Totaal hernieuwbare energiebronnen;2016;15073.0;14777.0;14103.0;12.55;12.31;12.16;;
27;Totaal hernieuwbare energiebronnen;2017;16673.0;17437.0;16764.0;13.81;14.44;14.33;;
28;Totaal hernieuwbare energiebronnen;2018;18533.0;18892.0;18242.0;15.18;15.47;15.37;;
29;Totaal hernieuwbare energiebronnen;2019;22277.0;22796.0;22041.0;18.23;18.65;18.57;;
30;Totaal hernieuwbare energiebronnen;2020;31924.0;32740.0;31792.0;26.41;27.14;27.12;;
31;Totaal hernieuwbare energiebronnen;2021 ;40706.0;40433.0;38888.0;33.25;33.03;32.91;;
32;Totaal hernieuwbare energiebronnen;2022;46512.0;48093.0;46510.0;39.65;41.0;41.16;;
33;Totaal hernieuwbare energiebronnen;2023;53671.0;56779.0;55322.0;46.4;49.09;49.45;;
34;Totaal hernieuwbare energiebronnen;2024 ;;61911.0;60796.0;;52.06;52.45;;
35;Waterkracht;1990;85.0;85.0;85.0;0.1;0.1;0.11;5.0;37.0
36;Waterkracht;1991;95.0;104.0;104.0;0.11;0.12;0.13;5.0;37.0
37;Waterkracht;1992;103.0;120.0;120.0;0.12;0.14;0.14;5.0;37.0
38;Waterkracht;1993;100.0;92.0;92.0;0.11;0.11;0.11;5.0;37.0
39;Waterkracht;1994;100.0;100.0;100.0;0.11;0.11;0.11;5.0;37.0
40;Waterkracht;1995;98.0;88.0;88.0;0.11;0.1;0.1;5.0;37.0
41;Waterkracht;1996;96.0;80.0;80.0;0.1;0.08;0.09;5.0;37.0
42;Waterkracht;1997;95.0;92.0;92.0;0.1;0.09;0.1;5.0;37.0
43;Waterkracht;1998;97.0;112.0;112.0;0.09;0.11;0.11;5.0;37.0
44;Waterkracht;1999;96.0;90.0;90.0;0.09;0.09;0.09;5.0;37.0
45;Waterkracht;2000;100.0;142.0;142.0;0.09;0.13;0.14;6.0;37.0
46;Waterkracht;2001;102.0;117.0;117.0;0.09;0.11;0.11;6.0;37.0
47;Waterkracht;2002;103.0;110.0;110.0;0.09;0.1;0.1;6.0;37.0
48;Waterkracht;2003;100.0;72.0;72.0;0.09;0.06;0.07;6.0;37.0
49;Waterkracht;2004;100.0;95.0;95.0;0.09;0.08;0.08;6.0;37.0
50;Waterkracht;2005;100.0;88.0;88.0;0.08;0.07;0.08;6.0;37.0
51;Waterkracht;2006;100.0;106.0;106.0;0.08;0.09;0.09;6.0;37.0
52;Waterkracht;2007;99.0;107.0;107.0;0.08;0.09;0.09;6.0;37.0
53;Waterkracht;2008;100.0;102.0;102.0;0.08;0.08;0.09;6.0;37.0
54;Waterkracht;2009;100.0;98.0;98.0;0.08;0.08;0.09;6.0;37.0
55;Waterkracht;2010;101.0;105.0;105.0;0.08;0.09;0.09;7.0;37.0
56;Waterkracht;2011;100.0;57.0;57.0;0.08;0.05;0.05;7.0;37.0
