ID;Perioden;TotaalEnergieaanbodTPES_1;WinningTotaal_2;WinningVanSteenkool_3;WinningVanBruinkool_4;Invoer_5;Uitvoer_6;Bunkering_7;Voorraadmutatie_8;SteenkoolbrikettenProductie_9;ProductieTotaal_10;ProductieUitCokesfabrieken_11;ProductieOverig_12;ProductieOpenbareGasbedrijven_13;AfzetOpenbareDistributiebedrijven_14
0;1802;154.0;;15.0;;139.0;0.0;;;;;;;;
1;1803;108.0;;15.0;;94.0;0.0;;;;;;;;
2;1804;123.0;;16.0;;107.0;0.0;;;;;;;;
3;1805;125.0;;17.0;;108.0;0.0;;;;;;;;
4;1806;132.0;;16.0;;116.0;0.0;;;;;;;;
5;1807;104.0;;16.0;;88.0;0.0;;;;;;;;
6;1808;92.0;;26.0;;67.0;0.0;;;;;;;;
7;1809;90.0;;25.0;;65.0;0.0;;;;;;;;
8;1810;;;30.0;;;;;;;;;;;
9;1811;;;27.0;;;;;;;;;;;
10;1812;;;24.0;;;;;;;;;;;
11;1813;;;34.0;;;;;;;;;;;
12;1814;84.0;;41.0;;43.0;0.0;;;;;;;;
13;1815;89.0;;23.0;;67.0;1.0;;;;;;;;
14;1816;80.0;;22.0;;58.0;0.0;;;;;;;;
15;1817;115.0;;22.0;;93.0;1.0;;;;;;;;
16;1818;128.0;;24.0;;105.0;1.0;;;;;;;;
17;1819;133.0;;23.0;;112.0;1.0;;;;;;;;
18;1820;142.0;;23.0;;121.0;1.0;;;;;;;;
19;1821;148.0;;22.0;;127.0;1.0;;;;;;;;
20;1822;144.0;;20.0;;126.0;1.0;;;;;;;;
21;1823;148.0;;21.0;;129.0;2.0;;;;;;;;
22;1824;177.0;;16.0;;164.0;2.0;;;;;;;;
23;1825;213.0;;17.0;;199.0;3.0;;;;;;;;
24;1826;223.0;;16.0;;210.0;3.0;;;;;;;;
25;1827;236.0;;27.0;;212.0;3.0;;;;;;;;
26;1828;260.0;;30.0;;234.0;4.0;;;;;;;;
27;1829;249.0;;23.0;;231.0;4.0;;;;;;;;
28;1830;263.0;;32.0;;236.0;5.0;;;;;;;;
29;1831;204.0;;29.0;;179.0;4.0;;;;;;;;
30;1832;275.0;;28.0;;253.0;6.0;;;;;;;;
31;1833;247.0;;31.0;;222.0;6.0;;;;;;;;
32;1834;206.0;;23.0;;189.0;5.0;;;;;;;;
33;1835;242.0;;18.0;;231.0;7.0;;;;;;;;
34;1836;262.0;;22.0;;248.0;8.0;;;;;;;;
35;1837;295.0;;24.0;;281.0;10.0;;;;;;;;
36;1838;337.0;;25.0;;325.0;13.0;;;;;;;;
37;1839;323.0;;31.0;;305.0;13.0;;;;;;;;
38;1840;384.0;;43.0;;357.0;17.0;;;;;;;;
39;1841;350.0;;39.0;;327.0;17.0;;;;;;;;
40;1842;339.0;;28.0;;332.0;21.0;;;;;;;;
41;1843;367.0;;23.0;;361.0;17.0;;;;;;;;
42;1844;339.0;;25.0;;331.0;18.0;;;;;;;;
43;1845;488.0;;29.0;;484.0;25.0;;;;;;;;
44;1846;368.0;;36.0;;351.0;20.0;;;;;;;;
45;1847;462.0;;19.0;;461.0;18.0;;;;;;;;
46;1848;441.0;;19.0;;444.0;22.0;;;;;;;;
47;1849;445.0;;18.0;;446.0;18.0;;;;;;;;
48;1850;516.0;;17.0;;515.0;16.0;;;;;;;;
49;1851;488.0;;12.0;;491.0;15.0;;;;;;;;
50;1852;559.0;;16.0;;559.0;16.0;;;;;;;;
51;1853;530.0;;22.0;;518.0;10.0;;;;;;;;
52;1854;628.0;;29.0;;608.0;9.0;;;;;;;;
53;1855;700.0;;28.0;;683.0;11.0;;;;;;;;
54;1856;680.0;;28.0;;663.0;11.0;;;;;;;;
55;1857;672.0;;29.0;;654.0;11.0;;;;;;;;
56;1858;746.0;;28.0;;724.0;6.0;;;;;;;;
57;1859;788.0;;28.0;;766.0;6.0;;;;;;;;
58;1860;976.0;;26.0;;956.0;6.0;;;;;;;;
59;1861;860.0;;29.0;;840.0;9.0;;;;;;;;
60;1862;858.0;;24.0;;841.0;7.0;;;;;;;;
61;1863;851.0;;26.0;;830.0;5.0;;;;;;;;
62;1864;1258.0;;27.0;;1252.0;21.0;;;;;;;;
63;1865;1442.0;;27.0;;1429.0;14.0;;;;;;;;
64;1866;1540.0;;29.0;;1545.0;34.0;;;;;;;;
65;1867;1547.0;;31.0;;1596.0;80.0;;;;;;;;
66;1868;1606.0;;30.0;;1625.0;49.0;;;;;;;;
67;1869;1655.0;;31.0;;1658.0;34.0;;;;;;;;
68;1870;1851.0;;40.0;;1842.0;31.0;;;;;;;;
69;1871;1874.0;;45.0;;1860.0;31.0;;;;;;;;
70;1872;2004.0;;47.0;;1987.0;30.0;;;;;;;;
71;1873;1918.0;;62.0;;1970.0;114.0;;;;;;;;
72;1874;1777.0;;66.0;;1781.0;70.0;;;;;;;;
73;1875;2024.0;;64.0;;2049.0;89.0;;;;;;;;
74;1876;2332.0;;79.0;;2322.0;69.0;;;;;;;;
75;1877;2352.0;;56.0;;2361.0;65.0;;;;;;;;
76;1878;2505.0;;60.0;;2516.0;71.0;;;;;;;;
77;1879;2693.0;;69.0;;2693.0;69.0;;;;;;;;
78;1880;2978.0;;76.0;;2992.0;90.0;;;;;;;;
79;1881;3001.0;;80.0;;3015.0;94.0;;;;;;;;
80;1882;3027.0;;77.0;;3047.0;97.0;;;;;;;;
81;1883;3292.0;;84.0;;3320.0;112.0;;;;;;;;
82;1884;3347.0;;85.0;;3333.0;71.0;;;;;;;;
83;1885;3499.0;;83.0;;3487.0;71.0;;;;;;;;
84;1886;3527.0;;79.0;;3516.0;68.0;;;;;;;;
85;1887;3585.0;;89.0;;3573.0;77.0;;;;;;;;
86;1888;3990.0;;91.0;;3978.0;79.0;;;;;;;;
87;1889;3885.0;;101.0;;3922.0;138.0;;;;;;;;
88;1890;3744.0;;98.0;;3765.0;119.0;;;;;;;;
89;1891;4356.0;;100.0;;4384.0;128.0;;;;;;;;
