ID;HerkomstRDGelden;Perioden;TotaalNederland_1;DoorBedrijven_2;DoorParticuliereNonProfitinstellingen_3;DoorResearchinstellingen_4;DoorUniversiteiten_5;TotaalBuitenland_6;TotaalUitbestedeRD_7;VerrichteRDUitgavenEigenPersoneel_8
0;1;1990;578;157;45;279;97;153.0;725.0;4742.0
1;1;1991;624;169;54;310;91;153.0;780.0;5032.0
2;1;1992;644;177;64;311;92;141.0;785.0;5065.0
3;1;1993;705;241;64;292;108;143.0;850.0;5274.0
4;1;1994;948;242;42;363;301;199.0;1148.0;5663.0
5;1;1995;912;211;40;355;306;190.0;1103.0;6007.0
6;1;1996;979;278;49;343;309;231.0;1209.0;6344.0
7;1;1997;1178;411;55;376;336;345.0;1523.0;6807.0
8;1;1998;1283;439;54;405;385;351.0;1635.0;6869.0
9;1;1999;1350;405;57;473;415;441.0;1792.0;7563.0
10;1;2000;1319;399;30;410;480;427.0;1746.0;7627.0
11;1;2001;1445;443;31;436;535;659.0;2104.0;8075.0
12;1;2002;1372;385;27;418;542;541.0;1913.0;8019.0
13;1;2003;1518;418;3;469;628;519.0;2037.0;8376.0
14;2;1990;266;113;12;129;12;151.0;418.0;2665.0
15;2;1991;270;102;15;136;17;151.0;422.0;2505.0
16;2;1992;277;97;20;141;19;139.0;415.0;2477.0
17;2;1993;270;93;20;133;24;141.0;411.0;2609.0
18;2;1994;383;152;5;161;65;189.0;572.0;2914.0
19;2;1995;394;137;6;181;70;182.0;576.0;3131.0
20;2;1996;474;224;4;177;69;222.0;697.0;3342.0
21;2;1997;640;349;4;206;81;333.0;972.0;3715.0
22;2;1998;701;380;4;224;93;339.0;1039.0;3721.0
23;2;1999;745;385;4;255;101;427.0;1172.0;4263.0
24;2;2000;769;386;2;232;149;425.0;1194.0;4457.0
25;2;2001;795;390;2;249;154;628.0;1423.0;4712.0
26;2;2002;712;349;2;207;154;532.0;1244.0;4543.0
27;2;2003;755;398;0;196;161;500.0;1255.0;4804.0
28;3;1990;84;10;20;23;31;0.0;82.0;104.0
29;3;1991;92;14;24;23;31;0.0;90.0;118.0
30;3;1992;96;15;25;22;34;0.0;93.0;132.0
31;3;1993;119;47;27;10;35;0.0;117.0;132.0
32;3;1994;151;7;30;21;93;0.0;152.0;59.0
33;3;1995;166;5;28;20;113;0.0;166.0;59.0
34;3;1996;179;3;38;22;116;0.0;179.0;61.0
35;3;1997;189;3;44;22;120;0.0;191.0;66.0
36;3;1998;225;3;44;21;157;0.0;225.0;67.0
37;3;1999;275;3;46;50;176;0.0;276.0;67.0
38;3;2000;87;2;21;4;60;0.0;87.0;75.0
39;3;2001;99;6;26;7;60;0.0;99.0;65.0
40;3;2002;81;0;23;10;48;0.0;81.0;58.0
41;3;2003;110;5;3;45;57;0.0;110.0;3.0
42;4;1990;222;33;15;126;48;2.0;222.0;860.0
43;4;1991;255;53;17;150;35;2.0;255.0;922.0
44;4;1992;266;65;23;145;33;2.0;264.0;933.0
45;4;1993;312;101;20;147;44;2.0;311.0;957.0
46;4;1994;403;83;6;177;137;10.0;412.0;1056.0
47;4;1995;342;70;5;149;118;8.0;350.0;1087.0
48;4;1996;322;51;6;141;124;8.0;330.0;1125.0
49;4;1997;336;59;6;142;129;12.0;348.0;1166.0
50;4;1998;348;56;6;155;131;12.0;360.0;1217.0
51;4;1999;318;18;6;162;132;14.0;332.0;1250.0
52;4;2000;451;11;6;168;266;2.0;453.0;975.0
53;4;2001;542;46;3;173;320;31.0;573.0;1114.0
54;4;2002;568;36;2;190;340;9.0;577.0;1106.0
55;4;2003;641;15;0;216;410;19.0;660.0;1213.0
56;5;1990;11;0;0;5;6;0.0;11.0;1402.0
57;5;1991;13;0;1;5;7;0.0;14.0;1487.0
58;5;1992;13;0;1;5;7;0.0;13.0;1523.0
59;5;1993;12;0;2;5;5;0.0;12.0;1577.0
60;5;1994;11;0;1;4;6;0.0;11.0;1635.0
61;5;1995;11;0;1;5;5;0.0;10.0;1730.0
62;5;1996;4;0;1;3;0;0.0;4.0;1816.0
63;5;1997;12;0;1;5;6;0.0;12.0;1860.0
64;5;1998;11;0;1;5;5;0.0;11.0;1865.0
65;5;1999;12;0;1;6;5;0.0;12.0;1983.0
66;5;2000;12;0;1;6;5;0.0;12.0;2120.0
