ID;SBI93GrootteklasseWerknemers;BedrijvenMetBedrijfsopleidingen_1;EigenOfGedeeldOpleidingscentrum_2;VerantwoordelijkeVoorBedrijfsopleiding_3;GedocumenteerdOpleidingsprogramma_4;SpecifiekBudgetBedrijfsopleidingen_5;Nooit_6;Soms_7;Vaak_8;Altijd_9;Nooit_10;Soms_11;Vaak_12;Altijd_13;Nooit_14;Soms_15;Vaak_16;Altijd_17;Nooit_18;Soms_19;Vaak_20;Altijd_21;Nooit_22;Soms_23;Vaak_24;Altijd_25;Nooit_26;Soms_27;Vaak_28;Altijd_29;Nooit_30;Soms_31;Vaak_32;Altijd_33;Ja_34;Nee_35;WeetNiet_36;GesubsidieerdAdviesorgaan_37;Subsidies_38;Belastingaftrek_39;ProcVaststellingKwaliteitOpleiders_40;ErkendeKwalificatiesEnDiplomaS_41;MetFormeleInspraakorganisatie_42;FormulerenDoelenEnPrioriteiten_43;VaststellenDoelgroepen_44;VaststellenOnderwerpen_45;VaststellenBudget_46;SelectieExterneOpleidingsinstituten_47;EvaluatieBedrijfsopleidingen_48;AllochtoneMedewerkers_49;GehandicapteMedewerkers_50;LaagEnOngeschooldeMedewerkers_51;MetOntslagBedreigdeMedewerkers_52;ParttimeContract_53;TijdelijkContract_54;BedrijvenMetMinderBedrijfsopleidingen_55;TeHogeKosten_56;GebrekAanGeschikteOpleidingen_57;BehoeftenMoeilijkVastTeStellen_58;InvesteringenRecentGedaan_59;HogeWerkdrukEnBeperkteTijd_60;HuidigeKennisEnVaardighedenOpNiveau_61;NadrukOpInvesteringenInLeerbanen_62;AndereRedenen_63;BedrijvenZonderOpleidingen_64;HuidigeKennisEnVaardighedenOpNiveau_65;PersoneelInDienstGenomen_66;BehoeftenMoeilijkVastTeStellen_67;GebrekAanGeschikteOpleidingen_68;HogeKosten_69;NadrukOpInvesteringenInLeerbanen_70;InvesteringenOpleidingenRecentGedaan_71;HogeWerkdrukEnBeperkteTijd_72;AndereRedenen_73;BedrijvenMetLeerbanen_74;AantalLeerbanen_75;AantalLeerbanenPer100Werknemers_76;LeerbanenMannenPer100Mannen_77;LeerbanenVrouwenPer100Vrouwen_78;LeerbanenPer100WerknMetLeerbanen_79;LeerbanenMannenMetLeerbanen_80;LeerbanenVrouwenMetLeerbanen_81;ArbKostenLeerbanenTovTotArbKosten_82;TotaleKostenLeerbTovTotArbKosten_83;BedrijvenMetBijdragenExterneFondsen_84;BedrijvenMetOntvangenSubsidies_85
0;Totaal bedrijven;71;9;14;22;27;47;39;7;5;53;32;9;3;14;54;22;8;43;30;12;12;52;28;11;5;38;37;15;5;61;25;6;3;56;9;33;8;26;28;8;36;22;33;26;28;11;10;19;10;4;18;9;18;17;18;42;18;26;7;55;23;2;31;29;68;35;11;2;10;3;9;19;23;39;79;2;2;2;5;5;4;3.0;3.0;41;41
1;C Winning van delfstoffen;84;18;14;37;35;47;38;11;0;46;35;11;5;12;53;21;11;23;46;21;5;50;29;16;0;34;45;16;0;55;32;7;0;60;7;30;3;23;20;8;50;42;25;25;29;10;18;24;17;5;15;21;14;17;6;0;46;23;0;100;0;0;54;16;74;27;11;11;11;0;8;11;0;48;0;1;1;1;4;4;2;1.0;1.0;50;49
2;D Industrie;73;6;18;24;27;49;39;6;4;54;31;9;4;15;53;20;10;40;34;13;10;52;30;11;4;40;37;15;4;59;29;7;2;53;11;34;12;36;30;8;37;34;29;24;26;12;7;15;13;6;25;11;17;14;20;35;15;31;6;60;20;4;36;27;71;36;10;6;17;5;7;21;19;39;13;2;2;1;4;4;3;1.0;1.0;42;41
3;E Productie en distributie van en ..;97;23;26;27;72;14;61;21;5;26;52;18;5;0;25;66;9;18;51;25;6;29;48;18;4;18;58;24;0;50;34;14;2;38;17;45;14;41;31;11;56;86;34;33;36;17;16;18;14;6;34;35;20;16;9;0;0;29;27;46;27;0;44;3;50;0;0;0;0;0;0;0;50;35;0;1;1;0;2;2;1;0.0;0.0;28;25
4;45 Bouwnijverheid;77;6;15;31;20;41;40;8;6;53;33;9;1;14;60;17;5;48;31;10;7;50;32;10;1;38;42;10;2;60;24;6;1;35;19;41;13;35;42;11;44;15;40;38;38;14;15;37;5;7;20;3;9;18;18;55;33;12;7;57;26;2;18;23;70;15;11;4;2;2;28;21;17;47;11;4;4;1;7;7;2;6.0;7.0;48;48
5;G Reparatie van consumentenartikelen ..;68;10;13;22;21;49;36;8;6;57;30;8;4;15;58;20;7;43;29;12;14;52;28;11;6;43;29;19;5;62;26;6;2;61;7;30;7;22;25;8;30;12;25;18;23;8;9;11;6;2;12;5;13;13;16;47;25;26;11;53;22;2;30;32;73;39;13;2;11;2;6;20;20;40;22;3;3;2;5;5;4;10.0;10.0;42;41
6;55 Logies-, maaltijden- en ..;54;7;3;9;18;56;35;1;3;69;26;1;1;21;54;19;3;54;26;5;12;63;23;7;4;39;38;16;4;67;20;6;4;39;7;49;10;32;38;7;35;9;40;12;14;2;1;9;5;5;13;5;25;28;18;53;0;42;0;59;23;0;39;46;78;43;14;0;14;7;8;21;14;51;6;4;5;3;6;8;5;2.0;2.0;47;48
7;I Vervoer, opslag en communicatie;65;7;12;17;16;41;44;8;7;53;38;6;2;20;55;18;6;52;26;9;12;56;27;8;7;44;33;15;5;64;24;6;4;52;10;38;9;35;25;9;48;24;39;44;47;3;12;23;7;4;18;13;23;14;19;45;8;13;12;60;25;4;26;35;74;48;9;1;2;2;12;18;19;36;5;1;1;1;4;4;3;1.0;1.0;42;38
8;J Financiële instellingen;80;8;4;21;28;57;29;7;5;51;34;9;3;14;51;24;9;51;29;10;6;62;17;12;3;45;35;12;4;67;23;5;0;66;3;28;1;11;16;7;39;16;23;23;24;20;6;21;10;4;12;9;19;13;17;14;9;32;12;46;17;6;48;20;50;17;6;4;13;4;4;9;33;32;3;1;2;1;3;3;2;0.0;0.0;44;45
9;K VH en handel in onroerend goed, ..;75;13;15;21;37;45;39;9;4;45;35;13;4;7;48;32;10;39;29;15;15;51;26;12;7;31;44;12;9;60;24;7;5;68;5;26;5;16;23;6;34;27;40;27;27;12;12;21;15;1;21;12;23;22;18;35;12;30;5;53;27;0;35;25;54;31;8;0;7;1;6;15;34;32;13;2;2;2;5;5;5;1.0;1.0;34;34
10;O Milieudienstverlening, cultuur, ..;73;7;9;21;44;48;42;3;4;52;37;6;2;12;55;25;6;39;30;14;13;48;28;13;5;29;38;23;6;63;25;4;3;56;9;31;7;19;18;7;30;34;24;20;25;18;8;16;9;8;14;14;26;18;16;52;22;30;7;47;23;0;21;27;62;37;9;4;10;2;10;17;32;32;4;2;2;3;7;7;8;0.0;0.0;38;37
11;DA VV voedings- en genotmiddelen;65;4;11;25;22;40;47;7;3;62;28;6;1;31;50;13;3;45;41;7;5;58;27;7;2;48;35;9;2;66;24;4;1;54;9;36;11;27;32;13;38;36;17;17;20;11;5;12;13;3;23;13;8;6;6;36;15;36;3;64;26;7;28;35;77;38;12;3;21;6;12;28;10;43;2;1;2;1;4;4;3;1.0;1.0;45;46
12;1700a Textiel, kleding en ..;61;2;18;11;14;58;31;7;4;75;18;7;0;36;43;17;4;60;18;7;16;68;19;7;7;55;30;10;4;68;22;7;3;63;6;31;9;21;22;5;31;29;23;7;15;3;4;8;18;0;15;3;8;15;9;26;4;15;0;29;4;0;72;39;71;27;16;16;5;4;13;20;15;14;0;1;1;1;3;3;3;1.0;1.0;39;38
13;"DE VV pulp, papier en papierwaren; ..";72;5;15;11;25;58;35;3;2;60;29;6;4;11;59;17;11;43;29;14;11;49;28;14;4;37;38;15;5;60;24;8;3;60;6;31;5;16;16;6;25;36;33;24;26;11;4;14;5;4;14;11;14;6;18;48;10;44;3;73;13;0;29;28;80;49;3;5;12;9;8;17;13;30;1;1;1;1;4;4;3;0.0;0.0;35;33
14;2300e Aardolie- en chemische industrie..;78;7;22;30;36;50;36;8;3;46;31;13;7;16;44;23;15;42;31;11;12;51;30;9;7;41;39;12;4;62;31;4;0;60;10;26;8;25;22;10;28;41;20;22;26;8;5;12;16;5;20;18;18;16;18;18;20;16;14;65;19;0;51;22;55;26;17;6;24;6;7;15;26;29;2;2;2;1;4;4;3;1.0;1.0;37;36
15;DJ VV metalen in primaire vorm en van ..;76;3;23;25;20;49;39;6;4;50;36;10;2;13;59;19;7;38;34;15;9;53;27;13;4;44;31;17;5;58;27;11;1;50;14;35;20;53;39;8;45;25;46;37;40;16;23;34;16;6;27;11;16;17;19;31;16;33;7;61;16;6;51;24;74;29;3;7;14;5;5;23;27;47;2;2;3;1;4;4;1;1.0;1.0;52;53
16;2900a Machine- en elektronica-industrie;82;8;20;31;34;48;42;5;4;52;33;7;8;9;49;26;15;35;36;17;11;46;37;11;4;34;41;19;5;52;40;5;1;44;14;40;14;44;34;6;42;33;30;25;23;12;4;13;11;2;32;8;22;16;18;35;14;29;4;56;19;3;29;18;74;58;27;14;22;4;4;14;10;46;2;2;2;1;4;4;3;1.0;1.0;44;43
17;DM Vervaardiging van transportmiddelen;71;10;20;23;34;45;38;11;2;59;26;9;2;5;68;18;4;40;36;11;8;55;28;9;2;35;40;17;3;52;27;13;1;56;8;31;12;35;31;3;44;39;25;8;13;9;2;11;12;7;24;7;22;28;16;55;20;39;11;60;15;3;27;29;73;46;5;0;14;9;0;13;36;42;1;2;2;1;3;3;1;0.0;1.0;40;41
18;20 Houtindustrie en vervaardiging van ..;64;9;11;22;25;47;37;5;9;55;30;10;2;18;52;18;10;42;32;11;11;58;25;9;4;39;36;17;4;64;21;6;4;54;10;33;9;37;33;10;38;35;32;28;25;15;6;10;16;19;28;7;15;12;18;25;21;24;5;50;44;14;38;36;61;15;0;0;16;1;9;30;27;40;3;2;2;2;4;4;3;1.0;1.0;33;30
19;50 Handel in en reparatie van auto's ..;75;5;19;36;18;41;29;15;13;48;33;8;8;9;56;25;8;36;23;21;19;47;26;19;6;42;29;24;3;54;33;11;0;53;9;36;10;28;30;9;46;11;14;28;54;18;19;7;6;2;22;3;13;23;22;63;20;1;4;42;24;0;34;25;57;35;5;0;3;0;5;19;15;63;4;5;5;1;7;8;2;;;54;53
20;51 Groothandel en handelsbemiddeling ..;70;13;16;14;21;54;35;7;3;57;31;8;4;18;53;20;8;43;28;11;16;57;26;9;5;47;28;18;5;64;26;5;3;68;2;29;3;15;20;7;24;14;23;16;17;7;7;11;5;2;8;6;13;9;17;34;20;44;2;69;25;0;34;30;83;42;17;0;6;0;5;16;21;30;5;2;2;1;5;5;4;0.0;0.0;34;33
21;52 Detailhandel en reparatie voor ..;62;9;5;26;21;46;43;4;5;63;26;7;3;13;65;17;4;45;33;9;8;47;33;10;6;38;31;20;5;62;24;6;1;54;14;30;11;28;31;10;29;11;35;15;17;5;7;14;7;1;14;3;13;11;22;54;33;18;22;41;18;4;24;38;66;36;11;4;19;4;7;26;21;44;13;3;3;3;4;4;4;1.0;1.0;49;47
22;6500c Bank-, verzekeringswezen, pensioen;71;10;4;25;33;58;24;9;4;47;32;12;3;17;49;22;7;53;25;9;5;61;18;5;3;50;30;8;5;72;15;4;0;54;5;36;3;17;21;8;27;22;26;24;23;23;6;21;12;8;20;15;21;15;18;18;6;39;15;47;22;8;37;29;58;16;5;5;16;5;5;11;32;39;3;1;2;1;3;3;2;0.0;0.0;42;45
23;67 Financiële beurzen, ..;91;5;4;17;24;56;34;4;6;54;36;7;2;11;52;27;11;49;33;10;7;63;15;18;3;40;40;16;3;62;30;6;0;77;1;22;0;5;10;5;49;10;17;21;26;15;4;19;8;1;4;4;18;11;13;0;18;9;0;41;3;0;85;9;21;21;9;0;0;0;0;0;36;23;0;1;1;1;3;3;3;0.0;0.0;46;45
24;10 tot 100 werknemers;69;7;12;20;23;50;37;6;5;56;31;7;3;15;56;20;7;46;30;11;11;54;27;10;5;40;36;14;5;62;24;6;3;57;8;33;8;24;27;7;35;16;35;28;30;12;12;21;8;3;17;6;17;16;17;44;19;27;8;55;25;2;28;31;69;35;11;2;10;3;9;19;22;39;48;3;3;3;7;8;6;1.0;1.0;42;41
25;100 tot 500 werknemers;94;19;29;43;59;27;55;15;3;29;42;21;7;4;42;41;14;24;34;22;19;38;34;21;6;24;43;25;6;56;35;7;1;49;17;33;12;40;34;14;44;76;26;21;23;10;5;14;15;5;22;17;26;18;21;30;10;15;6;58;16;3;54;6;62;40;2;2;17;3;3;15;31;38;11;1;2;1;4;4;3;;;40;39
26;500 en meer werknemers;97;51;36;70;84;11;54;30;3;16;39;34;9;3;21;59;17;10;27;37;25;20;42;29;6;16;49;27;6;46;38;11;2;40;27;31;15;60;48;18;54;94;34;28;31;17;8;18;23;16;36;36;24;24;19;34;11;28;3;56;6;2;55;3;45;39;0;0;19;0;6;19;67;50;21;2;1;2;3;3;3;1.0;1.0;37;40
27;10 tot 20 werknemers;64;6;8;15;17;54;33;6;4;60;29;6;2;18;57;17;5;50;26;10;10;57;25;8;6;43;35;11;6;64;21;6;3;57;6;34;7;20;25;6;31;6;47;36;40;11;24;21;6;4;12;4;14;16;17;47;21;30;4;54;28;1;24;36;67;35;10;2;7;3;11;18;22;38;23;4;5;4;10;10;9;1.0;1.0;43;42
28;20 tot 50 werknemers;75;8;15;22;24;47;38;6;7;55;31;8;3;13;57;21;8;44;33;10;11;54;29;11;4;39;36;17;5;61;27;6;2;56;8;34;8;26;28;8;37;17;35;28;28;12;12;24;10;3;21;7;20;18;17;41;17;25;12;58;21;3;29;25;73;34;13;3;15;4;5;23;22;39;17;3;3;2;6;7;5;1.0;1.0;39;38
