ID;Voertuigtype;Perioden;VoorDemontageVrijgekomenVoertuigen_1;Benzine_2;Diesel_3;LPG_4;Overige_5
0;Totaal voertuigtype;1996;266691;219956;28809;17923;3
1;Totaal voertuigtype;1997;273030;226037;30658;16335;0
2;Totaal voertuigtype;1998;260207;217550;27653;15003;1
3;Totaal voertuigtype;1999;285941;238178;31138;16625;0
4;Personenauto's;1996;253357;215196;21136;17022;3
5;Personenauto's;1997;259116;221097;22499;15520;0
6;Personenauto's;1998;247078;212687;20159;14232;0
7;Personenauto's;1999;270865;232990;22073;15802;0
8;Bedrijfsauto's totaal;1996;13334;4760;7673;901;0
9;Bedrijfsauto's totaal;1997;13914;4940;8159;815;0
10;Bedrijfsauto's totaal;1998;13129;4863;7494;771;1
11;Bedrijfsauto's totaal;1999;15076;5188;9065;823;0
12;Bestelauto's;1996;10891;4530;5470;891;0
13;Bestelauto's;1997;11298;4677;5824;797;0
14;Bestelauto's;1998;11378;4663;5967;747;1
15;Bestelauto's;1999;12962;5040;7120;802;0
16;Vrachtauto's;1996;1300;15;1284;1;0
17;Vrachtauto's;1997;1285;14;1270;1;0
18;Vrachtauto's;1998;860;7;853;0;0
19;Vrachtauto's;1999;1089;8;1081;0;0
20;Trekkers;1996;458;0;458;0;0
21;Trekkers;1997;615;0;615;0;0
22;Trekkers;1998;327;1;326;0;0
23;Trekkers;1999;472;0;472;0;0
24;Speciale voertuigen;1996;584;214;361;9;0
25;Speciale voertuigen;1997;641;249;375;17;0
26;Speciale voertuigen;1998;520;192;304;24;0
27;Speciale voertuigen;1999;528;140;369;19;0
28;Autobussen;1996;101;1;100;0;0
29;Autobussen;1997;75;0;75;0;0
30;Autobussen;1998;44;0;44;0;0
31;Autobussen;1999;25;0;23;2;0
