ID;Landen;Perioden;TotaleEconomie_1;k_0000bLandbouwBosbouwVisserijAB_2;k_1000gIndustrieWinningEn_3;DIndustrie_4;FBouwnijverheid_5;Diensten_6;GerelateerdAanBbp_7;GerelateerdAanTotalePubliekeInkoop_8;VoorOndernemerschap_9;VoorHandelEnInvesteringen_10;Prijsconvergentie_11;KostenVanOntslag_12;Ontslagbescherming_13;SoortenOntslagTotaal_14;BijIndividueelOntslag_15;BijTijdelijkeContracten_16;BijCollectiefOntslag_17;Staatssteun_18
0;Australië;1990;1.99;3.51;1.95;1.97;1.67;1.72;;;;;;;;;1.0;0.9;;
1;Australië;1991;2.0;3.65;1.97;2.05;1.73;1.71;;;;;;;;;1.0;0.9;;
2;Australië;1992;2.02;4.0;1.94;2.11;1.79;1.73;;;;;;;;;1.0;0.9;;
3;Australië;1993;2.03;4.02;1.98;2.17;1.88;1.74;;;;;;;;;1.0;0.9;;
4;Australië;1994;2.03;3.51;2.02;2.17;1.87;1.73;;;;;;;;;1.0;0.9;;
5;Australië;1995;2.0;4.09;2.07;2.08;1.78;1.71;;;;;;;;;1.0;0.9;;
6;Australië;1996;1.97;3.48;2.11;2.11;1.81;1.68;;;;;;;;;1.5;0.9;;
7;Australië;1997;2.0;3.74;2.11;2.2;1.87;1.69;;;;;;;;;1.5;0.9;;
8;Australië;1998;1.98;3.39;2.09;2.18;1.85;1.68;;;1.6;0.6;;;;1.5;1.5;0.9;2.9;
9;Australië;1999;2.0;3.83;2.14;2.23;1.84;1.69;;;;;;;;1.5;1.5;0.9;2.9;
10;Australië;2000;2.0;4.21;1.94;2.3;1.8;1.68;;;;;;;;1.5;1.5;0.9;2.9;
11;Australië;2001;2.05;5.21;2.01;2.31;1.81;1.7;;;;;;;;1.5;1.5;0.9;2.9;
12;Australië;2002;2.05;4.05;2.16;2.29;1.84;1.72;;;;;;;;1.5;1.5;0.9;2.9;
13;Australië;2003;2.07;4.37;2.18;2.34;1.95;1.73;;;1.3;0.4;;4.0;10.0;1.5;1.5;0.9;2.9;
14;Australië;2004;2.05;4.19;2.17;2.4;1.87;1.72;;;;;;4.0;10.0;1.5;1.5;0.9;2.9;
15;Australië;2005;2.05;4.34;2.13;2.55;1.85;1.7;;;;;;4.0;10.0;1.5;1.5;0.9;2.9;
