ID;Perioden;Top10;NaamVanHetBeursfonds_1;PercentageStijging_2;NaamVanHetBeursfonds_3;PercentageDaling_4
0;2001, april;1;GTI                                     ;48.6;ManagementShare                         ;-42.7
1;2001, april;2;Scala Business Solutions                ;33.3;CMG                                     ;-40.9
2;2001, april;3;Burgman Heybroek                        ;32.7;Seagull Holding                         ;-40.5
3;2001, april;4;Newconomy                               ;30.7;Buhrmann                                ;-34.0
4;2001, april;5;ASM International                       ;28.3;Magnus                                  ;-27.0
5;2001, april;6;Blydenstein Willink                     ;25.5;Kon. Begemann Groep                     ;-20.9
6;2001, april;7;Stork                                   ;25.5;CCS                                     ;-18.3
7;2001, april;8;Kon.KPN                                 ;24.6;DNC De Nederlanden Compagnie            ;-17.9
8;2001, april;9;HITT                                    ;24.2;Sopheon                                 ;-17.7
9;2001, april;10;Boskalis Westminster                    ;23.1;Versatel Telecom International          ;-16.7
10;2001, mei;1;Magnus                                  ;50.4;TIE Holding                             ;-30.3
11;2001, mei;2;Kon. Begemann Groep                     ;37.9;Newconomy                               ;-37.9
12;2001, mei;3;Kempen & Co.                            ;34.5;UPC                                     ;-20.0
13;2001, mei;4;Vedior                                  ;33.0;NedGraphics Holding                     ;-18.0
14;2001, mei;5;Laurus                                  ;30.0;Kon. KPN                                ;-18.0
15;2001, mei;6;Scala Business Solutions                ;27.5;Toolex International                    ;-17.0
16;2001, mei;7;Porceleijne Fles                        ;27.3;Mocintosh Retail Group                  ;-16.2
17;2001, mei;8;DPA Holding                             ;25.9;AEGON                                   ;-15.5
18;2001, mei;9;CMG                                     ;24.1;Devote                                  ;-12.3
19;2001, mei;10;Holland Colours                         ;23.9;Bever Holding                           ;-11.1
20;2001, juni;1;Crucell                                 ;35.5;Newconomy                               ;-62.1
21;2001, juni;2;Alanheri                                ;13.2;Toolex International                    ;-59.3
22;2001, juni;3;Hunter-Douglas                          ;12.5;Devote                                  ;-56.3
23;2001, juni;4;Unilever                                ;8.2;TIE Holding                             ;-47.1
24;2001, juni;5;HBG                                     ;7.7;UPC                                     ;-46.4
25;2001, juni;6;Amsterdam Commodities                   ;6.1;Buhrmann                                ;-40.6
26;2001, juni;7;AEGON                                   ;6.0;Kon. KPN                                ;-39.3
27;2001, juni;8;Rood Testhouse                          ;5.8;Versatel Telecom International          ;-34.0
