ID;RegioS;Perioden;JongerenMetJeugdhulpInNatura_1;JongerenMetJeugdhMetVerblInNat_2;JongerenMetJeugdbescherming_3;JeugdbeschEnJeugdhMetVerblInNat_4;JongerenMetJeugdreclassering_5
0;Nederland;1e kwartaal 2015;7.1;12.9;1.1;47.1;0.4
1;Nederland;1e halfjaar 2015;8.2;12.1;1.1;47.4;0.4
2;Nederland;2e halfjaar 2015;8.9;11.5;1.1;49.0;0.4
3;Nederland;2015;10.0;11.3;1.2;47.9;0.5
4;Nederland;1e halfjaar 2016;8.9;12.0;1.0;51.3;0.4
5;Nederland;2e halfjaar 2016;9.5;11.9;1.0;51.7;0.4
6;Nederland;2016;10.8;11.4;1.2;51.0;0.5
7;Nederland;1e halfjaar 2017;9.5;12.0;1.0;51.4;0.4
8;Nederland;2e halfjaar 2017;9.9;11.9;1.0;51.1;0.4
9;Nederland;2017;11.4;11.4;1.2;51.1;0.4
10;Nederland;1e halfjaar 2018;9.7;10.8;1.0;49.1;0.4
11;Nederland;2e halfjaar 2018;10.4;10.4;1.1;48.5;0.3
12;Nederland;2018;11.8;10.2;1.2;48.6;0.4
13;Nederland;1e halfjaar 2019;10.4;10.3;1.1;48.1;0.3
14;Nederland;2e halfjaar 2019;10.6;10.1;1.1;46.0;0.3
15;Nederland;2019;12.3;9.8;1.2;47.4;0.4
16;Nederland;1e halfjaar 2020;10.0;10.0;1.1;44.8;0.3
17;Nederland;2e halfjaar 2020;10.3;10.1;1.1;44.7;0.3
18;Nederland;2020;12.0;9.6;1.2;45.6;0.4
19;Noord-Nederland (LD);1e kwartaal 2015;;;;;
20;Noord-Nederland (LD);1e halfjaar 2015;;;;;
21;Noord-Nederland (LD);2e halfjaar 2015;;;;;
22;Noord-Nederland (LD);2015;;;;;
23;Noord-Nederland (LD);1e halfjaar 2016;9.7;12.9;1.2;53.6;0.4
24;Noord-Nederland (LD);2e halfjaar 2016;10.0;13.2;1.2;53.6;0.4
25;Noord-Nederland (LD);2016;11.2;12.7;1.3;53.9;0.5
26;Noord-Nederland (LD);1e halfjaar 2017;11.2;12.5;1.2;53.8;0.4
27;Noord-Nederland (LD);2e halfjaar 2017;11.7;12.5;1.2;53.4;0.4
28;Noord-Nederland (LD);2017;12.9;12.2;1.3;53.6;0.5
29;Noord-Nederland (LD);1e halfjaar 2018;10.8;13.1;1.2;51.8;0.4
30;Noord-Nederland (LD);2e halfjaar 2018;11.2;13.3;1.2;52.3;0.4
31;Noord-Nederland (LD);2018;12.6;12.7;1.3;51.9;0.4
32;Noord-Nederland (LD);1e halfjaar 2019;11.2;12.9;1.3;53.2;0.3
33;Noord-Nederland (LD);2e halfjaar 2019;11.1;13.1;1.3;52.6;0.3
34;Noord-Nederland (LD);2019;12.9;12.7;1.4;53.3;0.4
35;Noord-Nederland (LD);1e halfjaar 2020;10.7;12.1;1.3;49.2;0.3
36;Noord-Nederland (LD);2e halfjaar 2020;11.0;12.1;1.4;49.2;0.3
37;Noord-Nederland (LD);2020;12.6;11.9;1.5;50.8;0.4
38;Oost-Nederland (LD);1e kwartaal 2015;;;;;
39;Oost-Nederland (LD);1e halfjaar 2015;;;;;
40;Oost-Nederland (LD);2e halfjaar 2015;;;;;
41;Oost-Nederland (LD);2015;;;;;
42;Oost-Nederland (LD);1e halfjaar 2016;8.4;14.1;1.1;53.0;0.4
43;Oost-Nederland (LD);2e halfjaar 2016;9.0;14.0;1.1;54.4;0.3
44;Oost-Nederland (LD);2016;10.0;13.7;1.2;53.3;0.4
45;Oost-Nederland (LD);1e halfjaar 2017;9.0;14.6;1.1;55.7;0.3
46;Oost-Nederland (LD);2e halfjaar 2017;9.4;14.4;1.1;54.7;0.3
47;Oost-Nederland (LD);2017;10.6;14.0;1.2;55.3;0.4
48;Oost-Nederland (LD);1e halfjaar 2018;9.2;12.7;1.1;51.6;0.3
49;Oost-Nederland (LD);2e halfjaar 2018;9.8;12.4;1.1;51.0;0.3
50;Oost-Nederland (LD);2018;11.0;12.1;1.2;51.1;0.4
51;Oost-Nederland (LD);1e halfjaar 2019;9.8;12.2;1.2;49.9;0.3
52;Oost-Nederland (LD);2e halfjaar 2019;10.1;12.0;1.2;48.2;0.3
53;Oost-Nederland (LD);2019;11.6;11.6;1.3;49.2;0.4
54;Oost-Nederland (LD);1e halfjaar 2020;9.6;12.3;1.2;46.6;0.3
55;Oost-Nederland (LD);2e halfjaar 2020;10.0;12.2;1.2;46.8;0.3
56;Oost-Nederland (LD);2020;11.6;11.6;1.4;47.6;0.3
57;West-Nederland (LD);1e kwartaal 2015;;;;;
58;West-Nederland (LD);1e halfjaar 2015;;;;;
59;West-Nederland (LD);2e halfjaar 2015;;;;;
60;West-Nederland (LD);2015;;;;;
61;West-Nederland (LD);1e halfjaar 2016;9.0;11.0;1.0;50.5;0.4
62;West-Nederland (LD);2e halfjaar 2016;9.6;10.7;1.0;50.9;0.4
63;West-Nederland (LD);2016;11.0;10.4;1.1;50.1;0.5
64;West-Nederland (LD);1e halfjaar 2017;9.5;10.8;1.0;50.1;0.4
65;West-Nederland (LD);2e halfjaar 2017;9.8;10.8;1.0;50.5;0.4
66;West-Nederland (LD);2017;11.4;10.3;1.1;50.0;0.5
67;West-Nederland (LD);1e halfjaar 2018;9.7;9.8;1.0;48.7;0.4
68;West-Nederland (LD);2e halfjaar 2018;10.4;9.3;1.0;47.9;0.4
69;West-Nederland (LD);2018;11.8;9.1;1.1;48.1;0.4
70;West-Nederland (LD);1e halfjaar 2019;10.3;9.2;1.0;47.1;0.4
71;West-Nederland (LD);2e halfjaar 2019;10.6;9.0;1.0;46.1;0.4
72;West-Nederland (LD);2019;12.3;8.6;1.1;46.4;0.4
73;West-Nederland (LD);1e halfjaar 2020;9.9;8.9;1.0;45.2;0.4
74;West-Nederland (LD);2e halfjaar 2020;10.1;9.0;1.0;44.6;0.3
75;West-Nederland (LD);2020;12.0;8.5;1.1;45.3;0.4
76;Zuid-Nederland (LD);1e kwartaal 2015;;;;;
77;Zuid-Nederland (LD);1e halfjaar 2015;;;;;
78;Zuid-Nederland (LD);2e halfjaar 2015;;;;;
79;Zuid-Nederland (LD);2015;;;;;
80;Zuid-Nederland (LD);1e halfjaar 2016;9.1;11.8;1.1;49.7;0.4
81;Zuid-Nederland (LD);2e halfjaar 2016;9.5;11.7;1.0;49.3;0.4
82;Zuid-Nederland (LD);2016;11.0;11.1;1.2;48.8;0.4
83;Zuid-Nederland (LD);1e halfjaar 2017;9.4;11.7;1.1;47.9;0.3
84;Zuid-Nederland (LD);2e halfjaar 2017;10.0;11.4;1.1;47.0;0.3
85;Zuid-Nederland (LD);2017;11.4;11.0;1.2;47.6;0.4
86;Zuid-Nederland (LD);1e halfjaar 2018;10.0;10.1;1.1;45.3;0.3
87;Zuid-Nederland (LD);2e halfjaar 2018;10.8;9.6;1.1;44.7;0.3
88;Zuid-Nederland (LD);2018;12.1;9.5;1.2;45.0;0.4
89;Zuid-Nederland (LD);1e halfjaar 2019;10.7;9.7;1.1;45.0;0.3
90;Zuid-Nederland (LD);2e halfjaar 2019;10.7;9.2;1.1;39.5;0.3
91;Zuid-Nederland (LD);2019;12.6;9.3;1.2;44.1;0.4
92;Zuid-Nederland (LD);1e halfjaar 2020;10.3;9.3;1.1;39.1;0.3
93;Zuid-Nederland (LD);2e halfjaar 2020;10.6;9.6;1.1;39.8;0.3
94;Zuid-Nederland (LD);2020;12.4;9.1;1.3;40.4;0.3
95;Groningen (PV);1e kwartaal 2015;;;;;
96;Groningen (PV);1e halfjaar 2015;;;;;
97;Groningen (PV);2e halfjaar 2015;;;;;
98;Groningen (PV);2015;;;;;
99;Groningen (PV);1e halfjaar 2016;11.0;13.9;1.3;58.1;0.4
100;Groningen (PV);2e halfjaar 2016;11.5;14.1;1.3;57.3;0.4
101;Groningen (PV);2016;12.7;13.8;1.4;58.4;0.5
102;Groningen (PV);1e halfjaar 2017;12.1;13.5;1.3;58.1;0.4
103;Groningen (PV);2e halfjaar 2017;12.9;13.5;1.3;57.7;0.4
104;Groningen (PV);2017;14.1;13.1;1.4;57.2;0.5
105;Groningen (PV);1e halfjaar 2018;11.8;13.5;1.3;54.2;0.4
106;Groningen (PV);2e halfjaar 2018;12.0;14.1;1.3;54.6;0.4
107;Groningen (PV);2018;13.6;13.2;1.4;54.3;0.5
108;Groningen (PV);1e halfjaar 2019;11.9;12.9;1.3;52.7;0.4
109;Groningen (PV);2e halfjaar 2019;11.9;13.4;1.4;51.9;0.4
110;Groningen (PV);2019;13.7;12.7;1.5;52.3;0.5
111;Groningen (PV);1e halfjaar 2020;11.4;12.1;1.4;48.6;0.4
112;Groningen (PV);2e halfjaar 2020;11.8;11.7;1.4;46.6;0.4
113;Groningen (PV);2020;13.4;11.7;1.5;49.1;0.5
114;Fryslân (PV);1e kwartaal 2015;;;;;
115;Fryslân (PV);1e halfjaar 2015;;;;;
116;Fryslân (PV);2e halfjaar 2015;;;;;
117;Fryslân (PV);2015;;;;;
118;Fryslân (PV);1e halfjaar 2016;8.5;14.7;1.3;52.6;0.3
119;Fryslân (PV);2e halfjaar 2016;8.7;14.7;1.3;52.0;0.3
120;Fryslân (PV);2016;10.0;14.0;1.4;52.4;0.4
121;Fryslân (PV);1e halfjaar 2017;10.4;12.4;1.3;50.6;0.3
122;Fryslân (PV);2e halfjaar 2017;10.5;12.6;1.3;50.0;0.3
123;Fryslân (PV);2017;12.0;12.1;1.5;50.9;0.4
124;Fryslân (PV);1e halfjaar 2018;9.3;13.7;1.4;48.3;0.3
125;Fryslân (PV);2e halfjaar 2018;9.9;13.2;1.3;49.0;0.3
126;Fryslân (PV);2018;11.0;13.1;1.5;48.5;0.3
127;Fryslân (PV);1e halfjaar 2019;10.0;13.9;1.4;51.5;0.3
128;Fryslân (PV);2e halfjaar 2019;10.0;13.9;1.4;51.3;0.3
129;Fryslân (PV);2019;11.7;13.6;1.5;52.2;0.3
130;Fryslân (PV);1e halfjaar 2020;9.8;13.6;1.5;48.8;0.3
131;Fryslân (PV);2e halfjaar 2020;9.8;13.7;1.5;49.2;0.2
132;Fryslân (PV);2020;11.6;13.2;1.6;50.8;0.3
133;Drenthe (PV);1e kwartaal 2015;;;;;
134;Drenthe (PV);1e halfjaar 2015;;;;;
135;Drenthe (PV);2e halfjaar 2015;;;;;
136;Drenthe (PV);2015;;;;;
137;Drenthe (PV);1e halfjaar 2016;10.0;9.6;1.0;49.1;0.4
138;Drenthe (PV);2e halfjaar 2016;10.1;10.1;1.0;51.1;0.4
139;Drenthe (PV);2016;11.4;9.9;1.1;50.7;0.5
140;Drenthe (PV);1e halfjaar 2017;11.3;11.4;1.0;53.9;0.4
141;Drenthe (PV);2e halfjaar 2017;12.1;11.1;0.9;53.4;0.4
142;Drenthe (PV);2017;13.0;11.1;1.0;53.3;0.5
143;Drenthe (PV);1e halfjaar 2018;11.7;12.0;1.0;55.1;0.4
144;Drenthe (PV);2e halfjaar 2018;12.1;12.5;1.0;54.8;0.4
145;Drenthe (PV);2018;13.7;11.9;1.1;54.9;0.5
146;Drenthe (PV);1e halfjaar 2019;12.0;11.8;1.1;56.8;0.4
147;Drenthe (PV);2e halfjaar 2019;11.9;11.9;1.1;55.6;0.3
148;Drenthe (PV);2019;13.8;11.6;1.2;56.5;0.4
149;Drenthe (PV);1e halfjaar 2020;11.3;10.5;1.1;50.8;0.3
150;Drenthe (PV);2e halfjaar 2020;11.6;10.6;1.2;52.7;0.3
151;Drenthe (PV);2020;13.1;10.6;1.3;53.2;0.4
152;Overijssel (PV);1e kwartaal 2015;;;;;
153;Overijssel (PV);1e halfjaar 2015;;;;;
154;Overijssel (PV);2e halfjaar 2015;;;;;
155;Overijssel (PV);2015;;;;;
156;Overijssel (PV);1e halfjaar 2016;8.1;15.0;1.2;51.5;0.4
157;Overijssel (PV);2e halfjaar 2016;8.5;14.9;1.2;52.5;0.4
158;Overijssel (PV);2016;9.3;14.9;1.3;52.3;0.4
159;Overijssel (PV);1e halfjaar 2017;8.6;15.0;1.2;53.6;0.4
160;Overijssel (PV);2e halfjaar 2017;9.0;14.9;1.2;53.8;0.3
161;Overijssel (PV);2017;10.0;14.6;1.3;53.9;0.4
162;Overijssel (PV);1e halfjaar 2018;8.5;15.5;1.2;52.8;0.4
163;Overijssel (PV);2e halfjaar 2018;9.0;14.9;1.2;52.8;0.3
164;Overijssel (PV);2018;10.0;14.7;1.4;52.6;0.4
165;Overijssel (PV);1e halfjaar 2019;9.2;15.2;1.3;52.7;0.3
166;Overijssel (PV);2e halfjaar 2019;9.4;14.9;1.3;52.0;0.3
167;Overijssel (PV);2019;10.7;14.6;1.4;52.8;0.4
168;Overijssel (PV);1e halfjaar 2020;9.2;14.6;1.3;51.2;0.3
169;Overijssel (PV);2e halfjaar 2020;9.7;14.2;1.3;51.4;0.3
170;Overijssel (PV);2020;11.2;13.6;1.4;51.8;0.3
171;Flevoland (PV);1e kwartaal 2015;;;;;
172;Flevoland (PV);1e halfjaar 2015;;;;;
173;Flevoland (PV);2e halfjaar 2015;;;;;
174;Flevoland (PV);2015;;;;;
175;Flevoland (PV);1e halfjaar 2016;8.2;19.3;1.1;59.1;0.4
176;Flevoland (PV);2e halfjaar 2016;9.0;19.7;1.1;59.4;0.4
177;Flevoland (PV);2016;10.2;19.3;1.3;57.9;0.4
178;Flevoland (PV);1e halfjaar 2017;8.9;23.4;1.1;61.3;0.3
179;Flevoland (PV);2e halfjaar 2017;9.3;22.8;1.1;61.7;0.3
180;Flevoland (PV);2017;10.6;22.9;1.3;61.9;0.4
181;Flevoland (PV);1e halfjaar 2018;9.1;13.2;1.1;53.4;0.3
182;Flevoland (PV);2e halfjaar 2018;9.7;12.8;1.1;52.7;0.3
183;Flevoland (PV);2018;11.1;12.4;1.3;52.6;0.4
184;Flevoland (PV);1e halfjaar 2019;9.4;11.2;1.1;45.4;0.4
185;Flevoland (PV);2e halfjaar 2019;9.6;10.3;1.2;42.0;0.4
186;Flevoland (PV);2019;11.2;10.0;1.3;44.2;0.5
187;Flevoland (PV);1e halfjaar 2020;9.1;9.6;1.2;38.3;0.4
188;Flevoland (PV);2e halfjaar 2020;9.8;9.1;1.2;36.6;0.4
189;Flevoland (PV);2020;11.3;8.7;1.3;37.3;0.5
190;Gelderland (PV);1e kwartaal 2015;;;;;
191;Gelderland (PV);1e halfjaar 2015;;;;;
192;Gelderland (PV);2e halfjaar 2015;;;;;
193;Gelderland (PV);2015;;;;;
194;Gelderland (PV);1e halfjaar 2016;8.6;12.5;1.0;52.5;0.3
195;Gelderland (PV);2e halfjaar 2016;9.2;12.1;1.0;54.4;0.3
196;Gelderland (PV);2016;10.4;11.7;1.1;52.7;0.4
197;Gelderland (PV);1e halfjaar 2017;9.2;12.4;1.0;55.7;0.3
198;Gelderland (PV);2e halfjaar 2017;9.6;12.2;1.0;53.5;0.3
199;Gelderland (PV);2017;11.0;11.6;1.1;54.5;0.4
200;Gelderland (PV);1e halfjaar 2018;9.7;11.2;1.0;50.1;0.3
201;Gelderland (PV);2e halfjaar 2018;10.4;10.9;1.1;49.4;0.3
202;Gelderland (PV);2018;11.6;10.7;1.2;49.6;0.4
203;Gelderland (PV);1e halfjaar 2019;10.3;10.9;1.1;49.1;0.3
204;Gelderland (PV);2e halfjaar 2019;10.6;10.8;1.1;47.1;0.3
205;Gelderland (PV);2019;12.2;10.4;1.3;48.1;0.3
206;Gelderland (PV);1e halfjaar 2020;9.9;11.6;1.2;45.7;0.3
