ID;Dividend;Perioden;TotaalOndernemingenEnFondsen_1;TotaalOndernemingen_2;TotaalIndustrie_3;Basisgoederen_4;Consumentengoederen_5;Kapitaalgoederen_6;BouwnijverheidEnInstallatie_7;Delfstoffenwinning_8;Handel_9;TransportOpslagEnCommunicatie_10;NietFinancieleDienstverlening_11;BankenFinancieleDienstverlening_12;Verzekeraars_13;TotaalFondsen_14;Beleggingsfondsen_15;Vastgoedfondsen_16;OverigeFondsen_17
0;Dividend totaal;1984;;2097.0;526.0;97.0;264.0;166.0;13.0;1125;37.0;22.0;29.0;166.0;179.0;;;;
1;Dividend totaal;1985;;2634.0;667.0;154.0;291.0;222.0;12.0;1368;60.0;71.0;41.0;201.0;213.0;;;;
2;Dividend totaal;1986;;2991.0;786.0;201.0;340.0;245.0;19.0;1557;67.0;79.0;49.0;224.0;210.0;;;;
3;Dividend totaal;1987;;3076.0;798.0;197.0;359.0;242.0;20.0;1557;81.0;67.0;67.0;264.0;222.0;;;;
4;Dividend totaal;1988;;3482.0;872.0;200.0;412.0;260.0;19.0;1739;91.0;84.0;77.0;312.0;287.0;;;;
5;Dividend totaal;1989;;3938.0;1058.0;308.0;480.0;271.0;28.0;1788;104.0;89.0;144.0;376.0;350.0;;;;
6;Dividend totaal;1990;;4536.0;1318.0;476.0;509.0;333.0;34.0;1885;155.0;98.0;145.0;494.0;408.0;;;;
7;Dividend totaal;1991;;4395.0;1053.0;446.0;558.0;49.0;35.0;1934;132.0;44.0;219.0;471.0;507.0;;;;
8;Dividend totaal;1992;;4637.0;1082.0;397.0;607.0;79.0;49.0;2031;152.0;69.0;240.0;390.0;625.0;;;;
9;Dividend totaal;1993;;4663.0;910.0;221.0;634.0;55.0;45.0;2080;146.0;41.0;318.0;432.0;690.0;;;;
10;Dividend totaal;1994;;5252.0;1081.0;298.0;648.0;135.0;56.0;2116;169.0;195.0;374.0;488.0;775.0;;;;
11;Dividend totaal;1995;;6341.0;1435.0;474.0;695.0;266.0;68.0;2177;219.0;607.0;414.0;528.0;893.0;;;;
12;Dividend totaal;1996;;7312.0;1623.0;516.0;764.0;342.0;76.0;2408;302.0;706.0;481.0;604.0;1113.0;;;;
13;Dividend totaal;1997;;8487.0;1751.0;549.0;836.0;366.0;88.0;2785;383.0;732.0;612.0;775.0;1361.0;;;;
14;Dividend totaal;1998;;14430.0;2096.0;638.0;1010.0;448.0;106.0;3075;486.0;841.0;5063.0;950.0;1812.0;;;;
15;Dividend totaal;1999 januari;14.0;7.0;0.0;0.0;0.0;0.0;0.0;0;7.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0
16;Dividend totaal;1999 februari;42.0;37.0;37.0;0.0;37.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
17;Dividend totaal;1999 maart;376.0;365.0;347.0;0.0;0.0;347.0;0.0;0;18.0;0.0;0.0;0.0;0.0;11.0;3.0;8.0;1.0
18;Dividend totaal;1999 april;750.0;517.0;266.0;169.0;56.0;41.0;20.0;0;47.0;22.0;132.0;30.0;0.0;233.0;175.0;56.0;1.0
19;Dividend totaal;1999 mei;5826.0;5321.0;891.0;225.0;637.0;29.0;68.0;1790;328.0;376.0;367.0;535.0;967.0;504.0;173.0;269.0;62.0
20;Dividend totaal;1999 juni;5245.0;5065.0;4355.0;75.0;4213.0;67.0;60.0;0;67.0;131.0;129.0;40.0;283.0;180.0;29.0;0.0;151.0
21;Dividend totaal;1999 juli;440.0;13.0;13.0;1.0;11.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;427.0;67.0;322.0;38.0
22;Dividend totaal;1999 augustus;110.0;108.0;67.0;52.0;14.0;0.0;0.0;0;0.0;42.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0
23;Dividend totaal;1999 september;3406.0;3179.0;84.0;0.0;79.0;4.0;0.0;1394;125.0;241.0;0.0;441.0;895.0;226.0;83.0;9.0;134.0
24;Dividend totaal;1999 oktober;134.0;134.0;26.0;13.0;0.0;13.0;0.0;0;9.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0
25;Dividend totaal;1999 november;205.0;91.0;86.0;86.0;0.0;0.0;0.0;0;0.0;0.0;6.0;0.0;0.0;114.0;89.0;26.0;0.0
26;Dividend totaal;1999 december;347.0;271.0;228.0;0.0;228.0;0.0;0.0;0;0.0;0.0;15.0;0.0;28.0;76.0;69.0;6.0;1.0
27;Dividend totaal;1999;16896.0;15109.0;6398.0;622.0;5276.0;501.0;148.0;3184;600.0;812.0;748.0;1047.0;2173.0;1787.0;702.0;698.0;387.0
28;Dividend totaal;2000 januari;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;31.0;0.0;0.0;31.0
29;Dividend totaal;2000 februari;46.0;44.0;42.0;0.0;42.0;0.0;0.0;0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0
30;Dividend totaal;2000 maart;82.0;20.0;1.0;0.0;0.0;1.0;0.0;0;19.0;0.0;0.0;0.0;0.0;63.0;0.0;62.0;1.0
31;Dividend totaal;2000 april;1089.0;906.0;638.0;111.0;60.0;467.0;12.0;0;2.0;63.0;158.0;34.0;0.0;183.0;118.0;64.0;0.0
32;Dividend totaal;2000 mei;6789.0;6214.0;896.0;220.0;673.0;2.0;144.0;1844;428.0;361.0;274.0;793.0;1474.0;575.0;260.0;259.0;56.0
33;Dividend totaal;2000 juni;1078.0;893.0;106.0;40.0;0.0;66.0;8.0;0;99.0;115.0;174.0;17.0;374.0;185.0;91.0;1.0;93.0
34;Dividend totaal;2000 juli;585.0;104.0;104.0;91.0;14.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;481.0;0.0;382.0;99.0
35;Dividend totaal;2000 augustus;116.0;52.0;52.0;52.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;64.0;64.0;0.0;0.0
36;Dividend totaal;2000 september;3774.0;3630.0;129.0;0.0;124.0;5.0;0.0;1437;180.0;0.0;87.0;600.0;1196.0;144.0;84.0;22.0;38.0
37;Dividend totaal;2000 oktober;101.0;87.0;13.0;0.0;0.0;13.0;0.0;0;10.0;65.0;0.0;0.0;0.0;14.0;0.0;14.0;0.0
38;Dividend totaal;2000 november;181.0;96.0;86.0;86.0;0.0;0.0;0.0;0;0.0;0.0;10.0;0.0;0.0;85.0;54.0;32.0;0.0
39;Dividend totaal;2000 december;338.0;274.0;274.0;0.0;274.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;64.0;61.0;2.0;1.0
40;Dividend totaal;2000;14211.0;12321.0;2340.0;599.0;1188.0;554.0;164.0;3281;739.0;604.0;703.0;1445.0;3044.0;1890.0;733.0;838.0;319.0
41;Dividend totaal;2001 januari;103.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;103.0;28.0;74.0;0.0
42;Dividend totaal;2001 februari;61.0;53.0;50.0;0.0;50.0;0.0;0.0;0;3.0;0.0;0.0;0.0;0.0;8.0;3.0;5.0;0.0
43;Dividend totaal;2001 maart;80.0;76.0;64.0;0.0;0.0;64.0;0.0;0;12.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;1.0
44;Dividend totaal;2001 april;2558.0;2177.0;675.0;134.0;59.0;483.0;0.0;0;7.0;0.0;15.0;70.0;1409.0;381.0;183.0;167.0;31.0
