ID;Perioden;TotaalUitkeringenInGeldEnNatura_1;WettSocUitkeringenInGeldEnNatura_2;AlgArbeidsongeschiktheidswetAAW_3;WetOpDeArbeidsongeschiktheidWAO_4;WerkEnInkomenArbeidsvermogenWIA_5;WetArbeidsongeschiktheidZelfstWAZ_6;WetArbeidEnZorgWAZO_7;WerkloosheidswetWW_8;ZiektewetZWVangnet_9;ZiektewetZW_10;AlgemeneOuderdomswetAOW_11;AlgemeneNabestaandenwetANWAWW_12;AlgemeneKinderbijslagwetAKW_13;ZiekenfondswetVerplichtZFWVp_14;ZorgverzekeringswetZVW_15;AlgemeneWetBijzondereZiekteknAWBZ_16;VoorzieningenInGeldEnNatura_17;UitkeringenOorlogsslachtoffers_18;WetArbeidsongJonggehandicWajong_19;InkomensvoorzOuderenIOAWIOAZ_20;AlgemeneKinderbijslagwetAKW_21;Studiebeurzen_22;PremiesKoopwoningen_23;WetWerkEnBijstandABWWWB_24;AanvInkomensvoorzieningOuderenAIO_25;WetInvesterenInJongerenWIJ_26;ToeslagenwetTW_27;Zorgtoeslag_28;TegemoetkomingAOWANWErs_29;KindgebondenBudget_30;TegemoetkomingBuitengewUitgavenTBU_31;WetWerkloosheidsvoorzieningWWV_32;FlexibeleUittredingsregelingen_33;WetVoorzieningenGehandicaptenWVG_34;WetMaatschOndersteuningWMO_35;IndividueleHuursubsidiesIHS_36;OVJaarkaartStuderenden_37;Rechtsbijstand_38;BijdrageOnderwijsInAcZiekenhuizen_39;Kinderopvang_40;Leerlingenvervoer_41;RegelingSpecUitkJeugdgezondheidszorg_42;Bejaardenoorden_43;ReintegratiefondsREA_44;GezinsverzorgingGezinshulpGG_45;BijdragenAsielzoekersEnMinderheden_46;Schoolboeken_47;Overig_48;TotaalSocialeUitkeringenInGeld_49;TotaalWettelijkeSocialeUitkInGeld_50;AlgArbeidsongeschiktheidswetAAW_51;TotaalArbeidsongeschiktheidsfonds_52;WetOpDeArbeidsongeschiktheidWAO_53;WerkEnInkomenArbeidsvermogenWIA_54;WetArbeidsongeschiktheidZelfstWAZ_55;WetArbeidEnZorgWAZO_56;WerkEnInkomenArbeidsvermogenWIA_57;WetOpDeArbeidsongeschiktheidWAO_58;WetArbeidsongeschiktheidZelfstWAZ_59;TotaalAlgemeenWerkloosheidsfonds_60;WerkloosheidswetWW_61;ZiektewetZWVangnet_62;WetArbeidEnZorgWAZO_63;TotaalSectorfondsen_64;WerkloosheidswetWW_65;WerkEnInkomenArbeidsvermogenWIA_66;ZiektewetZWVangnet_67;TotaalUitvoeringsfondsVoorDeOverheid_68;WerkloosheidswetWW_69;WerkEnInkomenArbeidsvermogenWIA_70;ZiektewetZWVangnet_71;WetArbeidEnZorgWAZO_72;ZiektewetZW_73;AlgemeneOuderdomswetAOW_74;AlgemeneNabestaandenwetANWAWW_75;AlgemeneKinderbijslagwetAKW_76;TotaalSocialeVoorzieningenInGeld_77;UitkeringenOorlogsslachtoffers_78;WetArbeidsongJonggehandicWajong_79;InkomensvoorzOuderenIOAWIOAZ_80;AlgemeneKinderbijslagwetAKW_81;Studiebeurzen_82;PremiesKoopwoningen_83;WetWerkEnBijstandWWBABW_84;AanvInkomensvoorzieningOuderenAIO_85;WetInvesterenInJongerenWIJ_86;ToeslagenwetTW_87;Zorgtoeslag_88;TegemoetkomingAOWANWErs_89;KindgebondenBudget_90;TegemoetkomingBuitengewUitgavenTBU_91;WetWerkloosheidsvoorzieningWWV_92;FlexibeleUittredingsregelingen_93;Overig_94;TotaalSocialeUitkeringenInNatura_95;TotaalWettelijkSocialeUitkInNatura_96;AlgArbeidsongeschiktheidswetAAW_97;ZiekenfondswetVerplichtZFWVp_98;ZorgverzekeringswetZVW_99;AlgemeneWetBijzondereZiekteknAWBZ_100;TotaalSocialeVoorzieningenInNatura_101;WetWerkEnBijstandABWWWB_102;WetVoorzieningenGehandicaptenWVG_103;WetMaatschOndersteuningWMO_104;IndividueleHuursubsidiesIHS_105;OVJaarkaartStuderenden_106;Rechtsbijstand_107;BijdrageOnderwijsInAcZiekenhuizen_108;Kinderopvang_109;Leerlingenvervoer_110;RegelingSpecUitkJeugdgezondheidszorg_111;Bejaardenoorden_112;ReintegratiefondsREA_113;GezinsverzorgingGezinshulpGG_114;BijdragenAsielzoekersEnMinderheden_115;Schoolboeken_116;Overig_117
0;1987;49113.0;37310;4414.0;2939;;;;1549;;2928.0;10977;1181;2508.0;6586.0;;4228;11803.0;327.0;;141.0;;1738.0;431.0;5005.0;;;195.0;;;;;757.0;54.0;;;722.0;;101.0;256.0;;45.0;;1194.0;;503.0;21.0;;313.0;35048.0;26187;4105.0;2939;2939;;;;;;;1175;1175;;;374;374;;;;;;;;2928.0;10977;1181;2508.0;8861.0;327.0;;141.0;;1738.0;431.0;4978.0;;;195.0;;;;;757.0;54.0;240.0;14065;11123;309.0;6586.0;;4228;2942;27.0;;;722.0;;101.0;256.0;;45.0;;1194.0;;503.0;21.0;;73.0
1;1988;50158.0;38571;4488.0;3001;;;;1832;;3129.0;11183;1298;2596.0;6742.0;;4302;11587.0;318.0;;159.0;;1743.0;408.0;5223.0;;;250.0;;;;;164.0;177.0;;;790.0;;83.0;224.0;;51.0;;1210.0;;488.0;13.0;;286.0;35844.0;27198;4159.0;3001;3001;;;;;;;1477;1477;;;355;355;;;;;;;;3129.0;11183;1298;2596.0;8646.0;318.0;;159.0;;1743.0;408.0;5200.0;;;250.0;;;;;164.0;177.0;227.0;14314;11373;329.0;6742.0;;4302;2941;23.0;;;790.0;;83.0;224.0;;51.0;;1210.0;;488.0;13.0;;59.0
2;1989;51462.0;37857;4663.0;3014;;;;1808;;3408.0;11539;1373;;6341.0;;5711;13605.0;336.0;;195.0;2659.0;1765.0;395.0;5010.0;;;250.0;;;;;32.0;277.0;;;807.0;;86.0;236.0;;57.0;;1221.0;;;18.0;;261.0;36540.0;25442;4300.0;3014;3014;;;;;;;1487;1487;;;321;321;;;;;;;;3408.0;11539;1373;;11098.0;336.0;;195.0;2659.0;1765.0;395.0;4987.0;;;250.0;;;;;32.0;277.0;202.0;14922;12415;363.0;6341.0;;5711;2507;23.0;;;807.0;;86.0;236.0;;57.0;;1221.0;;;18.0;;59.0
3;1990;57042.0;43316;5683.0;3359;;;;1867;;4220.0;13352;1895;;6750.0;;6190;13726.0;345.0;;200.0;2764.0;1788.0;381.0;4959.0;;;254.0;;;;;50.0;286.0;;;761.0;9.0;100.0;248.0;;62.0;;1204.0;;;29.0;;286.0;41229.0;29986;5293.0;3359;3359;;;;;;;1555;1555;;;312;312;;;;;;;;4220.0;13352;1895;;11243.0;345.0;;200.0;2764.0;1788.0;381.0;4925.0;;;254.0;;;;;50.0;286.0;250.0;15813;13330;390.0;6750.0;;6190;2483;34.0;;;761.0;9.0;100.0;248.0;;62.0;;1204.0;;;29.0;;36.0
4;1991;60153.0;46133;6018.0;3521;;;;2165;;4242.0;13955;1981;;7457.0;;6794;14020.0;382.0;;209.0;2872.0;1538.0;358.0;4914.0;;;259.0;;;;;;286.0;;;838.0;199.0;100.0;334.0;;68.0;;1297.0;;;69.0;;297.0;42489.0;31455;5591.0;3521;3521;;;;;;;1831;1831;;;334;334;;;;;;;;4242.0;13955;1981;;11034.0;382.0;;209.0;2872.0;1538.0;358.0;4869.0;;;259.0;;;;;;286.0;261.0;17664;14678;427.0;7457.0;;6794;2986;45.0;;;838.0;199.0;100.0;334.0;;68.0;;1297.0;;;69.0;;36.0
5;1992;63908.0;49545;6242.0;3608;;;;2654;;4321.0;14538;2099;;6490.0;;9593;14363.0;373.0;;218.0;3058.0;1534.0;345.0;4887.0;;;272.0;;;;;;250.0;;;837.0;218.0;108.0;366.0;;74.0;;1404.0;;;142.0;;277.0;44163.0;33042;5822.0;3608;3608;;;;;;;2217;2217;;;437;437;;;;;;;;4321.0;14538;2099;;11121.0;373.0;;218.0;3058.0;1534.0;345.0;4830.0;;;272.0;;;;;;250.0;241.0;19745;16503;420.0;6490.0;;9593;3242;57.0;;;837.0;218.0;108.0;366.0;;74.0;;1404.0;;;142.0;;36.0
6;1993;66017.0;51846;6326.0;3561;;;;3500;;4363.0;14912;2105;;6801.0;;10278;14171.0;372.0;;231.0;3090.0;1511.0;331.0;4770.0;;;245.0;;;;;;127.0;;;847.0;265.0;99.0;369.0;;79.0;;1445.0;;;119.0;;271.0;45225.0;34372;5931.0;3561;3561;;;;;;;2904;2904;;;596;596;;;;;;;;4363.0;14912;2105;;10853.0;372.0;;231.0;3090.0;1511.0;331.0;4702.0;;;245.0;;;;;;127.0;244.0;20792;17474;395.0;6801.0;;10278;3318;68.0;;;847.0;265.0;99.0;369.0;;79.0;;1445.0;;;119.0;;27.0
7;1994;65642.0;50571;6086.0;3489;;;;4275;;2177.0;14769;2098;;7082.0;;10595;15071.0;364.0;;241.0;3186.0;1520.0;299.0;5009.0;;;304.0;;;;;;54.0;408.0;;848.0;346.0;122.0;385.0;;85.0;;1431.0;;;153.0;;316.0;43904.0;32717;5909.0;3489;3489;;;;;;;3619;3619;;;656;656;;;;;;;;2177.0;14769;2098;;11187.0;364.0;;241.0;3186.0;1520.0;299.0;4930.0;;;304.0;;;;;;54.0;289.0;21738;17854;177.0;7082.0;;10595;3884;79.0;408.0;;848.0;346.0;122.0;385.0;;85.0;;1431.0;;;153.0;;27.0
8;1995;65285.0;50684;5735.0;3290;;;;4240;;1874.0;15180;2090;;7039.0;;11236;14601.0;349.0;;232.0;2955.0;1338.0;264.0;4713.0;;;300.0;;;;;;17.0;454.0;;924.0;353.0;163.0;412.0;56.0;91.0;;1524.0;;;211.0;;245.0;42624.0;32329;5655.0;3290;3290;;;;;;;3705;3705;;;535;535;;;;;;;;1874.0;15180;2090;;10295.0;349.0;;232.0;2955.0;1338.0;264.0;4622.0;;;300.0;;;;;;17.0;218.0;22661;18355;80.0;7039.0;;11236;4306;91.0;454.0;;924.0;353.0;163.0;412.0;56.0;91.0;;1524.0;;;211.0;;27.0
9;1996;64885.0;50516;5672.0;3288;;;;5444;;324.0;15853;2109;;9500.0;;8326;14369.0;348.0;;236.0;2898.0;1161.0;223.0;4879.0;;;292.0;;;;;;3.0;499.0;;1021.0;377.0;152.0;308.0;34.0;91.0;;1500.0;;;110.0;;237.0;42744.0;32616;5598.0;3288;3288;;;;;;;4134;4134;;;1310;1310;;;;;;;;324.0;15853;2109;;10128.0;348.0;;236.0;2898.0;1161.0;223.0;4753.0;;;292.0;;;;;;3.0;214.0;22141;17900;74.0;9500.0;;8326;4241;126.0;499.0;;1021.0;377.0;152.0;308.0;34.0;91.0;;1500.0;;;110.0;;23.0
