ID;Sterklassen;RegioS;Perioden;ZakelijkeOvernachtingen_1
0;Totaal;Nederland;2017 januari;1260
1;Totaal;Nederland;2017 februari;1300
2;Totaal;Nederland;2017 maart;1540
3;Totaal;Nederland;2017 1e kwartaal;4090
4;Totaal;Nederland;2017 april;1780
5;Totaal;Nederland;2017 mei;1790
6;Totaal;Nederland;2017 juni;1810
7;Totaal;Nederland;2017 2e kwartaal;5390
8;Totaal;Nederland;2017 juli;1590
9;Totaal;Nederland;2017 augustus;1600
10;Totaal;Nederland;2017 september;1850
11;Totaal;Nederland;2017 3e kwartaal;5040
12;Totaal;Nederland;2017 oktober;1830
13;Totaal;Nederland;2017 november;1600
14;Totaal;Nederland;2017 december;1310
15;Totaal;Nederland;2017 4e kwartaal;4740
16;Totaal;Nederland;2017;19260
17;Totaal;Nederland;2018 januari;1410
18;Totaal;Nederland;2018 februari;1390
19;Totaal;Nederland;2018 maart;1680
20;Totaal;Nederland;2018 1e kwartaal;4480
21;Totaal;Nederland;2018 april;1810
22;Totaal;Nederland;2018 mei;1900
23;Totaal;Nederland;2018 juni;1880
24;Totaal;Nederland;2018 2e kwartaal;5590
25;Totaal;Nederland;2018 juli;1650
26;Totaal;Nederland;2018 augustus;1590
27;Totaal;Nederland;2018 september;1930
28;Totaal;Nederland;2018 3e kwartaal;5170
29;Totaal;Nederland;2018 oktober;1920
30;Totaal;Nederland;2018 november;1620
31;Totaal;Nederland;2018 december;1260
32;Totaal;Nederland;2018 4e kwartaal;4800
33;Totaal;Nederland;2018;20040
34;Totaal;Nederland;2019 januari;1400
35;Totaal;Nederland;2019 februari;1390
36;Totaal;Nederland;2019 maart;1730
37;Totaal;Nederland;2019 1e kwartaal;4520
38;Totaal;Nederland;2019 april;1940
39;Totaal;Nederland;2019 mei;1930
40;Totaal;Nederland;2019 juni;2010
41;Totaal;Nederland;2019 2e kwartaal;5880
42;Totaal;Nederland;2019 juli;1720
43;Totaal;Nederland;2019 augustus;1770
44;Totaal;Nederland;2019 september;2000
