ID;Baanvindduur;Persoonskenmerken;Perioden;WerklozeBeroepsbevolking_1
0;1;1100;2002;302.0
1;1;1100;2003;396.0
2;1;1100;2004;476.0
3;1;1100;2005;482.0
4;1;1100;2006;410.0
5;1;1100;2007;344.0
6;1;1100;2008;300.0
7;1;1100;2009;377.0
8;1;1100;2010;426.0
9;1;1100;2011;419.0
10;1;1100;2012;507.0
11;1;1100;2013;656.0
12;1;1100;2014;656.0
13;1;3000;2002;147.0
14;1;3000;2003;206.0
15;1;3000;2004;247.0
16;1;3000;2005;236.0
17;1;3000;2006;191.0
18;1;3000;2007;154.0
19;1;3000;2008;142.0
20;1;3000;2009;197.0
21;1;3000;2010;218.0
22;1;3000;2011;224.0
23;1;3000;2012;274.0
24;1;3000;2013;355.0
25;1;3000;2014;340.0
26;1;4000;2002;155.0
27;1;4000;2003;190.0
28;1;4000;2004;229.0
29;1;4000;2005;245.0
30;1;4000;2006;219.0
31;1;4000;2007;190.0
32;1;4000;2008;158.0
33;1;4000;2009;180.0
34;1;4000;2010;208.0
35;1;4000;2011;195.0
36;1;4000;2012;233.0
37;1;4000;2013;301.0
38;1;4000;2014;316.0
39;1;Leeftijd: 15 tot 25 jaar;2002;79.0
40;1;Leeftijd: 15 tot 25 jaar;2003;96.0
41;1;Leeftijd: 15 tot 25 jaar;2004;116.0
42;1;Leeftijd: 15 tot 25 jaar;2005;108.0
43;1;Leeftijd: 15 tot 25 jaar;2006;88.0
44;1;Leeftijd: 15 tot 25 jaar;2007;82.0
45;1;Leeftijd: 15 tot 25 jaar;2008;76.0
46;1;Leeftijd: 15 tot 25 jaar;2009;99.0
47;1;Leeftijd: 15 tot 25 jaar;2010;100.0
48;1;Leeftijd: 15 tot 25 jaar;2011;83.0
49;1;Leeftijd: 15 tot 25 jaar;2012;108.0
50;1;Leeftijd: 15 tot 25 jaar;2013;137.0
51;1;Leeftijd: 15 tot 25 jaar;2014;121.0
52;1;Leeftijd: 25 tot 35 jaar;2002;75.0
53;1;Leeftijd: 25 tot 35 jaar;2003;100.0
54;1;Leeftijd: 25 tot 35 jaar;2004;112.0
55;1;Leeftijd: 25 tot 35 jaar;2005;111.0
56;1;Leeftijd: 25 tot 35 jaar;2006;83.0
57;1;Leeftijd: 25 tot 35 jaar;2007;55.0
58;1;Leeftijd: 25 tot 35 jaar;2008;56.0
59;1;Leeftijd: 25 tot 35 jaar;2009;79.0
60;1;Leeftijd: 25 tot 35 jaar;2010;86.0
61;1;Leeftijd: 25 tot 35 jaar;2011;99.0
62;1;Leeftijd: 25 tot 35 jaar;2012;116.0
63;1;Leeftijd: 25 tot 35 jaar;2013;143.0
64;1;Leeftijd: 25 tot 35 jaar;2014;146.0
65;1;Leeftijd: 35 tot 45 jaar;2002;74.0
66;1;Leeftijd: 35 tot 45 jaar;2003;101.0
67;1;Leeftijd: 35 tot 45 jaar;2004;122.0
68;1;Leeftijd: 35 tot 45 jaar;2005;124.0
69;1;Leeftijd: 35 tot 45 jaar;2006;103.0
70;1;Leeftijd: 35 tot 45 jaar;2007;84.0
71;1;Leeftijd: 35 tot 45 jaar;2008;63.0
72;1;Leeftijd: 35 tot 45 jaar;2009;80.0
73;1;Leeftijd: 35 tot 45 jaar;2010;95.0
74;1;Leeftijd: 35 tot 45 jaar;2011;85.0
75;1;Leeftijd: 35 tot 45 jaar;2012;103.0
76;1;Leeftijd: 35 tot 45 jaar;2013;135.0
77;1;Leeftijd: 35 tot 45 jaar;2014;128.0
78;1;Leeftijd: 45 tot 55 jaar;2002;55.0
79;1;Leeftijd: 45 tot 55 jaar;2003;68.0
80;1;Leeftijd: 45 tot 55 jaar;2004;87.0
81;1;Leeftijd: 45 tot 55 jaar;2005;92.0
82;1;Leeftijd: 45 tot 55 jaar;2006;91.0
83;1;Leeftijd: 45 tot 55 jaar;2007;76.0
84;1;Leeftijd: 45 tot 55 jaar;2008;62.0
85;1;Leeftijd: 45 tot 55 jaar;2009;71.0
86;1;Leeftijd: 45 tot 55 jaar;2010;91.0
87;1;Leeftijd: 45 tot 55 jaar;2011;91.0
88;1;Leeftijd: 45 tot 55 jaar;2012;107.0
89;1;Leeftijd: 45 tot 55 jaar;2013;143.0
90;1;Leeftijd: 45 tot 55 jaar;2014;148.0
91;1;Leeftijd: 55 tot 65 jaar;2002;20.0
92;1;Leeftijd: 55 tot 65 jaar;2003;30.0
93;1;Leeftijd: 55 tot 65 jaar;2004;39.0
94;1;Leeftijd: 55 tot 65 jaar;2005;47.0
95;1;Leeftijd: 55 tot 65 jaar;2006;44.0
96;1;Leeftijd: 55 tot 65 jaar;2007;47.0
97;1;Leeftijd: 55 tot 65 jaar;2008;42.0
98;1;Leeftijd: 55 tot 65 jaar;2009;48.0
99;1;Leeftijd: 55 tot 65 jaar;2010;54.0
100;1;Leeftijd: 55 tot 65 jaar;2011;61.0
101;1;Leeftijd: 55 tot 65 jaar;2012;72.0
102;1;Leeftijd: 55 tot 65 jaar;2013;98.0
103;1;Leeftijd: 55 tot 65 jaar;2014;113.0
104;1;6030;2002;206.0
105;1;6030;2003;261.0
106;1;6030;2004;318.0
107;1;6030;2005;314.0
108;1;6030;2006;264.0
109;1;6030;2007;231.0
110;1;6030;2008;191.0
111;1;6030;2009;239.0
112;1;6030;2010;288.0
