ID;Pensioenfondsen;Perioden;AantalPensioenfondsen_1;TotaalDeelnemers_2;ActieveDeelnemers_3;GewezenDeelnemers_4;TotaalPensioentrekkenden_5;Ouderdomspensioen_6;Invaliditeitspensioen_7;WeduwenOfWeduwnaarspensioen_8;Wezenpensioen_9;PremiesTotaalEigenRekening_10;Werkgeverspremie_11;Werknemerspremie_12;Werkgeverspremie_13;Werknemerspremie_14;PremiesHerverzekering_15
0;Totaal Pensioenfondsen;1997;1063;12393;4535;5973;1885;1087;125;635;38;6491;5433;1763;469.0;36.0;1211
1;Totaal Pensioenfondsen;1998;1045;12916;4812;6165;1939;1116;137;649;37;7658;6232;2220;651.0;53.0;1497
2;Totaal Pensioenfondsen;1999;1019;13299;4980;6322;1997;1155;146;659;37;8272;7142;2047;514.0;73.0;1503
3;Totaal Pensioenfondsen;2000;991;13922;5326;6545;2051;1190;155;669;37;9516;7874;2290;559.0;101.0;1308
4;Totaal Pensioenfondsen;2001;965;15092;5748;7166;2178;1280;171;688;39;11203;8181;2440;1045.0;99.0;562
5;Totaal Pensioenfondsen;2002;928;15932;6257;7457;2218;1308;185;687;38;18251;13032;3641;1985.0;60.0;467
6;Totaal Pensioenfondsen;2003;877;16132;6032;7815;2285;1366;190;691;38;20304;14117;4352;2150.0;170.0;485
7;Totaal Pensioenfondsen;2004;841;16666;6268;8034;2364;1428;194;703;39;22185;16668;4309;1544.0;95.0;431
8;Totaal Pensioenfondsen;2005;802;16941;6221;8285;2435;1498;190;708;39;24891;17486;5427;2171.0;185.0;378
9;Totaal Pensioenfondsen;2006;769;16900;5930;8493;2477;1544;183;711;39;23518;16463;5171;1926.0;166.0;208
10;Totaal Pensioenfondsen;2007;714;17436;5870;8988;2578;1671;153;716;38;23844;16994;7497;345.0;229.0;1221
11;Totaal Pensioenfondsen;2008;656;17709;5794;9295;2620;1721;140;721;38;26310;18494;7955;502.0;228.0;869
12;Totaal Pensioenfondsen;2009;579;17962;5789;9477;2696;1792;133;733;38;29474;20786;8678;545.0;241.0;776
13;Totaal Pensioenfondsen;2010;512;17437;5820;8860;2757;1853;127;740;37;28114;18899;8942;560.0;256.0;543
14;Totaal Pensioenfondsen;2011;454;17329;5735;8714;2880;1979;119;745;37;29628;20362;9445;609.0;195.0;983
15;Totaal Pensioenfondsen;2012;414;17282;5635;8656;2991;2098;104;752;37;31533;22160;10166;;;793
16;Totaal Pensioenfondsen;2013;379;17403;5488;8844;3071;2177;98;759;37;33525;23762;10560;;;797
17;Totaal Pensioenfondsen;2014;348;17598;5424;9059;3115;2227;95;756;37;31152;21800;9902;;;550
18;Totaal Pensioenfondsen;2015;319;17915;5435;9302;3178;2282;96;764;36;28289;19424;9195;;;330
19;Bedrijfstakpensioenfondsen;1997;82;10512;3747;5301;1464;824;110;501;29;4645;3774;1424;33.0;1.0;589
20;Bedrijfstakpensioenfondsen;1998;85;11003;4014;5479;1510;849;121;512;28;5832;4447;1858;116.0;2.0;592
21;Bedrijfstakpensioenfondsen;1999;93;11252;4126;5593;1533;867;129;509;28;6536;5508;1727;68.0;1.0;767
22;Bedrijfstakpensioenfondsen;2000;92;11756;4425;5760;1571;893;136;514;28;7368;6109;1919;163.0;0.0;823
23;Bedrijfstakpensioenfondsen;2001;100;12614;4768;6175;1671;964;151;527;29;8277;6253;1964;79.0;17.0;37
24;Bedrijfstakpensioenfondsen;2002;102;13383;5218;6438;1727;1005;159;535;28;10954;7724;3061;193.0;1.0;25
25;Bedrijfstakpensioenfondsen;2003;103;13832;5149;6871;1812;1071;170;542;29;13735;9667;3737;325.0;62.0;56
26;Bedrijfstakpensioenfondsen;2004;102;14185;5320;7006;1859;1115;168;547;29;15730;12043;3686;38.0;5.0;42
27;Bedrijfstakpensioenfondsen;2005;103;14414;5284;7206;1924;1176;164;555;29;17527;12794;4706;50.0;20.0;43
28;Bedrijfstakpensioenfondsen;2006;103;14379;5051;7356;1972;1222;159;561;30;16855;12304;4526;48.0;20.0;43
29;Bedrijfstakpensioenfondsen;2007;96;14947;5036;7846;2065;1333;135;568;29;17926;11050;6484;265.0;215.0;88
30;Bedrijfstakpensioenfondsen;2008;95;15234;4973;8137;2124;1396;124;575;29;18929;11767;6843;248.0;222.0;151
31;Bedrijfstakpensioenfondsen;2009;87;15498;4999;8308;2191;1458;118;585;30;20397;12501;7510;243.0;237.0;94
32;Bedrijfstakpensioenfondsen;2010;82;15051;5059;7743;2249;1514;113;593;29;21438;13299;7736;259.0;252.0;108
33;Bedrijfstakpensioenfondsen;2011;77;14992;5008;7614;2370;1634;107;600;29;22318;13878;8140;219.0;193.0;112
34;Bedrijfstakpensioenfondsen;2012;74;15113;4941;7681;2491;1757;91;614;29;23953;15267;8810;;;124
35;Bedrijfstakpensioenfondsen;2013;71;15281;4828;7883;2570;1829;87;624;30;25139;16018;9203;;;85
36;Bedrijfstakpensioenfondsen;2014;68;15568;4800;8143;2625;1883;86;626;30;23460;14922;8598;;;79
37;Bedrijfstakpensioenfondsen;2015;67;15912;4832;8387;2693;1940;88;636;29;22376;14498;7941;;;64
38;Ondernemingspensioenfondsen;1997;966;1808;742;661;405;253;15;129;8;1655;1436;338;436.0;35.0;589
