ID;Perioden;TotaalAantalClubs_1;Kanovaren_2;Roeien_3;Zeilen_4;Surfen_5;Motorbootvaren_6;Waterskien_7;TotaalAantalClubsMetInstructie_8;Kanovaren_9;Roeien_10;Zeilen_11;Surfen_12;Motorbootvaren_13;Waterskien_14;AantalCursisten_15;PersoneelInLoondienst_16;PersoneelNietInLoondienst_17;Vrijwilligers_18;ArbeidsvolumePersoneelInLoondienst_19;TotaalBaten_20;ContributieVerhuurLesgelden_21;OverigeInkomsten_22;TotaalLasten_23;LonenEnSocialeLasten_24;PersoneelNietInLoondienst_25;EnergieEnWaterkosten_26;HuurGebouwenEnTerreinen_27;OnderhoudGebouwenTerreinen_28;RenteEnAfschrijving_29;OverigeUitgaven_30;TotaalBatenInProcenten_31;ContributieVerhuurLesgelden_32;OverigeInkomsten_33;TotaalLastenInProcenten_34;LonenEnSocialeLasten_35;PersoneelNietInLoondienst_36;EnergieEnWaterkosten_37;HuurGebouwenEnTerreinen_38;OnderhoudGebouwenTerreinen_39;RenteEnAfschrijving_40;OverigeUitgaven_41;TotaalAantalExploitanten_42;PersoneelInLoondienst_43;PersoneelNietInLoondienst_44;Vrijwilligers_45;ArbeidsvolumePersoneelInLoondienst_46;TotaalBaten_47;VerhuurLigplaatsenVaartuigenStand_48;OverigeInkomsten_49;TotaalLasten_50;LonenEnSocialeLasten_51;PersoneelNietInLoondienst_52;EnergieEnWaterkosten_53;HuurGebouwenEnTerreinen_54;OnderhoudGebouwenTerreinen_55;RenteEnAfschrijving_56;OverigeUitgaven_57;TotaalBatenInProcenten_58;VerhuurLigplaatsenVaartuigenStand_59;OverigeInkomsten_60;TotaalLastenInProcenten_61;LonenEnSocialeLasten_62;PersoneelNietInLoondienst_63;EnergieEnWaterkosten_64;HuurGebouwenEnTerreinen_65;OnderhoudGebouwenTerreinen_66;RenteEnAfschrijving_67;OverigeUitgaven_68;TotaalAantalScholen_69;Kanovaren_70;Roeien_71;Zeilen_72;Surfen_73;Motorbootvaren_74;Waterskien_75;AantalCursisten_76;TotaalBaten_77;LesEnEntreegelden_78;OverigeInkomsten_79;TotaalLasten_80;LonenEnSocialeLasten_81;PersoneelNietInLoondienst_82;EnergieEnWaterkosten_83;HuurGebouwenEnTerreinen_84;OnderhoudGebouwenTerreinen_85;RenteEnAfschrijving_86;OverigeUitgaven_87;TotaalBatenInProcenten_88;LesEnEntreegelden_89;OverigeInkomsten_90;TotaalLastenInProcenten_91;LonenEnSocialeLasten_92;PersoneelNietInLoondienst_93;EnergieEnWaterkosten_94;HuurGebouwenEnTerreinen_95;OnderhoudGebouwenTerreinen_96;RenteEnAfschrijving_97;OverigeUitgaven_98
0;1994;955;17;16;58;16;51;6;;;;;;;;;11;10;55;130;32;24;8;28;3;0;1;3;3;5;12;100;76;24;100;11;1;5;12;10;19;42;395;45;55;10;510;72;50;22;64;14;1;3;5;5;16;20;100;69;31;100;23;1;4;8;7;24;32;85;13.0;5.0;67.0;53.0;16.0;13.0;27;9;6;3;8;1;0;0;0;0;2;3;100;74;26;100;13;6;5;5;6;24;42
1;1997;950;19;18;59;14;54;4;565.0;22.0;17.0;34.0;7.0;3.0;2.0;20.0;9;3;67;110;30;23;7;28;3;0;2;3;4;5;10;100;76;24;100;11;1;7;12;13;19;37;400;53;62;14;590;77;50;27;68;16;0;3;6;5;17;21;100;65;35;100;24;1;4;9;7;25;31;90;15.0;4.0;77.0;43.0;24.0;19.0;30;12;8;4;9;2;0;0;0;0;2;4;100;69;31;100;22;3;3;4;5;20;42
2;2000;1070;18;18;54;14;53;6;595.0;21.0;20.0;36.0;9.0;7.0;4.0;26.0;9;3;72;120;36;27;10;33;3;1;3;4;4;5;14;100;73;27;100;10;2;8;12;11;16;41;375;51;61;22;670;107;58;49;94;21;1;4;9;8;20;31;100;54;46;100;23;1;5;9;8;21;33;105;;;;;;;32;14;9;5;12;3;1;0;0;1;2;5;100;62;38;100;22;4;4;3;6;20;41
3;2003;1080;16;19;52;11;50;5;595.0;18.0;22.0;38.0;9.0;6.0;4.0;28.0;8;4;72;120;47;34;13;43;4;1;3;5;6;7;18;100;73;27;100;9;2;7;11;14;16;41;385;51;69;19;650;114;60;54;102;22;1;5;10;9;20;36;100;53;47;100;21;1;5;9;9;20;35;115;7.0;3.0;79.0;29.0;12.0;13.0;36;18;11;7;15;3;1;0;1;1;3;6;100;62;38;100;20;5;3;6;6;18;41
4;2006;1050;16;22;50;11;49;6;525.0;20.0;25.0;37.0;8.0;3.0;4.0;29.0;7;2;72;100;47;34;13;43;3;1;3;6;7;6;17;100;72;28;100;7;2;7;14;16;14;40;390;50;64;21;720;137;75;62;120;26;1;5;11;9;24;43;100;55;45;100;22;1;4;9;8;20;36;140;4.0;3.0;73.0;23.0;10.0;12.0;36;18;12;6;15;3;1;0;1;1;3;5;100;68;32;100;22;8;3;9;5;18;36
5;2009;1105;16;24;48;10;45;7;555.0;20.0;30.0;43.0;9.0;5.0;5.0;31.0;6;3;73;90;51;36;15;46;3;1;3;6;6;6;20;100;71;29;100;7;2;7;13;14;14;42;395;48;68;22;670;142;78;65;123;26;2;6;13;10;23;42;100;55;45;100;21;1;5;11;8;19;34;135;3.0;2.0;64.0;24.0;13.0;16.0;42;19;13;6;16;3;1;0;2;1;3;6;100;67;33;100;22;5;3;10;5;19;36
6;2012;1110;15;25;49;12;45;7;560.0;17.0;28.0;43.0;9.0;4.0;5.0;28.0;6;2;74;90;54;39;16;50;4;1;4;7;7;6;21;100;72;28;100;7;2;7;14;15;12;43;395;49;67;24;650;141;81;60;125;26;2;7;14;11;23;43;100;58;42;100;21;2;6;11;9;18;34;165;5.0;2.0;57.0;30.0;15.0;13.0;49;20;14;6;17;4;1;1;2;1;3;6;100;68;32;100;21;6;4;9;6;18;37
