ID;Arbeidsgehandicapten;Persoonskenmerken;Beroepskenmerken;Perioden;WerkzameBeroepsbevolking_1
0;Totaal;Totaal personen;Totaal;2015;8294
1;Totaal;Totaal personen;Totaal;2016;8403
2;Totaal;Totaal personen;Totaal;2017;8579
3;Totaal;Totaal personen;01 Pedagogische beroepen;2015;603
4;Totaal;Totaal personen;01 Pedagogische beroepen;2016;603
5;Totaal;Totaal personen;01 Pedagogische beroepen;2017;592
6;Totaal;Totaal personen;011 Docenten;2015;422
7;Totaal;Totaal personen;011 Docenten;2016;418
8;Totaal;Totaal personen;011 Docenten;2017;426
9;Totaal;Totaal personen;0111 Docenten hoger onderwijs en hoog...;2015;47
10;Totaal;Totaal personen;0111 Docenten hoger onderwijs en hoog...;2016;46
11;Totaal;Totaal personen;0111 Docenten hoger onderwijs en hoog...;2017;55
12;Totaal;Totaal personen;0112 Docenten beroepsgerichte vakken ...;2015;30
13;Totaal;Totaal personen;0112 Docenten beroepsgerichte vakken ...;2016;34
14;Totaal;Totaal personen;0112 Docenten beroepsgerichte vakken ...;2017;35
15;Totaal;Totaal personen;0113 Docenten algemene vakken secunda...;2015;111
16;Totaal;Totaal personen;0113 Docenten algemene vakken secunda...;2016;113
17;Totaal;Totaal personen;0113 Docenten algemene vakken secunda...;2017;111
18;Totaal;Totaal personen;0114 Leerkrachten basisonderwijs;2015;171
19;Totaal;Totaal personen;0114 Leerkrachten basisonderwijs;2016;164
20;Totaal;Totaal personen;0114 Leerkrachten basisonderwijs;2017;157
21;Totaal;Totaal personen;0115 Onderwijskundigen en overige doc...;2015;64
22;Totaal;Totaal personen;0115 Onderwijskundigen en overige doc...;2016;61
23;Totaal;Totaal personen;0115 Onderwijskundigen en overige doc...;2017;69
24;Totaal;Totaal personen;012 Sportinstructeurs;2015;36
25;Totaal;Totaal personen;012 Sportinstructeurs;2016;49
26;Totaal;Totaal personen;012 Sportinstructeurs;2017;38
27;Totaal;Totaal personen;0121 Beroepsgroep sportinstructeurs;2015;36
28;Totaal;Totaal personen;0121 Beroepsgroep sportinstructeurs;2016;49
29;Totaal;Totaal personen;0121 Beroepsgroep sportinstructeurs;2017;38
