ID;StatusCijfer;RegioS;Perioden;TotaalMannenEnVrouwen_1;JongerDan20Jaar_2;k_20Tot65Jaar_3;k_65Tot75Jaar_4;k_75Tot85Jaar_5;k_85JaarOfOuder_6;TotaalMannen_7;JongerDan20Jaar_8;k_20Tot65Jaar_9;k_65Tot75Jaar_10;k_75Tot85Jaar_11;k_85JaarOfOuder_12;TotaalVrouwen_13;JongerDan20Jaar_14;k_20Tot65Jaar_15;k_65Tot75Jaar_16;k_75Tot85Jaar_17;k_85JaarOfOuder_18;TotaalStedelijkGebied_19;ZeerSterkStedelijk_20;SterkStedelijk_21;MatigStedelijk_22;TotaalLandelijkGebied_23;WeinigStedelijk_24;NietStedelijk_25;Eenouderhuishoudens_26;TotaalAantalHuishoudensMetInkomen_27;LageInkomens2e3eEn4eDeciel_28;LokaalKlantenpotentieel_29;LokaalKlantenpotentieelRel_30;RegionaalKlantenpotentieel_31;RegionaalKlantenpotentieelRel_32;WoonkernenTotaal_33;WoonkernenMinimaal500Adressen_34;LandGfFvwTotaal_35;LandGfFvwBuitengebiedGfFvw_36;LandGfFvwWoonkernenGfFvw_37;BinnenwaterGfFvwTotaal_38;BuitenwaterGfFvwTotaal_39;BebouwingTotaal_40;BebouwingWoonkernenGfFvw_41;BebouwingBuitengebiedGfFvw_42;Bedrijfsterreinen_43;BodemfactorTotaal_44;BodemfactorWoonkernenGfFvw_45;BodemfactorBuitengebiedGfFvw_46;KleiKleiveenVeenTotaal_47;KleiKleiveenVeenWoonkernenGfFvw_48;KleiKleiveenVeenBuitengebiedGfFvw_49;OeverlengteTotaal_50;OeverlengteVeenKleiveengebied_51;PercentageSlechteGrond_52;BelastingcapaciteitWoningen_53;BelastingcapaciteitNietWoningen_54;AmendementDePater_55;Woningvoorraad_56;Wooneenhedenvoorraad_57;Recreatiewoningvoorraad_58;CapaciteitBijzonderWoongebouwen_59;WoningTotaal_60;WoningMetFunctieLogies_61;NietWoningMetFunctieLogies_62;TotaalBijstandsuitkeringen_63;AlgemeneBijstand_64;BBZ_65;IOAW_66;IOAZ_67;Adreslozen_68;Omgevingsadressendichtheid_69;Minderheden_70;BanenVanWerknemers_71;Bedrijfsvestigingen_72;ProvincialeWegen_73;InwonersInZorginstellingen_74;UitwonendeStudenten_75;Regiocode_76
0;Voorlopig;Nederland, Buitenland, Niet in te delen;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Voorlopig;Nederland, Buitenland, Niet in te delen;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Voorlopig;Nederland, Buitenland, Niet in te delen;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Voorlopig;Nederland, Buitenland, Niet in te delen;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Voorlopig;Nederland, Buitenland, Niet in te delen;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Voorlopig;Nederland, Buitenland, Niet in te delen;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Voorlopig;Nederland, Buitenland, Niet in te delen;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Voorlopig;Nederland, Buitenland, Niet in te delen;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Voorlopig;Nederland, Buitenland, Niet in te delen;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Voorlopig;Nederland, Buitenland, Niet in te delen;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Voorlopig;Nederland, Buitenland, Niet in te delen;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Voorlopig;Nederland, Buitenland, Niet in te delen;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Voorlopig;Nederland, Buitenland, Niet in te delen;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Voorlopig;Nederland, Buitenland, Niet in te delen;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Voorlopig;Nederland, Buitenland, Niet in te delen;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Voorlopig;Nederland, Buitenland, Niet in te delen;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Voorlopig;Nederland, Buitenland, Niet in te delen;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Voorlopig;Nederland;2007;16357992.0;3957103.0;10032537.0;1292457.0;814207.0;261688.0;8088514.0;2024153.0;5052301.0;616684.0;323573.0;71803.0;8269478.0;1932950.0;4980236.0;675773.0;490634.0;189885.0;7076110.0;3251430.0;3824690.0;2971090.0;6287010.0;3148800.0;3138210.0;458881.0;7225.6;2167.7;;;;;3075.0;;3374419.0;2768559.0;605861.0;181356.0;598532.0;95062.0;69097.0;25965.0;;1.06;1.08;1.06;521912.0;122494.0;399419.0;854301.0;194797.0;15.0;1523442.0;401139.0;;6969931.0;114034.0;98595.0;345981.0;;;;303073.0;289670.0;2678.0;5674.0;1657.0;3394.0;1874.0;1211405.0;;754305.0;;;;NL01  
18;Voorlopig;Nederland;2008;16405399.0;3940450.0;10050123.0;1314494.0;826806.0;273526.0;8112073.0;2015088.0;5058026.0;630592.0;332292.0;76075.0;8293326.0;1925362.0;4992097.0;683902.0;494514.0;197451.0;7147510.0;3295050.0;3852460.0;2976200.0;6234280.0;3133550.0;3100730.0;465704.0;7423.2;2226.9;;;;;3086.0;1086.0;3373765.0;2763425.0;610340.0;182009.0;598533.0;95904.0;69876.0;26028.0;;1.06;1.08;1.06;521624.0;123150.0;398474.0;861507.0;196574.0;15.0;1633174.0;388822.0;;7029975.0;116851.0;100118.0;347116.0;;;;293805.0;279261.0;3058.0;6455.0;1509.0;3522.0;1882.0;1226715.0;;792030.0;;;;NL01  
