ID;Perioden;Steenkool_1;Bruinkool_2;Aardolie_3;Aardgas_4;Zout_5;Industriezand_6;Ophoogzand_7;Grind_8;MargarineProductie_9;AardappelmeelProductie_10;CacaobonenVerbruik_11;VerwerkteBeetwortelen_12;ProductieBeetwortelsuiker_13;SpinnenrijenGarenproductie_14;WeverijenGarenverbruik_15;TricotindustrieGarenverbruik_16;TapijtindustrieVloerbedekkingProductie_17;VerbruikVanKledingEnVoeringsstoffen_18;BuitenlandseLoonconfectie_19;ZwaarLeder_20;LichtLeder_21;SchoenindustrieProductie_22;GrafischePapierEnKartonsoorten_23;Krantenpapier_24;PapierVoorVerpakkingsdoeleinden_25;Strokarton_26;SpecialePapiersoorten_27;SynthetischeRubberInclLatex_28;Verven_29;WasmiddelenInclSynthetische_30;StraatstenenWaalformaat_31;MetselbakstenenWaalformaat_32;KalkzandstenenWaalformaat_33;DakpannenKeramische_34;Cement_35;Betonmortel_36;RuwIjzer_37;RuwStaal_38;BlokzinkPrimair_39;TinPrimair_40;AluminiumPrimair_41;Totaal_42;PersonenautoS_43;BedrijfsautoS_44;ZeevarendeHandelsschepen_45;BinnenvaartEnSleepschepen_46;RijwielindustrieProductieFietsen_47
0;1914;;;;;;;;;88.0;;28.0;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1915;2333.0;;;;;;;;;;;;270.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1916;;;;;;;;;;;;;225.0;;;;;;;;;;;;;;;;;;;;;;;;;;12.1;;;;;;;;
3;1917;;;;;;;;;172.0;;22.0;;242.0;;;;;;;;;;;;;;;;;;;;;;;;;;4.1;;;;;;;;
4;1918;;;;;;;;;;;;;184.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;
5;1919;;;;;;;;;;;;;157.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1920;4116.0;1396.0;;;25.0;;;;95.0;;26.0;;216.0;;;;;;;;;;;39.0;;147.0;;;;56.0;;;;;;;;;6.4;;;;;;203.0;32.0;96.0
7;1921;;;;;;;;;99.0;64.0;30.0;2619.0;346.0;;;;;;;;;5.3;;;;;;;;;;;;;;;;;;;;;;;;;
8;1922;;;;;;;;;88.0;154.0;33.0;1668.0;233.0;;;;;;;;;4.4;;46.0;;141.0;;;;62.0;;;;;;;;;13.0;;;;;;207.0;68.0;109.0
9;1923;;;;;;;;;108.0;102.0;;;211.0;;;;;;;;;4.6;;53.0;;192.0;;;;63.0;;;;;;;;;16.4;;;;;;66.0;91.0;113.0
