ID;BedrijfstakBranchesSBI2008;Perioden;Werknemer_1;WerkzamePersoon_2;Werknemer_3;WerkzamePersoon_4;Totaal_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;Totaal_8;Totaal_9;InkoopwaardeGrondEnHulpstoffen_10;InkoopwaardeHandelsgoederen_11;KostenUitbesteedWerk_12;InkoopwaardeOverigeGoederenDiensten_13;Totaal_14;Brutolonen_15;Totaal_16;SocialeVerzekeringspremiesWerkgever_17;PremiesPensioenVutInkoopsommen_18;OverigeSocialeLasten_19;OverigePersoneleKosten_20;Totaal_21;KostenEnergieverbruik_22;Huisvestingskosten_23;KostenApparatuurEnInventaris_24;KostenVervoermiddelen_25;Verkoopkosten_26;Communicatiekosten_27;KostenVanOverigeDiensten_28;NietEerderGenoemdeBedrijfskosten_29;AfschrijvingenOpVasteActiva_30;Bedrijfsresultaat_31;SaldoFinancieleBatenEnLasten_32;SaldoVoorzieningen_33;SaldoBuitengewoneBatenEnLasten_34;ResultaatVoorBelastingen_35
0;F Bouwnijverheid;2009;394.0;591.4;362.9;513.2;93429.0;91956.0;1473.0;85779.0;53647.0;26632.0;718.0;26182.0;115.0;21181.0;14479.0;3479.0;2061.0;1418.0;371.0;2852.0;9008.0;307.0;1106.0;950.0;1852.0;673.0;346.0;1009.0;2766.0;1943.0;7650.0;-2043.0;-82.0;1669.0;7194.0
1;F Bouwnijverheid;2010;387.4;578.3;355.2;514.8;86293.0;84245.0;2049.0;79419.0;47788.0;23839.0;947.0;22861.0;141.0;20827.0;14305.0;3465.0;2043.0;1423.0;338.0;2719.0;8758.0;330.0;1111.0;935.0;1916.0;575.0;345.0;979.0;2567.0;2046.0;6875.0;-2304.0;-170.0;1721.0;6122.0
2;F Bouwnijverheid;2011;392.0;568.6;359.3;512.2;90272.0;87866.0;2406.0;83662.0;51063.0;24423.0;839.0;25747.0;54.0;21619.0;14733.0;3631.0;2123.0;1508.0;316.0;2940.0;8988.0;361.0;1137.0;1031.0;2131.0;591.0;351.0;981.0;2406.0;1991.0;6610.0;-377.0;-80.0;-30.0;6123.0
3;F Bouwnijverheid;2012;376.1;552.2;343.9;496.4;82983.0;80431.0;2552.0;77862.0;46450.0;22898.0;621.0;22852.0;80.0;20956.0;14269.0;3643.0;2159.0;1484.0;298.0;2746.0;8560.0;370.0;1074.0;954.0;2070.0;548.0;325.0;949.0;2271.0;1895.0;5121.0;-352.0;-135.0;-365.0;4270.0
4;F Bouwnijverheid;2013;340.5;524.8;314.5;474.0;78233.0;75755.0;2478.0;73134.0;43388.0;21643.0;616.0;21056.0;73.0;19792.0;13434.0;3472.0;2022.0;1450.0;251.0;2635.0;8159.0;372.0;1015.0;907.0;1955.0;518.0;307.0;904.0;2181.0;1795.0;5100.0;-304.0;-66.0;89.0;4820.0
5;41 Algemene bouw en projectontwikkeling;2009;119.6;182.0;109.9;159.4;41937.0;41372.0;565.0;38910.0;28641.0;11740.0;313.0;16521.0;67.0;6746.0;4752.0;1210.0;690.0;521.0;143.0;642.0;2990.0;79.0;441.0;180.0;509.0;309.0;118.0;405.0;950.0;532.0;3027.0;-2035.0;-60.0;1532.0;2465.0
6;41 Algemene bouw en projectontwikkeling;2010;114.9;177.0;104.4;154.7;35444.0;35079.0;365.0;32885.0;23459.0;9706.0;109.0;13538.0;107.0;6270.0;4413.0;1130.0;641.0;489.0;131.0;596.0;2640.0;79.0;412.0;159.0;498.0;204.0;107.0;361.0;819.0;516.0;2559.0;-2178.0;-78.0;1559.0;1862.0
7;41 Algemene bouw en projectontwikkeling;2011;117.7;175.1;106.5;155.9;36778.0;36417.0;361.0;34485.0;24858.0;9426.0;98.0;15312.0;22.0;6533.0;4612.0;1192.0;670.0;522.0;118.0;611.0;2607.0;75.0;401.0;162.0;536.0;195.0;109.0;334.0;795.0;488.0;2293.0;-218.0;-34.0;-63.0;1978.0
8;41 Algemene bouw en projectontwikkeling;2012;109.1;168.1;98.4;149.0;32287.0;31903.0;384.0;30621.0;21641.0;8566.0;167.0;12882.0;26.0;6075.0;4268.0;1138.0;664.0;475.0;106.0;564.0;2430.0;66.0;376.0;155.0;508.0;182.0;98.0;338.0;707.0;475.0;1666.0;-246.0;-62.0;-481.0;877.0
9;41 Algemene bouw en projectontwikkeling;2013;92.7;157.7;84.7;140.0;29058.0;28332.0;726.0;27491.0;19483.0;7765.0;154.0;11533.0;31.0;5324.0;3727.0;1014.0;580.0;434.0;87.0;496.0;2250.0;64.0;334.0;137.0;468.0;164.0;89.0;294.0;701.0;435.0;1567.0;-254.0;-41.0;3.0;1275.0
