ID;FinancialCorporations;Periods;TotalAssets_1;MonetaryGold_2;SpecialDrawingRightsSDRS_3;CurrencyAndTransferableDeposits_4;OtherDeposits_5;ShortTermSecurities_6;LongTermSecurities_7;ShortTermLoans_8;LongTermLoans_9;MortgageLoans_10;EquityAndShares_11;InsPensionAndStGuaranteeSch_12;FinancialDerivatives_13;OtherAccountsReceivablePayable_14;Property_15;OtherAssets_16;TotalLiabilities_17;SpecialDrawingRightsSDRS_18;Currency_19;TransferableDeposits_20;SavingsDeposits_21;OtherDeposits_22;ShortTermSecurities_23;LongTermSecurities_24;ShortTermLoans_25;LongTermLoans_26;EquityAndShares_27;InsPensionAndStGuaranteeSch_28;FinancialDerivatives_29;OtherAccountsReceivablePayable_30;NetWorth_31
0;Total financial corporations;1998;2806967;8333.0;776.0;41695;175887;25542;378219;255256;628944;220589.0;911275;21049.0;15270;67143;54848.0;2139.0;2806967;639.0;17287.0;147776.0;124839.0;296036.0;24342;350405;126563;269256;761905;580997.0;14680.0;65923;26318
1;Total financial corporations;1999;3158465;9140.0;1013.0;37560;181234;29878;374575;341003;696558;260104.0;1067085;22975.0;2412;72092;60669.0;2166.0;3158465;724.0;17715.0;158736.0;133042.0;316606.0;34545;426972;148430;292219;870054;661080.0;14680.0;57768;25894
2;Total financial corporations;2000;3468776;8590.0;1070.0;57686;195222;20624;423878;358988;774615;296521.0;1142631;23725.0;4753;85420;72697.0;2355.0;3468776;743.0;17436.0;181796.0;137107.0;351749.0;35844;497858;160484;332455;981423;691476.0;14680.0;66665;-939
3;Total financial corporations;2001;3742443;8958.0;826.0;51296;282605;20100;455519;352459;819541;337470.0;1211020;22796.0;8189;89873;79419.0;2372.0;3742443;755.0;10431.0;219084.0;151226.0;418384.0;44764;567868;183799;367217;982759;689098.0;14680.0;91993;385
4;Total financial corporations;2002;3782248;8949.0;520.0;54592;296139;17635;507520;367292;831182;369241.0;1120208;16934.0;13313;108023;68966.0;1734.0;3782248;687.0;17423.0;211586.0;166164.0;458004.0;51100;613362;200655;363333;867761;662325.0;14680.0;102562;52606
5;Total financial corporations;2003;4046870;8258.0;460.0;67467;317398;22732;546899;350915;882849;411883.0;1231914;16144.0;11113;109951;66976.0;1912.0;4046870;625.0;20333.0;232742.0;183367.0;466621.0;47972;664023;207195;401711;923658;726650.0;14680.0;128656;28638
6;Total financial corporations;2004;4320569;8038.0;390.0;75953;327200;30516;600894;393404;918993;446055.0;1333236;13612.0;9556;94982;65984.0;1755.0;4320569;604.0;22465.0;226579.0;197838.0;542508.0;48466;711144;243346;406711;992743;793117.0;14680.0;121893;-1526
7;Total financial corporations;2005;4971151;9716.0;384.0;105048;396160;29902;672921;449535;983750;498282.0;1601346;13978.0;5976;132736;67278.0;4140.0;4971151;642.0;23263.0;253228.0;210922.0;610661.0;42429;808110;315145;502647;1145662;905235.0;14680.0;166050;-27523
8;Total financial corporations;2006;5618236;9947.0;438.0;174496;443102;25123;702259;527764;1054553;545192.0;1896867;12647.0;28138;121822;72518.0;3370.0;5618236;605.0;23799.0;299208.0;221974.0;710850.0;47953;904205;343155;530936;1403544;955999.0;25225.0;181858;-31075
9;Total financial corporations;2007;6587039;11353.0;618.0;204839;573147;30802;800280;594651;1301717;585103.0;2187363;21157.0;75190;132103;63701.0;5015.0;6587039;569.0;23596.0;315878.0;239671.0;839832.0;57557;1042573;464242;673974;1702134;1009033.0;49520.0;196320;-27860
