ID;Geslacht;Leeftijd;Onderwijssoort;Perioden;VavoStudenten_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2006/'07;11990
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2007/'08;13080
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2008/'09;15360
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2009/'10;16670
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2010/'11;15180
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2011/'12;13720
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2012/'13;13330
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2013/'14;13450
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2014/'15;13790
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2015/'16;15520
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2016/'17;16250
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2017/'18;16670
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2018/'19;16200
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2019/'20;15560
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2020/'21;9880
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2021/'22;12210
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2022/'23;12860
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2023/'24;16130
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2024/'25;15400
19;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2006/'07;2710
20;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2007/'08;2720
21;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2008/'09;2450
22;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2009/'10;2540
23;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2010/'11;2260
24;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2011/'12;2140
25;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2012/'13;2180
26;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2013/'14;2330
27;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2014/'15;2290
28;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2015/'16;2480
29;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2016/'17;2510
30;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2017/'18;2720
31;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2018/'19;2450
