ID;Perioden;MisdrijvenTotaal_1;Geweldsmisdrijven_2;Vermogensmisdrijven_3;VernielingenMisdrOpenbOrdeGezag_4;Verkeersmisdrijven_5;OverigeMisdrijven_6;MisdrijvenTotaal_7;Geweldsmisdrijven_8;Vermogensmisdrijven_9;VernielingenMisdrOpenbOrdeGezag_10;Verkeersmisdrijven_11;OverigeMisdrijven_12;TotaalOpgehelderdeMisdrijven_13;OpgehelderdeMisdrijvenRelatief_14;TotaalRegistratiesVanVerdachten_15;TotaalMannelijkeVerdachten_16;TotaalVrouwelijkeVerdachten_17;TotaalMeerderjarigeVerdachten_18;MannelijkeMeerderjarigeVerdachten_19;VrouwelijkeMeerderjarigeVerdachten_20;TotaalMinderjarigeVerdachten_21;MannelijkeMinderjarigeVerdachten_22;VrouwelijkeMinderjarigeVerdachten_23
0;1948;133255;;;;;;14;;;;;;91760;69;;;;;;;;;
1;1949;105080;;;;;;11;;;;;;70340;67;;;;;;;;;
2;1950;103135;14475.0;65050.0;9835.0;12125.0;1650.0;10;1.0;6.0;1.0;1.0;;68635;67;;;;;;;;;
3;1951;124620;14475.0;79980.0;10925.0;14445.0;4795.0;12;1.0;8.0;1.0;1.0;;83025;67;;;;;;;;;
4;1952;121400;14475.0;74650.0;10925.0;13665.0;7690.0;12;1.0;7.0;1.0;1.0;1.0;88205;73;95945.0;82915.0;13035.0;82020.0;69925.0;12095.0;13930.0;12990.0;940.0
5;1953;114955;14475.0;69315.0;9835.0;12750.0;8580.0;11;1.0;7.0;1.0;1.0;1.0;85560;74;95885.0;82560.0;13325.0;80820.0;68500.0;12320.0;15065.0;14060.0;1000.0
6;1954;109580;13360.0;65050.0;9835.0;12015.0;9320.0;10;1.0;6.0;1.0;1.0;1.0;81760;75;91995.0;78665.0;13330.0;76240.0;64040.0;12200.0;15755.0;14620.0;1130.0
7;1955;110655;13360.0;66120.0;9835.0;12175.0;9170.0;10;1.0;6.0;1.0;1.0;1.0;80465;73;90750.0;78370.0;12380.0;74165.0;62870.0;11295.0;16585.0;15500.0;1085.0
8;1956;112805;13360.0;69315.0;9835.0;12640.0;7650.0;10;1.0;6.0;1.0;1.0;1.0;79330;70;90765.0;78635.0;12130.0;71520.0;60515.0;11010.0;19240.0;18120.0;1120.0
9;1957;126770;13360.0;81050.0;9835.0;12640.0;9890.0;12;1.0;7.0;1.0;1.0;1.0;84345;67;96960.0;85490.0;11470.0;74145.0;63910.0;10240.0;22815.0;21580.0;1230.0
