ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
0;A-U Alle economische activiteiten;348.5;59.1;34.72;29.36;1701.0;100.0;76.7;10.2;7.0;3.6;2.6
1;A Landbouw, bosbouw en visserij;3.0;41.9;22.94;19.88;1826.0;100.0;78.6;11.5;7.1;2.1;0.7
2;01 Landbouw;2.9;41.1;22.51;19.52;1825.0;100.0;78.7;11.6;7.0;2.1;0.6
3;02 Bosbouw;0.1;60.9;36.5;30.82;1667.0;100.0;72.4;11.2;12.1;2.3;2.0
4;03 Visserij;0.1;75.3;35.63;31.08;2114.0;100.0;76.7;7.2;9.4;4.8;1.9
5;B Delfstoffenwinning;1.2;122.9;64.37;55.63;1909.0;100.0;75.5;6.6;12.3;2.5;3.2
6;06 Winning van aardolie en aardgas;0.6;158.1;89.45;75.63;1767.0;100.0;75.6;5.5;12.8;2.2;3.8
7;08 Delfstoffenwinning (geen olie en gas);0.1;71.8;38.49;33.75;1865.0;100.0;78.8;10.4;5.9;3.3;1.6
8;09 Dienstverlening delfstoffenwinning;0.5;113.6;55.84;48.76;2034.0;100.0;74.6;6.9;13.1;2.5;2.9
9;C Industrie;40.9;61.7;35.4;30.02;1742.0;100.0;77.9;10.7;6.8;3.8;0.8
10;10 Voedingsmiddelenindustrie;6.0;60.9;34.6;29.59;1761.0;100.0;77.4;10.7;6.2;4.0;1.6
11;11 Drankenindustrie;0.5;77.1;43.8;37.2;1761.0;100.0;77.4;9.6;7.3;3.7;1.9
12;12 Tabaksindustrie;0.1;78.6;47.9;39.85;1641.0;100.0;76.4;9.5;8.6;3.3;2.1
13;13 Textielindustrie;0.5;56.1;32.29;27.54;1736.0;100.0;76.4;11.2;6.5;4.1;1.7
14;14 Kledingindustrie;0.1;49.0;28.55;24.27;1717.0;100.0;77.6;10.0;8.1;2.5;1.9
15;15 Leer- en schoenenindustrie;0.1;53.1;30.46;25.82;1745.0;100.0;76.7;10.9;8.7;2.7;1.0
16;16 Houtindustrie;0.5;48.9;27.22;23.51;1798.0;100.0;77.2;12.1;5.2;3.8;1.7
17;17 Papierindustrie;1.0;64.2;37.33;31.98;1720.0;100.0;77.9;11.4;5.4;3.6;1.7
18;18 Grafische industrie;0.9;52.6;30.32;26.16;1733.0;100.0;78.1;12.2;4.6;3.3;1.8
19;19 Aardolie-industrie;0.6;114.1;67.22;56.27;1698.0;100.0;72.8;7.4;14.8;3.2;1.8
20;20 Chemische industrie;3.5;85.6;48.82;41.34;1753.0;100.0;79.3;9.3;6.5;3.7;1.1
21;21 Farmaceutische industrie;0.9;75.8;43.28;36.62;1752.0;100.0;81.4;10.2;5.6;4.4;-1.6
22;22 Rubber- en kunststofproductindustrie;1.7;58.7;33.07;28.15;1776.0;100.0;77.5;11.6;5.9;3.6;1.3
23;23 Bouwmaterialenindustrie;1.2;61.9;34.2;29.42;1811.0;100.0;72.9;11.2;8.5;5.7;1.7
24;24 Basismetaalindustrie;1.3;68.1;38.45;32.58;1772.0;100.0;77.5;10.9;6.5;3.5;1.6
25;25 Metaalproductenindustrie;4.3;56.7;31.51;27.09;1800.0;100.0;77.3;11.1;7.1;3.1;1.4
26;26 Elektrotechnische industrie;1.9;81.8;46.67;39.45;1753.0;100.0;83.5;9.2;7.7;2.8;-3.2
27;27 Elektrische apparatenindustrie;1.4;72.5;40.93;34.83;1773.0;100.0;77.9;9.7;9.4;2.9;0.2
28;28 Machine-industrie;5.2;68.3;37.47;32.38;1823.0;100.0;80.6;10.5;6.9;2.9;-0.8
29;29 Auto- en aanhangwagenindustrie;1.2;62.0;35.44;29.87;1751.0;100.0;77.9;11.3;6.7;3.6;0.5
30;30 Overige transportmiddelenindustrie;1.0;66.2;37.19;31.45;1781.0;100.0;78.6;10.5;6.3;3.9;0.7
31;31 Meubelindustrie;0.7;49.2;27.53;23.72;1786.0;100.0;78.9;12.0;4.4;3.1;1.6
32;32 Overige industrie;3.5;37.0;24.17;19.37;1530.0;100.0;72.3;12.9;6.6;6.7;1.6
33;33 Reparatie en installatie van machines;2.8;74.2;41.27;35.36;1798.0;100.0;78.3;9.3;7.4;3.4;1.6
34;D Energievoorziening;2.0;82.7;48.51;40.47;1705.0;100.0;78.6;8.5;6.7;3.5;2.8
35;35 Energiebedrijven;2.0;82.7;48.51;40.47;1705.0;100.0;78.6;8.5;6.7;3.5;2.8
36;E Waterbedrijven en afvalbeheer;1.9;63.0;33.7;29.35;1869.0;100.0;76.1;10.7;7.6;3.9;1.7
37;36 Waterleidingbedrijven;0.4;72.9;45.18;35.75;1614.0;100.0;76.8;9.3;8.5;4.2;1.3
38;37 Afvalwaterinzameling en -behandeling;0.2;60.5;34.23;29.65;1767.0;100.0;75.9;10.9;7.6;4.0;1.7
39;38 Afvalbehandeling en recycling;1.2;61.3;31.45;27.97;1948.0;100.0;75.9;11.1;7.4;3.8;1.8
40;39 Sanering en overig afvalbeheer;0.1;59.2;31.15;27.27;1902.0;100.0;76.8;11.1;7.6;2.9;1.6
41;F Bouwnijverheid;16.8;62.0;34.39;29.31;1802.0;100.0;75.7;11.0;8.1;3.3;2.0
42;41 Algemene bouw en projectontwikkeling;4.7;65.8;37.02;31.15;1778.0;100.0;75.5;10.6;8.8;3.1;2.1
43;42 Grond-, water-  en wegenbouw;3.3;72.3;39.15;33.32;1847.0;100.0;76.8;10.3;7.8;3.6;1.5
