ID;BeroepsEnEigenVervoer;Afstandsklassen;Perioden;VervoerdGewicht_1
0;Beroeps- en eigen vervoer;Totaal alle afstanden;2005;615798
1;Beroeps- en eigen vervoer;Totaal alle afstanden;2006;620498
2;Beroeps- en eigen vervoer;Totaal alle afstanden;2007;638902
3;Beroeps- en eigen vervoer;Totaal alle afstanden;2008;622601
4;Beroeps- en eigen vervoer;Totaal alle afstanden;2009;616915
5;Beroeps- en eigen vervoer;Totaal alle afstanden;2010;564790
6;Beroeps- en eigen vervoer;Totaal alle afstanden;2011;560998
7;Beroeps- en eigen vervoer;Totaal alle afstanden;2012;538418
8;Beroeps- en eigen vervoer;Tot 50 km;2005;256066
9;Beroeps- en eigen vervoer;Tot 50 km;2006;263594
10;Beroeps- en eigen vervoer;Tot 50 km;2007;290299
11;Beroeps- en eigen vervoer;Tot 50 km;2008;265955
12;Beroeps- en eigen vervoer;Tot 50 km;2009;277345
13;Beroeps- en eigen vervoer;Tot 50 km;2010;199983
14;Beroeps- en eigen vervoer;Tot 50 km;2011;197635
15;Beroeps- en eigen vervoer;Tot 50 km;2012;200095
16;Beroeps- en eigen vervoer;50 tot 150 km;2005;165957
17;Beroeps- en eigen vervoer;50 tot 150 km;2006;164064
18;Beroeps- en eigen vervoer;50 tot 150 km;2007;171459
19;Beroeps- en eigen vervoer;50 tot 150 km;2008;169858
20;Beroeps- en eigen vervoer;50 tot 150 km;2009;165971
21;Beroeps- en eigen vervoer;50 tot 150 km;2010;171836
22;Beroeps- en eigen vervoer;50 tot 150 km;2011;172183
23;Beroeps- en eigen vervoer;50 tot 150 km;2012;157015
24;Beroeps- en eigen vervoer;150 tot 300 km;2005;100854
25;Beroeps- en eigen vervoer;150 tot 300 km;2006;108348
26;Beroeps- en eigen vervoer;150 tot 300 km;2007;101687
27;Beroeps- en eigen vervoer;150 tot 300 km;2008;101747
28;Beroeps- en eigen vervoer;150 tot 300 km;2009;96691
29;Beroeps- en eigen vervoer;150 tot 300 km;2010;100666
30;Beroeps- en eigen vervoer;150 tot 300 km;2011;101835
31;Beroeps- en eigen vervoer;150 tot 300 km;2012;97820
32;Beroeps- en eigen vervoer;300 tot 500 km;2005;47951
33;Beroeps- en eigen vervoer;300 tot 500 km;2006;43887
34;Beroeps- en eigen vervoer;300 tot 500 km;2007;40759
35;Beroeps- en eigen vervoer;300 tot 500 km;2008;47610
36;Beroeps- en eigen vervoer;300 tot 500 km;2009;43496
37;Beroeps- en eigen vervoer;300 tot 500 km;2010;52934
38;Beroeps- en eigen vervoer;300 tot 500 km;2011;51871
39;Beroeps- en eigen vervoer;300 tot 500 km;2012;50165
40;Beroeps- en eigen vervoer;500 tot 1000 km;2005;33595
41;Beroeps- en eigen vervoer;500 tot 1000 km;2006;29789
42;Beroeps- en eigen vervoer;500 tot 1000 km;2007;26042
43;Beroeps- en eigen vervoer;500 tot 1000 km;2008;28510
44;Beroeps- en eigen vervoer;500 tot 1000 km;2009;25406
45;Beroeps- en eigen vervoer;500 tot 1000 km;2010;32784
46;Beroeps- en eigen vervoer;500 tot 1000 km;2011;31408
47;Beroeps- en eigen vervoer;500 tot 1000 km;2012;28227
48;Beroeps- en eigen vervoer;1000 tot 2000 km;2005;10380
49;Beroeps- en eigen vervoer;1000 tot 2000 km;2006;9849
50;Beroeps- en eigen vervoer;1000 tot 2000 km;2007;7761
51;Beroeps- en eigen vervoer;1000 tot 2000 km;2008;7601
52;Beroeps- en eigen vervoer;1000 tot 2000 km;2009;6868
53;Beroeps- en eigen vervoer;1000 tot 2000 km;2010;6037
54;Beroeps- en eigen vervoer;1000 tot 2000 km;2011;5612
55;Beroeps- en eigen vervoer;1000 tot 2000 km;2012;4722
56;Beroeps- en eigen vervoer;2000 km of meer;2005;993
57;Beroeps- en eigen vervoer;2000 km of meer;2006;967
58;Beroeps- en eigen vervoer;2000 km of meer;2007;896
59;Beroeps- en eigen vervoer;2000 km of meer;2008;1319
60;Beroeps- en eigen vervoer;2000 km of meer;2009;1138
61;Beroeps- en eigen vervoer;2000 km of meer;2010;549
62;Beroeps- en eigen vervoer;2000 km of meer;2011;453
63;Beroeps- en eigen vervoer;2000 km of meer;2012;376
64;Beroepsvervoer;Totaal alle afstanden;2005;439993
65;Beroepsvervoer;Totaal alle afstanden;2006;450875
66;Beroepsvervoer;Totaal alle afstanden;2007;477671
67;Beroepsvervoer;Totaal alle afstanden;2008;483847
68;Beroepsvervoer;Totaal alle afstanden;2009;442618
69;Beroepsvervoer;Totaal alle afstanden;2010;436860
70;Beroepsvervoer;Totaal alle afstanden;2011;428032
71;Beroepsvervoer;Totaal alle afstanden;2012;412078
72;Beroepsvervoer;Tot 50 km;2005;155291
73;Beroepsvervoer;Tot 50 km;2006;166293
74;Beroepsvervoer;Tot 50 km;2007;198850
75;Beroepsvervoer;Tot 50 km;2008;191135
76;Beroepsvervoer;Tot 50 km;2009;174501
77;Beroepsvervoer;Tot 50 km;2010;135099
78;Beroepsvervoer;Tot 50 km;2011;131283
79;Beroepsvervoer;Tot 50 km;2012;138375
80;Beroepsvervoer;50 tot 150 km;2005;121065
81;Beroepsvervoer;50 tot 150 km;2006;119825
82;Beroepsvervoer;50 tot 150 km;2007;130611
83;Beroepsvervoer;50 tot 150 km;2008;132772
84;Beroepsvervoer;50 tot 150 km;2009;121133
85;Beroepsvervoer;50 tot 150 km;2010;133939
86;Beroepsvervoer;50 tot 150 km;2011;131234
87;Beroepsvervoer;50 tot 150 km;2012;118401
88;Beroepsvervoer;150 tot 300 km;2005;80310
89;Beroepsvervoer;150 tot 300 km;2006;88225
90;Beroepsvervoer;150 tot 300 km;2007;83305
91;Beroepsvervoer;150 tot 300 km;2008;84213
92;Beroepsvervoer;150 tot 300 km;2009;78758
93;Beroepsvervoer;150 tot 300 km;2010;84879
94;Beroepsvervoer;150 tot 300 km;2011;85006
95;Beroepsvervoer;150 tot 300 km;2012;81164
96;Beroepsvervoer;300 tot 500 km;2005;41741
97;Beroepsvervoer;300 tot 500 km;2006;38862
98;Beroepsvervoer;300 tot 500 km;2007;34654
99;Beroepsvervoer;300 tot 500 km;2008;41702
100;Beroepsvervoer;300 tot 500 km;2009;37544
101;Beroepsvervoer;300 tot 500 km;2010;46406
102;Beroepsvervoer;300 tot 500 km;2011;45709
103;Beroepsvervoer;300 tot 500 km;2012;43425
104;Beroepsvervoer;500 tot 1000 km;2005;30907
105;Beroepsvervoer;500 tot 1000 km;2006;27494
106;Beroepsvervoer;500 tot 1000 km;2007;22667
107;Beroepsvervoer;500 tot 1000 km;2008;26067
108;Beroepsvervoer;500 tot 1000 km;2009;23337
109;Beroepsvervoer;500 tot 1000 km;2010;30244
110;Beroepsvervoer;500 tot 1000 km;2011;29038
111;Beroepsvervoer;500 tot 1000 km;2012;25999
112;Beroepsvervoer;1000 tot 2000 km;2005;9733
113;Beroepsvervoer;1000 tot 2000 km;2006;9266
114;Beroepsvervoer;1000 tot 2000 km;2007;6836
115;Beroepsvervoer;1000 tot 2000 km;2008;6726
116;Beroepsvervoer;1000 tot 2000 km;2009;6267
117;Beroepsvervoer;1000 tot 2000 km;2010;5774
118;Beroepsvervoer;1000 tot 2000 km;2011;5327
119;Beroepsvervoer;1000 tot 2000 km;2012;4362
120;Beroepsvervoer;2000 km of meer;2005;946
121;Beroepsvervoer;2000 km of meer;2006;909
122;Beroepsvervoer;2000 km of meer;2007;747
123;Beroepsvervoer;2000 km of meer;2008;1231
124;Beroepsvervoer;2000 km of meer;2009;1079
125;Beroepsvervoer;2000 km of meer;2010;519
126;Beroepsvervoer;2000 km of meer;2011;436
127;Beroepsvervoer;2000 km of meer;2012;352
128;Eigen vervoer;Totaal alle afstanden;2005;175805
129;Eigen vervoer;Totaal alle afstanden;2006;169623
130;Eigen vervoer;Totaal alle afstanden;2007;161231
131;Eigen vervoer;Totaal alle afstanden;2008;138754
132;Eigen vervoer;Totaal alle afstanden;2009;174297
133;Eigen vervoer;Totaal alle afstanden;2010;127929
134;Eigen vervoer;Totaal alle afstanden;2011;132966
135;Eigen vervoer;Totaal alle afstanden;2012;126340
136;Eigen vervoer;Tot 50 km;2005;100775
137;Eigen vervoer;Tot 50 km;2006;97301
138;Eigen vervoer;Tot 50 km;2007;91449
139;Eigen vervoer;Tot 50 km;2008;74820
140;Eigen vervoer;Tot 50 km;2009;102844
141;Eigen vervoer;Tot 50 km;2010;64884
142;Eigen vervoer;Tot 50 km;2011;66352
143;Eigen vervoer;Tot 50 km;2012;61720
144;Eigen vervoer;50 tot 150 km;2005;44892
145;Eigen vervoer;50 tot 150 km;2006;44239
146;Eigen vervoer;50 tot 150 km;2007;40848
147;Eigen vervoer;50 tot 150 km;2008;37086
148;Eigen vervoer;50 tot 150 km;2009;44838
149;Eigen vervoer;50 tot 150 km;2010;37897
150;Eigen vervoer;50 tot 150 km;2011;40949
151;Eigen vervoer;50 tot 150 km;2012;38614
152;Eigen vervoer;150 tot 300 km;2005;20544
153;Eigen vervoer;150 tot 300 km;2006;20123
154;Eigen vervoer;150 tot 300 km;2007;18381
155;Eigen vervoer;150 tot 300 km;2008;17534
156;Eigen vervoer;150 tot 300 km;2009;17932
157;Eigen vervoer;150 tot 300 km;2010;15788
158;Eigen vervoer;150 tot 300 km;2011;16830
159;Eigen vervoer;150 tot 300 km;2012;16656
160;Eigen vervoer;300 tot 500 km;2005;6211
161;Eigen vervoer;300 tot 500 km;2006;5025
162;Eigen vervoer;300 tot 500 km;2007;6105
163;Eigen vervoer;300 tot 500 km;2008;5909
164;Eigen vervoer;300 tot 500 km;2009;5952
165;Eigen vervoer;300 tot 500 km;2010;6528
166;Eigen vervoer;300 tot 500 km;2011;6162
167;Eigen vervoer;300 tot 500 km;2012;6740
168;Eigen vervoer;500 tot 1000 km;2005;2688
169;Eigen vervoer;500 tot 1000 km;2006;2295
