ID;Perioden;InGebruikGenomenZonneboilers_1;Collectoroppervlak_2;Collectoroppervlak6m2_3
0;2002 1e kwartaal;2475;6773;493
1;2002 2e kwartaal;2610;6860;1221
2;2002 3e kwartaal;1635;6809;2015
3;2002 4e kwartaal;3315;7638;2273
4;2002;10035;28080;6002
5;2003 1e kwartaal;2110;6336;2322
6;2003 2e kwartaal;2286;6521;470
7;2003 3e kwartaal;2011;5314;688
8;2003 4e kwartaal;1978;5279;756
9;2003;8385;23450;4236
10;2004 1e kwartaal;2331;7289;1076
11;2004 2e kwartaal;1677;4409;2300
12;2004 3e kwartaal;1585;3892;1069
13;2004 4e kwartaal;2251;5694;615
14;2004;7844;21284;5060
15;2005 1e kwartaal;2251;5475;110
16;2005 2e kwartaal;1962;4721;1444
17;2005 3e kwartaal;1354;3258;634
18;2005 4e kwartaal;1727;4541;394
19;2005;7294;17995;2582
20;2006 1e kwartaal;1647;3453;640
21;2006 2e kwartaal;1461;3617;571
22;2006 3e kwartaal;1180;2684;193
23;2006 4e kwartaal;1338;3432;347
24;2006;5626;13186;1751
25;2007 1e kwartaal;1105;2736;512
26;2007 2e kwartaal;1426;4089;728
27;2007 3e kwartaal;1731;4898;312
28;2007 4e kwartaal;2103;5712;933
29;2007;6365;17435;2485
30;2008 1e kwartaal;1872;4272;477
31;2008 2e kwartaal;1534;4176;571
32;2008 3e kwartaal;1290;3639;631
33;2008 4e kwartaal;2588;8188;1460
34;2008;7284;20275;3139
35;2009 1e kwartaal;2323;7221;2469
36;2009 2e kwartaal;2991;8988;3733
37;2009 3e kwartaal;2963;8595;2124
38;2009 4e kwartaal;3245;9440;2690
39;2009;11522;34244;11016
40;2010 1e kwartaal;2206;6888;1791
41;2010 2e kwartaal;2649;8458;12975
42;2010 3e kwartaal;2601;7791;1681
43;2010 4e kwartaal;2941;8655;1623
44;2010;10397;31792;18070
45;2011 1e kwartaal;2667;7284;1864
46;2011 2e kwartaal;2882;7503;2280
47;2011 3e kwartaal;2256;5806;1776
48;2011 4e kwartaal;2430;7047;2885
49;2011;10235;27640;8805
50;2012 1e kwartaal;1971;5633;5970
51;2012 2e kwartaal;2845;8307;3028
52;2012 3e kwartaal;1967;6039;3187
53;2012 4e kwartaal;2597;7643;4027
54;2012;9380;27622;16212
