ID;AantalPersonenPerWoning;Echtpaar;AantalSlaapruimten;Situatie;Regio;WoningenVanGezinnen_1
0;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Nederland;1462652.0
1;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Groningen (provincie);75709.0
2;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Friesland;78980.0
3;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Drenthe;38802.0
4;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Overijssel;92182.0
5;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Gelderland;143070.0
6;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Utrecht (provincie);75719.0
7;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Noord-Holland;303217.0
8;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Zuid-Holland;372817.0
9;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Zeeland;49182.0
10;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Noord-Brabant;143592.0
11;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Limburg;89382.0
12;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Gemeenten met meer dan 100000 inwoners;429266.0
13;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Gemeenten met 50001 - 100000 inwoners;148003.0
14;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Gemeenten met 20001 - 50000 inwoners;172375.0
15;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Gemeenten met 10001 - 20000 inwoners;212656.0
16;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Gemeenten met 5001 - 10000 inwoners;209246.0
17;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Gemeenten met 2001 - 5000 inwoners;210266.0
18;Totaal van alle woningen;Woningen met echtpaar;Totaal van alle woningen;Totaal van alle woningen;Gemeenten met 1001 - 2000 inwoners;59569.0
