ID;HerkomstVanDeMoeder;Perioden;TotaalLevendGeborenKinderen_1;GemiddeldKindertalPerVrouw_2
0;Totaal;2023;164918;1.43
1;Totaal;2024;165276;1.41
2;Totaal;2025;166129;1.4
3;Totaal;2026;167963;1.4
4;Totaal;2027;170909;1.42
5;Totaal;2028;174297;1.44
6;Totaal;2029;178492;1.46
7;Totaal;2030;182826;1.49
8;Totaal;2031;186522;1.52
9;Totaal;2032;189655;1.54
10;Totaal;2033;192331;1.56
11;Totaal;2034;194597;1.58
12;Totaal;2035;196414;1.59
13;Totaal;2036;197731;1.61
14;Totaal;2037;198488;1.62
15;Totaal;2038;198653;1.62
16;Totaal;2039;198350;1.63
17;Totaal;2040;197832;1.63
18;Totaal;2041;197170;1.64
19;Totaal;2042;196431;1.64
20;Totaal;2043;195644;1.64
21;Totaal;2044;194841;1.64
22;Totaal;2045;194051;1.64
23;Totaal;2046;193290;1.64
24;Totaal;2047;192567;1.64
25;Totaal;2048;191925;1.64
26;Totaal;2049;191380;1.64
27;Totaal;2050;190916;1.64
28;Totaal;2051;190553;1.64
29;Totaal;2052;190299;1.64
30;Totaal;2053;190182;1.64
31;Totaal;2054;190220;1.64
32;Totaal;2055;190418;1.64
33;Totaal;2056;190799;1.64
34;Totaal;2057;191397;1.64
35;Totaal;2058;192224;1.64
36;Totaal;2059;193262;1.64
37;Totaal;2060;194550;1.64
38;Totaal;2061;196046;1.65
39;Totaal;2062;197703;1.65
40;Totaal;2063;199472;1.65
41;Totaal;2064;201270;1.65
42;Totaal;2065;203035;1.65
43;Totaal;2066;204698;1.65
44;Totaal;2067;206207;1.65
45;Totaal;2068;207514;1.65
46;Totaal;2069;208604;1.65
47;Totaal;2070;209457;1.65
48;Moeders geboren in Nederland;2023;129195;1.48
49;Moeders geboren in Nederland;2024;128294;1.46
50;Moeders geboren in Nederland;2025;127833;1.45
51;Moeders geboren in Nederland;2026;128294;1.45
52;Moeders geboren in Nederland;2027;129819;1.46
53;Moeders geboren in Nederland;2028;131778;1.48
54;Moeders geboren in Nederland;2029;134500;1.51
55;Moeders geboren in Nederland;2030;137262;1.54
56;Moeders geboren in Nederland;2031;139330;1.56
57;Moeders geboren in Nederland;2032;140829;1.58
58;Moeders geboren in Nederland;2033;141914;1.6
59;Moeders geboren in Nederland;2034;142682;1.61
60;Moeders geboren in Nederland;2035;143146;1.62
61;Moeders geboren in Nederland;2036;143300;1.63
62;Moeders geboren in Nederland;2037;143134;1.64
63;Moeders geboren in Nederland;2038;142663;1.65
64;Moeders geboren in Nederland;2039;141932;1.66
65;Moeders geboren in Nederland;2040;140996;1.67
66;Moeders geboren in Nederland;2041;139930;1.67
67;Moeders geboren in Nederland;2042;138791;1.67
68;Moeders geboren in Nederland;2043;137609;1.68
69;Moeders geboren in Nederland;2044;136421;1.68
70;Moeders geboren in Nederland;2045;135247;1.68
71;Moeders geboren in Nederland;2046;134110;1.68
72;Moeders geboren in Nederland;2047;133034;1.68
73;Moeders geboren in Nederland;2048;132044;1.68
74;Moeders geboren in Nederland;2049;131165;1.68
75;Moeders geboren in Nederland;2050;130396;1.68
76;Moeders geboren in Nederland;2051;129735;1.68
77;Moeders geboren in Nederland;2052;129199;1.68
78;Moeders geboren in Nederland;2053;128816;1.68
79;Moeders geboren in Nederland;2054;128599;1.68
80;Moeders geboren in Nederland;2055;128551;1.68
81;Moeders geboren in Nederland;2056;128693;1.68
82;Moeders geboren in Nederland;2057;129058;1.68
83;Moeders geboren in Nederland;2058;129648;1.68
84;Moeders geboren in Nederland;2059;130469;1.68
85;Moeders geboren in Nederland;2060;131529;1.68
86;Moeders geboren in Nederland;2061;132803;1.68
87;Moeders geboren in Nederland;2062;134245;1.68
88;Moeders geboren in Nederland;2063;135794;1.68
89;Moeders geboren in Nederland;2064;137385;1.68
90;Moeders geboren in Nederland;2065;138950;1.68
91;Moeders geboren in Nederland;2066;140422;1.68
92;Moeders geboren in Nederland;2067;141749;1.68
93;Moeders geboren in Nederland;2068;142890;1.68
94;Moeders geboren in Nederland;2069;143821;1.68
95;Moeders geboren in Nederland;2070;144531;1.68
96;Totaal moeders geboren buiten Nederland;2023;35723;1.32
97;Totaal moeders geboren buiten Nederland;2024;36982;1.3
98;Totaal moeders geboren buiten Nederland;2025;38295;1.3
99;Totaal moeders geboren buiten Nederland;2026;39669;1.31
100;Totaal moeders geboren buiten Nederland;2027;41090;1.32
101;Totaal moeders geboren buiten Nederland;2028;42519;1.34
102;Totaal moeders geboren buiten Nederland;2029;43993;1.37
103;Totaal moeders geboren buiten Nederland;2030;45563;1.4
104;Totaal moeders geboren buiten Nederland;2031;47192;1.43
105;Totaal moeders geboren buiten Nederland;2032;48826;1.46
106;Totaal moeders geboren buiten Nederland;2033;50418;1.49
107;Totaal moeders geboren buiten Nederland;2034;51915;1.52
108;Totaal moeders geboren buiten Nederland;2035;53268;1.55
109;Totaal moeders geboren buiten Nederland;2036;54432;1.57
110;Totaal moeders geboren buiten Nederland;2037;55354;1.58
111;Totaal moeders geboren buiten Nederland;2038;55990;1.59
112;Totaal moeders geboren buiten Nederland;2039;56418;1.59
113;Totaal moeders geboren buiten Nederland;2040;56836;1.59
114;Totaal moeders geboren buiten Nederland;2041;57240;1.59
115;Totaal moeders geboren buiten Nederland;2042;57640;1.59
116;Totaal moeders geboren buiten Nederland;2043;58034;1.59
117;Totaal moeders geboren buiten Nederland;2044;58420;1.59
118;Totaal moeders geboren buiten Nederland;2045;58804;1.6
119;Totaal moeders geboren buiten Nederland;2046;59180;1.6
120;Totaal moeders geboren buiten Nederland;2047;59534;1.6
121;Totaal moeders geboren buiten Nederland;2048;59882;1.6
122;Totaal moeders geboren buiten Nederland;2049;60215;1.6
123;Totaal moeders geboren buiten Nederland;2050;60521;1.6
124;Totaal moeders geboren buiten Nederland;2051;60818;1.6
125;Totaal moeders geboren buiten Nederland;2052;61100;1.6
126;Totaal moeders geboren buiten Nederland;2053;61367;1.6
127;Totaal moeders geboren buiten Nederland;2054;61621;1.6
128;Totaal moeders geboren buiten Nederland;2055;61867;1.6
129;Totaal moeders geboren buiten Nederland;2056;62105;1.6
130;Totaal moeders geboren buiten Nederland;2057;62340;1.6
131;Totaal moeders geboren buiten Nederland;2058;62576;1.6
132;Totaal moeders geboren buiten Nederland;2059;62793;1.6
133;Totaal moeders geboren buiten Nederland;2060;63021;1.6
134;Totaal moeders geboren buiten Nederland;2061;63244;1.6
135;Totaal moeders geboren buiten Nederland;2062;63458;1.6
136;Totaal moeders geboren buiten Nederland;2063;63678;1.6
137;Totaal moeders geboren buiten Nederland;2064;63885;1.6
138;Totaal moeders geboren buiten Nederland;2065;64085;1.6
139;Totaal moeders geboren buiten Nederland;2066;64275;1.6
140;Totaal moeders geboren buiten Nederland;2067;64458;1.6
141;Totaal moeders geboren buiten Nederland;2068;64624;1.6
142;Totaal moeders geboren buiten Nederland;2069;64783;1.6
143;Totaal moeders geboren buiten Nederland;2070;64926;1.6
144;Totaal Europa (exclusief Nederland);2023;11928;1.01
145;Totaal Europa (exclusief Nederland);2024;12255;0.99
146;Totaal Europa (exclusief Nederland);2025;12655;0.99
147;Totaal Europa (exclusief Nederland);2026;13134;1.01
148;Totaal Europa (exclusief Nederland);2027;13688;1.03
149;Totaal Europa (exclusief Nederland);2028;14309;1.05
