ID;Periods;Turnover_1;Price_2;Volume_3;Turnover_4;Price_5;Volume_6
157;2002 April;106;111.0;95.0;2.0;5.6;-3.4
158;2002 May;119;111.0;107.0;6.2;5.5;0.7
159;2002 June;111;111.0;100.0;0.4;5.5;-4.8
160;2002 2nd quarter;112;111.0;101.0;2.9;5.5;-2.5
161;2002 July;110;111.0;99.0;8.0;5.5;2.4
162;2002 August;110;111.0;99.0;3.3;5.3;-1.9
163;2002 September;105;112.0;95.0;3.4;5.5;-2.0
164;2002 3rd quarter;109;111.0;97.0;4.9;5.4;-0.5
165;2002 October;115;112.0;103.0;7.9;5.3;2.5
166;2002 November;111;112.0;100.0;4.6;5.2;-0.5
167;2002 December;119;112.0;106.0;2.0;5.2;-3.0
168;2002 4th quarter;115;112.0;103.0;4.9;5.2;-0.2
169;2002;110;111.0;99.0;4.1;5.3;-1.2
170;2003 January;104;116.0;90.0;1.6;5.1;-3.3
171;2003 February;101;117.0;86.0;1.3;5.8;-4.2
172;2003 March;108;117.0;92.0;-5.6;5.8;-10.8
173;2003 1st quarter;104;117.0;89.0;-1.1;5.6;-6.3
174;2003 April;112;118.0;95.0;6.1;6.1;0.0
175;2003 May;120;118.0;102.0;0.2;6.0;-5.5
176;2003 June;113;118.0;96.0;1.5;6.1;-4.3
177;2003 2nd quarter;115;118.0;98.0;2.5;6.1;-3.4
178;2003 July;115;118.0;98.0;4.3;5.7;-1.3
179;2003 August;109;117.0;93.0;-1.6;5.4;-6.6
180;2003 September;105;118.0;89.0;-0.6;5.5;-5.8
181;2003 3rd quarter;109;118.0;93.0;0.7;5.5;-4.5
182;2003 October;114;118.0;97.0;-0.6;5.2;-5.5
183;2003 November;109;117.0;93.0;-2.0;4.9;-6.6
184;2003 December;121;118.0;103.0;1.9;5.0;-3.0
185;2003 4th quarter;115;117.0;98.0;-0.4;5.0;-5.2
186;2003;111;117.0;94.0;0.4;5.5;-4.8
187;2004 January;108;121.0;89.0;3.7;4.2;-0.5
188;2004 February;105;121.0;86.0;3.4;3.4;-0.1
189;2004 March;115;121.0;95.0;6.5;3.2;3.1
190;2004 1st quarter;109;121.0;90.0;4.5;3.6;0.9
191;2004 April;116;121.0;96.0;3.4;2.8;0.6
192;2004 May;113;121.0;94.0;-5.6;2.5;-7.9
193;2004 June;114;121.0;95.0;1.1;2.5;-1.4
194;2004 2nd quarter;114;121.0;95.0;-0.5;2.6;-3.0
195;2004 July;118;121.0;98.0;3.0;2.9;0.1
196;2004 August;104;121.0;86.0;-4.6;3.2;-7.5
197;2004 September;110;121.0;91.0;5.2;2.9;2.2
198;2004 3rd quarter;111;121.0;91.0;1.2;3.0;-1.8
199;2004 October;114;121.0;94.0;-0.1;3.1;-3.1
200;2004 November;109;121.0;90.0;-0.2;3.5;-3.6
201;2004 December;131;121.0;108.0;8.3;3.0;5.2
202;2004 4th quarter;118;121.0;97.0;2.8;3.2;-0.3
203;2004;113;121.0;93.0;2.0;3.1;-1.1
204;2005 January;103;123.0;84.0;-4.2;2.1;-6.1
205;2005 February;104;123.0;84.0;-0.7;1.7;-2.3
206;2005 March;121;123.0;98.0;4.8;1.7;3.0
207;2005 1st quarter;109;123.0;89.0;0.1;1.8;-1.7
208;2005 April;116;123.0;94.0;0.0;1.6;-1.5
209;2005 May;113;123.0;92.0;0.1;2.0;-1.8
210;2005 June;117;123.0;95.0;2.7;2.0;0.7
211;2005 2nd quarter;116;123.0;94.0;1.0;1.8;-0.9
212;2005 July;113;123.0;92.0;-4.2;1.9;-6.0
213;2005 August;107;123.0;86.0;3.0;1.9;1.0
214;2005 September;112;124.0;90.0;1.5;2.2;-0.7
215;2005 3rd quarter;111;124.0;90.0;-0.1;2.0;-2.1
216;2005 October;109;124.0;88.0;-4.3;2.3;-6.5
217;2005 November;112;124.0;90.0;2.3;2.1;0.2
218;2005 December;133;124.0;107.0;1.4;2.3;-0.9
219;2005 4th quarter;118;124.0;95.0;-0.2;2.3;-2.4
220;2005;113;123.0;92.0;0.2;2.0;-1.7
221;2006 January;103;126.0;81.0;-0.3;2.5;-2.7
222;2006 February;105;127.0;83.0;1.1;3.3;-2.1
223;2006 March;123;127.0;97.0;1.9;3.3;-1.3
224;2006 1st quarter;110;127.0;87.0;1.0;3.0;-2.0
225;2006 April;114;127.0;90.0;-1.6;3.4;-4.8
226;2006 May;118;127.0;93.0;4.7;3.3;1.3
227;2006 June;123;127.0;96.0;4.4;3.2;1.1
228;2006 2nd quarter;118;127.0;93.0;2.5;3.3;-0.8
229;2006 July;112;127.0;88.0;-0.8;3.2;-3.9
230;2006 August;116;127.0;91.0;8.9;3.2;5.5
231;2006 September;117;127.0;92.0;5.0;3.0;2.0
232;2006 3rd quarter;115;127.0;91.0;4.3;3.2;1.1
233;2006 October;114;128.0;90.0;5.2;2.9;2.3
234;2006 November;119;128.0;93.0;6.4;3.2;3.1
235;2006 December;136;129.0;106.0;2.3;3.7;-1.4
236;2006 4th quarter;123;128.0;96.0;4.5;3.3;1.2
237;2006;117;127.0;92.0;3.1;3.2;-0.1
238;2007 January;111;131.0;85.0;8.3;3.4;4.8
239;2007 February;113;131.0;86.0;7.2;3.2;4.0
240;2007 March;129;131.0;98.0;4.7;3.1;1.5
241;2007 1st quarter;118;131.0;90.0;6.6;3.2;3.3
242;2007 April;117;132.0;89.0;2.9;3.3;-0.4
243;2007 May;125;132.0;95.0;5.8;3.5;2.3
244;2007 June;130;132.0;99.0;6.2;3.7;2.4
245;2007 2nd quarter;124;132.0;94.0;5.0;3.5;1.5
246;2007 July;120;132.0;90.0;6.5;3.9;2.5
247;2007 August;123;132.0;93.0;6.2;3.8;2.3
248;2007 September;119;133.0;90.0;1.5;4.3;-2.6
249;2007 3rd quarter;121;132.0;91.0;4.7;4.0;0.7
250;2007 October;123;133.0;92.0;7.8;4.5;3.1
251;2007 November;124;133.0;93.0;4.8;4.2;0.7
252;2007 December;137;133.0;103.0;0.7;3.6;-2.8
253;2007 4th quarter;128;133.0;96.0;4.2;4.1;0.1
254;2007;123;132.0;93.0;5.1;3.7;1.4
255;2008 January;120;136.0;88.0;8.1;4.3;3.6
256;2008 February;120;136.0;88.0;6.2;3.9;2.2
257;2008 March;123;136.0;91.0;-4.3;3.8;-7.9
258;2008 1st quarter;121;136.0;89.0;2.9;4.0;-1.0
259;2008 April;128;136.0;94.0;8.9;3.6;5.1
260;2008 May;130;136.0;96.0;4.1;3.3;0.7
261;2008 June;124;136.0;91.0;-4.9;3.0;-7.7
262;2008 2nd quarter;127;136.0;94.0;2.5;3.3;-0.8
263;2008 July;125;136.0;92.0;4.5;3.0;1.5
264;2008 August;125;136.0;92.0;1.2;3.1;-1.8
265;2008 September;122;136.0;89.0;2.2;2.6;-0.5
266;2008 3rd quarter;124;136.0;91.0;2.6;2.9;-0.3
267;2008 October;128;137.0;93.0;3.6;2.6;1.0
268;2008 November;120;137.0;88.0;-3.2;2.8;-5.8
269;2008 December;140;137.0;102.0;2.4;3.1;-0.7
270;2008 4th quarter;129;137.0;94.0;1.0;2.8;-1.8
271;2008;125;136.0;92.0;2.2;3.3;-1.0
