ID;Geslacht;MboSectorOpleidingsrichtBijInstroom;MaatschappelijkePositie1JaarTerug;HoogstBehaaldeVoorafgaandeDiploma;Leeftijd;Regiokenmerken;Perioden;TotaalInstromersInHetMbo_1;BolVoltijd_2;BolDeeltijd_3;Bbl_4;Niveau1_5;Niveau2_6;Niveau3_7;Niveau4_8;BolVoltijdNiveau1_9;BolVoltijdNiveau2_10;BolVoltijdNiveau3_11;BolVoltijdNiveau4_12;BolDeeltijdNiveau1_13;BolDeeltijdNiveau2_14;BolDeeltijdNiveau3_15;BolDeeltijdNiveau4_16;BblNiveau1_17;BblNiveau2_18;BblNiveau3_19;BblNiveau4_20
0;Mannen en vrouwen;0;0;Totaal;0;Nederland;2006/'07;147420.0;103020.0;5530.0;38870.0;15770.0;49410.0;27610.0;54640.0;8240.0;26640.0;19350.0;48790.0;1090.0;1400.0;1580.0;1450.0;6440.0;21370.0;6670.0;4390.0
1;Mannen en vrouwen;0;0;Totaal;0;Nederland;2007/'08;149190.0;98400.0;4180.0;46620.0;14850.0;51690.0;28270.0;54380.0;7080.0;24690.0;19020.0;47610.0;730.0;1070.0;1280.0;1090.0;7030.0;25930.0;7970.0;5680.0
2;Mannen en vrouwen;0;0;Totaal;0;Nederland;2008/'09;146460.0;96280.0;3330.0;46860.0;14130.0;49920.0;29120.0;53290.0;6170.0;23650.0;19220.0;47240.0;750.0;800.0;900.0;880.0;7210.0;25470.0;9010.0;5170.0
3;Mannen en vrouwen;0;0;Totaal;0;Nederland;2009/'10;144960.0;97280.0;3260.0;44430.0;15850.0;46650.0;29350.0;53110.0;6370.0;24420.0;19840.0;46650.0;630.0;860.0;890.0;890.0;8850.0;21380.0;8630.0;5570.0
4;Mannen en vrouwen;0;0;Totaal;0;Vier grootste gemeenten (G4);2006/'07;17710.0;12490.0;1310.0;3920.0;2690.0;6570.0;3130.0;5320.0;1670.0;4050.0;2200.0;4580.0;410.0;350.0;310.0;240.0;620.0;2170.0;620.0;510.0
5;Mannen en vrouwen;0;0;Totaal;0;Vier grootste gemeenten (G4);2007/'08;18260.0;12400.0;1050.0;4810.0;2540.0;6850.0;3170.0;5700.0;1590.0;3900.0;2100.0;4800.0;250.0;340.0;300.0;170.0;700.0;2600.0;770.0;740.0
6;Mannen en vrouwen;0;0;Totaal;0;Vier grootste gemeenten (G4);2008/'09;17100.0;11610.0;690.0;4800.0;2270.0;6480.0;2970.0;5380.0;1310.0;3720.0;1860.0;4730.0;200.0;220.0;170.0;100.0;760.0;2540.0;940.0;550.0
7;Mannen en vrouwen;0;0;Totaal;0;Vier grootste gemeenten (G4);2009/'10;16230.0;11510.0;640.0;4080.0;2140.0;5790.0;3110.0;5190.0;1280.0;3630.0;2060.0;4540.0;160.0;190.0;180.0;120.0;710.0;1970.0;860.0;540.0
8;Mannen en vrouwen;0;0;Totaal;0;Amsterdam;2006/'07;5770.0;3870.0;600.0;1310.0;910.0;2120.0;980.0;1770.0;410.0;1270.0;650.0;1550.0;270.0;160.0;120.0;50.0;240.0;690.0;210.0;170.0
9;Mannen en vrouwen;0;0;Totaal;0;Amsterdam;2007/'08;6270.0;3880.0;620.0;1780.0;850.0;2380.0;1070.0;1970.0;380.0;1250.0;610.0;1640.0;160.0;220.0;170.0;70.0;310.0;920.0;290.0;260.0
10;Mannen en vrouwen;0;0;Totaal;0;Amsterdam;2008/'09;5580.0;3580.0;350.0;1660.0;660.0;2130.0;950.0;1840.0;290.0;1160.0;540.0;1600.0;90.0;130.0;80.0;50.0;280.0;840.0;330.0;200.0
11;Mannen en vrouwen;0;0;Totaal;0;Amsterdam;2009/'10;5410.0;3580.0;370.0;1470.0;660.0;1890.0;1060.0;1800.0;310.0;1130.0;600.0;1540.0;90.0;130.0;90.0;60.0;260.0;640.0;370.0;200.0
12;Mannen en vrouwen;0;0;Totaal;0;Rotterdam;2006/'07;6400.0;4510.0;530.0;1350.0;1140.0;2400.0;1120.0;1730.0;830.0;1450.0;780.0;1460.0;120.0;160.0;120.0;140.0;200.0;800.0;210.0;140.0
13;Mannen en vrouwen;0;0;Totaal;0;Rotterdam;2007/'08;6320.0;4570.0;270.0;1480.0;1040.0;2390.0;1110.0;1790.0;800.0;1410.0;820.0;1550.0;60.0;100.0;60.0;50.0;180.0;890.0;240.0;180.0
14;Mannen en vrouwen;0;0;Totaal;0;Rotterdam;2008/'09;5900.0;4230.0;200.0;1470.0;980.0;2210.0;1020.0;1690.0;670.0;1350.0;700.0;1520.0;70.0;60.0;40.0;40.0;240.0;810.0;280.0;140.0
15;Mannen en vrouwen;0;0;Totaal;0;Rotterdam;2009/'10;5510.0;4140.0;190.0;1180.0;880.0;1950.0;1060.0;1630.0;600.0;1320.0;760.0;1460.0;60.0;40.0;50.0;30.0;210.0;580.0;240.0;150.0
