ID;Perioden;WWUitgekeerdeBedragen_1;WachtgeldfondsUitgekeerdeBedragen_2;WerkloosheidsfondsUitgekeerdeBedragen_3
208;2010 april;342.6;146.9;196.2
209;2010 mei;503.3;170.4;332.2
210;2010 juni;389.4;154.9;239.6
211;2010 2e kwartaal;1235.3;472.2;768.0
212;2010 juli;305.1;115.3;191.8
213;2010 augustus;316.3;121.4;196.6
214;2010 september;393.8;140.8;254.5
215;2010 3e kwartaal;1015.2;377.5;642.9
216;2010 oktober;373.4;134.3;240.1
217;2010 november;239.5;88.8;152.7
218;2010 december;391.8;141.4;250.9
219;2010 4e kwartaal;1004.7;364.5;643.7
220;2010;4408.5;1754.0;2671.6
221;2011 januari;344.0;139.7;205.2
222;2011 februari;349.8;146.6;204.9
223;2011 maart;417.8;161.8;258.6
224;2011 1e kwartaal;1111.5;448.1;668.7
225;2011 april;322.4;123.5;200.3
226;2011 mei;492.1;149.1;343.6
227;2011 juni;360.8;131.6;233.2
228;2011 2e kwartaal;1175.2;404.1;777.2
229;2011 juli;294.3;110.7;183.7
230;2011 augustus;308.5;115.8;192.7
231;2011 september;384.8;132.1;252.6
232;2011 3e kwartaal;987.6;358.5;629.0
233;2011 oktober;302.8;111.0;191.7
234;2011 november;308.7;115.0;193.8
235;2011 december;396.3;144.4;252.0
236;2011 4e kwartaal;1007.8;370.5;637.5
237;2011;4282.1;1581.2;2712.4
238;2012 januari;351.7;146.9;204.8
239;2012 februari;373.7;165.1;208.5
240;2012 maart;460.4;192.5;267.9
241;2012 1e kwartaal;1185.8;504.5;681.2
242;2012 april;368.5;158.1;210.5
243;2012 mei;629.8;204.3;425.4
244;2012 juni;343.9;143.9;200.2
245;2012 2e kwartaal;1342.2;506.2;836.1
246;2012 juli;348.0;143.8;204.4
247;2012 augustus;460.0;174.3;285.7
248;2012 september;373.2;150.7;222.5
249;2012 3e kwartaal;1181.2;468.8;712.6
250;2012 oktober;371.6;149.6;222.1
251;2012 november;470.5;179.7;291.0
252;2012 december;400.3;167.5;232.9
253;2012 4e kwartaal;1242.4;496.8;746.0
254;2012;4951.6;1976.4;2975.9
255;2013 januari   ;543.0;228.5;314.4
256;2013 februari ;475.7;215.8;259.9
