ID;RegioS;Perioden;Beginstand_1;Instroom_2;Uitstroom_3;Eindstand_4
0;Nederland;1e halfjaar 2005;209580.0;44430.0;33460.0;220550.0
1;Nederland;2e halfjaar 2005;220310.0;53660.0;41870.0;232110.0
2;Nederland;1e halfjaar 2006;225050.0;45090.0;38300.0;231830.0
3;Nederland;2e halfjaar 2006;230910.0;45950.0;43980.0;232880.0
4;Nederland;1e halfjaar 2007;232410.0;43390.0;49610.0;226190.0
5;Nederland;2e halfjaar 2007;215520.0;47850.0;40060.0;223310.0
6;Nederland;1e halfjaar 2008;211140.0;50840.0;38490.0;223490.0
7;Nederland;2e halfjaar 2008;218310.0;49350.0;38820.0;228840.0
8;Nederland;1e halfjaar 2009;215110.0;52230.0;33970.0;233370.0
9;Nederland;2e halfjaar 2009;221200.0;58040.0;43540.0;235690.0
10;Nederland;1e halfjaar 2010;219650.0;66150.0;43390.0;242420.0
11;Nederland;2e halfjaar 2010;235000.0;65590.0;52670.0;247920.0
12;Nederland;1e halfjaar 2011;233670.0;56630.0;53320.0;236970.0
13;Nederland;2e halfjaar 2011;231390.0;51800.0;54980.0;228210.0
14;Nederland;1e halfjaar 2012;217690.0;50120.0;52570.0;215240.0
15;Nederland;2e halfjaar 2012;204220.0;55960.0;53040.0;207140.0
16;Aa en Hunze;1e halfjaar 2005;80.0;20.0;10.0;90.0
17;Aa en Hunze;2e halfjaar 2005;90.0;10.0;10.0;90.0
18;Aa en Hunze;1e halfjaar 2006;30.0;40.0;0.0;70.0
19;Aa en Hunze;2e halfjaar 2006;60.0;20.0;10.0;60.0
20;Aa en Hunze;1e halfjaar 2007;70.0;20.0;10.0;80.0
21;Aa en Hunze;2e halfjaar 2007;80.0;0.0;10.0;70.0
22;Aa en Hunze;1e halfjaar 2008;70.0;0.0;10.0;70.0
23;Aa en Hunze;2e halfjaar 2008;110.0;10.0;0.0;120.0
24;Aa en Hunze;1e halfjaar 2009;130.0;20.0;10.0;140.0
25;Aa en Hunze;2e halfjaar 2009;90.0;10.0;0.0;100.0
26;Aa en Hunze;1e halfjaar 2010;140.0;30.0;10.0;160.0
27;Aa en Hunze;2e halfjaar 2010;220.0;50.0;30.0;240.0
28;Aa en Hunze;1e halfjaar 2011;250.0;110.0;50.0;300.0
29;Aa en Hunze;2e halfjaar 2011;300.0;80.0;60.0;320.0
30;Aa en Hunze;1e halfjaar 2012;270.0;50.0;100.0;220.0
31;Aa en Hunze;2e halfjaar 2012;220.0;80.0;60.0;240.0
32;Aalburg;1e halfjaar 2005;20.0;0.0;0.0;20.0
33;Aalburg;2e halfjaar 2005;20.0;0.0;10.0;20.0
34;Aalburg;1e halfjaar 2006;20.0;0.0;10.0;10.0
35;Aalburg;2e halfjaar 2006;10.0;0.0;0.0;10.0
36;Aalburg;1e halfjaar 2007;10.0;0.0;0.0;10.0
37;Aalburg;2e halfjaar 2007;10.0;0.0;0.0;10.0
38;Aalburg;1e halfjaar 2008;10.0;0.0;10.0;10.0
39;Aalburg;2e halfjaar 2008;10.0;10.0;0.0;10.0
40;Aalburg;1e halfjaar 2009;10.0;10.0;0.0;20.0
41;Aalburg;2e halfjaar 2009;20.0;10.0;0.0;20.0
42;Aalburg;1e halfjaar 2010;20.0;10.0;10.0;20.0
43;Aalburg;2e halfjaar 2010;20.0;10.0;10.0;20.0
44;Aalburg;1e halfjaar 2011;30.0;0.0;10.0;20.0
45;Aalburg;2e halfjaar 2011;20.0;0.0;10.0;20.0
46;Aalburg;1e halfjaar 2012;20.0;10.0;10.0;10.0
47;Aalburg;2e halfjaar 2012;10.0;10.0;0.0;20.0
48;Aalsmeer;1e halfjaar 2005;30.0;60.0;0.0;90.0
49;Aalsmeer;2e halfjaar 2005;90.0;20.0;10.0;110.0
50;Aalsmeer;1e halfjaar 2006;110.0;20.0;30.0;110.0
51;Aalsmeer;2e halfjaar 2006;110.0;10.0;20.0;90.0
52;Aalsmeer;1e halfjaar 2007;90.0;10.0;10.0;90.0
53;Aalsmeer;2e halfjaar 2007;90.0;10.0;10.0;80.0
54;Aalsmeer;1e halfjaar 2008;90.0;20.0;0.0;100.0
55;Aalsmeer;2e halfjaar 2008;110.0;10.0;10.0;120.0
56;Aalsmeer;1e halfjaar 2009;110.0;0.0;0.0;120.0
57;Aalsmeer;2e halfjaar 2009;100.0;30.0;30.0;100.0
58;Aalsmeer;1e halfjaar 2010;90.0;20.0;20.0;100.0
59;Aalsmeer;2e halfjaar 2010;130.0;40.0;80.0;90.0
60;Aalsmeer;1e halfjaar 2011;90.0;40.0;50.0;80.0
61;Aalsmeer;2e halfjaar 2011;80.0;30.0;30.0;80.0
62;Aalsmeer;1e halfjaar 2012;80.0;30.0;20.0;90.0
63;Aalsmeer;2e halfjaar 2012;90.0;30.0;30.0;90.0
64;Aalten;1e halfjaar 2005;60.0;30.0;20.0;70.0
65;Aalten;2e halfjaar 2005;70.0;10.0;20.0;70.0
66;Aalten;1e halfjaar 2006;40.0;120.0;10.0;150.0
67;Aalten;2e halfjaar 2006;140.0;10.0;20.0;130.0
68;Aalten;1e halfjaar 2007;130.0;20.0;20.0;130.0
69;Aalten;2e halfjaar 2007;100.0;30.0;10.0;110.0
70;Aalten;1e halfjaar 2008;110.0;40.0;40.0;110.0
71;Aalten;2e halfjaar 2008;110.0;20.0;20.0;110.0
72;Aalten;1e halfjaar 2009;100.0;40.0;20.0;120.0
73;Aalten;2e halfjaar 2009;120.0;30.0;30.0;130.0
74;Aalten;1e halfjaar 2010;120.0;60.0;50.0;130.0
75;Aalten;2e halfjaar 2010;130.0;60.0;50.0;140.0
76;Aalten;1e halfjaar 2011;140.0;40.0;60.0;120.0
77;Aalten;2e halfjaar 2011;110.0;50.0;50.0;120.0
78;Aalten;1e halfjaar 2012;120.0;70.0;60.0;120.0
79;Aalten;2e halfjaar 2012;120.0;50.0;50.0;120.0
80;Ter Aar;1e halfjaar 2005;10.0;0.0;0.0;10.0
81;Ter Aar;2e halfjaar 2005;10.0;10.0;0.0;20.0
82;Ter Aar;1e halfjaar 2006;20.0;0.0;0.0;20.0
83;Ter Aar;2e halfjaar 2006;10.0;0.0;0.0;10.0
84;Ter Aar;1e halfjaar 2007;;;;
85;Ter Aar;2e halfjaar 2007;;;;
86;Ter Aar;1e halfjaar 2008;;;;
87;Ter Aar;2e halfjaar 2008;;;;
88;Ter Aar;1e halfjaar 2009;;;;
89;Ter Aar;2e halfjaar 2009;;;;
90;Ter Aar;1e halfjaar 2010;;;;
91;Ter Aar;2e halfjaar 2010;;;;
92;Ter Aar;1e halfjaar 2011;;;;
93;Ter Aar;2e halfjaar 2011;;;;
94;Ter Aar;1e halfjaar 2012;;;;
95;Ter Aar;2e halfjaar 2012;;;;
96;Abcoude;1e halfjaar 2005;30.0;10.0;0.0;40.0
97;Abcoude;2e halfjaar 2005;30.0;0.0;0.0;30.0
98;Abcoude;1e halfjaar 2006;30.0;0.0;0.0;30.0
99;Abcoude;2e halfjaar 2006;30.0;10.0;0.0;40.0
100;Abcoude;1e halfjaar 2007;30.0;0.0;0.0;40.0
101;Abcoude;2e halfjaar 2007;30.0;10.0;0.0;40.0
102;Abcoude;1e halfjaar 2008;30.0;0.0;0.0;40.0
103;Abcoude;2e halfjaar 2008;30.0;0.0;0.0;30.0
104;Abcoude;1e halfjaar 2009;;;;
105;Abcoude;2e halfjaar 2009;10.0;0.0;0.0;10.0
106;Abcoude;1e halfjaar 2010;10.0;0.0;0.0;20.0
107;Abcoude;2e halfjaar 2010;20.0;0.0;0.0;20.0
108;Abcoude;1e halfjaar 2011;;;;
109;Abcoude;2e halfjaar 2011;;;;
110;Abcoude;1e halfjaar 2012;;;;
111;Abcoude;2e halfjaar 2012;;;;
112;Achtkarspelen;1e halfjaar 2005;180.0;60.0;40.0;190.0
113;Achtkarspelen;2e halfjaar 2005;210.0;30.0;40.0;190.0
114;Achtkarspelen;1e halfjaar 2006;110.0;40.0;20.0;130.0
115;Achtkarspelen;2e halfjaar 2006;140.0;40.0;30.0;150.0
116;Achtkarspelen;1e halfjaar 2007;160.0;30.0;20.0;170.0
117;Achtkarspelen;2e halfjaar 2007;140.0;30.0;30.0;150.0
118;Achtkarspelen;1e halfjaar 2008;160.0;30.0;20.0;170.0
119;Achtkarspelen;2e halfjaar 2008;180.0;30.0;20.0;180.0
120;Achtkarspelen;1e halfjaar 2009;180.0;40.0;20.0;200.0
121;Achtkarspelen;2e halfjaar 2009;200.0;70.0;30.0;240.0
122;Achtkarspelen;1e halfjaar 2010;340.0;130.0;60.0;410.0
123;Achtkarspelen;2e halfjaar 2010;410.0;80.0;50.0;440.0
124;Achtkarspelen;1e halfjaar 2011;400.0;90.0;100.0;380.0
125;Achtkarspelen;2e halfjaar 2011;390.0;90.0;60.0;420.0
126;Achtkarspelen;1e halfjaar 2012;410.0;50.0;40.0;420.0
127;Achtkarspelen;2e halfjaar 2012;410.0;60.0;50.0;420.0
128;Akersloot;1e halfjaar 2005;;;;
129;Akersloot;2e halfjaar 2005;;;;
130;Akersloot;1e halfjaar 2006;;;;
131;Akersloot;2e halfjaar 2006;;;;
132;Akersloot;1e halfjaar 2007;;;;
133;Akersloot;2e halfjaar 2007;;;;
134;Akersloot;1e halfjaar 2008;;;;
135;Akersloot;2e halfjaar 2008;;;;
136;Akersloot;1e halfjaar 2009;;;;
137;Akersloot;2e halfjaar 2009;;;;
138;Akersloot;1e halfjaar 2010;;;;
139;Akersloot;2e halfjaar 2010;;;;
140;Akersloot;1e halfjaar 2011;;;;
141;Akersloot;2e halfjaar 2011;;;;
142;Akersloot;1e halfjaar 2012;;;;
143;Akersloot;2e halfjaar 2012;;;;
144;Alblasserdam;1e halfjaar 2005;120.0;30.0;30.0;120.0
145;Alblasserdam;2e halfjaar 2005;110.0;20.0;20.0;110.0
146;Alblasserdam;1e halfjaar 2006;110.0;20.0;20.0;110.0
147;Alblasserdam;2e halfjaar 2006;30.0;0.0;0.0;30.0
148;Alblasserdam;1e halfjaar 2007;30.0;50.0;30.0;60.0
149;Alblasserdam;2e halfjaar 2007;50.0;50.0;30.0;70.0
150;Alblasserdam;1e halfjaar 2008;70.0;80.0;40.0;110.0
151;Alblasserdam;2e halfjaar 2008;100.0;80.0;40.0;140.0
152;Alblasserdam;1e halfjaar 2009;110.0;60.0;40.0;130.0
153;Alblasserdam;2e halfjaar 2009;130.0;70.0;40.0;150.0
154;Alblasserdam;1e halfjaar 2010;120.0;40.0;20.0;140.0
155;Alblasserdam;2e halfjaar 2010;160.0;40.0;30.0;170.0
156;Alblasserdam;1e halfjaar 2011;160.0;10.0;20.0;160.0
157;Alblasserdam;2e halfjaar 2011;150.0;10.0;50.0;110.0
158;Alblasserdam;1e halfjaar 2012;140.0;10.0;10.0;140.0
159;Alblasserdam;2e halfjaar 2012;30.0;10.0;20.0;20.0
160;Albrandswaard;1e halfjaar 2005;100.0;30.0;30.0;100.0
161;Albrandswaard;2e halfjaar 2005;110.0;10.0;20.0;100.0
162;Albrandswaard;1e halfjaar 2006;90.0;40.0;30.0;100.0
163;Albrandswaard;2e halfjaar 2006;100.0;10.0;30.0;80.0
164;Albrandswaard;1e halfjaar 2007;80.0;0.0;10.0;80.0
165;Albrandswaard;2e halfjaar 2007;60.0;110.0;10.0;170.0
166;Albrandswaard;1e halfjaar 2008;160.0;10.0;10.0;170.0
167;Albrandswaard;2e halfjaar 2008;160.0;20.0;40.0;140.0
168;Albrandswaard;1e halfjaar 2009;90.0;50.0;20.0;120.0
169;Albrandswaard;2e halfjaar 2009;120.0;30.0;20.0;130.0
170;Albrandswaard;1e halfjaar 2010;140.0;30.0;10.0;150.0
171;Albrandswaard;2e halfjaar 2010;140.0;30.0;20.0;150.0
172;Albrandswaard;1e halfjaar 2011;170.0;50.0;20.0;190.0
173;Albrandswaard;2e halfjaar 2011;180.0;30.0;20.0;190.0
174;Albrandswaard;1e halfjaar 2012;180.0;30.0;20.0;190.0
175;Albrandswaard;2e halfjaar 2012;180.0;20.0;30.0;170.0
176;Alkemade;1e halfjaar 2005;20.0;0.0;0.0;20.0
177;Alkemade;2e halfjaar 2005;20.0;0.0;0.0;20.0
178;Alkemade;1e halfjaar 2006;20.0;0.0;10.0;20.0
179;Alkemade;2e halfjaar 2006;20.0;0.0;0.0;20.0
180;Alkemade;1e halfjaar 2007;10.0;0.0;0.0;10.0
181;Alkemade;2e halfjaar 2007;10.0;0.0;0.0;10.0
182;Alkemade;1e halfjaar 2008;10.0;0.0;0.0;10.0
183;Alkemade;2e halfjaar 2008;10.0;0.0;0.0;10.0
184;Alkemade;1e halfjaar 2009;;;;
185;Alkemade;2e halfjaar 2009;;;;
186;Alkemade;1e halfjaar 2010;;;;
187;Alkemade;2e halfjaar 2010;;;;
188;Alkemade;1e halfjaar 2011;;;;
189;Alkemade;2e halfjaar 2011;;;;
190;Alkemade;1e halfjaar 2012;;;;
191;Alkemade;2e halfjaar 2012;;;;
192;Alkmaar;1e halfjaar 2005;980.0;190.0;300.0;880.0
193;Alkmaar;2e halfjaar 2005;950.0;240.0;380.0;810.0
194;Alkmaar;1e halfjaar 2006;800.0;410.0;310.0;900.0
195;Alkmaar;2e halfjaar 2006;880.0;690.0;430.0;1130.0
196;Alkmaar;1e halfjaar 2007;1140.0;500.0;350.0;1300.0
197;Alkmaar;2e halfjaar 2007;1280.0;470.0;310.0;1440.0
198;Alkmaar;1e halfjaar 2008;1420.0;380.0;380.0;1420.0
199;Alkmaar;2e halfjaar 2008;1380.0;340.0;390.0;1330.0
200;Alkmaar;1e halfjaar 2009;1350.0;460.0;380.0;1430.0
201;Alkmaar;2e halfjaar 2009;1410.0;530.0;400.0;1540.0
202;Alkmaar;1e halfjaar 2010;1490.0;510.0;430.0;1570.0
203;Alkmaar;2e halfjaar 2010;1500.0;510.0;430.0;1580.0
204;Alkmaar;1e halfjaar 2011;1580.0;490.0;410.0;1650.0
205;Alkmaar;2e halfjaar 2011;1650.0;530.0;500.0;1680.0
206;Alkmaar;1e halfjaar 2012;1580.0;340.0;790.0;1130.0
207;Alkmaar;2e halfjaar 2012;1120.0;310.0;420.0;1020.0
208;Almelo;1e halfjaar 2005;780.0;180.0;150.0;800.0
209;Almelo;2e halfjaar 2005;810.0;310.0;240.0;880.0
210;Almelo;1e halfjaar 2006;990.0;270.0;290.0;980.0
211;Almelo;2e halfjaar 2006;1090.0;180.0;260.0;1010.0
212;Almelo;1e halfjaar 2007;950.0;520.0;170.0;1300.0
213;Almelo;2e halfjaar 2007;1230.0;450.0;180.0;1500.0
214;Almelo;1e halfjaar 2008;1400.0;250.0;220.0;1440.0
215;Almelo;2e halfjaar 2008;1310.0;200.0;210.0;1300.0
216;Almelo;1e halfjaar 2009;1280.0;340.0;220.0;1390.0
217;Almelo;2e halfjaar 2009;1320.0;460.0;180.0;1600.0
218;Almelo;1e halfjaar 2010;910.0;320.0;20.0;1210.0
219;Almelo;2e halfjaar 2010;1180.0;660.0;30.0;1810.0
220;Almelo;1e halfjaar 2011;1810.0;560.0;0.0;2360.0
221;Almelo;2e halfjaar 2011;2330.0;340.0;30.0;2650.0
222;Almelo;1e halfjaar 2012;3090.0;290.0;240.0;3140.0
223;Almelo;2e halfjaar 2012;1620.0;350.0;690.0;1280.0
224;Almere;1e halfjaar 2005;1890.0;430.0;100.0;2220.0
225;Almere;2e halfjaar 2005;1880.0;980.0;270.0;2600.0
226;Almere;1e halfjaar 2006;2230.0;980.0;790.0;2430.0
227;Almere;2e halfjaar 2006;2360.0;790.0;610.0;2540.0
228;Almere;1e halfjaar 2007;2120.0;800.0;550.0;2370.0
229;Almere;2e halfjaar 2007;1920.0;740.0;780.0;1880.0
230;Almere;1e halfjaar 2008;1860.0;880.0;590.0;2140.0
231;Almere;2e halfjaar 2008;2250.0;1440.0;640.0;3050.0
232;Almere;1e halfjaar 2009;2910.0;1390.0;610.0;3700.0
233;Almere;2e halfjaar 2009;2630.0;1060.0;570.0;3120.0
234;Almere;1e halfjaar 2010;2200.0;1160.0;660.0;2700.0
235;Almere;2e halfjaar 2010;2860.0;1200.0;880.0;3190.0
236;Almere;1e halfjaar 2011;2520.0;940.0;750.0;2700.0
237;Almere;2e halfjaar 2011;2070.0;700.0;560.0;2210.0
238;Almere;1e halfjaar 2012;1990.0;710.0;450.0;2240.0
239;Almere;2e halfjaar 2012;2100.0;910.0;800.0;2210.0
240;Alphen aan den Rijn;1e halfjaar 2005;350.0;240.0;80.0;510.0
241;Alphen aan den Rijn;2e halfjaar 2005;290.0;280.0;140.0;430.0
242;Alphen aan den Rijn;1e halfjaar 2006;460.0;260.0;120.0;590.0
243;Alphen aan den Rijn;2e halfjaar 2006;560.0;230.0;140.0;650.0
244;Alphen aan den Rijn;1e halfjaar 2007;650.0;230.0;150.0;730.0
245;Alphen aan den Rijn;2e halfjaar 2007;720.0;120.0;140.0;690.0
246;Alphen aan den Rijn;1e halfjaar 2008;730.0;210.0;130.0;810.0
247;Alphen aan den Rijn;2e halfjaar 2008;820.0;140.0;120.0;840.0
248;Alphen aan den Rijn;1e halfjaar 2009;830.0;190.0;130.0;890.0
249;Alphen aan den Rijn;2e halfjaar 2009;870.0;270.0;150.0;990.0
250;Alphen aan den Rijn;1e halfjaar 2010;970.0;220.0;190.0;1000.0
251;Alphen aan den Rijn;2e halfjaar 2010;990.0;230.0;260.0;950.0
252;Alphen aan den Rijn;1e halfjaar 2011;900.0;220.0;190.0;930.0
253;Alphen aan den Rijn;2e halfjaar 2011;910.0;160.0;180.0;880.0
254;Alphen aan den Rijn;1e halfjaar 2012;870.0;120.0;280.0;710.0
255;Alphen aan den Rijn;2e halfjaar 2012;710.0;150.0;220.0;640.0
256;Alphen-Chaam;1e halfjaar 2005;10.0;0.0;0.0;20.0
257;Alphen-Chaam;2e halfjaar 2005;20.0;0.0;0.0;20.0
258;Alphen-Chaam;1e halfjaar 2006;20.0;10.0;0.0;20.0
259;Alphen-Chaam;2e halfjaar 2006;20.0;10.0;0.0;30.0
260;Alphen-Chaam;1e halfjaar 2007;20.0;0.0;10.0;10.0
261;Alphen-Chaam;2e halfjaar 2007;10.0;0.0;0.0;10.0
262;Alphen-Chaam;1e halfjaar 2008;10.0;0.0;10.0;10.0
263;Alphen-Chaam;2e halfjaar 2008;10.0;10.0;0.0;20.0
264;Alphen-Chaam;1e halfjaar 2009;20.0;0.0;10.0;10.0
265;Alphen-Chaam;2e halfjaar 2009;10.0;0.0;0.0;10.0
266;Alphen-Chaam;1e halfjaar 2010;10.0;0.0;0.0;10.0
267;Alphen-Chaam;2e halfjaar 2010;10.0;0.0;0.0;10.0
268;Alphen-Chaam;1e halfjaar 2011;10.0;0.0;0.0;10.0
269;Alphen-Chaam;2e halfjaar 2011;10.0;10.0;0.0;20.0
270;Alphen-Chaam;1e halfjaar 2012;20.0;0.0;10.0;20.0
271;Alphen-Chaam;2e halfjaar 2012;20.0;0.0;10.0;20.0
272;Ambt Delden;1e halfjaar 2005;;;;
273;Ambt Delden;2e halfjaar 2005;;;;
274;Ambt Delden;1e halfjaar 2006;;;;
275;Ambt Delden;2e halfjaar 2006;;;;
276;Ambt Delden;1e halfjaar 2007;;;;
277;Ambt Delden;2e halfjaar 2007;;;;
278;Ambt Delden;1e halfjaar 2008;;;;
279;Ambt Delden;2e halfjaar 2008;;;;
280;Ambt Delden;1e halfjaar 2009;;;;
281;Ambt Delden;2e halfjaar 2009;;;;
282;Ambt Delden;1e halfjaar 2010;;;;
283;Ambt Delden;2e halfjaar 2010;;;;
284;Ambt Delden;1e halfjaar 2011;;;;
285;Ambt Delden;2e halfjaar 2011;;;;
286;Ambt Delden;1e halfjaar 2012;;;;
287;Ambt Delden;2e halfjaar 2012;;;;
288;Ambt Montfort;1e halfjaar 2005;40.0;30.0;0.0;60.0
289;Ambt Montfort;2e halfjaar 2005;50.0;10.0;10.0;60.0
