ID;Onderwijssoort;LevensbeschouwelijkeGrondslag;Schoolgrootte;Perioden;Onderwijsinstellingen_1;LeerlingenStudenten_2
0;Totaal primair onderwijs;Totaal;Totaal;1990/'91;9332;1529513
1;Totaal primair onderwijs;Totaal;Totaal;1991/'92;9315;1494392
2;Totaal primair onderwijs;Totaal;Totaal;1992/'93;9199;1501585
3;Totaal primair onderwijs;Totaal;Totaal;1993/'94;9003;1515330
4;Totaal primair onderwijs;Totaal;Totaal;1994/'95;8719;1541810
5;Totaal primair onderwijs;Totaal;Totaal;1995/'96;8262;1569616
6;Totaal primair onderwijs;Totaal;Totaal;1996/'97;8131;1593978
7;Totaal primair onderwijs;Totaal;Totaal;1997/'98;7957;1613655
8;Totaal primair onderwijs;Totaal;Totaal;1998/'99;7893;1628595
9;Totaal primair onderwijs;Totaal;Totaal;1999/'00;7843;1638695
10;Totaal primair onderwijs;Totaal;Totaal;2000/'01;7759;1643930
11;Totaal primair onderwijs;Totaal;Totaal;2001/'02;7728;1652537
12;Totaal primair onderwijs;Totaal;Totaal;2002/'03;7722;1653739
13;Totaal primair onderwijs;Totaal;Totaal;2003/'04;7679;1653280
14;Totaal primair onderwijs;Totaal;Totaal;2004/'05;7638;1654970
15;Totaal primair onderwijs;Totaal;Totaal;2005/'06;7619;1656831
16;Totaal primair onderwijs;Totaal;Totaal;2006/'07;7584;1657199
17;Totaal primair onderwijs;Totaal;Totaal;2007/'08;7552;1662138
18;Totaal primair onderwijs;Totaal;Totaal;2008/'09;7546;1663651
19;Totaal primair onderwijs;Totaal;Totaal;2009/'10;7533;1659397
20;Totaal primair onderwijs;Totaal;Totaal;2010/'11;7484;1646613
21;Totaal primair onderwijs;Totaal;Totaal;2011/'12;7435;1629419
22;Totaal primair onderwijs;Totaal;Totaal;2012/'13;7361;1608350
23;Totaal primair onderwijs;Totaal;Totaal;2013/'14;7262;1586085
24;Totaal primair onderwijs;Totaal;Totaal;2014/'15;7157;1565375
25;Totaal primair onderwijs;Totaal;Totaal;2015/'16;6986;1546049
26;Totaal primair onderwijs;Totaal;Totaal;2016/'17;6894;1528206
27;Totaal primair onderwijs;Totaal;Totaal;2017/'18;6805;1515489
28;Totaal primair onderwijs;Totaal;Totaal;2018/'19;6741;1508854
29;Totaal primair onderwijs;Totaal;Totaal;2019/'20;6707;1501997
30;Totaal primair onderwijs;Totaal;Totaal;2020/'21;6661;1491988
31;Totaal primair onderwijs;Totaal;Totaal;2021/'22;6608;1477879
32;Totaal primair onderwijs;Totaal;Totaal;2022/'23;6581;1476215
33;Totaal primair onderwijs;Totaal;Totaal;2023/'24;6562;1466729
34;Totaal primair onderwijs;Totaal;Totaal;2024/'25;6534;1461439
35;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1990/'91;2542;168484
36;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1991/'92;2638;174852
37;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1992/'93;2547;171543
38;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1993/'94;2402;161008
39;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1994/'95;2165;146166
40;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1995/'96;1877;126406
41;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1996/'97;1787;121042
42;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1997/'98;1639;111553
43;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1998/'99;1562;106030
44;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;1999/'00;1536;103786
45;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2000/'01;1471;101504
46;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2001/'02;1414;97468
47;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2002/'03;1413;96381
48;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2003/'04;1378;94839
49;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2004/'05;1347;92586
50;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2005/'06;1356;93842
51;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2006/'07;1351;94080
52;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2007/'08;1322;90742
53;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2008/'09;1368;93275
54;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2009/'10;1418;96848
55;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2010/'11;1446;99194
56;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2011/'12;1443;98271
57;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2012/'13;1429;96993
58;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2013/'14;1420;96845
59;Totaal primair onderwijs;Totaal;<= 100 leerlingen/studenten;2014/'15;1399;95714
