ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;NetEnergyConsumption_8;TotalEnergyTransformationInput_9;ElectricityAndCHPTransformationInput_10;OtherTransformationInput_11;TotalEnergyTransformationOutput_12;ElectricityCHPTransformationOutput_13;OtherTransformationOutput_14;TotalNetEnergyTransformation_15;NetElectricityCHPTransformation_16;NetOtherTransformation_17;EnergySectorOwnUse_18;DistributionLosses_19;TotalFinalConsumption_20;FinalEnergyConsumption_21;NonEnergyUse_22;StatisticalDifferences_23
0;Total energy commodities;1946;;;;;151.0;17.0;-16.0;;;;;;;;;;;;;;;;
1;Total energy commodities;1947;;;;;203.0;34.0;-23.0;;;;;;;;;;;;;;;;
2;Total energy commodities;1948;;;;;185.0;38.0;0.0;;;;;;;;;;;;;;;;
3;Total energy commodities;1949;;;;;209.0;48.0;4.0;;;;;;;;;;;;;;;;
4;Total energy commodities;1950;;;;;271.0;61.0;1.0;;;;;;;;;;;;;;;;
5;Total energy commodities;1951;;;;;326.0;81.0;-9.0;;;;;;;;;;;;;;;;
6;Total energy commodities;1952;;;;;317.0;78.0;-11.0;;;;;;;;;;;;;;;;
7;Total energy commodities;1953;;;;;316.0;75.0;11.0;;;;;;;;;;;;;;;;
8;Total energy commodities;1954;;;;;384.0;108.0;27.0;;;;;;;;;;;;;;;;
9;Total energy commodities;1955;;;;;472.0;118.0;-12.0;;;;;;;;;;;;;;;;
10;Total energy commodities;1956;;;;;549.0;129.0;-5.0;;;;;;;;;;;;;;;;
11;Total energy commodities;1957;;;;;540.0;120.0;-41.0;;;;;;;;;;;;;;;;
12;Total energy commodities;1958;;;;;520.0;121.0;-25.0;;;;;;;;;;;;;;;;
13;Total energy commodities;1959;;;;;498.0;115.0;4.0;;;;;;;;;;;;;;;;
14;Total energy commodities;1960;;;;;584.0;126.0;29.0;;;;;;;;;;;;;;;;
15;Total energy commodities;1961;;;;;708.0;170.0;-28.0;;;;;;;;;;;;;;;;
16;Total energy commodities;1962;;;;;780.0;183.0;33.0;;;;;;;;;;;;;;;;
17;Total energy commodities;1963;;;;;913.0;188.0;3.0;;;;;;;;;;;;;;;;
18;Total energy commodities;1964;;;;;1039.0;214.0;-46.0;;;;;;;;;;;;;;;;
19;Total energy commodities;1965;;;;;1080.0;243.0;-15.0;;;;;;;;;;;;;;;;
20;Total energy commodities;1966;;;;;1151.0;244.0;-39.0;;;;;;;;;;;;;;;;
21;Total energy commodities;1967;;;;;1193.0;259.0;-40.0;;;;;;;;;;;;;;;;
22;Total energy commodities;1968;;;;;1199.0;319.0;27.0;;;;;;;;;;;;;;;;
23;Total energy commodities;1969;;;;;1250.0;392.0;-13.0;;;;;;;;;;;;;;;;
24;Total energy commodities;1970;2016.0;1225.0;;;1255.0;423.0;-41.0;2016.0;;;;;;;;;;;;;;;
25;Total energy commodities;1971;2144.0;1584.0;;;956.0;442.0;46.0;2144.0;;;;;;;;;;;;;;;
26;Total energy commodities;1972;2451.0;2023.0;;;903.0;537.0;61.0;2451.0;;;;;;;;;;;;;;;
27;Total energy commodities;1973;2617.0;2401.0;;;952.0;567.0;-169.0;2617.0;;;;;;;;;;;;;;;
28;Total energy commodities;1974;2579.0;2819.0;;;135.0;460.0;85.0;2579.0;;;;;;;;;;;;;;;
29;Total energy commodities;1975;2482.0;3023.0;4681.0;4754.0;-73.0;507.0;39.0;2482.0;;673.0;;;333.0;;345.0;339.0;6.0;;;2136.0;1773.0;363.0;
30;Total energy commodities;1976;2718.0;3232.0;5316.0;5277.0;39.0;544.0;-8.0;2718.0;;711.0;;;343.0;;378.0;368.0;10.0;;;2341.0;1892.0;449.0;
