ID;Bedrijfskenmerken;WerkzameBeroepsbevolking_1;NietCursusdeelnemers_2;Cursusdeelnemers_3;CursusdeelnemersRelatief_4;TenMinsteEenCursus_5;TenMinsteEenCursusRelatief_6
0;A-U Alle economische activiteiten;9217.0;5480.0;3737.0;40.5;3035.0;81.2
1;A-F Landbouw en nijverheid;1467.0;971.0;497.0;33.8;443.0;89.2
2;B-E Nijverheid (geen bouw) en energie;972.0;636.0;337.0;34.6;307.0;91.1
3;C-E Industrie, energie, afvalbeheer;967.0;635.0;332.0;34.3;302.0;91.0
4;G-I Handel, vervoer en horeca;2091.0;1493.0;599.0;28.6;482.0;80.5
5;G-N Commerciële dienstverlening;4136.0;2646.0;1490.0;36.0;1167.0;78.3
6;M-N Zakelijke dienstverlening;1295.0;774.0;521.0;40.2;391.0;75.0
7;O-Q Overheid en zorg;2910.0;1385.0;1525.0;52.4;1268.0;83.2
8;O-U Niet-commerciële dienstverlening;3314.0;1644.0;1671.0;50.4;1379.0;82.5
9;R-U Cultuur, recreatie, overige diensten;404.0;258.0;146.0;36.1;111.0;75.9
10;A Landbouw, bosbouw en visserij;124.0;;;;;
11;B Delfstoffenwinning;;;;;;
12;C Industrie;902.0;610.0;292.0;32.4;264.0;90.7
13;D Energievoorziening;;;;;;
14;E Waterbedrijven en afvalbeheer;;;;;;
15;F Bouwnijverheid;371.0;248.0;122.0;33.0;;
16;G Handel;1277.0;914.0;363.0;28.4;282.0;77.8
17;H Vervoer en opslag;477.0;321.0;156.0;32.6;;
18;I Horeca;338.0;;;;;
19;J Informatie en communicatie;419.0;219.0;200.0;47.7;145.0;72.6
20;K Financiële dienstverlening;267.0;123.0;145.0;54.1;123.0;85.3
21;L Verhuur en handel van onroerend goed;;;;;;
22;M Specialistische zakelijke diensten;782.0;440.0;343.0;43.8;257.0;75.0
23;N Verhuur en overige zakelijke diensten;512.0;334.0;178.0;34.8;133.0;74.9
24;O Openbaar bestuur en overheidsdiensten;663.0;282.0;380.0;57.4;345.0;90.6
25;P Onderwijs;776.0;337.0;439.0;56.6;348.0;79.3
26;Q Gezondheids- en welzijnszorg;1471.0;766.0;705.0;47.9;575.0;81.6
27;R Cultuur, sport en recreatie;209.0;;;;;
28;S Overige dienstverlening;186.0;;;;;
29;T Huishoudens;;;;;;
30;U Extraterritoriale organisaties;;;;;;
31;SBI-code onbekend;299.0;;;;;
32;Bedrijfsgrootte: 1 tot 10 werknemers;1840.0;1176.0;665.0;36.1;403.0;60.6
33;Bedrijfsgrootte: 10 tot 20 werknemers;854.0;531.0;323.0;37.8;259.0;80.2
34;Bedrijfsgrootte: 20 tot 50 werknemers;1196.0;762.0;434.0;36.3;359.0;82.7
35;Bedrijfsgrootte: 50 tot 250 werknemers;1723.0;1087.0;636.0;36.9;570.0;89.7
36;Bedrijfsgrootte: 250 en meer werknemers;3062.0;1529.0;1533.0;50.1;1343.0;87.6
37;Bedrijfsgrootte: aantal onbekend;423.0;;;;;
