ID;Baankenmerken;WoonregioS;WerkregioS;Perioden;BanenVanWerknemers_1;WoonWerkafstand_2
0;Totaal ;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2021 december;8697.6;19.9
1;Totaal ;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2022 december;8941.8;19.8
2;Totaal ;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2023 december;9020.0;19.9
3;Totaal ;Nederland, Buitenland, Niet in te delen;Nederland;2021 december;8679.6;19.9
4;Totaal ;Nederland, Buitenland, Niet in te delen;Nederland;2022 december;8921.6;19.8
5;Totaal ;Nederland, Buitenland, Niet in te delen;Nederland;2023 december;8996.7;19.9
6;Totaal ;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2021 december;18.0;
7;Totaal ;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2022 december;20.2;
8;Totaal ;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2023 december;23.3;
9;Totaal ;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2021 december;764.9;19.4
10;Totaal ;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2022 december;778.9;19.2
11;Totaal ;Nederland, Buitenland, Niet in te delen;Noord-Nederland (LD);2023 december;783.2;19.1
12;Totaal ;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2021 december;1748.8;18.7
13;Totaal ;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2022 december;1799.7;18.5
14;Totaal ;Nederland, Buitenland, Niet in te delen;Oost-Nederland (LD);2023 december;1806.9;18.3
15;Totaal ;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2021 december;4303.2;20.7
16;Totaal ;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2022 december;4432.8;20.9
17;Totaal ;Nederland, Buitenland, Niet in te delen;West-Nederland (LD);2023 december;4493.8;21.2
18;Totaal ;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2021 december;1862.7;19.4
19;Totaal ;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2022 december;1910.2;18.6
20;Totaal ;Nederland, Buitenland, Niet in te delen;Zuid-Nederland (LD);2023 december;1912.8;18.5
21;Totaal ;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2021 december;18.0;
22;Totaal ;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2022 december;20.2;
23;Totaal ;Nederland, Buitenland, Niet in te delen;Niet in te delen (LD);2023 december;23.3;
24;Totaal ;Nederland, Buitenland, Niet in te delen;Groningen (PV);2021 december;275.9;19.1
25;Totaal ;Nederland, Buitenland, Niet in te delen;Groningen (PV);2022 december;281.1;19.2
26;Totaal ;Nederland, Buitenland, Niet in te delen;Groningen (PV);2023 december;280.9;18.8
27;Totaal ;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2021 december;279.4;18.6
28;Totaal ;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2022 december;283.3;18.3
29;Totaal ;Nederland, Buitenland, Niet in te delen;Fryslân (PV);2023 december;283.7;18.2
30;Totaal ;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2021 december;209.6;20.8
31;Totaal ;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2022 december;214.6;20.5
32;Totaal ;Nederland, Buitenland, Niet in te delen;Drenthe (PV);2023 december;218.6;20.7
33;Totaal ;Nederland, Buitenland, Niet in te delen;Overijssel (PV);2021 december;588.6;18.1
