ID;BestemmingEindverwerking;Indelingen;Perioden;NatSlib_1;DrogeStof_2;AsGloeirest_3;OrganischeFractie_4;StikstofverbindingenAlsN_5;FosforverbindingenAlsP_6;Koper_7;Chroom_8;Zink_9;Lood_10;Cadmium_11;Nikkel_12;Kwik_13;Arseen_14
0;Totaal afgevoerd;Nederland;1981;3622102;179616;74866;104750;8471;4216;88636;36332;312411;81582;1518;13919;587;1179
1;Totaal afgevoerd;Nederland;1985;3749735;227127;96020;131107;11523;4965;103825;33207;338380;82984;1377;12585;560;1540
2;Totaal afgevoerd;Nederland;1990;4859804;315266;127156;188110;15900;7066;140084;25553;351411;70674;1213;13030;691;2409
3;Totaal afgevoerd;Nederland;1991;3013739;334504;139443;195061;16770;7584;145467;25813;342127;69494;1194;11986;703;2240
4;Totaal afgevoerd;Nederland;1992;2634785;322693;138839;183854;15462;6496;136860;21401;353112;66464;1237;11734;609;2345
5;Totaal afgevoerd;Nederland;1993;2057019;336948;154735;182213;16158;6562;130688;22389;326532;64074;923;11502;646;2228
6;Totaal afgevoerd;Nederland;1994;2144266;338888;152965;185923;16455;6740;126418;18647;331500;63178;717;12001;489;2553
7;Totaal afgevoerd;Nederland;1995;2135432;359843;160446;199397;16455;10345;140468;19299;341367;63208;691;10932;538;2791
8;Totaal afgevoerd;Nederland;1996;1753046;364809;155254;209555;17381;8346;140103;18794;317422;52013;612;11380;498;2493
9;Totaal afgevoerd;Nederland;1997;1511818;347210;147078;200132;15251;7284;135325;17484;300309;48484;627;11518;497;2608
10;Totaal afgevoerd;Nederland;1998;1406110;350037;145250;204787;16553;8882;135540;17767;330339;53934;628;13196;450;3838
11;Totaal afgevoerd;Nederland;1999;1519211;374165;165293;208872;17444;6268;146804;20033;354841;56801;630;13666;456;3861
12;Totaal afgevoerd;Nederland;2000;1426447;336361;128336;208025;15962;7258;130891;17322;319070;51466;544;11036;404;3017
13;Totaal afgevoerd;Nederland;2001;1467679;348777;124859;223918;17488;6502;132680;15891;334393;52680;601;11121;411;3315
14;Totaal afgevoerd;Nederland;2002;1534537;353853;139242;214611;18228;9158;138141;15469;348712;50534;541;10626;393;3278
15;Totaal afgevoerd;Nederland;2003;1498398;343621;129182;214439;15686;8269;138808;14370;324534;44364;498;9971;348;2979
16;Totaal afgevoerd;Nederland;2004;1486535;341646;122318;219328;15319;7657;133663;14646;344042;46169;483;10805;346;3150
17;Totaal afgevoerd;Nederland;2005;1494028;347557;126997;220560;18733;7771;132360;13937;372960;39312;453;8967;329;2952
18;Totaal afgevoerd;Nederland;2006;1610518;359431;123697;235734;18878;8909;139903;13480;340695;43329;509;9495;318;3003
19;Totaal afgevoerd;Nederland;2007;1538697;339102;121245;217857;17225;7684;137882;14152;349851;46586;496;10699;319;3491
20;Totaal afgevoerd;Nederland;2008;1320580;336064;110457;225607;16947;10634;137696;13604;352924;42951;454;9868;288;3642
21;Totaal afgevoerd;Nederland;2009;1328815;336616;110600;226016;15782;9093;132900;13828;330847;39565;408;9229;283;3051
22;Totaal afgevoerd;Nederland;2010;1321586;332601;110086;222515;18736;11101;132552;13715;348041;39757;468;11020;265;3276
23;Totaal afgevoerd;Nederland;2011;1304669;331336;103518;227818;18728;10757;136630;13644;335254;37855;422;11030;247;3228
24;Totaal afgevoerd;Nederland;2012;1400521;324603;106596;218007;18722;10801;130849;13784;336266;37808;415;9961;225;3041
25;Totaal afgevoerd;Nederland;2013;1269216;315639;101137;214502;17854;10918;128963;12923;308622;33634;364;8739;231;3460
26;Totaal afgevoerd;Mechanische installaties;1981;1489103;17054;5653;11401;478;286;4502;940;23954;6302;180;421;57;116
27;Totaal afgevoerd;Mechanische installaties;1985;1415031;16339;5506;10833;563;135;3801;864;25999;1811;34;680;36;170
28;Totaal afgevoerd;Mechanische installaties;1990;9261;752;261;491;17;6;204;27;556;119;1;18;2;6
29;Totaal afgevoerd;Mechanische installaties;1991;2139;226;86;140;10;5;94;9;225;54;1;7;1;2
30;Totaal afgevoerd;Mechanische installaties;1992;10131;758;338;420;21;10;192;20;547;94;1;14;2;5
31;Totaal afgevoerd;Mechanische installaties;1993;5109;311;138;173;11;5;119;13;308;63;1;8;1;3
32;Totaal afgevoerd;Mechanische installaties;1994;2960;231;104;127;5;2;59;5;117;20;0;3;0;1
33;Totaal afgevoerd;Mechanische installaties;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;Totaal afgevoerd;Mechanische installaties;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;Totaal afgevoerd;Mechanische installaties;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Totaal afgevoerd;Mechanische installaties;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;Totaal afgevoerd;Mechanische installaties;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Totaal afgevoerd;Mechanische installaties;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;Totaal afgevoerd;Mechanische installaties;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;Totaal afgevoerd;Mechanische installaties;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Totaal afgevoerd;Mechanische installaties;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Totaal afgevoerd;Mechanische installaties;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Totaal afgevoerd;Mechanische installaties;2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;Totaal afgevoerd;Mechanische installaties;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Totaal afgevoerd;Mechanische installaties;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Totaal afgevoerd;Mechanische installaties;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;Totaal afgevoerd;Mechanische installaties;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Totaal afgevoerd;Mechanische installaties;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;Totaal afgevoerd;Mechanische installaties;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;Totaal afgevoerd;Mechanische installaties;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;Totaal afgevoerd;Mechanische installaties;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;Totaal afgevoerd;Oxidatiebedden;1981;174279;15611;6885;8726;669;340;9494;2202;29494;6619;107;1748;47;109
53;Totaal afgevoerd;Oxidatiebedden;1985;149545;17402;7971;9431;733;449;9993;2645;31393;8779;90;1201;67;140
54;Totaal afgevoerd;Oxidatiebedden;1990;103200;11597;5351;6246;526;257;5883;894;16240;3083;34;556;46;96
55;Totaal afgevoerd;Oxidatiebedden;1991;145619;13682;6263;7419;604;316;7322;880;18314;5159;48;522;46;108
56;Totaal afgevoerd;Oxidatiebedden;1992;108957;11728;5188;6540;565;248;6005;689;15971;3114;27;429;42;99
57;Totaal afgevoerd;Oxidatiebedden;1993;97013;11447;5415;6032;553;254;4969;527;13137;2467;23;408;41;107
