ID;Persoonskenmerken;Perioden;PersonenMetEenAOUitkering_1
0;Totaal personen;2013 januari;767400.0
1;Totaal personen;2013 februari;769390.0
2;Totaal personen;2013 maart;769420.0
3;Totaal personen;2013 april;769240.0
4;Totaal personen;2013 mei;765760.0
5;Totaal personen;2013 juni;765040.0
6;Totaal personen;2013 juli;764900.0
7;Totaal personen;2013 augustus;764540.0
8;Totaal personen;2013 september;764880.0
9;Totaal personen;2013 oktober;766050.0
10;Totaal personen;2013 november;766140.0
11;Totaal personen;2013 december;766150.0
12;Totaal personen;2014 januari;772410.0
13;Totaal personen;2014 februari;771550.0
14;Totaal personen;2014 maart;771730.0
15;Totaal personen;2014 april;772160.0
16;Totaal personen;2014 mei;768470.0
17;Totaal personen;2014 juni;768400.0
18;Totaal personen;2014 juli;768090.0
19;Totaal personen;2014 augustus;768200.0
20;Totaal personen;2014 september;768080.0
21;Totaal personen;2014 oktober;768950.0
22;Totaal personen;2014 november;769010.0
23;Totaal personen;2014 december;769970.0
24;Totaal personen;2015 januari;771890.0
25;Totaal personen;2015 februari;772940.0
26;Totaal personen;2015 maart;772160.0
27;Totaal personen;2015 april;770970.0
28;Totaal personen;2015 mei;766070.0
29;Totaal personen;2015 juni;764850.0
30;Totaal personen;2015 juli;763420.0
31;Totaal personen;2015 augustus;762320.0
32;Totaal personen;2015 september;761140.0
33;Totaal personen;2015 oktober;760260.0
34;Totaal personen;2015 november;759370.0
35;Totaal personen;2015 december;757890.0
36;Totaal personen;2016 januari;759870.0
37;Totaal personen;2016 februari;766120.0
38;Totaal personen;2016 maart;768470.0
39;Totaal personen;2016 april;768090.0
40;Totaal personen;2016 mei;762140.0
41;Totaal personen;2016 juni;761830.0
42;Totaal personen;2016 juli;760820.0
43;Totaal personen;2016 augustus;761490.0
44;Totaal personen;2016 september;760550.0
45;Totaal personen;2016 oktober;760830.0
46;Totaal personen;2016 november;759720.0
47;Totaal personen;2016 december;757880.0
48;Totaal personen;2017 januari;760020.0
49;Totaal personen;2017 februari;765690.0
50;Totaal personen;2017 maart;768190.0
51;Totaal personen;2017 april;767770.0
52;Totaal personen;2017 mei;767590.0
53;Totaal personen;2017 juni;760680.0
54;Totaal personen;2017 juli;760490.0
55;Totaal personen;2017 augustus;761100.0
56;Totaal personen;2017 september;759470.0
57;Totaal personen;2017 oktober;760180.0
58;Totaal personen;2017 november;759370.0
59;Totaal personen;2017 december;757410.0
60;Totaal personen;2018 januari;748890.0
61;Totaal personen;2018 februari;755460.0
62;Totaal personen;2018 maart;757750.0
63;Totaal personen;2018 april;757850.0
64;Totaal personen;2018 mei;757560.0
65;Totaal personen;2018 juni;749860.0
66;Totaal personen;2018 juli;749670.0
67;Totaal personen;2018 augustus;749360.0
68;Totaal personen;2018 september;748540.0
69;Totaal personen;2018 oktober;749280.0
70;Totaal personen;2018 november;748590.0
71;Totaal personen;2018 december;747230.0
72;Totaal personen;2019 januari;749840.0
73;Totaal personen;2019 februari;757200.0
74;Totaal personen;2019 maart;760000.0
75;Totaal personen;2019 april;763400.0
76;Totaal personen;2019 mei;763380.0
77;Totaal personen;2019 juni;754800.0
78;Totaal personen;2019 juli;754760.0
