ID;Achtergrondkenmerken;Perioden;InwonersMetNederlandseNationaliteit_1;NeemtNietDeelAanKorteVakanties_2;NeemtDeelAanKorteVakanties_3;GemAantalKorteVakantiesPerDeelnemer_4;NeemtNietDeelAanLangeVakanties_5;NeemtDeelAanLangeVakanties_6;GemAantalLangeVakantiesPerDeelnemer_7
0;Totaal achtergrondkenmerken;2000;14982.0;9840.0;5142.0;2.25;3888.0;11094.0;1.71
1;Totaal achtergrondkenmerken;2001;15095.0;9699.0;5396.0;2.24;3901.0;11194.0;1.77
2;Mannen;2000;7407.0;4959.0;2449.0;2.36;2012.0;5395.0;1.7
3;Mannen;2001;7466.0;4809.0;2656.0;2.31;1936.0;5530.0;1.79
4;Vrouwen;2000;7575.0;4881.0;2693.0;2.14;1876.0;5699.0;1.72
5;Vrouwen;2001;7629.0;4889.0;2740.0;2.18;1965.0;5664.0;1.76
6;0 tot 6 jarigen;2000;1183.0;787.0;396.0;1.57;245.0;939.0;1.47
7;0 tot 6 jarigen;2001;1166.0;660.0;506.0;1.77;227.0;939.0;1.59
8;6 tot 15 jarigen;2000;1652.0;1090.0;562.0;1.97;265.0;1387.0;1.5
9;6 tot 15 jarigen;2001;1727.0;1069.0;658.0;2.31;313.0;1414.0;1.61
10;15 tot 19 jarigen;2000;649.0;470.0;180.0;;173.0;476.0;1.58
11;15 tot 19 jarigen;2001;649.0;404.0;244.0;1.45;150.0;499.0;1.53
12;19 tot 25 jarigen;2000;1064.0;690.0;374.0;1.54;286.0;779.0;1.41
13;19 tot 25 jarigen;2001;1063.0;681.0;382.0;1.52;362.0;701.0;1.46
14;25 tot 30 jarigen;2000;1243.0;658.0;585.0;2.33;299.0;944.0;1.53
15;25 tot 30 jarigen;2001;1030.0;590.0;440.0;1.75;216.0;814.0;1.65
16;30 tot 40 jarigen;2000;2378.0;1408.0;971.0;1.75;563.0;1815.0;1.57
17;30 tot 40 jarigen;2001;2479.0;1517.0;961.0;1.84;546.0;1933.0;1.61
18;40 tot 50 jarigen;2000;2238.0;1478.0;760.0;2.6;466.0;1772.0;1.7
19;40 tot 50 jarigen;2001;2271.0;1476.0;795.0;2.52;495.0;1776.0;1.73
20;50 tot 65 jarigen;2000;2618.0;1681.0;937.0;3.01;655.0;1963.0;2.16
21;50 tot 65 jarigen;2001;2721.0;1734.0;988.0;3.29;681.0;2040.0;2.21
22;65 tot 75 jarigen;2000;1217.0;955.0;262.0;3.29;483.0;734.0;2.17
23;65 tot 75 jarigen;2001;1205.0;882.0;323.0;2.4;437.0;768.0;2.25
24;75 jarigen of ouder;2000;739.0;622.0;116.0;;453.0;286.0;1.92
25;75 jarigen of ouder;2001;783.0;685.0;98.0;;474.0;309.0;1.67
26;Alleenstaande;2000;1963.0;1379.0;584.0;2.0;835.0;1128.0;1.69
27;Alleenstaande;2001;2137.0;1523.0;613.0;2.28;897.0;1240.0;1.77
28;Huishouden met jongste kind 0 tot 6 jaar;2000;3224.0;2131.0;1093.0;2.02;600.0;2624.0;1.51
29;Huishouden met jongste kind 0 tot 6 jaar;2001;3166.0;2009.0;1157.0;1.7;696.0;2470.0;1.54
30;Huish. met jongste kind 6 tot 13 jaar;2000;2206.0;1414.0;792.0;1.85;405.0;1801.0;1.59
31;Huish. met jongste kind 6 tot 13 jaar;2001;2380.0;1489.0;890.0;2.15;396.0;1984.0;1.66
32;Huish. met jongste kind 13 tot 19 jaar;2000;1429.0;1009.0;421.0;1.84;278.0;1151.0;1.5
33;Huish. met jongste kind 13 tot 19 jaar;2001;1367.0;886.0;481.0;2.06;340.0;1027.0;1.61
34;Huishouden met uitsl. meerderjarigen;2000;6159.0;3908.0;2251.0;2.64;1769.0;4390.0;1.94
35;Huishouden met uitsl. meerderjarigen;2001;6047.0;3792.0;2255.0;2.58;1573.0;4474.0;1.98
36;Bruto hh.-inkomen: tot 17.500 euro;2000;;;;;;;
37;Bruto hh.-inkomen: tot 17.500 euro;2001;;;;;;;
38;Bruto hh.-inkomen:17.500 tot 23.000 euro;2000;;;;;;;
39;Bruto hh.-inkomen:17.500 tot 23.000 euro;2001;;;;;;;
40;Bruto hh.-inkomen:23.000 tot 28.500 euro;2000;;;;;;;
41;Bruto hh.-inkomen:23.000 tot 28.500 euro;2001;;;;;;;
42;Bruto hh.-inkomen:28.500 tot 34.000 euro;2000;;;;;;;
43;Bruto hh.-inkomen:28.500 tot 34.000 euro;2001;;;;;;;
44;Bruto hh.-inkomen:34.000 tot 45.000 euro;2000;;;;;;;
45;Bruto hh.-inkomen:34.000 tot 45.000 euro;2001;;;;;;;
46;Bruto hh.-inkomen:45.000 tot 56.000 euro;2000;;;;;;;
47;Bruto hh.-inkomen:45.000 tot 56.000 euro;2001;;;;;;;
48;Bruto hh.-inkomen:56.000 euro of meer;2000;;;;;;;
49;Bruto hh.-inkomen:56.000 euro of meer;2001;;;;;;;
50;Sociale groep: n.v.t. (0 tot 16 jaar);2000;2987.0;1989.0;998.0;1.81;537.0;2449.0;1.48
51;Sociale groep: n.v.t. (0 tot 16 jaar);2001;3053.0;1830.0;1223.0;2.03;554.0;2499.0;1.6
52;Sociale groep: totaal betaald beroep;2000;6253.0;3782.0;2471.0;2.19;1353.0;4901.0;1.64
53;Sociale groep: totaal betaald beroep;2001;6528.0;4024.0;2505.0;2.28;1403.0;5125.0;1.74
54;Sociale groep: zelfstandigen;2000;;;;;;;
55;Sociale groep: zelfstandigen;2001;;;;;;;
56;Sociale groep: hogere werknemers;2000;;;;;;;
57;Sociale groep: hogere werknemers;2001;;;;;;;
58;Sociale groep: middelbare werknemers;2000;;;;;;;
59;Sociale groep: middelbare werknemers;2001;;;;;;;
60;Sociale groep: lagere werknemers;2000;;;;;;;
61;Sociale groep: lagere werknemers;2001;;;;;;;
62;Sociale groep: arbeidsongesch., bijstand;2000;663.0;492.0;170.0;;290.0;373.0;1.99
63;Sociale groep: arbeidsongesch., bijstand;2001;703.0;482.0;221.0;2.1;276.0;427.0;1.94
64;Sociale groep: gepen., renten., AOW, VUT;2000;2302.0;1734.0;568.0;3.06;993.0;1309.0;2.28
65;Sociale groep: gepen., renten., AOW, VUT;2001;2345.0;1774.0;572.0;2.56;960.0;1385.0;2.24
66;Sociale groep: huisvr./-man z. a. beroep;2000;1187.0;808.0;379.0;2.37;338.0;849.0;1.8
67;Sociale groep: huisvr./-man z. a. beroep;2001;1159.0;776.0;383.0;2.57;307.0;852.0;1.77
68;Sociale groep: studerend, schoolgaand;2000;971.0;618.0;353.0;1.55;238.0;733.0;1.62
69;Sociale groep: studerend, schoolgaand;2001;826.0;480.0;346.0;1.76;245.0;581.0;1.59
70;Andere sociale groep;2000;619.0;417.0;203.0;;139.0;480.0;1.85
71;Andere sociale groep;2001;479.0;334.0;146.0;;155.0;324.0;1.79
72;Onderwijsniveau: n.v.t. (0 tot 16 jaar);2000;2987.0;1989.0;998.0;1.81;537.0;2449.0;1.48
73;Onderwijsniveau: n.v.t. (0 tot 16 jaar);2001;3053.0;1830.0;1223.0;2.03;554.0;2499.0;1.6
74;Onderwijsniveau: basis/lager onderwijs;2000;977.0;748.0;228.0;3.64;458.0;518.0;1.87
75;Onderwijsniveau: basis/lager onderwijs;2001;1082.0;852.0;230.0;3.04;424.0;658.0;1.83
76;Onderwijsniveau: uitgeb. l.o.: algemeen;2000;1832.0;1319.0;513.0;2.53;519.0;1313.0;1.71
77;Onderwijsniveau: uitgeb. l.o.: algemeen;2001;1641.0;1189.0;452.0;2.71;527.0;1114.0;1.78
78;Onderwijsniveau: uitgeb. l.o.: beroeps;2000;1830.0;1476.0;354.0;2.46;726.0;1104.0;1.63
79;Onderwijsniveau: uitgeb. l.o.: beroeps;2001;1831.0;1329.0;502.0;2.89;641.0;1190.0;1.64
80;Onderwijsniveau: mid. onderw.: algemeen;2000;1069.0;662.0;407.0;2.09;267.0;801.0;1.84
81;Onderwijsniveau: mid. onderw.: algemeen;2001;1119.0;715.0;403.0;1.74;325.0;794.0;1.84
82;Onderwijsniveau: mid. onderw: beroeps;2000;2918.0;1842.0;1077.0;2.31;803.0;2116.0;1.68
83;Onderwijsniveau: mid. onderw: beroeps;2001;3150.0;2058.0;1091.0;2.38;805.0;2345.0;1.69
84;Onderwijsniveau: semi-hoger onderwijs;2000;2490.0;1361.0;1129.0;2.28;431.0;2059.0;1.92
85;Onderwijsniveau: semi-hoger onderwijs;2001;2323.0;1312.0;1012.0;1.99;449.0;1874.0;2.01
86;Onderwijsniveau: hoger onderwijs;2000;879.0;443.0;436.0;1.93;146.0;733.0;1.85
