ID;PositieEindePeriodeNaEenJaar;Persoonskenmerken;Perioden;BeginPeriodeTotaal15Tot65Jaar_1;BeginPeriodeVasteArbeidsrelatie_2;BeginPeriodeFlexibeleArbeidsrel_3;BeginPeriodeZelfstandige_4;BeginPeriodeNietWerkzaam_5
0;1;3;2003;10903.0;5353.0;793.0;824.0;3933.0
1;1;3;2004;10923.0;5276.0;795.0;868.0;3984.0
2;1;3;2005;10939.0;5226.0;858.0;888.0;3967.0
3;1;3;2006;10949.0;5192.0;966.0;939.0;3853.0
4;1;3;2007;10967.0;5236.0;1078.0;994.0;3659.0
5;1;3;2008;10996.0;5323.0;1129.0;1047.0;3496.0
6;1;3;2009;11011.0;5271.0;1146.0;1051.0;3543.0
7;1;3;2010;11016.0;5203.0;1158.0;1030.0;3626.0
8;1;1;2003;5512.0;3155.0;412.0;572.0;1373.0
9;1;1;2004;5515.0;3084.0;407.0;603.0;1421.0
10;1;1;2005;5516.0;3018.0;440.0;619.0;1439.0
11;1;1;2006;5516.0;2981.0;484.0;656.0;1395.0
12;1;1;2007;5521.0;2954.0;539.0;700.0;1329.0
13;1;1;2008;5533.0;3021.0;550.0;714.0;1248.0
14;1;1;2009;5535.0;2959.0;551.0;706.0;1319.0
15;1;1;2010;5532.0;2856.0;561.0;703.0;1412.0
16;1;2;2003;5391.0;2198.0;381.0;252.0;2560.0
17;1;2;2004;5407.0;2192.0;388.0;265.0;2563.0
18;1;2;2005;5423.0;2207.0;419.0;269.0;2527.0
19;1;2;2006;5433.0;2211.0;481.0;283.0;2457.0
20;1;2;2007;5447.0;2283.0;539.0;294.0;2330.0
21;1;2;2008;5463.0;2302.0;579.0;334.0;2248.0
22;1;2;2009;5476.0;2312.0;594.0;345.0;2224.0
23;1;2;2010;5484.0;2347.0;596.0;327.0;2214.0
24;1;4;2003;1921.0;519.0;274.0;19.0;1109.0
25;1;4;2004;1928.0;457.0;270.0;24.0;1178.0
26;1;4;2005;1936.0;424.0;292.0;24.0;1196.0
27;1;4;2006;1944.0;401.0;335.0;27.0;1180.0
28;1;4;2007;1957.0;412.0;362.0;30.0;1153.0
29;1;4;2008;1978.0;425.0;374.0;31.0;1149.0
30;1;4;2009;1995.0;379.0;382.0;33.0;1201.0
31;1;4;2010;2006.0;342.0;362.0;29.0;1273.0
32;1;5;2003;4870.0;3041.0;387.0;432.0;1009.0
