ID;Perioden;Attractieparken_1;WerkzamePersonen_2;ArbeidsvolumeWerkzamePersonen_3;TotaalBaten_4;Entreegelden_5;VerkoopopbrengstHoreca_6;OverigeBaten_7;TotaalLasten_8;PersoneelInLoondienst_9;Huisvestingskosten_10;Afschrijvingen_11;Rente_12;InkoopkostenHoreca_13;OverigeLasten_14;BetalendeBezoekers_15;BuitenlandseBezoekers_16
0;2018;171;16148;5233;616;67;25;8;524;36;12;16;3;9;25;22643;17
1;2020;172;12130;4292;385;67;19;14;407;35;17;18;3;6;21;11983;14
